id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00000953,0.00006753,0.0000675886524823,srdltd,1,0,2,4.99689047,22,22,670
1,0.00010100,0.00001419,0.00010060,0.000100638297872,srdltd,1,0,2,0.00318081,22,22,997
2,0.00329400,0.00002000,0.00010498,0.000181818181818,bnb,1,0,1,,22,21,879
3,0.00410100,0.00001486,0.00010539,0.000105390070922,srdltd,1,0,2,0.01157414,21,21,1044
4,0.00329000,0.00000400,0.00002392,0.0000363636363636,bnb,1,0,1,,21,20,-381
5,0.00319400,0.00001342,0.00006448,0.0000645192307692,srdltd,2,0,2,4.99699705,20,19,398
6,0.00040100,0.00001425,0.00010103,0.000101063829787,srdltd,1,0,2,0.00898475,19,19,1002
7,0.00262000,0.00001137,0.00008057,0.0000806382978723,srdltd,1,0,2,0.99736863,19,19,798
8,0.00100000,0.00001477,0.00010471,0.000104751773050,srdltd,1,0,2,0.01055937,19,19,1038
9,0.00650000,0.00001820,0.00008749,0.0000875000,srdltd,2,0,2,4.99062745,20,19,782
10,0.00014000,0.00000860,0.00003422,0.0000781818181818,bnb,1,0,1,,19,18,36
11,0.00310000,0.00000842,0.00005971,0.0000597163120567,srdltd,1,0,2,3.99689158,25,25,593
12,0.00010100,0.00002838,0.00020127,0.000201276595745,srdltd,1,0,2,2.99987062,26,26,1993
13,0.00113200,0.00001840,0.00013044,0.000130496453901,srdltd,1,0,2,0.00367960,26,26,1292
14,0.00010200,0.00001944,0.00013783,0.000137872340426,srdltd,1,0,2,0.00305937,26,26,1366
15,0.00400000,0.00003939,0.00027934,0.000279361702128,srdltd,1,0,2,0.00096061,32,32,2766
16,0.00100000,0.00003200,0.00025222,0.000290909090909,bnb,1,0,1,,32,31,1460
17,0.00300000,0.00005255,0.00025260,0.000252644230769,srdltd,2,0,2,4.99086890,33,32,3540
18,0.00665800,0.00002680,0.00019006,0.000190070921986,srdltd,1,0,2,0.00901520,32,32,1883
19,0.00110000,0.00002092,0.00014830,0.000148368794326,srdltd,1,0,2,0.00216908,32,32,1469
20,0.00090000,0.00002385,0.00016908,0.000169148936170,srdltd,1,0,2,0.00806090,32,32,1675
21,0.00110000,0.00002620,0.00018578,0.000185815602837,srdltd,1,0,2,0.02387380,32,32,1840
22,0.00209300,0.00002370,0.00016808,0.000168085106383,srdltd,1,0,2,0.00689850,32,32,1665
23,0.00332600,0.00004171,0.00016531,0.000170244897959,bnb,3,0,1,,32,29,1436
24,0.00424600,0.00002352,0.00016675,0.000166808510638,srdltd,1,0,2,0.00553048,29,29,1651
25,0.00333000,0.00003212,0.00022774,0.000227801418440,srdltd,1,0,2,1.99663788,29,29,2255
26,0.00200000,0.00003594,0.00025488,0.000254893617021,srdltd,1,0,2,0.00102343,29,29,2525
27,0.00337500,0.00003407,0.00024158,0.000241631205674,srdltd,1,0,2,0.02046473,29,29,2392
28,0.00300000,0.00002692,0.00019090,0.000190921985816,srdltd,1,0,2,0.00753245,29,29,1891
29,0.00294600,0.00001756,0.00012449,0.000124539007092,srdltd,1,0,2,0.00498144,29,29,1233
30,0.00332500,0.00002334,0.00016547,0.000165531914894,srdltd,1,0,2,0.00418411,30,30,1639
31,0.00332500,0.00004214,0.00020258,0.000202596153846,srdltd,2,0,2,0.00490430,30,29,2704
32,0.00330000,0.00003154,0.00022367,0.000223687943262,srdltd,1,0,2,3.99356004,29,29,2215
33,0.00336300,0.00002605,0.00018471,0.000184751773050,srdltd,1,0,2,4.98747985,29,29,1830
34,0.00333400,0.00000767,0.00005433,0.0000543971631206,srdltd,1,0,2,0.01712306,32,32,539
35,0.00030000,0.00001570,0.00011128,0.000111347517730,srdltd,1,0,2,0.00297830,32,32,1102
36,0.00300100,0.00002971,0.00021068,0.000210709219858,srdltd,1,0,2,0.00249977,32,32,2087
37,0.00332900,0.00000653,0.00004628,0.0000463120567376,srdltd,1,0,2,0.00666447,33,33,459
38,0.00332700,0.00000320,0.00002268,0.0000226950354610,srdltd,1,0,2,0.99403843,33,33,226
39,0.00332700,0.00000665,0.00004712,0.0000471631205674,srdltd,1,0,2,0.00676635,33,33,468
40,0.00322700,0.00002235,0.00015844,0.000158510638298,srdltd,1,0,2,0.00165495,33,33,1570
41,0.00332000,0.00004303,0.00030512,0.000305177304965,srdltd,1,0,2,0.00330144,33,33,3021
42,0.00198400,0.00007297,0.00035080,0.000350817307692,srdltd,2,0,2,0.00194303,34,33,5180
43,0.00322000,0.00005510,0.00039072,0.000390780141844,srdltd,1,0,2,0.01384796,33,33,3869
44,0.00505500,0.00008670,0.00061489,0.000614893617021,srdltd,1,0,2,0.00175680,35,35,6089
45,0.00105000,0.00014012,0.00099370,0.000993758865248,srdltd,1,0,2,0.00248948,36,36,9839
46,0.00020000,0.00013257,0.00094015,0.000940212765957,srdltd,1,0,2,0.00966743,36,36,9309
47,0.00086900,0.00013100,0.00092398,0.00119090909091,bnb,1,0,1,,36,35,8539
48,0.00020400,0.00013618,0.00096578,0.000965815602837,srdltd,1,0,2,0.00141662,36,36,9562
49,0.00322600,0.00013070,0.00092693,0.000926950354610,srdltd,1,0,2,4.98412315,36,36,9178
50,0.00334300,0.00013270,0.00094109,0.000941134751773,srdltd,1,0,2,0.00070841,36,36,9318
51,0.00668000,0.00011776,0.00083513,0.000835177304965,srdltd,1,0,2,0.02856017,36,36,8268
52,0.00332500,0.00012792,0.00090717,0.000907234042553,srdltd,1,0,2,3.99010712,36,36,8982
53,0.00332500,0.00007267,0.00051533,0.000515390070922,srdltd,1,0,2,2.99647295,36,36,5103
54,0.00332500,0.00004131,0.00029292,0.000292978723404,srdltd,1,0,2,4.98075684,36,36,2901
55,0.00332500,0.00004727,0.00033519,0.000335248226950,srdltd,1,0,2,0.00629516,36,36,3320
56,0.00300000,0.00005546,0.00039329,0.000393333333333,srdltd,1,0,2,0.00084454,36,36,3895
57,0.00332700,0.00010506,0.00050508,0.000505096153846,srdltd,2,0,2,0.01339420,36,35,7756
58,0.00332500,0.00007152,0.00050722,0.000507234042553,srdltd,1,0,2,0.00999768,35,35,5023
59,0.00300000,0.00010000,0.00054847,0.000564971751412,bnb,2,0,1,,35,33,6336
60,0.00332700,0.00010407,0.00050031,0.000500336538462,srdltd,2,0,2,0.00536386,33,32,7677
61,0.00332700,0.00010599,0.00050953,0.000509567307692,srdltd,2,0,2,0.00798363,32,31,7830
62,0.00332800,0.00006353,0.00045050,0.000450567375887,srdltd,1,0,2,0.02516864,31,31,4461
63,0.00332900,0.00008997,0.00063805,0.000638085106383,srdltd,1,0,2,0.02174967,31,31,6317
64,0.00333000,0.00013091,0.00092840,0.000928439716312,srdltd,1,0,2,4.97729593,31,31,9193
65,0.00332500,0.00012570,0.00089143,0.000891489361702,srdltd,1,0,2,0.00453293,31,31,8826
66,0.00332500,0.00008964,0.00063572,0.000635744680851,srdltd,1,0,2,0.01833503,31,31,6294
67,0.00333500,0.00007644,0.00042300,0.000431864406780,bnb,2,0,1,,31,29,4507
68,0.00332500,0.00005160,0.00036592,0.000365957446809,srdltd,1,0,2,0.99066183,29,29,3624
69,0.00332500,0.00006448,0.00035674,0.000364293785311,bnb,2,0,1,,29,27,3589
70,0.00300000,0.00006594,0.00046759,0.000467659574468,srdltd,1,0,2,0.00146699,27,27,4630
71,0.00321200,0.00006201,0.00043977,0.000439787234043,srdltd,1,0,2,0.00672367,27,27,4355
72,0.00200000,0.00006574,0.00046623,0.000466241134752,srdltd,1,0,2,0.00470061,28,28,4617
73,0.00320000,0.00010744,0.00051652,0.000516538461538,srdltd,2,0,2,0.01559735,28,27,7948
74,0.00332500,0.00008502,0.00042419,0.000480338983051,bnb,2,0,1,,27,25,5360
75,0.00330000,0.00009417,0.00045274,0.000452740384615,srdltd,2,0,2,4.97474630,25,24,6882
