id,input_amounts
0,['5.00000000']
1,['0.00329600']
2,['0.00331400']
3,['0.01569000']
4,['0.00329400']
5,"['4.99689047', '0.00331400']"
6,['0.00940000']
7,['1.00000000']
8,['0.01157414']
9,"['0.00014860', '4.99699705']"
10,['0.00014860']
11,['4.00000000']
12,['3.00000000']
13,['0.00483000']
14,['0.00318081']
15,['0.00500000']
16,['0.00103200']
17,"['4.99062745', '0.00329400']"
18,['0.01570000']
19,['0.00329000']
20,['0.00898475']
21,['0.02500000']
22,['0.00901520']
23,"['0.00216908', '0.00010863', '0.00109000']"
24,['0.00980000']
25,['2.00000000']
26,['0.00305937']
27,['0.02387380']
28,['0.01055937']
29,['0.00794500']
30,['0.00753245']
31,"['0.00498144', '0.00329000']"
32,['3.99689158']
33,['4.99086890']
34,['0.02046473']
35,['0.00329400']
36,['0.00553048']
37,['0.01000000']
38,['0.99736863']
39,['0.01010000']
40,['0.00490430']
41,['0.00666447']
42,"['0.00100000', '0.00300000']"
43,['0.01712306']
44,['0.00689850']
45,['0.00367960']
46,['0.01000000']
47,['0.00100000']
48,['0.00175680']
49,['4.98747985']
50,['0.00418411']
51,['0.03535793']
52,['3.99356004']
53,['2.99987062']
54,['4.98412315']
55,['0.00966743']
56,['0.00390000']
57,"['0.00297830', '0.01384796']"
58,['0.01339420']
59,"['0.00010000', '0.00300000']"
60,"['0.00629516', '0.00249977']"
61,"['0.00141662', '0.01000000']"
62,['0.02856017']
63,['0.02516864']
64,['4.98075684']
65,['0.00798363']
66,['0.02174967']
67,"['0.00011000', '0.00330144']"
68,['0.99403843']
69,"['0.00248948', '0.00090000']"
70,['0.00453293']
71,['0.00999768']
72,['0.00676635']
73,"['0.00056976', '0.01833503']"
74,"['0.00146699', '0.00194303']"
75,"['0.00084454', '4.97729593']"
76,['2.99647295']
77,['2.99300212']
78,['0.01559735']
79,['0.00536386']
80,['0.99066183']
81,['0.01214950']
82,['2.98956648']
83,['0.01300000']
84,['0.00672367']
85,['0.00806090']
86,['1.99663788']
87,['1.97599425']
88,['0.00947480']
89,['4.97474630']
90,['3.99010712']
91,['2.98607369']
92,['1.97410173']
93,['4.97124794']
94,['2.97089692']
95,['0.00910000']
96,['0.00319650']
97,['0.00107448']
98,['0.98720191']
99,['0.01490000']
100,['4.96107968']
101,['3.98660188']
102,['0.00370000']
103,['0.00480000']
104,['0.00107722']
105,['0.03000000']
106,['0.00161476']
107,['0.01780000']
108,['0.00171142']
109,"['0.03500000', '0.00200000']"
110,['0.00116387']
111,['0.00470061']
112,['0.97210679']
113,['0.96792127']
114,"['0.00444318', '0.00034660', '0.00065211']"
115,['0.00200000']
116,['0.00790000']
117,['0.96477009']
118,['0.03198531']
119,['0.96459016']
120,['0.01000000']
121,"['0.00040000', '0.00050000', '0.00414518']"
122,"['0.00006000', '0.00329400', '0.00006080']"
123,"['0.00095384', '0.00271097', '0.00488037']"
124,"['0.00025639', '0.00071285', '0.00100000', '0.00076900', '0.00020000', '0.00010000', '0.00414232', '0.00008000', '0.00010000', '0.00070841']"
125,"['0.00080000', '0.00090000', '0.00091371', '0.00100000', '0.00090000', '0.00087643', '0.00464370']"
126,"['0.00500000', '0.00341677', '0.00163049', '0.00500000']"
127,['0.00684382']
128,['0.00490000']
129,['0.00800000']
130,"['0.00102343', '0.00120000', '0.00120000', '0.00270000']"
131,"['0.00352797', '0.00159440', '0.00100000']"
132,"['0.00300000', '0.00110000', '0.00228044']"
133,"['0.00481525', '0.00165495', '0.00454585']"
134,['3.98193019']
135,"['0.00190794', '0.00300000', '0.00096061', '0.00000200', '0.00213902', '0.00200000']"
136,"['0.00360000', '0.00100000', '0.00169500', '0.00100000', '0.00049540', '0.00226500']"
137,['0.00480000']
138,['0.00480000']
139,['0.00390000']
140,"['0.00665664', '0.00800000']"
141,['0.00500000']
