Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_2019-2020-per-day,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_2019-2020-per-day,15.18555119,42.5980000000,50,267,399,233,0,182,bnb: **51** ; Total: **51**,0.00053090,4.99699705,0.896488264945,1.63979492476,0.01330848,0.0000571179399142,0.000340000000,0.013648480000,1,11,1.71244635193,1.56983129115,srdltd: **182** ; bnb: **51**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.90517786,81.8160000000,187,594,716,406,0,309,bnb: **97** ; Total: **97**,0.00053090,8.74486730,0.764840011165,1.60646730745,0.03014631,0.0000742519950739,0.00127160000,0.03141791000,1,12,1.76354679803,1.75069685780,srdltd: **309** ; bnb: **97**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.25520463,130.586000000,323,961,1029,539,0,391,bnb: **148** ; Total: **148**,0.00053090,8.74486730,0.687496945422,1.56280388134,0.03940037,0.0000730990166976,0.00219640000,0.04159677000,1,13,1.90909090909,1.99746375178,srdltd: **391** ; bnb: **148**
bustabit-tiny-hot-wallet_2019-2020-per-day,19.63286177,195.997000000,396,1316,1388,684,0,468,bnb: **216** ; Total: **216**,0.00053090,9.11789844,0.659152505598,1.56470275180,0.04896238,0.0000715824269006,0.00269280000,0.05165518000,1,20,2.02923976608,2.15891871581,srdltd: **468** ; bnb: **216**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.25335895,253.513200000,532,1682,1691,818,0,541,bnb: **277** ; Total: **277**,0.00053090,9.11789844,0.592222412588,1.48129716171,0.06100208,0.0000745746699267,0.00361760000,0.06461968000,1,20,2.06723716381,2.22187355634,srdltd: **541** ; bnb: **277**
bustabit-tiny-hot-wallet_2019-2020-per-day,18.32278970,291.566000000,424,2008,2216,992,0,632,bnb: **360** ; Total: **360**,0.00053090,9.11789844,0.582854657326,1.48157912419,0.08001777,0.0000806630745968,0.00288320000,0.08290097000,1,28,2.23387096774,2.65464996438,srdltd: **632** ; bnb: **360**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.33819442,324.601142857,596,2415,2500,1085,0,681,bnb: **404** ; Total: **404**,0.00053090,9.11789844,0.568498718693,1.43669197416,0.09019612,0.0000831300645161,0.00405280000,0.09424892000,1,30,2.30414746544,2.80905746041,srdltd: **681** ; bnb: **404**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.39760669,367.201500000,670,2818,2886,1182,0,738,bnb: **444** ; Total: **444**,0.00053090,9.11789844,0.535794535786,1.38626485178,0.10137918,0.0000857691878173,0.00455600000,0.10593518000,1,44,2.44162436548,3.36182081440,srdltd: **738** ; bnb: **444**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.26493846,398.782444444,616,3213,3390,1287,0,793,bnb: **494** ; Total: **494**,0.00053090,9.11789844,0.511994992623,1.34192625309,0.12122548,0.0000941922921523,0.00418880000,0.12541428000,1,44,2.63403263403,3.75189214790,srdltd: **793** ; bnb: **494**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.67696646,419.350600000,595,3571,3840,1429,0,864,bnb: **565** ; Total: **565**,0.00053090,9.11789844,0.516355159375,1.34709406328,0.13607005,0.0000952204688593,0.00404600000,0.14011605000,1,64,2.68719384185,4.01600227376,srdltd: **864** ; bnb: **565**
bustabit-tiny-hot-wallet_2019-2020-per-day,21.90269736,441.450363636,643,3938,4240,1562,0,945,bnb: **617** ; Total: **617**,0.00053090,9.11789844,0.534739615788,1.36986685135,0.15027035,0.0000962038092190,0.00437240000,0.15464275000,1,64,2.71446862996,4.09829990916,srdltd: **945** ; bnb: **617**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.31321391,453.788500000,566,4278,4751,1722,0,1039,bnb: **683** ; Total: **683**,0.00053090,9.11789844,0.538633992608,1.38346875376,0.17044973,0.0000989835830430,0.00384880000,0.17429853000,1,64,2.75900116144,4.33885633627,srdltd: **1039** ; bnb: **683**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.78172285,463.295384615,643,4650,5116,1850,0,1109,bnb: **741** ; Total: **741**,0.00053090,9.11789844,0.511291407782,1.34389799642,0.18328173,0.0000990712054054,0.00437240000,0.18765413000,1,64,2.76540540541,4.26604349093,srdltd: **1109** ; bnb: **741**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.13455760,470.196000000,502,4990,5686,2010,0,1198,bnb: **812** ; Total: **812**,0.00053090,9.11789844,0.488055811327,1.30096055787,0.19512009,0.0000970746716418,0.00341360000,0.19853369000,1,64,2.82885572139,4.31598637179,srdltd: **1198** ; bnb: **812**
bustabit-tiny-hot-wallet_2019-2020-per-day,16.83425111,473.534266667,550,5335,6091,2165,0,1306,bnb: **859** ; Total: **859**,0.00053090,9.11789844,0.472987576110,1.27028156805,0.21318167,0.0000984672840647,0.00374000000,0.21692167000,1,64,2.81339491917,4.28548098764,srdltd: **1306** ; bnb: **859**
