id,input_amounts
0,['5.00000000']
1,['0.00794500']
2,['0.00331400']
3,"['0.00329600', '0.00329400']"
4,['0.00329400']
5,['0.00940000']
6,['1.00000000']
7,['3.00000000']
8,['2.99736863']
9,['0.01569000']
10,['0.00014860']
11,['0.00619690']
12,['0.99958475']
13,['0.00980000']
14,['0.01010000']
15,['0.00483000']
16,['0.00103200']
17,"['0.00050000', '0.00246707', '0.00010000']"
18,['4.00000000']
19,['0.01570000']
20,['3.99331520']
21,['0.00917766']
22,['0.00997856']
23,['0.00805146']
24,"['0.00010863', '0.00109000', '0.00308848']"
25,['0.99945537']
26,['0.00329400']
27,['0.00470215']
28,"['0.00079061', '0.00125806', '0.00100000']"
29,['4.99689047']
30,['0.02500000']
31,"['0.00329000', '2.00000000']"
32,['0.00864960']
33,['0.00782981']
34,['4.99392691']
35,['0.00100000']
36,['0.01000000']
37,['0.00786186']
38,"['0.00014860', '2.99635386']"
39,"['0.00056976', '2.99317074']"
40,['0.00444076']
41,['0.01300000']
42,['4.99058524']
43,['0.01000000']
44,['1.99992286']
45,['0.00119141']
46,['0.00672490']
47,['0.00100000']
48,['0.01000000']
49,['0.01457908']
50,['4.98855177']
51,['0.99609325']
52,['0.00963697']
53,['2.99040369']
54,['0.00531806']
55,['0.00390000']
56,['0.98929549']
57,"['0.00331400', '0.00011000']"
58,['0.98624003']
59,['3.99239135']
60,['2.98700602']
61,['0.00452633']
62,"['0.00329000', '0.00618405']"
63,['0.00605234']
64,['2.98360847']
65,['4.98507607']
66,['0.00696929']
67,['0.00965982']
68,['2.98014756']
69,"['0.00263337', '0.00076900']"
70,['0.02165166']
71,"['0.00020000', '0.01122238']"
72,['0.03535793']
73,['0.00639233']
74,['1.99478116']
75,['0.03329219']
76,['1.99139634']
77,['0.01858572']
78,['0.00626517']
79,['3.98931401']
80,['0.01515008']
81,['3.98585809']
82,['0.98284351']
83,['0.97935072']
84,['1.98792551']
85,['3.97641956']
86,['0.02992835']
87,['0.00300000']
88,['0.00281732']
89,['0.00500000']
90,['0.00811890']
91,['0.97582552']
92,['0.00112748']
93,['3.97323903']
94,['4.98162537']
95,['0.01714000']
96,['0.00311950']
97,['0.00928472']
98,['3.96307077']
99,['0.03000000']
100,['2.97677096']
101,['0.00819131']
102,['0.00461366']
103,['2.97468260']
104,['0.00107722']
105,['4.97935653']
106,['0.02789713']
107,['0.00300000']
108,['0.00444318']
109,['0.01490000']
110,['0.00116387']
111,['0.00150164']
112,"['0.00300000', '0.00120000']"
113,['0.00480000']
114,['0.00991581']
115,"['0.00006080', '0.00099748']"
116,['0.01109159']
117,['0.01169016']
118,['0.03500000']
119,['0.00733677']
120,"['0.00592000', '0.00338387']"
121,"['0.00052773', '0.00450865']"
122,"['0.00169500', '0.00171142']"
123,"['0.00355465', '0.00034660', '0.00464370']"
124,"['0.00081741', '0.00090000', '0.00006000', '0.00080000', '0.00008000', '0.00010000', '0.00090000', '0.00430482', '0.00010000']"
125,"['0.00040000', '0.00094335', '0.00100000', '0.00087643', '0.00025639', '0.00110000', '0.00091371', '0.00454585']"
126,"['0.01151023', '0.00351962']"
127,['0.00490000']
128,['0.00300000']
129,"['0.00162797', '0.00163049']"
130,"['0.00195175', '0.00129308', '0.00120000', '0.00068430', '0.00100000']"
