id,input_amounts
0,['1.00000000']
1,['5.00000000']
2,['0.00331400']
3,['0.00483000']
4,['0.00329400']
5,['2.00000000']
6,['0.00329000']
7,['0.01569000']
8,['0.99689047']
9,['0.00940000']
10,['0.00014860']
11,"['0.00287475', '0.00014860', '0.00010000']"
12,['0.01010000']
13,['4.99988481']
14,['0.00997062']
15,"['0.01000000', '0.00329000']"
16,['0.00103200']
17,['0.01305863']
18,['4.00000000']
19,['0.00329400']
20,['0.99587570']
21,['0.00500000']
22,['0.00387380']
23,['0.02500000']
24,"['0.00288766', '0.00090000', '0.00050000']"
25,['0.99495185']
26,['0.00794500']
27,"['0.00010863', '0.00331400']"
28,['0.00923189']
29,['0.00590906']
30,['3.99331520']
31,['0.00980000']
32,['0.02165069']
33,['3.00000000']
34,['0.00390000']
35,['0.00329400']
36,['0.01002301']
37,['0.01570000']
38,['0.01236447']
39,"['2.99661095', '0.00056976']"
40,['0.01300000']
41,['0.00644643']
42,['0.00699230']
43,"['0.00495883', '0.00100000']"
44,['0.00975065']
45,['0.00300000']
46,['0.00175710']
47,['0.00100000']
48,['0.01000000']
49,['0.00620497']
50,['3.98996686']
51,['0.99158973']
52,['0.03535793']
53,['0.01000000']
54,['0.98479197']
55,"['0.00300000', '0.00284827']"
56,['0.03190501']
57,"['0.00076900', '0.00265756']"
58,['4.99873441']
59,['0.00308340']
60,['0.00965982']
61,['0.01831915']
62,['0.00660233']
63,['0.00460895']
64,['4.99533789']
65,['3.98649116']
66,['2.99384390']
67,['0.02884955']
68,['0.00626227']
69,['0.00903427']
70,"['0.00020000', '0.00288567']"
71,"['0.00034660', '0.00294550']"
72,['0.00321080']
73,['2.99042926']
74,['0.01492030']
75,"['0.02545490', '0.00055833']"
76,['1.99679690']
77,['1.99332607']
78,['2.98715643']
79,['4.99187698']
80,['2.98370858']
81,['0.01153548']
82,['4.98842106']
83,['0.00565896']
84,['0.00910000']
85,['0.98142566']
86,['4.98492827']
87,['0.00557283']
88,['0.00984918']
89,['0.01714000']
90,['1.98989043']
91,['1.98638519']
92,['0.00114506']
93,['4.96428464']
94,['0.00329600']
95,['2.98024866']
96,['0.00209695']
97,['0.00109000']
98,['3.98304046']
99,['0.00300000']
100,['4.95411638']
101,['2.97799248']
102,['0.00703102']
103,['0.97824513']
104,['0.00107722']
105,['0.00480000']
106,['0.00217308']
107,['0.00480000']
108,['0.03000000']
109,"['0.00171109', '0.00329400']"
110,['0.00116387']
111,['0.00055718']
112,['0.00500000']
113,['0.01780000']
114,['0.00800000']
115,['0.03500000']
116,['2.97332079']
117,['0.00259284']
118,['1.97120842']
119,['0.00464370']
120,"['0.00390000', '0.00200000', '0.00341677']"
121,"['0.00492542', '0.00011000']"
122,"['0.00171142', '0.00169500']"
123,"['0.00592000', '0.00261741']"
124,"['0.00200000', '0.00025639', '0.00081448', '0.00008000', '0.00089713', '0.00010000', '0.00006080', '0.00010000', '0.00006000', '0.00370000']"
125,"['0.00480000', '0.00090000', '0.00118998', '0.00102716', '0.00100000', '0.00040000', '0.00071414']"
126,"['0.00790000', '0.00241291', '0.00228044', '0.00245355']"
127,['4.95202802']
128,['0.00290000']
129,"['0.00152797', '0.97505989']"
130,"['0.00110000', '0.00163049', '0.00120000', '0.00120000', '0.00100000']"
131,"['0.00100000', '0.00270000', '0.00142453', '0.00100000']"
132,"['0.00091371', '0.00080000', '0.00100000', '0.00368031']"
133,"['0.00100000', '0.00100000', '0.00100000', '0.00300000', '0.00213376', '0.00200000', '0.00090000']"
134,['0.97332656']
135,"['0.00444318', '0.00180988', '0.00226500', '0.00049540', '0.00100000']"
136,"['0.01450000', '0.00500000']"
137,['0.00947638']
138,['2.96956597']
139,['0.01109159']
140,"['0.00454585', '0.00360000', '0.00490000']"
141,['0.01490000']
142,"['0.00100000', '0.01464882']"
143,['0.00500000']
144,['0.00300000']
145,"['0.00069882', '0.00200000', '0.00500000', '0.00089105', '0.00070000']"
146,['0.01364555']
147,['0.01680000']
148,"['0.00290000', '0.00087643', '0.00100000', '0.00100000']"
149,['0.03395384']
150,"['0.00800000', '0.01287347']"
151,"['0.01000000', '2.96784559']"
152,['0.00300000']
153,"['0.01511922', '0.02894069', '0.00600000']"
154,['0.01000000']
155,['0.02415053']
156,"['0.00161175', '0.00100000', '0.02261906', '0.00040000', '0.00860000', '0.00090000', '0.06000000', '0.00454367', '0.00096409', '0.00263338', '0.01500000', '0.00280000']"
157,['0.00900000']
158,['0.00180000']
159,"['0.00946581', '0.00090000', '0.04000000', '0.02091249', '0.02000000', '0.00880000']"
160,"['0.05900000', '0.01000000', '0.01990000', '0.01114779']"
161,"['0.01364164', '3.96794534', '0.01000000']"
162,"['0.00500000', '0.00542434']"
163,['4.94999945']
164,['1.96555069']
165,['0.03000000']
166,['0.02959206']
167,['0.00963986']
168,"['0.00017000', '0.00084400', '0.00021000', '0.00880000']"
169,['0.00500000']
170,"['0.00900000', '0.00010000', '0.00094940']"
171,"['0.00038000', '0.00100000']"
172,['0.03300000']
173,"['0.00000200', '0.05000000']"
174,['4.94599683']
175,['0.03172762']
176,['0.04549596']
177,"['0.00297830', '0.00090000', '0.00662870']"
178,"['0.00213902', '0.00300000', '0.00250000', '0.00300000']"
179,['0.01000000']
180,['4.94099498']
181,['0.97056065']
182,['1.96054532']
183,['0.07024500']
184,['0.05992691']
185,['0.05000000']
186,['0.06000000']
187,['0.02471042']
188,['0.05000000']
189,['1.94974282']
190,['0.01000000']
191,['0.00798250']
192,"['0.00500000', '0.01000000']"
193,"['0.00318000', '0.00745171', '0.00040000']"
194,['0.96023286']
195,['0.00586462']
196,['2.91879554']
197,['0.01000000']
198,['0.02152621']
199,"['0.00800000', '0.01000000', '0.00099000']"
200,['0.05936558']
201,"['0.00014000', '0.00044827', '0.00028000', '0.00090000', '0.00397940', '0.00100000', '0.00090000']"
202,['0.01000000']
203,"['0.01369952', '0.00050000', '0.00180000', '0.00700000', '0.00472563']"
204,['0.01000000']
205,"['2.90323714', '0.00980000']"
206,['0.05000000']
207,['0.03529051']
208,['0.01000000']
209,['0.03105165']
210,['0.02400000']
211,['0.06000000']
212,['0.95820024']
213,['4.94068707']
214,['0.00969612']
215,"['0.04160890', '0.02000000', '0.00942738', '0.00400000']"
216,"['0.00005460', '0.00006080', '0.00288148', '0.00005460', '0.00180000', '0.00039116', '0.00290000', '0.00019558', '0.00170000']"
217,"['4.90943708', '0.00990000']"
218,"['0.00969858', '0.00097600', '0.01944692']"
219,['0.85811203']
220,['0.01570000']
221,['2.89991748']
222,"['0.00590078', '0.00900000', '0.00229870', '0.00010000', '0.00500000', '0.01059603', '0.00100000', '0.00010000']"
223,['0.09990000']
224,"['0.02995671', '0.00096700']"
225,['2.77558527']
226,['1.93863963']
227,['3.89151121']
228,['3.88137772']
229,['3.87527685']
230,['0.02025711']
231,['0.00541298']
232,['0.01000000']
233,['1.81360828']
234,['0.04978469']
235,['0.02310000']
236,['0.00161670']
237,['0.00200000']
238,['0.02370798']
239,['0.00170883']
240,['0.04880790']
241,"['0.00050366', '0.00013629', '0.00050000', '0.00001000', '0.00070000', '0.00114700', '0.00020000', '0.00006184', '0.00050000', '0.00010000', '0.00020000', '0.00010000']"
242,"['0.02102912', '0.00978005']"
243,['0.05735321']
244,"['0.07000000', '0.00337695', '0.02498633', '0.00170068']"
245,"['0.00010000', '0.00897807', '0.00127802', '0.00020000']"
246,['4.81930541']
247,['0.00500000']
248,"['0.09980000', '1.00000000', '0.09743739']"
249,"['4.71907234', '0.00390000']"
250,['0.19705680']
251,"['1.70335764', '0.03000000']"
252,"['0.03000000', '0.02304401']"
253,['0.18890875']
254,['0.85790960']
255,['4.61940070']
256,['0.02121218']
257,['0.10000000']
258,['0.00898309']
259,['0.02900000']
260,['0.00193800']
261,['0.03000000']
262,['0.01000000']
263,['0.01200000']
264,['0.20000000']
265,['0.03589486']
266,['0.00980000']
267,['0.00900000']
268,['0.00110000']
269,['0.00290000']
270,['0.10000000']
271,['0.01942388']
272,['0.01032438']
273,['0.01090000']
274,['0.00791596']
275,['0.01930000']
276,['0.08882772']
277,['0.01500000']
278,['0.00980000']
279,"['0.00020000', '0.00001500', '0.00010000', '0.00072800']"
280,['0.10000000']
281,"['0.00600000', '0.00005460']"
282,"['0.00256452', '0.00529642']"
283,['0.09938615']
284,['3.87270796']
285,['0.02151381']
286,['0.00989938']
287,['3.87134072']
288,"['4.41930501', '0.01000000']"
289,['0.02700000']
290,['0.01495000']
291,['0.05500000']
292,['0.01812401']
293,['0.00070000']
294,['0.00073743']
295,['0.20000000']
296,['0.00083132']
297,['0.00090000']
298,['0.19932648']
299,['0.19792279']
300,['0.00110000']
301,['0.10000000']
302,['0.05000000']
303,['0.05000000']
304,['0.01930000']
305,"['0.00510000', '0.00006000']"
306,['0.05381091']
307,['0.18550267']
308,['0.00040000']
309,['0.02555967']
310,"['0.01119474', '0.00891332']"
311,['0.00500000']
312,"['0.00001000', '0.00005460', '0.00001000', '0.00013227']"
313,"['0.00006448', '0.00005480', '0.00008830']"
314,"['0.00010000', '0.00010000', '0.00010000', '0.00011000', '0.00010000']"
315,"['0.00010000', '0.00006504', '0.00011752', '0.00014800', '0.00005666', '0.00052000']"
316,"['0.00060000', '0.00060081', '0.00700000', '0.00025000', '0.00011808', '0.00040900', '0.00063000', '0.00040856']"
317,"['0.04000000', '0.00050000', '0.00060110', '0.00050000', '0.00063540', '0.00155075', '0.00049400', '0.00637176', '0.00040000']"
318,"['0.00342500', '0.00062652', '0.00080000', '0.00198637', '0.00149556', '0.05270915']"
319,"['0.00070000', '0.00090000', '0.00090000', '0.00124100', '0.00090000', '0.00450000', '0.00090000']"
