Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_2019-2020-per-day,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_2019-2020-per-day,15.18589665,43.3920000000,69,267,378,233,0,180,bnb: **53** ; Total: **53**,0.00055718,4.99988481,1.04626897328,1.65656327183,0.01296302,0.0000556352789700,0.000469200000,0.013432220000,1,12,1.62231759657,1.55746803324,srdltd: **180** ; bnb: **53**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.90554843,91.6510000000,200,594,696,406,0,302,bnb: **104** ; Total: **104**,0.00050366,8.68908481,0.952890382384,1.77424534394,0.02977574,0.0000733392610837,0.00136000000,0.03113574000,1,12,1.71428571429,1.74048179995,srdltd: **302** ; bnb: **104**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.25544941,141.273333333,328,961,1019,539,0,386,bnb: **153** ; Total: **153**,0.00050366,8.68908481,0.800190108264,1.65745081840,0.03915559,0.0000726448794063,0.00223040000,0.04138599000,1,13,1.89053803340,2.05886502099,srdltd: **386** ; bnb: **153**
bustabit-tiny-hot-wallet_2019-2020-per-day,19.63285893,203.516500000,387,1316,1396,684,0,467,bnb: **217** ; Total: **217**,0.00050366,8.68908481,0.708709311520,1.58376053479,0.04896522,0.0000715865789474,0.00263160000,0.05159682000,1,25,2.04093567251,2.31389393149,srdltd: **467** ; bnb: **217**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.25345682,258.052400000,526,1682,1698,818,0,542,bnb: **276** ; Total: **276**,0.00050366,8.68908481,0.664633592362,1.54235243510,0.06090421,0.0000744550244499,0.00357680000,0.06448101000,1,25,2.07579462103,2.35401184509,srdltd: **542** ; bnb: **276**
bustabit-tiny-hot-wallet_2019-2020-per-day,18.32352842,295.158000000,425,2008,2214,992,0,631,bnb: **361** ; Total: **361**,0.00050366,8.68908481,0.629507675880,1.52296760891,0.07927905,0.0000799183971774,0.00289000000,0.08216905000,1,25,2.23185483871,2.64416296151,srdltd: **631** ; bnb: **361**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.33861802,326.744857143,578,2415,2515,1085,0,678,bnb: **407** ; Total: **407**,0.00050366,8.68908481,0.607996147788,1.47974642299,0.08977252,0.0000827396497696,0.00393040000,0.09370292000,1,30,2.31797235023,2.84943503482,srdltd: **678** ; bnb: **407**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.39824888,366.576250000,628,2818,2928,1182,0,738,bnb: **444** ; Total: **444**,0.00050366,8.68908481,0.569995265420,1.42540651689,0.10073699,0.0000852258798646,0.00427040000,0.10500739000,1,44,2.47715736041,3.41621417102,srdltd: **738** ; bnb: **444**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.26553434,393.885111111,590,3213,3420,1287,0,797,bnb: **490** ; Total: **490**,0.00050366,8.68908481,0.540258519711,1.37739398275,0.12062960,0.0000937292929293,0.00401200000,0.12464160000,1,44,2.65734265734,3.74953476760,srdltd: **797** ; bnb: **490**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.67773502,412.916600000,578,3571,3871,1429,0,878,bnb: **551** ; Total: **551**,0.00050366,8.68908481,0.553471270911,1.39761599675,0.13530149,0.0000946826382085,0.00393040000,0.13923189000,1,61,2.70888733380,4.03389847745,srdltd: **878** ; bnb: **551**
bustabit-tiny-hot-wallet_2019-2020-per-day,21.90365755,434.735636364,636,3938,4262,1562,0,960,bnb: **602** ; Total: **602**,0.00050366,8.68908481,0.572971988573,1.43291614868,0.14931016,0.0000955890909091,0.00432480000,0.15363496000,1,61,2.72855313700,4.10643988314,srdltd: **960** ; bnb: **602**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.31364859,446.468833333,556,4278,4775,1722,0,1053,bnb: **669** ; Total: **669**,0.00050366,8.68908481,0.570764678870,1.42083331825,0.17001505,0.0000987311556330,0.00378080000,0.17379585000,1,62,2.77293844367,4.33612575877,srdltd: **1053** ; bnb: **669**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.78223074,455.431692308,625,4650,5144,1850,0,1119,bnb: **731** ; Total: **731**,0.00050366,8.68908481,0.543401563709,1.38314658672,0.18277384,0.0000987966702703,0.00425000000,0.18702384000,1,62,2.78054054054,4.26951026861,srdltd: **1119** ; bnb: **731**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.13489408,460.932714286,475,4990,5720,2010,0,1205,bnb: **805** ; Total: **805**,0.00050366,8.68908481,0.517538633369,1.34101430681,0.19478361,0.0000969072686567,0.00323000000,0.19801361000,1,62,2.84577114428,4.32560926317,srdltd: **1205** ; bnb: **805**
bustabit-tiny-hot-wallet_2019-2020-per-day,16.83444116,462.407200000,498,5335,6147,2165,0,1310,bnb: **855** ; Total: **855**,0.00050366,8.68908481,0.491834749924,1.29690964629,0.21299162,0.0000983795011547,0.00338640000,0.21637802000,1,62,2.83926096998,4.33594265578,srdltd: **1310** ; bnb: **855**
bustabit-tiny-hot-wallet_2019-2020-per-day,12.73758066,442.103500000,140,5654,6961,2346,0,1447,bnb: **899** ; Total: **899**,0.00050366,8.68908481,0.525018204285,1.35142839660,0.23358710,0.0000995682438193,0.000952000000,0.234539100000,1,147,2.96717817562,5.60195186512,srdltd: **1447** ; bnb: **899**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.43728059,424.020470588,130,5963,7413,2537,0,1580,bnb: **957** ; Total: **957**,0.00050366,8.68908481,0.498857230380,1.30998670611,0.24473052,0.0000964645329129,0.000884000000,0.245614520000,1,147,2.92195506504,5.44062252534,srdltd: **1580** ; bnb: **957**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.41080517,412.213111111,215,6278,7784,2722,0,1721,bnb: **1001** ; Total: **1001**,0.00050366,8.68908481,0.471668954544,1.26415190060,0.26135073,0.0000960142285084,0.00146200000,0.26281273000,1,147,2.85966201323,5.29130783311,srdltd: **1721** ; bnb: **1001**
bustabit-tiny-hot-wallet_2019-2020-per-day,19.36933329,400.994631579,214,6573,8237,2927,0,1878,bnb: **1049** ; Total: **1049**,0.00050366,8.68908481,0.442709895964,1.21609674995,0.27559236,0.0000941552306115,0.00145520000,0.27704756000,1,147,2.81414417492,5.16630118685,srdltd: **1878** ; bnb: **1049**
bustabit-tiny-hot-wallet_2019-2020-per-day,13.21226393,393.262200000,248,6892,8651,3108,0,2007,bnb: **1101** ; Total: **1101**,0.00050366,8.68908481,0.423593923274,1.17992885835,0.28761829,0.0000925412773488,0.00168640000,0.28930469000,1,147,2.78346203346,5.04518590861,srdltd: **2007** ; bnb: **1101**
bustabit-tiny-hot-wallet_2019-2020-per-day,12.82857440,383.176666667,162,7193,9191,3307,0,2160,bnb: **1147** ; Total: **1147**,0.00050366,9.97390835,0.476400768708,1.33133490331,0.31529347,0.0000953412367705,0.00110160000,0.31639507000,1,147,2.77925612337,5.16283126489,srdltd: **2160** ; bnb: **1147**
bustabit-tiny-hot-wallet_2019-2020-per-day,11.95536923,372.513818182,157,7533,9642,3467,0,2266,bnb: **1201** ; Total: **1201**,0.00050366,9.97390835,0.472055461500,1.31003401084,0.32865563,0.0000947953937121,0.00106760000,0.32972323000,1,147,2.78107874243,5.11204067164,srdltd: **2266** ; bnb: **1201**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.01315396,365.530869565,275,7877,9983,3623,0,2381,bnb: **1242** ; Total: **1242**,0.00050366,9.97390835,0.465037794855,1.29616071527,0.33960797,0.0000937366740270,0.00187000000,0.34147797000,1,147,2.75545128347,5.02460346027,srdltd: **2381** ; bnb: **1242**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.15484087,363.589666667,245,8204,10468,3796,0,2509,bnb: **1287** ; Total: **1287**,0.00050366,9.97390835,0.452724719777,1.26984179059,0.35861272,0.0000944712118019,0.00166600000,0.36027872000,1,147,2.75763962065,5.00584713317,srdltd: **2509** ; bnb: **1287**
bustabit-tiny-hot-wallet_2019-2020-per-day,24.23982750,361.817840000,382,8541,10789,3959,0,2630,bnb: **1329** ; Total: **1329**,0.00050366,9.97390835,0.441484220795,1.24804886775,0.37309833,0.0000942405481182,0.00259760000,0.37569593000,1,147,2.72518312705,4.92179874547,srdltd: **2630** ; bnb: **1329**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.52773435,363.296153846,436,8875,11162,4125,0,2723,bnb: **1402** ; Total: **1402**,0.00050366,9.97390835,0.432988302292,1.22907317300,0.38635064,0.0000936607612121,0.00296480000,0.38931544000,1,147,2.70593939394,4.83917654188,srdltd: **2723** ; bnb: **1402**
