id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00000953,0.00006753,0.0000675886524823,srdltd,1,0,2,4.99689047,22,22,670
1,0.00010100,0.00001419,0.00010060,0.000100638297872,srdltd,1,0,2,0.99988481,22,22,997
2,0.00329400,0.00002000,0.00010498,0.000181818181818,bnb,1,0,1,,22,21,879
3,0.00410100,0.00001486,0.00010539,0.000105390070922,srdltd,1,0,2,0.01158414,21,21,1044
4,0.00329000,0.00000400,0.00002392,0.0000363636363636,bnb,1,0,1,,21,20,-381
5,0.00319400,0.00000910,0.00006448,0.0000645390070922,srdltd,1,0,2,0.00162690,20,20,639
6,0.00040100,0.00001425,0.00010103,0.000101063829787,srdltd,1,0,2,0.00287875,20,20,1002
7,0.00262000,0.00001137,0.00008057,0.0000806382978723,srdltd,1,0,2,0.00236863,20,20,798
8,0.00100000,0.00001477,0.00010471,0.000104751773050,srdltd,1,0,2,0.01467523,20,20,1038
9,0.00650000,0.00001234,0.00008749,0.0000875177304965,srdltd,1,0,2,2.99348766,21,21,867
10,0.00014000,0.00000712,0.00003422,0.0000342307692308,srdltd,2,0,2,0.01467671,21,20,-107
11,0.00310000,0.00000842,0.00005971,0.0000597163120567,srdltd,1,0,2,0.00847572,27,27,593
12,0.00010100,0.00002838,0.00020127,0.000201276595745,srdltd,1,0,2,0.00274937,28,28,1993
13,0.00113200,0.00001840,0.00013044,0.000130496453901,srdltd,1,0,2,0.00213960,28,28,1292
14,0.00010200,0.00001944,0.00013783,0.000137872340426,srdltd,1,0,2,0.00317256,28,28,1366
15,0.00400000,0.00003939,0.00027934,0.000279361702128,srdltd,1,0,2,3.99596061,34,34,2766
16,0.00100000,0.00003200,0.00025222,0.000290909090909,bnb,1,0,1,,34,33,1460
17,0.00300000,0.00003562,0.00025260,0.000252624113475,srdltd,1,0,2,0.00544010,35,35,2502
18,0.00665800,0.00005000,0.00019006,0.000204081632653,bnb,3,0,1,,35,32,2161
19,0.00110000,0.00002092,0.00014830,0.000148368794326,srdltd,1,0,2,0.00827908,32,32,1469
20,0.00090000,0.00002385,0.00016908,0.000169148936170,srdltd,1,0,2,0.00702115,32,32,1675
21,0.00110000,0.00002620,0.00018578,0.000185815602837,srdltd,1,0,2,0.00216380,32,32,1840
22,0.00209300,0.00003390,0.00016808,0.000191525423729,bnb,2,0,1,,32,30,1324
23,0.00332600,0.00002331,0.00016531,0.000165319148936,srdltd,1,0,2,0.00665069,30,30,1638
24,0.00424600,0.00002352,0.00016675,0.000166808510638,srdltd,1,0,2,0.99561529,30,30,1651
25,0.00333000,0.00004737,0.00022774,0.000227740384615,srdltd,2,0,2,0.00590171,30,29,3124
26,0.00200000,0.00003594,0.00025488,0.000254893617021,srdltd,1,0,2,0.99357935,29,29,2525
27,0.00337500,0.00003407,0.00024158,0.000241631205674,srdltd,1,0,2,0.01126764,29,29,2392
28,0.00300000,0.00003960,0.00019090,0.000223728813559,bnb,2,0,1,,29,27,1798
29,0.00294600,0.00001756,0.00012449,0.000124539007092,srdltd,1,0,2,2.99052410,27,27,1233
30,0.00332500,0.00002334,0.00016547,0.000165531914894,srdltd,1,0,2,0.00330235,28,28,1639
31,0.00332500,0.00002857,0.00020258,0.000202624113475,srdltd,1,0,2,0.00664643,28,28,2006
