id,input_amounts
0,['5.00000000']
1,['1.00000000']
2,['0.00331400']
3,['0.01570000']
4,['0.00329400']
5,['0.00483000']
6,['0.00329400']
7,['0.00500000']
8,['0.01569000']
9,['3.00000000']
10,"['0.01467523', '0.00014860']"
11,['0.01158414']
12,['0.00287875']
13,['0.00329000']
14,['0.00329400']
15,['4.00000000']
16,['0.00103200']
17,['0.00847572']
18,"['0.00331400', '0.00329400', '0.00010000']"
19,['0.00940000']
20,['0.00794500']
21,['0.00329000']
22,"['0.00050000', '0.00162690']"
23,['0.01000000']
24,['0.99988481']
25,"['0.00827908', '0.00100000']"
26,['0.99561529']
27,['0.01467671']
28,"['0.00213960', '0.00090000']"
29,['2.99348766']
30,['0.00665069']
31,['0.01000000']
32,['0.99357935']
33,"['0.00010863', '0.00329600']"
34,['0.00980000']
35,['0.00236863']
36,['2.99052410']
37,['2.98749339']
38,"['0.00100000', '0.00664643']"
39,['0.01126764']
40,"['0.00330235', '0.00702115']"
41,['0.00793399']
42,"['0.02500000', '0.00014860']"
43,['4.99689047']
44,['0.01300000']
45,['3.99596061']
46,['0.00205293']
47,['0.00100000']
48,['0.00785830']
49,['2.98415786']
50,['0.00706354']
51,['0.01000000']
52,['0.00431471']
53,['0.02309163']
54,"['0.00216380', '0.00300000']"
55,['4.99361537']
56,"['0.00390000', '0.00076900']"
57,['0.01010000']
58,['0.00457096']
59,"['0.00300000', '0.00011000']"
60,"['0.00034660', '2.00000000']"
61,"['0.00086179', '1.99691553']"
62,['0.00645833']
63,['0.01969396']
64,['0.00590171']
65,['0.00670178']
66,['0.00544010']
67,"['0.00117444', '2.98080116']"
68,['0.99024781']
69,"['0.00320224', '0.00020000']"
70,['0.00306680']
71,['0.03535793']
72,['0.01627499']
73,['4.99024310']
74,['1.99434433']
75,['4.98697027']
76,['0.01420925']
77,['1.99095951']
78,['0.98687121']
79,['0.98342336']
80,['3.99477049']
81,['3.99131057']
82,['0.03208392']
83,['4.98360643']
84,['4.98008123']
85,['0.00317256']
86,['4.97655406']
87,['0.00325108']
88,['0.01714000']
89,['0.97996744']
90,['0.97646908']
91,['0.02859113']
92,['0.00177787']
93,['0.03000000']
94,['0.01983174']
95,['3.98187204']
96,['0.01756290']
97,['0.00109000']
98,['1.98752387']
99,['0.00910000']
100,['0.01432184']
101,['0.01073842']
