Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_2019-2020-per-day,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_2019-2020-per-day,15.18563561,42.7680000000,62,267,388,233,0,183,bnb: **50** ; Total: **50**,0.00062831,4.99689047,0.912057002459,1.58339822320,0.01322406,0.0000567556223176,0.000421600000,0.013645660000,1,14,1.66523605150,1.59185482251,srdltd: **183** ; bnb: **50**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.90513888,86.4690000000,191,594,708,406,0,305,bnb: **101** ; Total: **101**,0.00052949,8.81581330,0.832589372820,1.66822354694,0.03018529,0.0000743480049261,0.00129880000,0.03148409000,1,14,1.74384236453,1.77872169796,srdltd: **305** ; bnb: **101**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.25524548,137.310666667,338,961,1013,539,0,390,bnb: **149** ; Total: **149**,0.00052949,8.81581330,0.684637192487,1.52057169937,0.03935952,0.0000730232282004,0.00229840000,0.04165792000,1,14,1.87940630798,2.02547043965,srdltd: **390** ; bnb: **149**
bustabit-tiny-hot-wallet_2019-2020-per-day,19.63283065,203.133500000,394,1316,1387,684,0,465,bnb: **219** ; Total: **219**,0.00052949,9.60893461,0.643724468473,1.50353644297,0.04899350,0.0000716279239766,0.00267920000,0.05167270000,1,29,2.02777777778,2.30553228030,srdltd: **465** ; bnb: **219**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.25326203,259.118000000,527,1682,1692,818,0,537,bnb: **281** ; Total: **281**,0.00052949,9.60893461,0.576514432160,1.42278442477,0.06109900,0.0000746931540342,0.00358360000,0.06468260000,1,29,2.06845965770,2.33124859753,srdltd: **537** ; bnb: **281**
bustabit-tiny-hot-wallet_2019-2020-per-day,18.32281375,296.933333333,431,2008,2208,992,0,631,bnb: **361** ; Total: **361**,0.00052949,9.60893461,0.570822175515,1.43298397944,0.07999372,0.0000806388306452,0.00293080000,0.08292452000,1,29,2.22580645161,2.67201729838,srdltd: **631** ; bnb: **361**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.33845848,330.738857143,611,2415,2485,1085,0,681,bnb: **404** ; Total: **404**,0.00052949,9.60893461,0.554246196520,1.39054307460,0.08993206,0.0000828866912442,0.00415480000,0.09408686000,1,30,2.29032258065,2.82508994519,srdltd: **681** ; bnb: **404**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.39729036,373.575750000,665,2818,2886,1182,0,733,bnb: **449** ; Total: **449**,0.00052949,9.60893461,0.529305568745,1.34546191399,0.10169551,0.0000860368104907,0.00452200000,0.10621751000,1,44,2.44162436548,3.37740062096,srdltd: **733** ; bnb: **449**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.26464686,404.239777778,612,3213,3395,1287,0,794,bnb: **493** ; Total: **493**,0.00052949,9.60893461,0.501228276335,1.29802209255,0.12151708,0.0000944188655789,0.00416160000,0.12567868000,1,44,2.63791763792,3.80444096919,srdltd: **794** ; bnb: **493**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.67702577,423.071000000,585,3571,3857,1429,0,871,bnb: **558** ; Total: **558**,0.00052949,9.60893461,0.503970663307,1.29815525659,0.13601074,0.0000951789643107,0.00397800000,0.13998874000,1,56,2.69909027292,4.03942482952,srdltd: **871** ; bnb: **558**
bustabit-tiny-hot-wallet_2019-2020-per-day,21.90279762,443.920181818,633,3938,4257,1562,0,952,bnb: **610** ; Total: **610**,0.00052949,9.60893461,0.530852228939,1.33731976611,0.15017009,0.0000961396222791,0.00430440000,0.15447449000,1,56,2.72535211268,4.10770873070,srdltd: **952** ; bnb: **610**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.31376775,455.647500000,574,4278,4748,1722,0,1044,bnb: **678** ; Total: **678**,0.00052949,9.60893461,0.530135216216,1.34654680975,0.16989589,0.0000986619570267,0.00390320000,0.17379909000,1,56,2.75725900116,4.26712186738,srdltd: **1044** ; bnb: **678**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.78218206,465.521692308,649,4650,5118,1850,0,1117,bnb: **733** ; Total: **733**,0.00052949,9.60893461,0.504576884960,1.30616711620,0.18282252,0.0000988229837838,0.00441320000,0.18723572000,1,56,2.76648648649,4.21149385082,srdltd: **1117** ; bnb: **733**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.13481266,472.282000000,498,4990,5693,2010,0,1201,bnb: **809** ; Total: **809**,0.00052949,9.60893461,0.480044875820,1.26648729052,0.19486503,0.0000969477761194,0.00338640000,0.19825143000,1,56,2.83233830846,4.26606984487,srdltd: **1201** ; bnb: **809**
bustabit-tiny-hot-wallet_2019-2020-per-day,16.83443210,474.422000000,528,5335,6112,2165,0,1305,bnb: **860** ; Total: **860**,0.00052949,9.60893461,0.462529637517,1.23580516697,0.21300068,0.0000983836859122,0.00359040000,0.21659108000,1,56,2.82309468822,4.26595327349,srdltd: **1305** ; bnb: **860**
bustabit-tiny-hot-wallet_2019-2020-per-day,12.73725975,453.923375000,140,5654,6948,2346,0,1434,bnb: **912** ; Total: **912**,0.00052949,9.60893461,0.475880590830,1.24514903333,0.23390801,0.0000997050341006,0.000952000000,0.234860010000,1,160,2.96163682864,5.58892246251,srdltd: **1434** ; bnb: **912**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.43711409,435.093764706,139,5963,7398,2537,0,1574,bnb: **963** ; Total: **963**,0.00052949,9.60893461,0.456490044593,1.20424291002,0.24489702,0.0000965301616082,0.000945200000,0.245842220000,1,160,2.91604256996,5.43273743776,srdltd: **1574** ; bnb: **963**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.41044495,422.858888889,222,6278,7769,2722,0,1713,bnb: **1009** ; Total: **1009**,0.00052949,9.60893461,0.431463904121,1.15986154738,0.26171095,0.0000961465650257,0.00150960000,0.26322055000,1,160,2.85415135929,5.28598161650,srdltd: **1713** ; bnb: **1009**
bustabit-tiny-hot-wallet_2019-2020-per-day,19.36882665,410.768105263,202,6573,8240,2927,0,1869,bnb: **1058** ; Total: **1058**,0.00052949,9.60893461,0.407109018320,1.11577265934,0.27609900,0.0000943283225145,0.00137360000,0.27747260000,1,160,2.81516911513,5.18591494050,srdltd: **1869** ; bnb: **1058**
bustabit-tiny-hot-wallet_2019-2020-per-day,13.21174401,401.811500000,233,6892,8652,3108,0,1993,bnb: **1115** ; Total: **1115**,0.00052949,9.60893461,0.390244976443,1.08358714085,0.28813821,0.0000927085617761,0.00158440000,0.28972261000,1,160,2.78378378378,5.06433355111,srdltd: **1993** ; bnb: **1115**
bustabit-tiny-hot-wallet_2019-2020-per-day,12.82809317,390.237428571,136,7193,9209,3307,0,2152,bnb: **1155** ; Total: **1155**,0.00052949,9.60893461,0.433777658290,1.20112431925,0.31577470,0.0000954867553674,0.000924800000,0.316699500000,1,160,2.78469912307,5.19826817966,srdltd: **2152** ; bnb: **1155**
bustabit-tiny-hot-wallet_2019-2020-per-day,11.95476695,377.429454545,138,7533,9658,3467,0,2263,bnb: **1204** ; Total: **1204**,0.00052949,9.60893461,0.436545973579,1.18756842957,0.32925791,0.0000949691116239,0.000938400000,0.330196310000,1,160,2.78569368330,5.13554785973,srdltd: **2263** ; bnb: **1204**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.01267864,369.715565217,267,7877,9993,3623,0,2383,bnb: **1240** ; Total: **1240**,0.00052949,9.60893461,0.432729241305,1.17521406252,0.34008329,0.0000938678691692,0.00181560000,0.34189889000,1,160,2.75821142699,5.04732417067,srdltd: **2383** ; bnb: **1240**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.15402671,367.072583333,224,8204,10485,3796,0,2505,bnb: **1291** ; Total: **1291**,0.00052949,9.60893461,0.421419608160,1.15279608959,0.35942688,0.0000946856902002,0.00152320000,0.36095008000,1,160,2.76211801897,5.04144071915,srdltd: **2505** ; bnb: **1291**
bustabit-tiny-hot-wallet_2019-2020-per-day,24.23910980,364.237760000,354,8541,10812,3959,0,2625,bnb: **1334** ; Total: **1334**,0.00052949,9.60893461,0.413406234735,1.13968185330,0.37381603,0.0000944218312705,0.00240720000,0.37622323000,1,160,2.73099267492,4.95835377493,srdltd: **2625** ; bnb: **1334**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.52707914,364.457000000,408,8875,11187,4125,0,2720,bnb: **1405** ; Total: **1405**,0.00052949,9.60893461,0.405310014158,1.12137773107,0.38700585,0.0000938196,0.00277440000,0.38978025000,1,160,2.71200000000,4.87575645105,srdltd: **2720** ; bnb: **1405**
bustabit-tiny-hot-wallet_2019-2020-per-day,14.58485790,366.554518519,392,9156,11633,4344,0,2869,bnb: **1475** ; Total: **1475**,0.00050336,9.60893461,0.389316870540,1.09464376715,0.40448223,0.0000931128522099,0.00266560000,0.40714783000,1,160,2.67794659300,4.79072630717,srdltd: **2869** ; bnb: **1475**
bustabit-tiny-hot-wallet_2019-2020-per-day,21.25167477,369.482500000,469,9452,11998,4548,0,3015,bnb: **1533** ; Total: **1533**,0.00050336,9.60893461,0.375497896886,1.07144821217,0.42353080,0.0000931246262093,0.00318920000,0.42672000000,1,160,2.63808267370,4.69908872123,srdltd: **3015** ; bnb: **1533**
bustabit-tiny-hot-wallet_2019-2020-per-day,17.43071754,372.670275862,504,9756,12396,4744,0,3144,bnb: **1600** ; Total: **1600**,0.00050336,9.60893461,0.364641634154,1.05179550602,0.43777176,0.0000922790387858,0.00342720000,0.44119896000,1,160,2.61298482293,4.61815026351,srdltd: **3144** ; bnb: **1600**
bustabit-tiny-hot-wallet_2019-2020-per-day,17.74166859,375.866000000,409,10038,12905,4962,0,3276,bnb: **1686** ; Total: **1686**,0.00050336,9.60893461,0.353959716511,1.03297070731,0.45304302,0.0000913025030230,0.00278120000,0.45582422000,1,160,2.60076582023,4.54221873938,srdltd: **3276** ; bnb: **1686**
bustabit-tiny-hot-wallet_2019-2020-per-day,14.67818675,376.080366023,425,10076,12962,5005,0,3311,bnb: **1694** ; Total: **1694**,0.00050336,9.60893461,0.350993089366,1.02803753288,0.45683012,0.0000912747492507,0.00289000000,0.45972012000,1,160,2.58981018981,4.52462134386,srdltd: **3311** ; bnb: **1694**
