id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,srdltd,1,0,2,0.00182747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srdltd,1,0,2,2.99983370,22,22,4585
2,0.00329400,0.00008955,0.00043052,0.000430528846154,srdltd,2,0,2,0.00173392,22,21,6511
3,0.00410100,0.00006476,0.00045929,0.000459290780142,srdltd,1,0,2,0.00523424,21,21,4548
4,0.00329000,0.00005351,0.00025725,0.000257259615385,srdltd,2,0,2,0.00168041,21,20,3618
5,0.00319400,0.00001690,0.00011981,0.000119858156028,srdltd,1,0,2,0.01248910,20,20,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srdltd,1,0,2,1.99957485,20,20,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,srdltd,1,0,2,0.00066468,20,20,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srdltd,1,0,2,0.00228680,20,20,1910
9,0.00650000,0.00003919,0.00018838,0.000188413461538,srdltd,2,0,2,2.99344311,21,20,2466
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srdltd,1,0,2,0.00213163,20,20,1066
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,srdltd,1,0,2,2.99033194,27,27,785
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srdltd,1,0,2,0.00316617,28,28,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srdltd,1,0,2,0.00200527,28,28,2030
14,0.00010200,0.00001863,0.00013210,0.000132127659574,srdltd,1,0,2,0.00054405,28,28,1309
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srdltd,1,0,2,0.01164187,34,34,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,34,33,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srdltd,1,0,2,1.99650328,35,35,5026
18,0.00665800,0.00009979,0.00047972,0.000479759615385,srdltd,2,0,2,0.00237645,35,34,7334
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srdltd,1,0,2,0.00094850,34,34,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,34,33,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srdltd,1,0,2,0.00211136,33,33,5803
22,0.00209300,0.00006087,0.00032686,0.000343898305085,bnb,2,0,1,,33,31,3354
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srdltd,1,0,2,0.99664113,31,31,2309
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srdltd,1,0,2,0.02073006,31,31,1682
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srdltd,1,0,2,0.00459022,31,31,1740
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srdltd,1,0,2,0.01046638,31,31,1596
27,0.00337500,0.00002100,0.00010801,0.000118644067797,bnb,2,0,1,,31,29,286
28,0.00300000,0.00003405,0.00009927,0.000108785942492,bnb,4,0,1,,29,25,268
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,srdltd,1,0,2,0.00704655,25,25,524
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srdltd,1,0,2,1.99316177,26,26,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srdltd,1,0,2,0.99329978,26,26,1149
32,0.00330000,0.00000897,0.00006361,0.0000636170212766,srdltd,1,0,2,0.01742109,26,26,631
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,srdltd,1,0,2,0.00672589,26,26,781
34,0.00333400,0.00000612,0.00002942,0.0000294230769231,srdltd,2,0,2,0.00930175,29,28,-186
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,srdltd,1,0,2,0.00298825,28,28,404
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,srdltd,1,0,2,0.99029429,28,28,316
37,0.00332900,0.00000408,0.00002890,0.0000289361702128,srdltd,1,0,2,0.00125714,29,29,287
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,srdltd,1,0,2,0.00149962,29,29,238
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,srdltd,1,0,2,2.98700169,29,29,229
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,srdltd,1,0,2,2.98376926,29,29,382
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,srdltd,1,0,2,0.00340014,29,29,405
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,srdltd,1,0,2,1.99117317,30,30,324
43,0.00322000,0.00000609,0.00002925,0.0000292788461538,srdltd,2,0,2,0.00827353,30,29,-191
44,0.00505500,0.00000876,0.00002602,0.0000279872204473,bnb,4,0,1,,31,27,-1954
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,srdltd,1,0,2,0.00874346,28,28,460
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,srdltd,1,0,2,0.00147516,28,28,369
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,srdltd,1,0,2,0.98942081,28,28,316
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,srdltd,1,0,2,4.99979276,29,29,228
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,srdltd,1,0,2,1.98794274,29,29,312
50,0.00334300,0.00000408,0.00002891,0.0000289361702128,srdltd,1,0,2,0.00965292,29,29,145
51,0.00668000,0.00001767,0.00003311,0.0000394419642857,bnb,6,0,1,,29,23,-2453
52,0.00332500,0.00000733,0.00003523,0.0000352403846154,srdltd,2,0,2,1.98698686,23,22,-90
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,srdltd,1,0,2,0.00631678,22,22,782
54,0.00332500,0.00000459,0.00003255,0.0000325531914894,srdltd,1,0,2,0.98609122,22,22,323
55,0.00332500,0.00000362,0.00002561,0.0000256737588652,srdltd,1,0,2,0.00371793,22,22,113
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,srdltd,1,0,2,0.00629762,22,22,149
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,srdltd,1,0,2,2.98043832,22,22,135
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,srdltd,1,0,2,2.97710842,22,22,203
59,0.00300000,0.00000653,0.00003138,0.0000313942307692,srdltd,2,0,2,0.01045985,22,21,-296
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,srdltd,1,0,2,0.00494050,21,21,282
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,srdltd,1,0,2,4.99646113,21,21,184
62,0.00332800,0.00000542,0.00003837,0.0000384397163121,srdltd,1,0,2,0.01408767,21,21,238
63,0.00332900,0.00000395,0.00002798,0.0000280141843972,srdltd,1,0,2,0.01075472,21,21,136
64,0.00333000,0.00000561,0.00003974,0.0000397872340426,srdltd,1,0,2,0.03202232,21,21,253
65,0.00332500,0.00000502,0.00003559,0.0000356028368794,srdltd,1,0,2,4.99313111,21,21,212
66,0.00332500,0.00000371,0.00002628,0.0000263120567376,srdltd,1,0,2,0.00296891,21,21,-219
67,0.00333500,0.00000626,0.00003005,0.0000300961538462,srdltd,2,0,2,2.97673607,21,20,-656
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,srdltd,1,0,2,0.00541434,20,20,-189
69,0.00332500,0.00000352,0.00002495,0.0000249645390071,srdltd,1,0,2,0.00298826,20,20,-231
70,0.00300000,0.00000383,0.00002712,0.0000271631205674,srdltd,1,0,2,0.00241051,20,20,-209
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,srdltd,1,0,2,0.00172271,20,20,-72
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,srdltd,1,0,2,1.98497658,21,21,257
73,0.00320000,0.00000955,0.00006768,0.0000677304964539,srdltd,1,0,2,2.97352652,21,21,206
74,0.00332500,0.00000851,0.00004091,0.0000409134615385,srdltd,2,0,2,3.99907700,21,20,-460
75,0.00330000,0.00000442,0.00003128,0.0000313475177305,srdltd,1,0,2,2.97022210,20,20,-155
76,0.00339300,0.00000534,0.00003786,0.0000378723404255,srdltd,1,0,2,0.00660166,20,20,-89
77,0.00332700,0.00000964,0.00004632,0.0000463461538462,srdltd,2,0,2,4.99074297,20,19,-371
78,0.00334100,0.00000671,0.00004752,0.0000475886524823,srdltd,1,0,2,0.02867461,19,19,7
79,0.00332700,0.00001053,0.00005059,0.000050625000,srdltd,2,0,2,0.98486505,19,18,-298
80,0.00332900,0.00000544,0.00003857,0.0000385815602837,srdltd,1,0,2,4.98740853,19,19,-59
81,0.00932800,0.00000629,0.00003020,0.0000302403846154,srdltd,2,0,2,3.99634437,19,18,-616
82,0.00333000,0.00000773,0.00005482,0.0000548226950355,srdltd,1,0,2,0.00741699,19,19,101
83,0.00332500,0.00001011,0.00007168,0.0000717021276596,srdltd,1,0,2,0.02533950,19,19,269
84,0.00332500,0.00000925,0.00006554,0.0000656028368794,srdltd,1,0,2,4.98407428,19,19,208
85,0.00300000,0.00000745,0.00005282,0.0000528368794326,srdltd,1,0,2,0.02233205,19,19,82
86,0.02047700,0.00000573,0.00004059,0.0000406382978723,srdltd,1,0,2,1.96449385,19,19,-39
87,0.00172200,0.00000365,0.00002583,0.0000258865248227,srdltd,1,0,2,0.00873420,19,19,-185
88,0.00265000,0.00001159,0.00005570,0.0000557211538462,srdltd,2,0,2,0.01524741,20,19,-168
89,0.00333000,0.00000750,0.00005315,0.0000531914893617,srdltd,1,0,2,0.00539670,19,19,108
90,0.00332500,0.00000593,0.00004202,0.0000420567375887,srdltd,1,0,2,0.00408606,19,19,13
91,0.01500000,0.00000363,0.00002572,0.0000257446808511,srdltd,1,0,2,0.00732842,20,20,-231
92,0.00100000,0.00000323,0.00002289,0.0000229078014184,srdltd,1,0,2,4.98307105,20,20,-177
93,0.01000000,0.00000516,0.00002479,0.0000248076923077,srdltd,2,0,2,0.02298309,20,19,-751
94,0.00200000,0.00000771,0.00005464,0.0000546808510638,srdltd,1,0,2,0.00171022,22,22,56
95,0.00200000,0.00000463,0.00003280,0.0000328368794326,srdltd,1,0,2,0.01324278,22,22,-160
96,0.00200000,0.00001054,0.00007472,0.0000747517730496,srdltd,1,0,2,1.96248331,25,25,255
97,0.00100000,0.00001792,0.00012707,0.000127092198582,srdltd,1,0,2,0.00808208,25,25,773
98,0.01500000,0.00005430,0.00008674,0.0000929794520548,bnb,8,0,1,,28,20,-375
99,0.00200000,0.00001140,0.00008082,0.0000808510638298,srdltd,1,0,2,3.99433297,20,20,336
100,0.00200000,0.00000735,0.00005212,0.0000521276595745,srdltd,1,0,2,1.96047596,20,20,52
101,0.00457300,0.00000884,0.00006264,0.0000626950354610,srdltd,1,0,2,0.00866094,20,20,156
102,0.00200000,0.00000420,0.00002977,0.0000297872340426,srdltd,1,0,2,0.00208186,30,30,-123
103,0.00300000,0.00000484,0.00003429,0.0000343262411348,srdltd,1,0,2,0.00179516,32,32,-78
104,0.00100000,0.00000748,0.00005302,0.0000530496453901,srdltd,1,0,2,0.02197561,36,36,83
105,0.00300000,0.00000645,0.00004568,0.0000457446808511,srdltd,1,0,2,2.96721565,36,36,34
106,0.00152800,0.00000882,0.00006253,0.0000625531914894,srdltd,1,0,2,0.03346318,37,37,201
107,0.00210000,0.00001010,0.00007160,0.0000716312056738,srdltd,1,0,2,0.00178990,41,41,290
108,0.00100000,0.00000370,0.00002624,0.0000262411347518,srdltd,1,0,2,2.96621195,44,44,-158
109,0.00492000,0.00000849,0.00004079,0.0000408173076923,srdltd,2,0,2,0.00207151,46,45,-416
110,0.00110000,0.00000558,0.00003952,0.0000395744680851,srdltd,1,0,2,0.00068432,47,47,-27
111,0.00050000,0.00000499,0.00003536,0.0000353900709220,srdltd,1,0,2,0.00249501,48,48,-54
112,0.00413200,0.00002165,0.00005686,0.0000691693290735,bnb,4,0,1,,50,46,-794
113,0.00310000,0.00001165,0.00005597,0.0000560096153846,srdltd,2,0,2,0.01096820,46,45,-149
114,0.00536100,0.00002332,0.00004908,0.0000520535714286,bnb,6,0,1,,48,42,-1955
115,0.00100000,0.00001430,0.00010135,0.000101418439716,srdltd,1,0,2,0.98385075,42,42,600
116,0.00370900,0.00000657,0.00004653,0.0000465957446809,srdltd,1,0,2,0.01118443,43,43,57
117,0.00013000,0.00001376,0.00009757,0.0000975886524823,srdltd,1,0,2,0.00285624,44,44,562
118,0.00556800,0.00000887,0.00003438,0.0000362040816327,bnb,3,0,1,,44,41,-1298
119,0.00300000,0.00000562,0.00003981,0.0000398581560284,srdltd,1,0,2,0.00489438,52,52,-10
120,0.00924800,0.00003136,0.00003883,0.0000398475222363,bnb,11,0,1,,54,43,-4508
121,0.00500000,0.00001263,0.00003440,0.0000403514376997,bnb,4,0,1,,46,42,-1602
122,0.00337500,0.00000752,0.00005332,0.0000533333333333,srdltd,1,0,2,4.97968853,43,43,123
123,0.00850000,0.00001232,0.00008736,0.0000873758865248,srdltd,1,0,2,0.02495086,43,43,460
124,0.00800000,0.00002819,0.00010512,0.000115061224490,bnb,3,0,1,,44,41,337
125,0.01000000,0.00002000,0.00007824,0.0000816326530612,bnb,3,0,1,,41,38,-369
126,0.01500500,0.00001236,0.00003228,0.0000324409448819,bnb,5,0,1,,38,33,-2300
127,0.00200000,0.00000471,0.00003336,0.0000334042553191,srdltd,1,0,2,0.00799529,33,33,-75
128,0.00134400,0.00000550,0.00003894,0.0000390070921986,srdltd,1,0,2,0.00664579,33,33,-20
129,0.00321900,0.00000881,0.00006243,0.0000624822695035,srdltd,1,0,2,0.98062294,34,34,142
130,0.00610000,0.00000898,0.00006365,0.0000636879432624,srdltd,1,0,2,4.97357955,34,34,154
131,0.00610000,0.00000758,0.00005371,0.0000537588652482,srdltd,1,0,2,1.95436838,34,34,56
132,0.00634000,0.00000546,0.00003869,0.0000387234042553,srdltd,1,0,2,0.97427748,34,34,-93
133,0.01100000,0.00000416,0.00002945,0.0000295035460993,srdltd,1,0,2,0.00679584,39,39,-184
134,0.00275200,0.00000375,0.00002653,0.0000265957446809,srdltd,1,0,2,0.97152173,39,39,-214
135,0.01000000,0.00000632,0.00003034,0.0000303846153846,srdltd,2,0,2,0.00365462,43,42,-577
136,0.01000000,0.00001502,0.00004493,0.0000479872204473,bnb,4,0,1,,42,38,-1407
137,0.00200000,0.00000522,0.00003700,0.0000370212765957,srdltd,1,0,2,0.01249478,40,40,-110
138,0.00170000,0.00000545,0.00003860,0.0000386524822695,srdltd,1,0,2,0.00629455,40,40,-94
139,0.00160000,0.00000701,0.00004970,0.0000497163120567,srdltd,1,0,2,0.00339299,40,40,16
