id,input_amounts
0,['0.00500000']
1,['3.00000000']
2,"['0.00182747', '0.00329000']"
3,['0.00940000']
4,"['0.00173392', '0.00329000']"
5,['0.01570000']
6,['2.00000000']
7,['0.00331400']
8,['0.00331400']
9,"['2.99983370', '0.00014860']"
10,['0.00228680']
11,['2.99344311']
12,['0.00329400']
13,['0.00316617']
14,['0.00066468']
15,['0.01569000']
16,['0.00103200']
17,['1.99957485']
18,"['0.00523424', '0.00390000']"
19,['0.00213163']
20,['0.00100000']
21,['0.00329400']
22,"['0.00014860', '0.00200527']"
23,['1.00000000']
24,['0.02500000']
25,['0.00794500']
26,['0.01248910']
27,"['0.00010000', '0.00329600']"
28,"['0.00054405', '0.00090000', '0.00109000', '0.00050000']"
29,['0.01000000']
30,['1.99650328']
31,['0.99664113']
32,['0.02073006']
33,['0.01010000']
34,"['0.01164187', '0.00100000']"
35,['0.00329400']
36,['0.99329978']
37,['0.00459022']
38,['0.00483000']
39,['2.99033194']
40,['2.98700169']
41,['0.00672589']
42,['1.99316177']
43,"['0.01000000', '0.00149962']"
44,"['0.00020000', '0.00056976', '0.00100000', '0.00329400']"
45,['0.00980000']
46,['0.00168041']
47,['0.99029429']
48,['5.00000000']
49,['1.99117317']
50,['0.01300000']
51,"['0.00125714', '0.00340014', '0.00011000', '0.00034660', '0.00010863', '0.00147516']"
52,"['1.98794274', '0.00237645']"
53,['0.00965292']
54,['0.98942081']
55,['0.00704655']
56,['0.00930175']
57,['2.98376926']
58,['2.98043832']
59,"['0.01046638', '0.00300000']"
60,['0.00827353']
61,['4.99979276']
62,['0.01742109']
63,['0.01408767']
64,['0.03535793']
65,['4.99646113']
66,['0.00629762']
67,"['0.00296891', '2.97710842']"
68,['0.00874346']
69,['0.00631678']
70,['0.00541434']
71,['0.00494050']
72,['1.98698686']
73,['2.97673607']
74,"['4.00000000', '0.00241051']"
75,['2.97352652']
76,['0.01000000']
77,"['0.00094850', '4.99313111']"
78,['0.03202232']
79,"['0.98609122', '0.00211136']"
80,['4.99074297']
81,"['3.99907700', '0.00660166']"
82,['0.01075472']
83,['0.02867461']
84,['4.98740853']
85,['0.02533950']
86,['1.98497658']
87,['0.01045985']
88,"['0.01714000', '0.00076900']"
89,['0.00873420']
90,['0.00741699']
91,['0.02233205']
92,['4.98407428']
