id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,srdltd,1,0,2,0.01252747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srdltd,1,0,2,0.00923370,22,22,4585
2,0.00329400,0.00008955,0.00043052,0.000430528846154,srdltd,2,0,2,0.00320245,22,21,6511
3,0.00410100,0.00006476,0.00045929,0.000459290780142,srdltd,1,0,2,0.99583424,21,21,4548
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srdltd,1,0,2,4.99667372,21,21,2548
5,0.00319400,0.00001690,0.00011981,0.000119858156028,srdltd,1,0,2,0.00931657,21,21,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srdltd,1,0,2,0.01526485,21,21,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,srdltd,1,0,2,0.00666725,21,21,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srdltd,1,0,2,0.00226680,21,21,1910
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srdltd,1,0,2,0.00270713,22,22,1865
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srdltd,1,0,2,0.00778983,22,22,1066
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,srdltd,1,0,2,0.00467866,29,29,785
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srdltd,1,0,2,0.00316217,30,30,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srdltd,1,0,2,0.00213310,30,30,2030
14,0.00010200,0.00001863,0.00013210,0.000132127659574,srdltd,1,0,2,0.00304154,30,30,1309
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srdltd,1,0,2,3.99595187,36,36,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,36,35,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srdltd,1,0,2,0.99276267,37,37,5026
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srdltd,1,0,2,0.00337435,37,37,4751
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srdltd,1,0,2,0.99157954,37,37,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,37,36,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srdltd,1,0,2,0.00861736,36,36,5803
22,0.00209300,0.00004010,0.00032686,0.000364545454545,bnb,1,0,1,,36,35,1957
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srdltd,1,0,2,4.99331485,35,35,2309
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srdltd,1,0,2,0.98730960,35,35,1682
25,0.00333000,0.00004543,0.00017571,0.000185428571429,bnb,3,0,1,,35,32,1765
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srdltd,1,0,2,0.02297728,32,32,1596
27,0.00337500,0.00001523,0.00010801,0.000108014184397,srdltd,1,0,2,0.00327702,32,32,1070
28,0.00300000,0.00001400,0.00009927,0.0000992907801418,srdltd,1,0,2,1.99698600,32,32,984
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,srdltd,1,0,2,0.01231140,32,32,524
30,0.00332500,0.00003073,0.00011709,0.000125428571429,bnb,3,0,1,,33,30,541
31,0.00332500,0.00002605,0.00011591,0.000147175141243,bnb,2,0,1,,30,28,758
32,0.00330000,0.00001400,0.00006361,0.000127272727273,bnb,1,0,1,,28,27,452
33,0.00336300,0.00001135,0.00007874,0.000103181818182,bnb,1,0,1,,27,26,124
34,0.00333400,0.00000415,0.00002942,0.0000294326241135,srdltd,1,0,2,0.00897325,29,29,293
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,srdltd,1,0,2,0.00300825,29,29,404
36,0.00300100,0.00000662,0.00003180,0.0000318269230769,srdltd,2,0,2,0.00239214,29,28,-147
37,0.00332900,0.00000408,0.00002890,0.0000289361702128,srdltd,1,0,2,3.99261879,29,29,287
38,0.00332700,0.00000498,0.00002392,0.0000239423076923,srdltd,2,0,2,0.00676802,29,28,-279
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,srdltd,1,0,2,0.00666975,28,28,229
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,srdltd,1,0,2,0.00343732,28,28,382
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,srdltd,1,0,2,0.98398385,28,28,405
42,0.00198400,0.00000600,0.00003259,0.0000338983050847,bnb,2,0,1,,29,27,-897
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,srdltd,1,0,2,4.99009072,27,27,290
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,srdltd,1,0,2,0.00355869,29,29,258
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,srdltd,1,0,2,1.99592946,30,30,460
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,srdltd,1,0,2,0.00447341,30,30,369
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,srdltd,1,0,2,0.00912652,30,30,316
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,srdltd,1,0,2,0.00308676,31,31,228
