id,input_amounts
0,['0.01570000']
1,['0.00940000']
2,"['0.00329000', '0.00329600']"
3,['1.00000000']
4,['5.00000000']
5,['0.01252747']
6,['0.01569000']
7,['0.00931657']
8,['0.00329400']
9,['0.00923370']
10,['0.00794500']
11,['0.00778983']
12,['0.00329000']
13,['0.00329400']
14,['0.00316217']
15,['4.00000000']
16,['0.00103200']
17,['0.99583424']
18,['0.01010000']
19,['0.99276267']
20,['0.00100000']
21,['0.00980000']
22,['0.00213310']
23,['4.99667372']
24,['0.99157954']
25,"['0.00010863', '0.00100000', '0.00226680']"
26,['0.02500000']
27,['0.00666725']
28,['2.00000000']
29,['0.01526485']
30,"['0.00050000', '0.00014860', '0.00270713']"
31,"['0.00320245', '0.00014860']"
32,['0.00331400']
33,['0.00337435']
34,['0.01231140']
35,['0.00331400']
36,"['0.00483000', '0.00056976']"
37,['3.99595187']
38,"['0.01000000', '0.00010000']"
39,['0.01000000']
40,['0.00666975']
41,['0.98730960']
42,"['0.00090000', '0.00109000']"
43,['4.99331485']
44,['0.00861736']
45,['1.99698600']
46,['0.00467866']
47,['0.01000000']
48,['0.00329400']
49,['0.00447341']
50,"['0.00020000', '0.00304154', '0.00011000']"
51,['4.99009072']
52,['4.98340605']
53,"['0.00124298', '0.00034660', '0.00100000', '0.00076900']"
54,['1.99592946']
55,['0.02297728']
56,['0.00300825']
57,['0.01964866']
58,['0.00500000']
59,['0.00897325']
60,['4.98007608']
61,['0.01300000']
62,['0.03535793']
63,"['1.99259987', '0.00308676']"
64,['3.00000000']
65,['0.00966837']
66,"['0.98398385', '0.00329400']"
67,['0.00390000']
68,"['0.00239214', '0.00300000']"
69,['0.00676802']
70,['0.00633835']
71,['0.00596882']
72,['1.99235181']
73,"['0.00206106', '0.00343950']"
74,"['0.00300000', '0.03202451']"
75,['0.00912652']
76,['0.00582210']
77,['0.00333452']
78,"['0.00343732', '0.00056076']"
79,"['0.98394738', '0.00064719']"
80,['4.97674305']
81,['0.98125704']
82,"['2.99666439', '0.00228648']"
83,['0.97192478']
84,['1.99034153']
85,['3.99261879']
86,['4.97340861']
87,['0.00910000']
88,['0.01631772']
89,['0.01714000']
90,['0.01365986']
91,['3.98961134']
92,"['0.00242376', '0.00000200']"
93,['0.03169100']
94,['0.03000000']
95,['1.98700728']
96,['0.01780000']
97,['0.02168750']
98,"['0.02066958', '0.00480000', '0.00100000']"
99,['0.00355869']
100,['0.00327702']
101,['4.95292588']
102,['0.00370000']
103,"['0.00275103', '1.98500265']"
104,['0.00390000']
105,"['0.00154729', '3.97460771']"
106,['0.00300000']
107,"['0.00300000', '0.00142099']"
108,['0.00200000']
109,"['0.00116387', '0.00171142', '0.00006080', '0.00100000', '0.00100000']"
110,"['0.00100000', '4.94834404']"
111,['0.01450000']
112,"['0.00099630', '0.00120000', '0.00107722', '0.00087643']"
113,['0.00737435']
114,"['0.00040000', '0.00341677', '0.00146318', '0.00010000']"
115,['0.00169580']
116,['0.01399501']
117,['0.01144563']
118,"['0.00100000', '0.00270000', '0.00068150', '0.00120000']"
119,['0.00480000']
120,"['0.00126967', '0.00200000', '0.00025639', '0.00100000', '0.00008000', '0.00100000', '0.00006000', '0.00091371', '0.00080000', '0.00100000', '0.00090000']"
121,"['0.00228044', '0.00100000', '0.00163049', '0.00010000']"
122,['0.00592000']
123,"['0.00454585', '0.00230609', '0.00167010']"
124,"['0.00100000', '0.00253748', '0.00090000', '0.00360000']"
125,"['0.00200000', '0.00464370', '0.01032893']"
126,"['0.00289252', '0.00695103', '0.00444318', '0.00800000']"
127,['0.00480000']
128,['0.00279529']
129,['0.01380250']
130,"['0.01578946', '0.00426645']"
131,['3.97314549']
132,['3.96703791']
133,['1.98474654']
134,['0.96858967']
135,"['0.00300000', '0.01490000']"
136,['3.96069245']
137,['0.00727062']
138,['0.00226500']
139,['0.00490000']
140,"['0.00300000', '0.00789368', '0.00049540', '0.00900000']"
141,['0.00300000']
142,['0.00500000']
143,['0.00110000']
144,['0.00299430']
145,"['0.00070000', '0.00200000', '0.00144579', '0.00055955', '0.00099291', '0.00088247', '0.00100000', '0.00069882', '0.00100000']"
146,['0.00500000']
147,['0.01000000']
148,['0.00880000']
149,"['0.00526540', '0.00833049']"
150,"['0.00169500', '0.00329299', '0.00196007', '0.00213902', '0.00064546']"
151,"['0.00179438', '0.00500000', '0.00263338', '0.00290000', '0.03500000', '0.00378770', '0.00290000', '0.00500000']"
152,['0.96583392']
153,"['0.00280000', '0.00304160', '0.00180000', '0.00040000', '0.01394267', '0.00090000', '0.01057469', '0.00600000', '0.00090000', '0.00969612']"
154,"['0.00980000', '0.01027944']"
155,['0.00500000']
156,['4.94823581']
157,['1.97374238']
158,['0.01130187']
159,"['0.00600000', '0.00963986', '0.04000000', '0.00900000', '0.00300000', '0.00500000', '0.00737990', '0.02000000']"
160,"['0.01009501', '0.01680000', '0.01990000', '0.01000000', '0.00500000', '0.00860000', '0.01000000', '0.00084400', '0.01000000', '0.00880000']"
161,['1.97017028']
162,['0.07024500']
163,['1.87016523']
164,['2.99560946']
165,['0.01045263']
166,['2.99060188']
167,['0.96381112']
168,['0.05000000']
169,['0.02471042']
170,"['0.03300000', '0.01000000']"
171,"['0.00021000', '0.00100000', '0.00017000']"
172,['0.06000000']
173,['0.01000000']
174,['0.05900000']
175,['2.98990395']
176,['0.01500000']
177,"['0.00544768', '0.00800000']"
178,['0.05399382']
179,['2.97969658']
180,['0.01000000']
181,['0.06000000']
182,['4.82723091']
183,"['0.01000000', '0.00038000']"
184,['0.96080592']
185,['0.05000000']
186,['0.01000000']
187,['4.81638587']
188,['0.05000000']
189,['0.04966782']
190,['0.04972132']
191,['0.01000000']
192,['0.02370747']
193,"['0.94966971', '0.00980000']"
194,['0.03850252']
195,['0.00963347']
196,"['0.00479373', '0.06000000']"
197,['0.01000000']
198,['0.09990000']
199,['0.03296323']
200,['0.00900000']
201,['0.01000000']
202,['0.00898229']
203,"['0.01000000', '0.02959206']"
204,['1.86615908']
205,"['0.01090000', '0.00044827', '0.00180000']"
206,"['0.00028000', '0.00318000', '0.00179344', '0.00090000', '0.00006080', '0.00100000', '0.00010000', '0.01000000', '0.00014000', '0.00090000', '0.00050000', '0.00010000']"
207,"['0.00900000', '0.00040000', '0.00293953', '0.00170000']"
208,['0.05000000']
209,['0.01187257']
210,['0.00099000']
211,"['0.00180000', '0.00695187', '0.00077889', '0.00400000', '0.00229076', '0.00250000']"
212,"['0.00700000', '0.00549616', '0.00200000', '0.00390000', '0.00925635', '0.00290000', '0.00090000', '0.06523820', '0.00229870', '0.00097600', '0.00005460']"
213,['0.04922710']
214,['1.86513514']
215,"['0.00039116', '0.00500000', '0.00800000', '0.00787068', '0.00019558', '0.00005460', '0.00990000', '0.02400000', '0.00852230', '0.01109159']"
216,['0.04598365']
217,"['0.00390000', '0.01000000', '0.01393563', '0.00873620', '0.00500000', '0.01000000', '0.01944692', '0.02900000']"
218,['0.03597840']
219,['0.94843052']
220,['3.95068611']
221,"['0.00969500', '0.01086360', '0.00193800', '0.02799229', '0.01030000', '0.00588597', '0.04765656', '0.01000000']"
222,['0.04331488']
223,['0.09980000']
224,"['0.01157834', '0.03000000']"
225,"['0.03999617', '0.01000000', '0.02000000', '0.00936785', '0.00010000', '0.01570000', '0.01000000', '0.00500000', '0.00790000', '0.00100000', '0.00096700', '0.01000000', '0.01000000', '0.01000000']"
226,['3.95047497']
227,['0.94822644']
228,['0.03000000']
229,['0.01940000']
230,['4.80523322']
231,['0.01940000']
232,['0.02700000']
233,"['0.00050000', '0.01749308', '0.00114700', '0.00161670', '0.00006184', '0.01804367', '0.02669456', '0.00013629', '0.00637176', '0.00010000', '0.00070000', '0.01950000', '0.00010000', '0.00001000', '0.00050000', '0.01689558', '0.00020000']"
234,['0.03000000']
235,['0.03647673']
236,['0.09859081']
237,['0.05872495']
238,['0.00458607']
239,['0.00100000']
240,['0.01950000']
241,"['0.00078946', '0.00222825', '0.00010000', '0.00100000']"
242,"['0.00255573', '0.01000000', '0.00050000', '0.01000000', '0.00127802', '0.00072800', '0.00170883', '0.00400836']"
243,['0.05851228']
244,"['0.01200000', '0.00050000', '0.00980000', '0.00110000', '0.00010000', '0.00020000', '0.01942388', '0.01000000', '0.00020000', '0.03581971', '0.01068393', '0.00020000']"
245,['1.00000000']
246,"['4.80502668', '0.02399046']"
247,['0.05500612']
248,"['0.98949316', '0.07000000']"
249,['0.93822261']
250,['0.20000000']
251,"['0.03449280', '0.00100000', '0.01000000', '0.01500000', '0.02000000', '0.00989938', '0.02310000', '0.00196900', '0.00980000', '0.05450211', '0.00100000', '0.01930000']"
252,['0.09954605']
253,['3.82547085']
254,"['0.05000000', '2.97933244']"
255,['1.00000000']
256,['0.04653932']
257,"['0.01930000', '0.05500000']"
258,['0.05938365']
259,['0.02337303']
260,['0.19189591']
261,['0.02306513']
262,['0.00100000']
263,['0.19169192']
264,['0.04633200']
265,"['0.00090000', '0.00090000', '0.00070000', '0.00290000', '0.00006448', '0.00300000', '0.00500000', '0.00079279']"
266,['0.20000000']
267,['0.01000000']
268,['0.79999482']
269,"['0.00010000', '0.00001000', '0.00010000']"
270,['0.04582873']
271,"['0.00006000', '0.00909414', '0.00005460', '0.00040856', '0.00011752', '0.00040000', '0.00390625']"
272,['0.19018809']
273,['0.10000000']
274,['1.00000000']
275,['2.92932451']
276,['0.10000000']
277,['0.09758731']
278,['0.02266141']
279,['0.00510000']
280,['0.01900000']
281,['0.09979119']
282,"['0.00001500', '0.00060110', '0.00500000', '0.00080000', '0.00080000', '0.00060000']"
283,['2.92831756']
284,['0.00393405']
285,['0.01000000']
286,['0.04000000']
287,"['0.00005460', '0.00083132', '0.01199664', '0.00700000', '0.00700000', '0.00392156', '0.00409418', '0.00392695', '0.00040000', '0.00010000', '0.00262691', '0.01000000']"
288,['2.92751340']
289,['4.72880918']
290,['0.03879308']
