id,input_amounts
0,['0.00794500']
1,['0.00331400']
2,['0.00500000']
3,['0.00483000']
4,['3.00000000']
5,['4.00000000']
6,['0.00331400']
7,"['0.00164529', '0.00329000']"
8,['0.00329000']
9,"['0.00014860', '3.99678910']"
10,['0.00288885']
11,['0.01010000']
12,['0.00273368']
13,['0.00477247']
14,['0.00329400']
15,"['0.00329600', '0.00940000']"
16,['0.00103200']
17,['0.01000000']
18,['1.00000000']
19,['0.00390000']
20,['0.00100000']
21,['0.00227204']
22,"['5.00000000', '0.00108940']"
23,"['0.00010000', '0.00056976', '0.00271687']"
24,['0.00980000']
25,['0.00862500']
26,['0.00314770']
27,"['0.00010863', '0.00329400']"
28,"['0.00090000', '0.00112498', '0.00100000']"
29,['0.00692843']
30,"['0.00109000', '0.00226280']"
31,['0.01570000']
32,['0.02500000']
33,"['0.00397498', '0.00329400']"
34,['0.00527022']
35,['0.00698883']
36,['0.01000000']
37,['2.00000000']
38,['2.99667372']
39,['0.00388960']
40,"['0.00050000', '0.00066424', '0.00193207', '0.00014860']"
41,['2.99334334']
42,['0.01000000']
43,['0.01300000']
44,['0.00801140']
45,['3.99039851']
46,['2.99001759']
47,['0.01235865']
48,['0.99327435']
49,"['0.01569000', '0.00034660']"
50,"['0.00300000', '0.00977587']"
51,['4.99892841']
52,['4.99224374']
53,"['4.98891377', '0.00100000']"
54,['4.98657234']
55,"['0.01280407', '0.00076900']"
56,['0.03535793']
57,"['0.00942685', '0.00295273']"
58,"['0.00317337', '3.98934197']"
59,['0.00553006']
60,['0.00904677']
61,"['0.00300000', '0.00260585']"
62,['0.01024274']
63,['0.00699451']
64,['0.00690932']
65,['0.00571374']
66,"['0.00011000', '0.99306711']"
67,"['4.98324275', '0.00357371']"
68,"['0.03235380', '0.00000200']"
69,['0.01148517']
70,"['0.00055935', '0.00361157']"
71,"['0.00815665', '0.00227202']"
72,['4.98347520']
73,['0.98984664']
74,['0.02902472']
75,['0.02569395']
76,['0.00668308']
77,['1.99666692']
78,['0.00720814']
79,['0.98663709']
80,['0.98330295']
81,['4.98146492']
82,['0.00386043']
83,['3.98918311']
84,['4.97213266']
85,['4.96879841']
86,['3.98584800']
87,['0.00910000']
88,['0.01714000']
89,"['0.00737435', '0.00020000']"
90,['2.98981234']
91,"['0.01448214', '0.00052270']"
92,['4.96579096']
93,['2.98648141']
94,['0.00366156']
95,"['0.00100000', '0.00329400']"
96,['1.99333338']
97,['0.00238372']
98,"['0.00100000', '0.00165385', '0.00328474', '0.00136580', '0.00228717', '0.00116527', '0.00423329', '0.00006080']"
99,['0.02169103']
100,['0.01780000']
101,"['0.01579265', '0.00480000']"
102,['0.01490000']
103,['0.00480000']
104,['0.01967963']
105,"['0.00100000', '0.01600662']"
106,['2.97647791']
107,['0.00300000']
108,['0.00790000']
109,"['0.00500000', '0.00500000']"
110,['0.00800000']
111,"['0.00252563', '0.00100000']"
112,"['0.00100000', '0.00100000', '0.00088990', '0.00116387', '0.00010000']"
113,"['0.00107722', '0.01399711']"
114,"['0.00087643', '0.00080000', '0.00270000', '0.00100000']"
115,['0.00179516']
116,['0.01867215']
117,['0.00454585']
118,['0.00689630']
