Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19425772,33.0400000000,32,267,434,233,0,199,bnb: **34** ; Total: **34**,0.00052270,4.99892841,0.868072976231,1.57402980863,0.00460195,0.0000197508583691,0.000217600000,0.004819550000,1,14,1.86266094421,2.22215058754,srdltd: **199** ; bnb: **34**
bustabit-tiny-hot-wallet_peak-and-tail,23.92700324,40.7350000000,41,594,887,406,0,334,bnb: **72** ; Total: **72**,0.00052270,4.99892841,0.788615446766,1.45769112347,0.00832093,0.0000204949014778,0.000278800000,0.008599730000,1,14,2.18472906404,2.81141646132,srdltd: **334** ; bnb: **72**
bustabit-tiny-hot-wallet_peak-and-tail,27.28282989,46.6766666667,97,961,1297,539,0,433,bnb: **106** ; Total: **106**,0.00052270,8.71999468,0.744764694503,1.47668459703,0.01177511,0.0000218462152134,0.000659600000,0.012434710000,1,16,2.40630797774,3.19153694806,srdltd: **433** ; bnb: **106**
bustabit-tiny-hot-wallet_peak-and-tail,19.66728780,59.5805000000,63,1316,1783,684,0,530,bnb: **154** ; Total: **154**,0.00052270,9.97950989,0.662925873377,1.42104907718,0.01453635,0.0000212519736842,0.000428400000,0.014964750000,1,19,2.60672514620,3.36444440955,srdltd: **530** ; bnb: **154**
bustabit-tiny-hot-wallet_peak-and-tail,26.29707452,64.1212000000,95,1682,2213,818,0,626,bnb: **192** ; Total: **192**,0.00052270,9.97950989,0.624982362875,1.41315199431,0.01728651,0.0000211326528117,0.000646000000,0.017932510000,1,20,2.70537897311,3.49050054322,srdltd: **626** ; bnb: **192**
bustabit-tiny-hot-wallet_peak-and-tail,18.38103149,64.7026666667,36,2008,2731,992,0,759,bnb: **233** ; Total: **233**,0.00052270,9.97950989,0.622227589302,1.40105149748,0.02177598,0.0000219515927419,0.000244800000,0.022020780000,1,20,2.75302419355,3.55531337666,srdltd: **759** ; bnb: **233**
bustabit-tiny-hot-wallet_peak-and-tail,26.40452510,65.3937142857,84,2415,3152,1085,0,821,bnb: **264** ; Total: **264**,0.00052270,9.97950989,0.626279536041,1.37957278322,0.02386544,0.0000219957972350,0.000571200000,0.024436640000,1,20,2.90506912442,3.75018106818,srdltd: **821** ; bnb: **264**
bustabit-tiny-hot-wallet_peak-and-tail,23.47234099,67.1625000000,82,2818,3615,1182,0,879,bnb: **303** ; Total: **303**,0.00052270,9.97950989,0.605844209966,1.33835720374,0.02664488,0.0000225421996616,0.000557600000,0.027202480000,1,22,3.05837563452,3.92768804078,srdltd: **879** ; bnb: **303**
bustabit-tiny-hot-wallet_peak-and-tail,15.35580899,68.8333333333,27,3213,4139,1287,0,953,bnb: **334** ; Total: **334**,0.00052270,9.97950989,0.587009719171,1.29329443404,0.03035495,0.0000235858197358,0.000183600000,0.030538550000,1,28,3.21600621601,4.21579182100,srdltd: **953** ; bnb: **334**
bustabit-tiny-hot-wallet_peak-and-tail,15.77989774,67.5204000000,45,3571,4591,1429,0,1065,bnb: **364** ; Total: **364**,0.00052270,9.97950989,0.588864819953,1.26139399312,0.03313877,0.0000231901819454,0.000306000000,0.033444770000,1,28,3.21273617915,4.22820065908,srdltd: **1065** ; bnb: **364**
bustabit-tiny-hot-wallet_peak-and-tail,22.01701789,64.9069090909,58,3938,5050,1562,0,1170,bnb: **392** ; Total: **392**,0.00052270,9.98629248,0.623426924222,1.32476281141,0.03594982,0.0000230152496799,0.000394400000,0.036344220000,1,28,3.23303457106,4.30865340689,srdltd: **1170** ; bnb: **392**
bustabit-tiny-hot-wallet_peak-and-tail,20.44441813,63.1950000000,37,4278,5538,1722,0,1297,bnb: **425** ; Total: **425**,0.00052270,9.98629248,0.631909915574,1.31559726735,0.03924551,0.0000227906562137,0.000251600000,0.039497110000,1,28,3.21602787456,4.27576699547,srdltd: **1297** ; bnb: **425**
bustabit-tiny-hot-wallet_peak-and-tail,20.92303212,62.5836923077,58,4650,5990,1850,0,1398,bnb: **452** ; Total: **452**,0.00052270,9.98629248,0.621923210544,1.27120611165,0.04197246,0.0000226878162162,0.000394400000,0.042366860000,1,28,3.23783783784,4.33590611704,srdltd: **1398** ; bnb: **452**
bustabit-tiny-hot-wallet_peak-and-tail,27.28411572,61.8998571429,85,4990,6432,2010,0,1527,bnb: **483** ; Total: **483**,0.00052270,9.98629248,0.616882031834,1.22567691515,0.04556197,0.0000226676467662,0.000578000000,0.046139970000,1,28,3.20000000000,4.31486024280,srdltd: **1527** ; bnb: **483**
bustabit-tiny-hot-wallet_peak-and-tail,16.99907320,60.8462666667,38,5335,6948,2165,0,1651,bnb: **514** ; Total: **514**,0.00052270,9.98629248,0.612422098395,1.20579412556,0.04835958,0.0000223369884527,0.000258400000,0.048617980000,1,28,3.20923787529,4.35466771274,srdltd: **1651** ; bnb: **514**
bustabit-tiny-hot-wallet_peak-and-tail,12.91931578,59.2436250000,47,5654,7414,2346,0,1807,bnb: **539** ; Total: **539**,0.00052270,9.98629248,0.639422666724,1.23444523837,0.05185198,0.0000221022932651,0.000319600000,0.052171580000,1,28,3.16027280477,4.32899370932,srdltd: **1807** ; bnb: **539**
bustabit-tiny-hot-wallet_peak-and-tail,26.62586530,58.2307058824,57,5963,7875,2537,0,1969,bnb: **568** ; Total: **568**,0.00052270,9.98629248,0.652801571168,1.23012090284,0.05614581,0.0000221307883327,0.000387600000,0.056533410000,1,28,3.10405991328,4.27848259566,srdltd: **1969** ; bnb: **568**
bustabit-tiny-hot-wallet_peak-and-tail,15.61246830,58.1697777778,54,6278,8344,2722,0,2120,bnb: **602** ; Total: **602**,0.00050537,9.98629248,0.637163160533,1.19699721132,0.05968760,0.0000219278471712,0.000367200000,0.060054800000,1,28,3.06539309331,4.23311701792,srdltd: **2120** ; bnb: **602**
bustabit-tiny-hot-wallet_peak-and-tail,19.58145175,57.6418947368,50,6573,8818,2927,0,2295,bnb: **632** ; Total: **632**,0.00050537,9.98629248,0.624199484022,1.15909926741,0.06347390,0.0000216856508370,0.000340000000,0.063813900000,1,28,3.01264092928,4.17338392499,srdltd: **2295** ; bnb: **632**
bustabit-tiny-hot-wallet_peak-and-tail,13.43272873,57.4604000000,46,6892,9290,3108,0,2444,bnb: **664** ; Total: **664**,0.00050537,9.98629248,0.619271345773,1.13482535247,0.06715349,0.0000216066570142,0.000312800000,0.067466290000,1,28,2.98906048906,4.14710310114,srdltd: **2444** ; bnb: **664**
bustabit-tiny-hot-wallet_peak-and-tail,13.07332900,56.1700952381,51,7193,9768,3307,0,2626,bnb: **681** ; Total: **681**,0.00050537,10.29966640,0.684649891405,1.32458991470,0.07053887,0.0000213301693378,0.000346800000,0.070885670000,1,28,2.95373450257,4.11465742690,srdltd: **2626** ; bnb: **681**
bustabit-tiny-hot-wallet_peak-and-tail,12.20958608,55.4040000000,50,7533,10237,3467,0,2754,bnb: **713** ; Total: **713**,0.00050537,10.29966640,0.682403670269,1.31140381695,0.07443878,0.0000214706605134,0.000340000000,0.074778780000,1,28,2.95269685607,4.10466928623,srdltd: **2754** ; bnb: **713**
bustabit-tiny-hot-wallet_peak-and-tail,27.27534125,55.4077391304,75,7877,10679,3623,0,2877,bnb: **746** ; Total: **746**,0.00050537,10.29966640,0.683226283834,1.30651113681,0.07742068,0.0000213692188794,0.000510000000,0.077930680000,1,28,2.94755727298,4.08705772271,srdltd: **2877** ; bnb: **746**
bustabit-tiny-hot-wallet_peak-and-tail,15.43303460,55.2511666667,29,8204,11190,3796,0,3015,bnb: **781** ; Total: **781**,0.00050537,10.29966640,0.678851340259,1.28918849121,0.08041899,0.0000211851923077,0.000197200000,0.080616190000,1,28,2.94783983140,4.08014803416,srdltd: **3015** ; bnb: **781**
bustabit-tiny-hot-wallet_peak-and-tail,24.52849576,55.4426400000,60,8541,11627,3959,0,3146,bnb: **813** ; Total: **813**,0.00050537,10.29966640,0.679755744603,1.28248442821,0.08443007,0.0000213261101288,0.000408000000,0.084838070000,1,28,2.93685274059,4.06305198171,srdltd: **3146** ; bnb: **813**
