id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,srdltd,1,0,2,0.99682747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srdltd,1,0,2,0.01552370,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srdltd,1,0,2,0.99347276,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,srdltd,1,0,2,0.00377924,22,22,4548
4,0.00329000,0.00005351,0.00025725,0.000257259615385,srdltd,2,0,2,0.00324049,22,21,3618
5,0.00319400,0.00001690,0.00011981,0.000119858156028,srdltd,1,0,2,3.99678910,21,21,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srdltd,1,0,2,0.00286885,21,21,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,srdltd,1,0,2,0.00235068,21,21,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srdltd,1,0,2,0.00226880,21,21,1910
9,0.00650000,0.00003449,0.00018838,0.000194858757062,bnb,2,0,1,,22,20,1297
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srdltd,1,0,2,0.00271368,20,20,1066
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,srdltd,1,0,2,0.99036159,27,27,785
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srdltd,1,0,2,0.00470217,28,28,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srdltd,1,0,2,0.98920069,28,28,2030
14,0.00010200,0.00001863,0.00013210,0.000132127659574,srdltd,1,0,2,2.99987937,28,28,1309
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srdltd,1,0,2,0.02095187,34,34,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,34,33,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srdltd,1,0,2,0.01788030,35,35,5026
18,0.00665800,0.00009979,0.00047972,0.000479759615385,srdltd,2,0,2,4.99551101,35,34,7334
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srdltd,1,0,2,0.00821687,34,34,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,34,33,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srdltd,1,0,2,0.00891736,33,33,5803
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srdltd,1,0,2,0.00115091,33,33,3237
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srdltd,1,0,2,0.00134330,33,33,2309
24,0.00424600,0.00003324,0.00016975,0.000187796610169,bnb,2,0,1,,33,31,1251
25,0.00333000,0.00003655,0.00017571,0.000175721153846,srdltd,2,0,2,3.99357115,31,30,2255
26,0.00200000,0.00004860,0.00016108,0.000198367346939,bnb,3,0,1,,30,27,2143
27,0.00337500,0.00002763,0.00010801,0.000156101694915,bnb,2,0,1,,27,25,949
28,0.00300000,0.00001400,0.00009927,0.0000992907801418,srdltd,1,0,2,0.00678600,25,25,984
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,srdltd,1,0,2,0.98624724,25,25,524
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srdltd,1,0,2,0.98290573,26,26,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srdltd,1,0,2,1.99665865,26,26,1149
32,0.00330000,0.00001400,0.00006361,0.000127272727273,bnb,1,0,1,,26,25,452
33,0.00336300,0.00002044,0.00007874,0.0000834285714286,bnb,3,0,1,,25,22,-327
34,0.00333400,0.00000415,0.00002942,0.0000294326241135,srdltd,1,0,2,0.01236185,25,25,293
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,srdltd,1,0,2,2.99957362,25,25,404
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,srdltd,1,0,2,4.99250552,25,25,316
37,0.00332900,0.00000602,0.00002890,0.0000289423076923,srdltd,2,0,2,0.00100828,26,25,-196
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,srdltd,1,0,2,0.00666962,25,25,238
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,srdltd,1,0,2,0.00333937,25,25,229
40,0.00322700,0.00001391,0.00003845,0.0000567755102041,bnb,3,0,1,,25,22,-811
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,srdltd,1,0,2,4.98917977,22,22,405
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,srdltd,1,0,2,0.00622827,23,23,320
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,srdltd,1,0,2,0.00677587,23,23,290
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,srdltd,1,0,2,0.01046503,25,25,258
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,srdltd,1,0,2,0.00228283,26,26,456
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,srdltd,1,0,2,0.00214543,26,26,365
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,srdltd,1,0,2,3.99269767,26,26,312
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,srdltd,1,0,2,0.00193819,27,27,224
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,srdltd,1,0,2,0.00568693,27,27,308
50,0.00334300,0.00000408,0.00002891,0.0000289361702128,srdltd,1,0,2,0.01453322,27,27,283
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,srdltd,1,0,2,0.97622106,27,27,325
52,0.00332500,0.00000497,0.00003523,0.0000352482269504,srdltd,1,0,2,0.00967003,27,27,238
53,0.00332500,0.00003879,0.00007896,0.000101811023622,bnb,5,0,1,,27,22,147
54,0.00332500,0.00000459,0.00003255,0.0000325531914894,srdltd,1,0,2,0.03202834,22,22,323
55,0.00332500,0.00000362,0.00002561,0.0000256737588652,srdltd,1,0,2,0.00345738,22,22,255
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,srdltd,1,0,2,0.00268280,22,22,291
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,srdltd,1,0,2,0.00344493,22,22,277
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,srdltd,1,0,2,1.99332875,22,22,345
59,0.00300000,0.00000653,0.00003138,0.0000313942307692,srdltd,2,0,2,2.99988109,22,21,-266
60,0.00332700,0.00000889,0.00004272,0.0000427403846154,srdltd,2,0,2,0.00280429,21,20,-77
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,srdltd,1,0,2,0.01120159,20,20,326
62,0.00332800,0.00000542,0.00003837,0.0000384397163121,srdltd,1,0,2,2.99654767,20,20,380
63,0.00332900,0.00000395,0.00002798,0.0000280141843972,srdltd,1,0,2,2.99321472,20,20,278
64,0.00333000,0.00000561,0.00003974,0.0000397872340426,srdltd,1,0,2,3.98936206,20,20,395
65,0.00332500,0.00000502,0.00003559,0.0000356028368794,srdltd,1,0,2,0.00289825,20,20,354
66,0.00332500,0.00000371,0.00002628,0.0000263120567376,srdltd,1,0,2,0.97289235,20,20,261
67,0.00333500,0.00000424,0.00003005,0.0000300709219858,srdltd,1,0,2,0.00712579,20,20,-181
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,srdltd,1,0,2,0.00903273,20,20,-189
69,0.00332500,0.00000352,0.00002495,0.0000249645390071,srdltd,1,0,2,3.98603354,20,20,-231
70,0.00300000,0.00000383,0.00002712,0.0000271631205674,srdltd,1,0,2,2.99021089,20,20,-209
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,srdltd,1,0,2,0.00068221,20,20,-72
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,srdltd,1,0,2,2.98820061,21,21,243
73,0.00320000,0.00000955,0.00006768,0.0000677304964539,srdltd,1,0,2,3.98282399,21,21,206
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,srdltd,1,0,2,2.98486984,21,21,-73
75,0.00330000,0.00000651,0.00003128,0.0000312980769231,srdltd,2,0,2,0.00610211,21,20,-636
76,0.00339300,0.00000534,0.00003786,0.0000378723404255,srdltd,1,0,2,1.98993041,20,20,-89
77,0.00332700,0.00000654,0.00004632,0.0000463829787234,srdltd,1,0,2,0.00633649,20,20,-6
78,0.00334100,0.00000671,0.00004752,0.0000475886524823,srdltd,1,0,2,4.98583206,20,20,7
79,0.00332700,0.00000714,0.00005059,0.0000506382978723,srdltd,1,0,2,1.98659627,20,20,37
80,0.00332900,0.00000544,0.00003857,0.0000385815602837,srdltd,1,0,2,4.98249762,21,21,-74
81,0.00932800,0.00000849,0.00003020,0.0000479661016949,bnb,2,0,1,,21,19,-638
82,0.00333000,0.00000773,0.00005482,0.0000548226950355,srdltd,1,0,2,1.98325854,20,20,101
83,0.00332500,0.00001011,0.00007168,0.0000717021276596,srdltd,1,0,2,1.97992343,20,20,279
84,0.00332500,0.00000925,0.00006554,0.0000656028368794,srdltd,1,0,2,0.00666575,20,20,231
85,0.00300000,0.00000745,0.00005282,0.0000528368794326,srdltd,1,0,2,0.00309466,20,20,105
86,0.02047700,0.00000573,0.00004059,0.0000406382978723,srdltd,1,0,2,1.95944070,20,20,-16
87,0.00172200,0.00000365,0.00002583,0.0000258865248227,srdltd,1,0,2,0.01541435,20,20,-162
88,0.00265000,0.00000786,0.00005570,0.0000557446808511,srdltd,1,0,2,0.00400789,21,21,133
89,0.00333000,0.00000750,0.00005315,0.0000531914893617,srdltd,1,0,2,0.01207685,21,21,108
90,0.00332500,0.00000875,0.00004202,0.0000420673076923,srdltd,2,0,2,0.00320584,21,20,-396
91,0.01500000,0.00000535,0.00002572,0.0000257211538462,srdltd,2,0,2,0.00617150,21,20,-735
92,0.00100000,0.00000323,0.00002289,0.0000229078014184,srdltd,1,0,2,0.00802950,20,20,-258
93,0.01000000,0.00000516,0.00002479,0.0000248076923077,srdltd,2,0,2,0.00203223,20,19,-750
94,0.00200000,0.00000771,0.00005464,0.0000546808510638,srdltd,1,0,2,0.00416379,22,22,57
95,0.00200000,0.00000828,0.00003280,0.0000467796610169,bnb,2,0,1,,22,20,-670
96,0.00200000,0.00001054,0.00007472,0.0000747517730496,srdltd,1,0,2,3.98081345,23,23,262
97,0.00100000,0.00001792,0.00012707,0.000127092198582,srdltd,1,0,2,0.00188033,23,23,780
98,0.01500000,0.00004022,0.00008674,0.0000897767857143,bnb,6,0,1,,26,20,-423
99,0.00200000,0.00001140,0.00008082,0.0000808510638298,srdltd,1,0,2,0.97088095,20,20,336
100,0.00200000,0.00000735,0.00005212,0.0000521276595745,srdltd,1,0,2,0.00919424,20,20,52
101,0.00457300,0.00000884,0.00006264,0.0000626950354610,srdltd,1,0,2,1.95485886,20,20,164
102,0.00200000,0.00000420,0.00002977,0.0000297872340426,srdltd,1,0,2,3.97880925,30,30,-107
103,0.00300000,0.00000484,0.00003429,0.0000343262411348,srdltd,1,0,2,0.01189516,32,32,-62
104,0.00100000,0.00000748,0.00005302,0.0000530496453901,srdltd,1,0,2,3.97780177,36,36,107
105,0.00300000,0.00000951,0.00004568,0.0000457211538462,srdltd,2,0,2,0.00099049,36,35,-335
106,0.00152800,0.00000882,0.00006253,0.0000625531914894,srdltd,1,0,2,0.00326318,36,36,217
107,0.00210000,0.00001010,0.00007160,0.0000721428571429,srdltd,1,0,2,0.00109574,40,40,306
108,0.00100000,0.00000370,0.00002624,0.0000262411347518,srdltd,1,0,2,2.98386614,43,43,-130
109,0.00492000,0.00001567,0.00004079,0.0000411286089239,bnb,5,0,1,,45,40,-2005
110,0.00110000,0.00000558,0.00003952,0.0000395744680851,srdltd,1,0,2,0.00333760,42,42,-10
111,0.00050000,0.00000499,0.00003536,0.0000353900709220,srdltd,1,0,2,0.00149501,43,43,-53
112,0.00413200,0.00000802,0.00005686,0.0000568794326241,srdltd,1,0,2,1.95071884,45,45,160
113,0.00310000,0.00000790,0.00005597,0.0000560283687943,srdltd,1,0,2,0.03189210,45,45,151
114,0.00536100,0.00001972,0.00004908,0.0000517585301837,bnb,5,0,1,,48,43,-1635
115,0.00100000,0.00002109,0.00010135,0.000101394230769,srdltd,2,0,2,0.00297891,43,42,537
116,0.00370900,0.00000657,0.00004653,0.0000465957446809,srdltd,1,0,2,0.96716538,43,43,71
117,0.00013000,0.00001376,0.00009757,0.0000975886524823,srdltd,1,0,2,0.00775624,44,44,489
118,0.00556800,0.00000716,0.00003438,0.0000344230769231,srdltd,2,0,2,0.00054161,44,43,-583
119,0.00300000,0.00001753,0.00003981,0.0000460104986877,bnb,5,0,1,,54,49,-1815
120,0.00924800,0.00002658,0.00003883,0.0000407668711656,bnb,9,0,1,,51,42,-3626
121,0.00500000,0.00000486,0.00003440,0.0000344680851064,srdltd,1,0,2,0.00299514,45,45,-63
122,0.00337500,0.00000752,0.00005332,0.0000533333333333,srdltd,1,0,2,0.02850958,46,46,125
123,0.00850000,0.00002261,0.00008736,0.0000922857142857,bnb,3,0,1,,46,43,-146
124,0.00800000,0.00002774,0.00010512,0.000113224489796,bnb,3,0,1,,44,41,292
125,0.01000000,0.00002000,0.00007824,0.0000816326530612,bnb,3,0,1,,41,38,-369
126,0.01500500,0.00000672,0.00003228,0.0000323076923077,srdltd,2,0,2,4.97118590,38,37,-617
127,0.00200000,0.00000471,0.00003336,0.0000334042553191,srdltd,1,0,2,0.00089529,37,37,-147
128,0.00134400,0.00000550,0.00003894,0.0000390070921986,srdltd,1,0,2,3.97645227,37,37,-79
129,0.00321900,0.00000881,0.00006243,0.0000624822695035,srdltd,1,0,2,0.02528177,38,38,154
130,0.00610000,0.00000898,0.00006365,0.0000636879432624,srdltd,1,0,2,0.00498261,38,38,166
131,0.00610000,0.00000758,0.00005371,0.0000537588652482,srdltd,1,0,2,0.96105780,38,38,77
132,0.00634000,0.00000546,0.00003869,0.0000387234042553,srdltd,1,0,2,0.00284878,38,38,-72
133,0.01100000,0.00000813,0.00002945,0.0000294565217391,srdltd,3,0,2,0.95549081,43,41,-1121
134,0.00275200,0.00000375,0.00002653,0.0000265957446809,srdltd,1,0,2,0.00224425,41,41,-192
135,0.01000000,0.00001376,0.00003034,0.0000307142857143,bnb,6,0,1,,45,39,-2832
136,0.01000000,0.00001378,0.00004493,0.0000562448979592,bnb,3,0,1,,39,36,-851
137,0.00200000,0.00000522,0.00003700,0.0000370212765957,srdltd,1,0,2,0.02327655,38,38,-110
138,0.00170000,0.00000545,0.00003860,0.0000386524822695,srdltd,1,0,2,0.00309455,38,38,-82
139,0.00160000,0.00000701,0.00004970,0.0000497163120567,srdltd,1,0,2,0.00139299,38,38,28
140,0.01299400,0.00000918,0.00004410,0.0000441346153846,srdltd,2,0,2,4.96698272,41,40,-408
141,0.00200000,0.00001045,0.00005024,0.0000502403846154,srdltd,2,0,2,0.00288955,40,39,-305
142,0.00200000,0.00000570,0.00004039,0.0000404255319149,srdltd,1,0,2,0.95348511,41,41,-64
143,0.00044600,0.00000854,0.00006056,0.0000605673758865,srdltd,1,0,2,3.97599773,45,45,135
144,0.00210000,0.00001183,0.00008384,0.0000839007092199,srdltd,1,0,2,0.00098272,47,47,366
145,0.00925000,0.00002466,0.00004511,0.0000477906976744,bnb,7,0,1,,47,40,-2484
146,0.00303500,0.00000493,0.00003491,0.0000349645390071,srdltd,1,0,2,0.01476007,40,40,-109
147,0.00166400,0.00000551,0.00003901,0.0000390780141844,srdltd,1,0,2,0.02160704,40,40,-69
148,0.00575300,0.00000540,0.00003829,0.0000382978723404,srdltd,1,0,2,0.00224160,41,41,-76
149,0.00980100,0.00000719,0.00003453,0.0000345673076923,srdltd,2,0,2,0.00417442,41,40,-567
150,0.00971900,0.00001215,0.00002813,0.0000318897637795,bnb,5,0,1,,41,36,-2304
151,0.05900000,0.00001684,0.00002542,0.0000258282208589,bnb,9,0,1,,43,34,-4543
152,0.00200000,0.00002280,0.00016170,0.000161702127660,srdltd,1,0,2,3.97397493,36,36,1138
153,0.05000000,0.00007087,0.00007372,0.0000767822318527,bnb,13,0,1,,36,23,-2063
154,0.00997000,0.00000978,0.00006934,0.0000693617021277,srdltd,1,0,2,0.02002022,23,23,223
155,0.00320000,0.00000656,0.00004649,0.0000465248226950,srdltd,1,0,2,0.01681366,27,27,-2
156,0.12100000,0.00002997,0.00003470,0.0000380813214740,bnb,11,0,1,,29,18,-4629
157,0.00356700,0.00000510,0.00003613,0.0000361702127660,srdltd,1,0,2,0.04642790,21,21,-105
158,0.00084400,0.00000524,0.00003713,0.0000371631205674,srdltd,1,0,2,0.01415076,21,21,-95
159,0.10000000,0.00000901,0.00003264,0.0000326449275362,srdltd,3,0,2,3.96599426,22,20,-1056
160,0.10000000,0.00000759,0.00005382,0.0000538297872340,srdltd,1,0,2,2.88385855,25,25,69
