id,input_amounts
0,['1.00000000']
1,['0.01569000']
2,['0.99682747']
3,['0.00794500']
4,"['0.00329400', '0.00329000']"
5,['4.00000000']
6,['0.00329400']
7,['0.00500000']
8,['0.00329600']
9,"['0.00324049', '0.00329400']"
10,['0.00286885']
11,['0.99347276']
12,['0.00483000']
13,['0.99036159']
14,['3.00000000']
15,['0.02500000']
16,['0.00103200']
17,['0.02095187']
18,"['0.00226880', '5.00000000']"
19,['0.00940000']
20,['0.00100000']
21,['0.01010000']
22,['0.00329000']
23,['0.00470217']
24,"['0.00050000', '0.00377924']"
25,"['3.99678910', '0.00014860']"
26,"['0.00014860', '0.00100000', '0.00090000']"
27,"['0.00329400', '0.00010863']"
28,['0.00980000']
29,['0.98920069']
30,['0.98624724']
31,['2.00000000']
32,['0.00331400']
33,"['0.00271368', '0.00056976', '0.00010000']"
34,['0.01570000']
35,['2.99987937']
36,['4.99551101']
37,"['0.00300000', '0.00134330']"
38,['0.01000000']
39,['0.00666962']
40,"['0.00100000', '0.00109000', '0.00115091']"
41,['4.99250552']
42,['0.00821687']
43,['0.01000000']
44,['0.01552370']
45,['0.00333937']
46,['0.00235068']
47,['3.99357115']
48,['0.00214543']
49,['0.00891736']
50,['0.01788030']
51,['0.98290573']
52,['0.01300000']
53,"['0.00076900', '0.00020000', '0.00034660', '0.00193819', '0.00011000']"
54,['0.03535793']
55,['0.00678600']
56,['0.00568693']
57,['0.00677587']
58,['1.99665865']
59,"['0.00331400', '2.99957362']"
60,"['0.00345738', '0.00268280']"
61,['0.01453322']
62,['2.99988109']
63,['2.99654767']
64,['3.99269767']
65,['0.00622827']
66,['0.97622106']
67,['0.01046503']
68,['0.01236185']
69,['3.98936206']
70,['2.99321472']
71,['0.00390000']
72,['2.99021089']
73,['3.98603354']
74,['2.98820061']
75,"['0.00712579', '0.00228283']"
76,['1.99332875']
77,['0.00967003']
78,['4.98917977']
79,['1.98993041']
80,['4.98583206']
81,"['0.00633649', '0.00300000']"
82,['1.98659627']
83,['1.98325854']
84,['0.01000000']
85,['0.00610211']
86,['1.97992343']
87,['0.01714000']
88,['0.00666575']
89,['0.01541435']
90,"['0.00309466', '0.00344493']"
91,"['0.01207685', '0.00910000']"
92,['0.00903273']
93,"['0.00400789', '0.00802950']"
94,['0.00617150']
95,"['0.00100000', '0.00100828']"
96,['3.98282399']
97,['0.00289825']
98,"['0.00116387', '0.00188033', '0.00203223', '0.00480000', '0.00100000', '0.00416379']"
99,['0.97289235']
100,['0.01120159']
101,['1.95944070']
102,['3.98081345']
103,['0.01490000']
104,['3.97880925']
105,"['0.00300000', '0.00100000']"
106,['0.00480000']
107,['0.00320584']
108,['2.98486984']
109,"['0.00006080', '0.00171142', '0.00107722', '0.00099049', '0.00109574']"
110,['0.00444318']
111,['0.00200000']
112,['1.95485886']
