Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19428526,35.6880000000,34,267,426,233,0,193,bnb: **40** ; Total: **40**,0.00054161,4.99551101,0.962009476995,1.54143778424,0.00457441,0.0000196326609442,0.000231200000,0.004805610000,1,13,1.82832618026,2.12450100349,srdltd: **193** ; bnb: **40**
bustabit-tiny-hot-wallet_peak-and-tail,23.92706644,41.1550000000,41,594,879,406,0,326,bnb: **80** ; Total: **80**,0.00054161,8.76989011,0.816828600583,1.45536263940,0.00825773,0.0000203392364532,0.000278800000,0.008536530000,1,16,2.16502463054,2.86052026251,srdltd: **326** ; bnb: **80**
bustabit-tiny-hot-wallet_peak-and-tail,27.28289698,46.7866666667,99,961,1289,539,0,427,bnb: **112** ; Total: **112**,0.00054161,8.76989011,0.729527628431,1.31793073951,0.01170802,0.0000217217439703,0.000673200000,0.012381220000,1,18,2.39146567718,3.23675474898,srdltd: **427** ; bnb: **112**
bustabit-tiny-hot-wallet_peak-and-tail,19.66733527,58.4705000000,51,1316,1789,684,0,524,bnb: **160** ; Total: **160**,0.00054161,9.95829307,0.719835174065,1.45988847668,0.01448888,0.0000211825730994,0.000346800000,0.014835680000,1,19,2.61549707602,3.43308246959,srdltd: **524** ; bnb: **160**
bustabit-tiny-hot-wallet_peak-and-tail,26.29709545,59.6784000000,67,1682,2237,818,0,622,bnb: **196** ; Total: **196**,0.00054161,9.95829307,0.680796284003,1.44139394411,0.01726558,0.0000211070660147,0.000455600000,0.017721180000,1,19,2.73471882641,3.60086926560,srdltd: **622** ; bnb: **196**
bustabit-tiny-hot-wallet_peak-and-tail,18.38109519,57.8123333333,38,2008,2730,992,0,760,bnb: **232** ; Total: **232**,0.00054161,9.95829307,0.672509855921,1.40520439599,0.02171228,0.0000218873790323,0.000258400000,0.021970680000,1,19,2.75201612903,3.60415109475,srdltd: **760** ; bnb: **232**
bustabit-tiny-hot-wallet_peak-and-tail,26.40456582,59.9940000000,93,2415,3145,1085,0,823,bnb: **262** ; Total: **262**,0.00054161,9.95829307,0.675843316598,1.39901478808,0.02382472,0.0000219582672811,0.000632400000,0.024457120000,1,20,2.89861751152,3.80580833119,srdltd: **823** ; bnb: **262**
bustabit-tiny-hot-wallet_peak-and-tail,23.47235789,64.1322500000,90,2818,3611,1182,0,883,bnb: **299** ; Total: **299**,0.00054161,9.95829307,0.652831765425,1.35690378078,0.02662798,0.0000225279018613,0.000612000000,0.027239980000,1,22,3.05499153976,3.97637237930,srdltd: **883** ; bnb: **299**
bustabit-tiny-hot-wallet_peak-and-tail,15.35585043,66.8037777778,34,3213,4136,1287,0,957,bnb: **330** ; Total: **330**,0.00054161,9.95829307,0.623413624117,1.31043526784,0.03031351,0.0000235536208236,0.000231200000,0.030544710000,1,28,3.21367521368,4.24834057039,srdltd: **957** ; bnb: **330**
bustabit-tiny-hot-wallet_peak-and-tail,15.77991807,65.8598000000,57,3571,4584,1429,0,1070,bnb: **359** ; Total: **359**,0.00054161,9.95829307,0.597205684047,1.24533854349,0.03311844,0.0000231759552134,0.000387600000,0.033506040000,1,28,3.20783764871,4.24719978754,srdltd: **1070** ; bnb: **359**
bustabit-tiny-hot-wallet_peak-and-tail,22.01696434,63.3289090909,55,3938,5058,1562,0,1175,bnb: **387** ; Total: **387**,0.00054161,9.95829307,0.618331208723,1.29493706469,0.03600337,0.0000230495326504,0.000374000000,0.036377370000,1,28,3.23815620999,4.32573499806,srdltd: **1175** ; bnb: **387**
bustabit-tiny-hot-wallet_peak-and-tail,20.44439435,61.6946666667,38,4278,5544,1722,0,1304,bnb: **418** ; Total: **418**,0.00054161,9.95829307,0.625558572799,1.26930839557,0.03926929,0.0000228044657375,0.000258400000,0.039527690000,1,28,3.21951219512,4.29443814118,srdltd: **1304** ; bnb: **418**
bustabit-tiny-hot-wallet_peak-and-tail,20.92292544,61.3618461538,59,4650,5996,1850,0,1405,bnb: **445** ; Total: **445**,0.00054161,9.95829307,0.617742078804,1.22757500945,0.04207914,0.0000227454810811,0.000401200000,0.042480340000,1,28,3.24108108108,4.36308311101,srdltd: **1405** ; bnb: **445**
bustabit-tiny-hot-wallet_peak-and-tail,27.28392185,60.6461428571,85,4990,6445,2010,0,1540,bnb: **470** ; Total: **470**,0.00054161,9.95829307,0.614613572610,1.18631962677,0.04575584,0.0000227640995025,0.000578000000,0.046333840000,1,28,3.20646766169,4.35160245914,srdltd: **1540** ; bnb: **470**
bustabit-tiny-hot-wallet_peak-and-tail,16.99890339,59.6957333333,35,5335,6961,2165,0,1661,bnb: **504** ; Total: **504**,0.00054161,9.95829307,0.608452070915,1.16333580425,0.04852939,0.0000224154226328,0.000238000000,0.048767390000,1,28,3.21524249423,4.37433369617,srdltd: **1661** ; bnb: **504**
bustabit-tiny-hot-wallet_peak-and-tail,12.91914243,57.7212500000,37,5654,7436,2346,0,1819,bnb: **527** ; Total: **527**,0.00054161,9.95829307,0.655126505344,1.24858949083,0.05202533,0.0000221761849957,0.000251600000,0.052276930000,1,28,3.16965046888,4.32084643416,srdltd: **1819** ; bnb: **527**
bustabit-tiny-hot-wallet_peak-and-tail,26.62574300,56.7203529412,62,5963,7886,2537,0,1985,bnb: **552** ; Total: **552**,0.00054161,9.95829307,0.675339001844,1.28168958099,0.05626811,0.0000221789948758,0.000421600000,0.056689710000,1,28,3.10839574300,4.27445603982,srdltd: **1985** ; bnb: **552**
bustabit-tiny-hot-wallet_peak-and-tail,15.61233232,56.7812222222,63,6278,8353,2722,0,2138,bnb: **584** ; Total: **584**,0.00054161,9.95829307,0.660958057170,1.24450616992,0.05982358,0.0000219778030860,0.000428400000,0.060251980000,1,28,3.06869948567,4.23128445889,srdltd: **2138** ; bnb: **584**
bustabit-tiny-hot-wallet_peak-and-tail,19.58136802,56.7941052632,53,6573,8832,2927,0,2312,bnb: **615** ; Total: **615**,0.00054161,9.95829307,0.638083863257,1.20396158976,0.06355763,0.0000217142569183,0.000360400000,0.063918030000,1,28,3.01742398360,4.17328479823,srdltd: **2312** ; bnb: **615**
bustabit-tiny-hot-wallet_peak-and-tail,13.43261202,56.8893000000,56,6892,9301,3108,0,2465,bnb: **643** ; Total: **643**,0.00054161,9.95829307,0.627972712645,1.17320512530,0.06727020,0.0000216442084942,0.000380800000,0.067651000000,1,28,2.99259974260,4.14916706304,srdltd: **2465** ; bnb: **643**
bustabit-tiny-hot-wallet_peak-and-tail,13.07320075,55.6467619048,56,7193,9786,3307,0,2649,bnb: **658** ; Total: **658**,0.00054161,13.15376827,0.710721723828,1.44171930215,0.07066712,0.0000213689507106,0.000380800000,0.071047920000,1,28,2.95917750227,4.10485263722,srdltd: **2649** ; bnb: **658**
