id,input_amounts
0,['0.00329000']
1,['0.00014860']
2,['0.00331400']
3,['0.00483000']
4,['0.00329400']
5,['0.00329000']
6,['2.00000000']
7,['0.00329400']
8,['1.99958475']
9,"['0.00071414', '0.00500000', '0.00003341', '0.00066263', '0.00014860']"
10,['0.00018047']
11,['0.00329400']
12,['0.01569000']
13,['0.00329400']
14,['3.00000000']
15,"['0.00940000', '0.00214360']"
16,['0.00103200']
17,['0.00329600']
18,['0.02500000']
19,['0.01556062']
20,['0.00331400']
21,['0.01010000']
22,['0.01443970']
23,['0.01000000']
24,"['0.00239015', '0.00090000', '0.00100000']"
25,['0.00748549']
26,['1.00000000']
27,['0.01570000']
28,['0.00794500']
29,['1.99856998']
30,['0.01831520']
31,['0.01496686']
32,"['0.00002273', '1.99560642']"
33,['5.00000000']
34,"['0.00100000', '0.00010863', '0.00050000', '0.00056976', '0.00010000', '0.00100000', '0.00008690']"
35,['0.00390000']
36,['0.00358430']
37,"['0.00000200', '0.00300000', '0.00000100', '0.00018558', '0.00026038']"
38,['0.00412337']
39,['0.00491808']
40,['0.01229093']
41,['0.00665069']
42,['0.01300000']
43,['0.00328766']
44,['0.00897380']
45,['0.01232300']
46,['0.00055359']
47,['0.01000000']
48,['0.00383210']
49,['0.01000000']
50,['0.00900071']
51,['4.99661095']
52,['0.00664330']
53,['0.00980000']
54,['0.99796406']
55,['0.00552501']
56,"['0.00319038', '0.00109000']"
57,"['0.00640233', '0.00215274']"
58,"['0.01161329', '0.00119857']"
59,['0.00904158']
60,['4.00000000']
61,['3.99660245']
62,['2.99987856']
63,['2.99648703']
64,['0.00596424']
65,['1.99228262']
66,['3.99320360']
67,['0.01096653']
68,['0.03535793']
69,['0.99459775']
70,"['0.00300000', '0.00010089']"
71,['3.98978896']
72,['1.98883192']
73,"['0.00250333', '0.00079317']"
74,['0.00349192']
75,['0.00512301']
76,['0.99122244']
77,['0.03198133']
78,['0.00938135']
79,['0.01113288']
80,['2.99306806']
81,['4.98981319']
82,['0.00757188']
83,['1.98676618']
84,['0.00767696']
85,['0.00407909']
86,['2.98960814']
87,['1.98324098']
88,['1.98134846']
89,['2.96896451']
90,['0.98775161']
91,['3.98651495']
92,['0.00175917']
93,['0.02854569']
94,['0.00910000']
95,['0.03000000']
96,['0.00300000']
97,['0.00480000']
98,['2.96546615']
99,['3.97133818']
100,['1.97853030']
101,['0.01490000']
102,['0.00593350']
103,['0.00444318']
104,['0.00107722']
105,['0.00500000']
106,['0.00414979']
107,['0.00480000']
108,['4.98037466']
109,['0.00790000']
110,['0.00116387']
111,['0.03500000']
112,['2.95037103']
113,"['0.00125794', '0.00191109']"
114,"['1.97644194', '0.00100000']"
115,['0.00200000']
116,"['0.00370659', '0.00006080']"
117,['0.00089856']
118,['0.00800000']
119,['0.01000000']
120,"['0.00341677', '0.00200000', '0.00390000']"
121,"['0.00003564', '0.00500000']"
122,"['0.00169500', '0.00171142']"
123,"['0.00592000', '0.00261741']"
124,"['0.00010000', '0.00040000', '0.00011000', '0.00060961', '0.00095384', '0.00006000', '0.00022102', '0.00008000', '0.00020000', '0.00010000', '0.00480000', '0.00034660', '0.00010710']"
125,"['0.00090000', '0.00025639', '0.00087643', '0.00090000', '0.00091371', '0.00076900', '0.00087798', '0.00071863', '0.00382790']"
126,"['0.00454585', '0.00253389', '0.00696805', '0.00100000']"
127,['0.01780000']
128,['0.00158443']
129,['1.97201284']
130,"['0.00100000', '0.00100000', '0.00100000', '0.00291581', '0.00021240']"
131,"['0.00110000', '0.00100000', '0.00120000', '0.00120000', '0.00163049']"
132,"['0.00300000', '0.01022831']"
133,"['0.00270000', '0.00234227', '0.00370000', '0.00228044']"
134,"['0.00100000', '0.00100000', '0.00080000']"
135,"['0.00360000', '0.00290000', '0.00049540', '0.00100000', '0.00002077', '0.00200000']"
136,"['0.00800000', '0.00213902']"
137,['0.01450000']
138,['0.03444171']
139,['3.96923531']
140,['4.97931535']
141,['0.00500000']
142,"['0.00100000', '0.00100000', '0.00011540']"
143,['0.00069882']
144,"['0.00011106', '0.00024249', '0.00180000']"
145,"['4.96629434', '0.00280000']"
146,['0.00900000']
147,['4.95982288']
148,"['0.00290000', '0.00070000', '0.00226500']"
149,"['0.00297347', '0.00683116']"
150,"['0.00300000', '0.00464370', '0.00200000', '0.00009195']"
151,['4.95814210']
152,['0.00300000']
153,['0.98424637']
154,['0.01000000']
155,['0.93421749']
156,"['0.00500000', '0.00096409', '0.00090000', '0.06000000', '0.00003603', '0.00300000', '0.00300000', '0.00090000', '0.00490000', '0.00685472', '0.01714000', '0.01837743']"
157,"['0.00263338', '0.00100000']"
158,['0.00500000']
159,['3.96760953']
160,"['0.01109159', '0.01680000', '0.05000000', '0.00963986', '0.01247533', '0.00005361']"
161,"['0.05900000', '0.03300000', '0.02959206']"
162,"['0.00084400', '0.00040000', '0.00414940']"
163,['0.00500000']
164,"['0.00500000', '0.00021000']"
165,['0.00595048']
166,['0.00900000']
167,"['0.00037833', '0.00099738', '0.00093681', '0.00038000', '0.00020208', '0.00017000']"
168,"['0.00002669', '0.01000000']"
169,['0.00600000']
170,"['0.00040000', '0.00969612']"
171,['0.00497940']
172,['0.00360664']
173,['0.00600000']
174,"['0.00500000', '0.00001143']"
175,"['0.00149590', '0.00880000']"
176,"['0.00005306', '0.00828954', '0.00090000', '0.00100000']"
177,"['0.00233426', '0.00860000']"
178,"['0.01000000', '0.00042962', '0.00010000', '0.00009382', '0.00002931']"
179,['0.00250000']
180,['0.00219858']
181,['0.02000000']
182,"['0.00189067', '0.00967221']"
183,['0.03272133']
184,"['0.00700000', '0.00500000']"
185,['0.00075919']
186,['0.00087196']
187,['0.01500000']
188,"['0.00398910', '0.01000000', '0.00023754']"
189,"['0.00090000', '0.00054388', '0.01000000']"
190,['0.00800000']
191,['0.00318000']
192,"['0.01000000', '0.00011658', '0.00033765', '0.00170000']"
193,['0.05000000']
194,['0.01577143']
195,['0.05000000']
196,['0.02240324']
197,['0.00106212']
198,['0.01000000']
199,"['0.00900000', '0.00028000', '0.00099000', '0.00873090']"
200,"['0.00200000', '0.00001565']"
201,"['0.00014000', '0.00090000', '0.00598250', '0.00010000', '0.00050000', '0.00002360']"
202,['0.00044827']
203,"['0.00900000', '0.06000000']"
204,['0.02310000']
205,"['0.00100000', '0.01090000', '0.00180000']"
206,['0.93097945']
207,"['0.01000000', '0.01000000']"
208,['1.96876517']
209,['0.00180000']
210,['0.00057588']
211,['2.94618551']
212,['3.86758585']
213,['0.07024500']
214,['0.05000000']
215,"['0.00039116', '0.01990000', '0.04886101', '0.00588444']"
216,"['0.00070506', '0.00005460', '0.00390000', '0.00400000', '0.00005460', '0.00006080', '0.00097600', '0.00028386']"
217,"['0.00022832', '0.09980000']"
218,"['0.01944692', '0.03000000']"
219,"['0.00019558', '0.00004019']"
220,['0.00193800']
221,"['0.00172671', '0.07000000', '0.04973126', '0.00290000']"
