Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_2019-2020-per-day,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_2019-2020-per-day,15.18576345,38.8080000000,54,267,407,233,2,194,bnb: **37** ; knapsack: **2** ; Total: **39**,0.00001143,4.99661095,0.707763676495,1.40138017344,0.01309622,0.0000562069527897,0.000367200000,0.013463420000,1,13,1.74678111588,1.70453260587,knapsack: **68** ; bnb: **37** ; srdltd: **128**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.90515231,78.9310000000,171,594,737,406,2,314,bnb: **85** ; knapsack: **7** ; Total: **92**,0.00001143,8.64742030,0.630036493599,1.41051469084,0.03017186,0.0000743149261084,0.00116280000,0.03133466000,1,13,1.81527093596,1.85335552891,knapsack: **85** ; bnb: **85** ; srdltd: **236**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.25510267,122.246000000,300,961,1060,539,3,399,bnb: **131** ; knapsack: **9** ; Total: **140**,0.00001143,8.64742030,0.562319170677,1.39441456553,0.03950233,0.0000732881818182,0.00204000000,0.04154233000,1,13,1.96660482375,2.12149509199,knapsack: **118** ; bnb: **131** ; srdltd: **290**
bustabit-tiny-hot-wallet_2019-2020-per-day,19.63257289,182.273000000,359,1316,1432,684,4,475,bnb: **200** ; knapsack: **9** ; Total: **209**,0.00001143,8.64742030,0.5121028836,1.33494024975,0.04925126,0.0000720047660819,0.00244120000,0.05169246000,1,14,2.09356725146,2.20607828500,knapsack: **139** ; bnb: **200** ; srdltd: **345**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.25303132,235.522800000,494,1682,1741,818,4,553,bnb: **256** ; knapsack: **9** ; Total: **265**,0.00001143,8.64742030,0.469064207378,1.27249745431,0.06132971,0.0000749751955990,0.00335920000,0.06468891000,1,14,2.12836185819,2.28654785814,knapsack: **151** ; bnb: **256** ; srdltd: **411**
bustabit-tiny-hot-wallet_2019-2020-per-day,18.32260117,271.961000000,406,2008,2246,992,5,644,bnb: **336** ; knapsack: **12** ; Total: **348**,0.00001143,8.64742030,0.470660655575,1.29706004961,0.08020630,0.000080853125,0.00276080000,0.08296710000,1,22,2.26411290323,2.55332679437,knapsack: **183** ; bnb: **336** ; srdltd: **473**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.33788648,304.766000000,568,2415,2540,1085,5,693,bnb: **378** ; knapsack: **14** ; Total: **392**,0.00001143,8.64742030,0.462927126421,1.26339733023,0.09050406,0.0000834138801843,0.00386240000,0.09436646000,1,32,2.34101382488,2.75537463462,knapsack: **190** ; bnb: **378** ; srdltd: **517**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.39748205,333.962750000,498,2818,3070,1182,5,750,bnb: **416** ; knapsack: **16** ; Total: **432**,0.00001143,8.64742030,0.44360610088,1.21885408341,0.10150382,0.0000858746362098,0.00338640000,0.10489022000,1,200,2.59729272420,6.45746267223,knapsack: **201** ; bnb: **416** ; srdltd: **565**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.26564017,350.514000000,477,3213,3545,1287,5,809,bnb: **460** ; knapsack: **18** ; Total: **478**,0.00001143,8.64742030,0.420600403449,1.17774216839,0.12052377,0.0000936470629371,0.00324360000,0.12376737000,1,200,2.75446775447,6.42097625669,knapsack: **220** ; bnb: **460** ; srdltd: **607**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.67843153,361.983400000,460,3571,4001,1429,5,890,bnb: **519** ; knapsack: **20** ; Total: **539**,0.00001077,8.64742030,0.416934357360,1.16741738476,0.13460498,0.0000941952274318,0.00312800000,0.13773298000,1,200,2.79986004199,6.31595507392,knapsack: **241** ; bnb: **519** ; srdltd: **669**
