id,input_amounts
0,['0.00329000']
1,['0.00014860']
2,['0.00331400']
3,['0.00483000']
4,['0.00329400']
5,['0.00329000']
6,['3.00000000']
7,['0.00329400']
8,"['0.00014860', '0.00331400']"
9,"['0.00071414', '0.00008690', '0.00244082', '0.00329400']"
10,['0.00018047']
11,['0.00329400']
12,['0.00940000']
13,"['0.00050000', '0.00066263']"
14,"['0.00003341', '0.00010000']"
15,['0.01569000']
16,['0.00103200']
17,['0.00329600']
18,['5.00000000']
19,['1.00000000']
20,['0.00100000']
21,['0.01570000']
22,['0.00500000']
23,['0.01457380']
24,"['0.00927062', '0.00026038']"
25,['0.01010000']
26,['0.02500000']
27,['2.99958475']
28,['0.00794500']
29,['0.00980000']
30,['0.01165061']
31,['0.00525031']
32,"['0.00003564', '0.01000000']"
33,['0.00830227']
34,"['0.00090000', '0.00109000', '0.00018558', '0.00100000', '0.00007615', '0.00010863']"
35,['0.00056976']
36,['4.00000000']
37,"['0.00000100', '0.00100000', '0.00288330', '0.00000200']"
38,"['0.00300000', '0.00054137']"
39,['0.00390000']
40,['0.00491322']
41,['0.02296406']
42,['0.00673788']
43,['0.00470441']
44,['2.99617568']
45,['0.00142931']
46,['4.99331520']
47,['0.00491808']
48,['0.01122449']
49,['3.99696929']
50,['2.99103398']
51,['3.99361259']
52,['3.98681483']
53,"['0.00166387', '4.99298263']"
54,['0.01000000']
55,"['2.00000000', '0.00076900']"
56,['0.00391879']
57,['0.00663369']
58,['0.00668911']
59,['3.98336191']
60,"['0.00323547', '0.00020000']"
61,['0.03535793']
62,"['0.00300000', '0.00329259']"
63,['0.01000000']
64,['2.98755828']
65,['0.01088431']
66,['0.00743361']
67,"['0.00086333', '0.00683644']"
68,['2.98409737']
69,['0.00658103']
70,"['0.00023919', '0.00287088']"
71,['0.01960103']
72,['3.98028457']
73,['0.01632702']
74,['3.97821883']
75,"['0.00020965', '0.00320572']"
76,['0.00401897']
77,['0.00427678']
78,['0.03195908']
79,['0.02851123']
80,['0.01305419']
81,['0.00959427']
82,['4.99121431']
83,['0.01300000']
84,['4.98772152']
85,['0.99887908']
86,['0.99569855']
87,['0.00189674']
88,['4.98419435']
89,['0.00910000']
90,['0.00560164']
91,['0.01714000']
92,['0.03000000']
93,['3.97483401']
94,['4.98137619']
95,['0.02505531']
96,['0.00209640']
97,['0.02885044']
98,['1.99737428']
99,['0.00480000']
100,['0.00947480']
101,['0.97505492']
102,['0.00269713']
103,['0.00738644']
104,['0.00107722']
105,['2.98072077']
106,['0.01780000']
107,"['0.00025406', '0.00196323']"
108,"['0.00011000', '0.00100000']"
109,"['0.00080000', '0.00420120']"
110,['0.00116387']
111,['0.00054814']
112,['0.00480000']
113,['0.01000000']
114,['0.03500000']
115,['2.97763186']
116,['4.97910735']
117,['0.00084114']
118,['0.01109159']
119,['0.00454585']
120,"['0.00341677', '0.00200000', '0.00390000']"
121,"['0.00059153', '0.00444318']"
122,"['0.00171142', '0.00169500']"
123,"['0.00790000', '0.00008000', '0.00056635']"
124,"['0.00010000', '0.00061448', '0.00087643', '0.00010000', '0.00006000', '0.00015574', '0.00006080', '0.00002251', '0.00040000', '0.00034660', '0.00163049', '0.00370000', '0.00002120']"
125,"['0.00100000', '0.00100000', '0.00100000', '0.00100000', '0.00066121', '0.00100000', '0.00228044', '0.00100000', '0.00110000']"
126,"['0.00684882', '0.00200000', '0.00500000', '0.00120000']"
127,['0.00800000']
128,['0.00300000']
129,"['0.00025639', '0.00300000']"
130,"['0.00100000', '0.00151390', '0.00270000', '0.00091371']"
131,"['0.00090000', '0.00162797', '0.00360000']"
132,['3.96466575']
133,"['0.00120000', '0.00290000', '0.00592000', '0.00100000']"
134,"['0.00090000', '0.00200000']"
135,"['0.00500000', '0.00490000', '0.00012748']"
136,"['0.01000000', '0.00002196']"
137,['0.00213902']
138,['0.00226500']
139,['0.00500000']
140,"['1.98227916', '0.00100000']"
141,['0.02959284']
142,"['0.00049540', '0.00100000', '0.00054462']"
143,['0.00069882']
144,"['0.00011435', '0.00200000']"
145,"['0.00003568', '0.00900000', '0.00024249']"
146,['0.00337422']
147,['0.00543386']
148,"['0.00375308', '0.00100000', '0.00032470', '0.00070000']"
149,"['0.00500000', '0.00500000']"
150,"['0.00800000', '0.00180000']"
151,['3.95830298']
152,['0.00597143']
153,"['0.01450000', '0.02756631', '0.00300000', '0.00500000']"
154,['0.01000000']
155,"['0.00300000', '0.00019559', '0.00007432']"
156,"['0.00290000', '0.00464370', '0.00040000', '0.00090000', '0.00300000', '0.00300000', '0.00090000', '0.06000000', '0.00980000', '0.00600000', '0.00280000', '0.00393552', '0.02279913']"
157,['0.00480000']
158,['0.00122434']
159,"['0.00969612', '0.02775703', '0.01618410', '0.00963986', '0.02000000', '0.01680000']"
160,['0.97038323']
161,"['0.01490000', '4.97535253', '0.04000000']"
162,"['0.00037374', '0.00500000']"
163,"['0.00263338', '0.00036238', '0.00084400', '0.00021000']"
164,['0.00600000']
165,['0.00700000']
166,['0.00099463']
167,['0.00800000']
168,"['0.00004338', '0.01000000']"
169,"['0.00002812', '0.00100000']"
170,"['0.00900000', '0.00038000', '0.00040000', '0.00028417']"
171,['0.00198633']
172,['0.00498884']
173,"['0.00001258', '0.00017000', '0.00371646', '0.00061357']"
174,"['0.00010000', '0.00500000']"
175,"['0.00090000', '0.01000000']"
176,"['0.01000000', '0.00069792']"
177,"['0.01000000', '0.00048988', '0.00009727']"
178,"['0.00250000', '0.00860000']"
179,['0.00046641']
180,['0.00880000']
181,['0.01500000']
182,"['0.00467221', '0.00849209']"
183,['2.97658570']
184,['0.09980000']
185,['0.00236061']
186,['0.00214530']
187,"['0.00151088', '0.00980000']"
188,"['0.00500000', '0.00016499', '0.00880000', '0.00029481']"
189,"['0.00090000', '0.00014726', '0.00008100', '0.01000000']"
190,['0.01000000']
191,['0.00318000']
192,"['0.01000000', '0.00106212', '0.00170000']"
193,['0.05000000']
194,['0.05000000']
195,['0.02959206']
196,['0.09990000']
197,['0.04796738']
198,['0.02845307']
199,['0.05000000']
200,"['0.00063755', '0.00100000', '0.00002049', '0.00028000', '0.00010000']"
201,['0.00798250']
202,['0.00035898']
203,['2.96626761']
204,['0.08434160']
205,"['0.00044827', '0.00180000', '0.00099000', '0.00390000', '0.00400000', '0.00200000']"
206,['0.08868099']
207,['0.02900000']
208,['0.00900000']
209,['0.02400000']
210,['0.00050000']
211,['0.05000000']
212,['4.93017676']
213,"['0.02310000', '0.01000000']"
214,"['0.00014000', '0.00013903']"
215,"['0.04694545', '0.02718397', '0.00090000']"
216,"['0.00290000', '0.00019558', '0.00390000', '0.00097600', '0.00005460', '0.00180000', '0.00020798']"
217,"['0.00900000', '0.00181581', '0.06973264', '0.01950000']"
218,['0.03300000']
219,['0.00039116']
220,"['0.00018873', '0.00005460']"
221,"['3.89926905', '0.00969500']"
222,"['0.00490078', '0.00289369', '0.00229870', '0.01000000', '0.00100000', '0.00096700', '0.01000000', '0.00193800']"
