Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_2019-2020-per-day,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_2019-2020-per-day,15.18564419,34.6520000000,52,267,402,233,2,187,bnb: **44** ; knapsack: **2** ; Total: **46**,0.00001258,4.99331520,0.767190168235,1.55549731615,0.01321548,0.0000567187982833,0.000353600000,0.013569080000,1,13,1.72532188841,1.63266837973,knapsack: **72** ; bnb: **44** ; srdltd: **117**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.90508514,73.0540000000,169,594,734,406,2,309,bnb: **93** ; knapsack: **4** ; Total: **97**,0.00001258,8.79497308,0.710925885987,1.58139779364,0.03023903,0.0000744803694581,0.00114920000,0.03138823000,1,13,1.80788177340,1.84123869894,knapsack: **86** ; bnb: **93** ; srdltd: **227**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.25503500,117.267333333,292,961,1059,539,3,390,bnb: **144** ; knapsack: **5** ; Total: **149**,0.00001258,8.79497308,0.589378291308,1.43395234786,0.03957000,0.0000734137291280,0.00198560000,0.04155560000,1,13,1.96474953618,2.10960374421,knapsack: **117** ; bnb: **144** ; srdltd: **278**
bustabit-tiny-hot-wallet_2019-2020-per-day,19.63256126,177.054500000,352,1316,1434,684,4,470,bnb: **208** ; knapsack: **6** ; Total: **214**,0.00001258,9.82263806,0.559322459191,1.45684552191,0.04926289,0.0000720217690058,0.00239360000,0.05165649000,1,26,2.09649122807,2.32613000262,knapsack: **134** ; bnb: **208** ; srdltd: **342**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.25301127,230.673600000,492,1682,1738,818,4,548,bnb: **262** ; knapsack: **8** ; Total: **270**,0.00001258,9.82263806,0.511641829982,1.38524619582,0.06134976,0.0000749997066015,0.00334560000,0.06469536000,1,26,2.12469437653,2.37419861468,knapsack: **148** ; bnb: **262** ; srdltd: **408**
bustabit-tiny-hot-wallet_2019-2020-per-day,18.32229775,267.508666667,399,2008,2246,992,5,637,bnb: **343** ; knapsack: **12** ; Total: **355**,0.00001258,9.82263806,0.501849391947,1.38821985773,0.08050972,0.0000811589919355,0.00271320000,0.08322292000,1,26,2.26411290323,2.63079688490,knapsack: **178** ; bnb: **343** ; srdltd: **471**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.33759391,297.609142857,495,2415,2604,1085,5,684,bnb: **388** ; knapsack: **13** ; Total: **401**,0.00001258,9.82263806,0.490177557763,1.35066103721,0.09079663,0.0000836835299539,0.00336600000,0.09416263000,1,100,2.40000000000,3.99150389215,knapsack: **186** ; bnb: **388** ; srdltd: **511**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.39811423,328.776500000,553,2818,3000,1182,5,735,bnb: **432** ; knapsack: **15** ; Total: **447**,0.00001258,9.82263806,0.467162917741,1.30737786545,0.10087164,0.0000853397969543,0.00376040000,0.10463204000,1,100,2.53807106599,4.54368082016,knapsack: **198** ; bnb: **432** ; srdltd: **552**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.26612459,352.960222222,535,3213,3472,1287,5,794,bnb: **476** ; knapsack: **17** ; Total: **493**,0.00001258,9.82263806,0.438890407645,1.26266876919,0.12003935,0.0000932706682207,0.00363800000,0.12367735000,1,100,2.69774669775,4.68804636757,knapsack: **217** ; bnb: **476** ; srdltd: **594**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.67915693,370.924400000,535,3571,3906,1429,5,870,bnb: **541** ; knapsack: **18** ; Total: **559**,0.00001258,9.82263806,0.451720969264,1.27188355750,0.13387958,0.0000936875997201,0.00363800000,0.13751758000,1,100,2.73337998600,4.71405147986,knapsack: **237** ; bnb: **541** ; srdltd: **651**
bustabit-tiny-hot-wallet_2019-2020-per-day,21.90483444,392.355272727,600,3938,4291,1562,5,953,bnb: **589** ; knapsack: **20** ; Total: **609**,0.00001258,9.82263806,0.487769373715,1.32686843229,0.14813327,0.0000948356402049,0.00408000000,0.15221327000,1,100,2.74711907810,4.65429561501,knapsack: **253** ; bnb: **589** ; srdltd: **720**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.31530700,405.304166667,537,4278,4793,1722,5,1052,bnb: **647** ; knapsack: **23** ; Total: **670**,0.00001258,9.82263806,0.490820067044,1.33022027086,0.16835664,0.0000977680836237,0.00365160000,0.17200824000,1,100,2.78339140534,4.75379936092,knapsack: **272** ; bnb: **647** ; srdltd: **803**
