id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00000953,0.00006753,0.0000675886524823,knapsack,1,0,2,0.00018047,22,22,670
1,0.00010100,0.00001419,0.00010060,0.000100638297872,knapsack,1,0,2,0.00003341,22,22,997
2,0.00329400,0.00002000,0.00010498,0.000181818181818,bnb,1,0,1,,22,21,879
3,0.00410100,0.00001486,0.00010539,0.000105390070922,knapsack,1,0,2,0.00071414,21,21,1044
4,0.00329000,0.00000400,0.00002392,0.0000363636363636,bnb,1,0,1,,21,20,-381
5,0.00319400,0.00000910,0.00006448,0.0000645390070922,knapsack,1,0,2,0.00008690,20,20,639
6,0.00040100,0.00001425,0.00010103,0.000101063829787,srdltd,1,0,2,0.00287875,20,20,1002
7,0.00262000,0.00001137,0.00008057,0.0000806382978723,knapsack,1,0,2,0.00024738,20,20,798
8,0.00100000,0.00001477,0.00010471,0.000104751773050,srdltd,1,0,2,1.99898523,20,20,1038
9,0.00650000,0.00001820,0.00008749,0.0000875000,knapsack,2,0,2,0.00006980,21,20,782
10,0.00014000,0.00000712,0.00003422,0.0000342307692308,srdltd,2,0,2,0.01572335,20,19,-107
11,0.00310000,0.00000842,0.00005971,0.0000597163120567,knapsack,1,0,2,0.00018758,26,26,593
12,0.00010100,0.00002838,0.00020127,0.000201276595745,srdltd,1,0,2,4.99987062,27,27,1993
13,0.00113200,0.00004983,0.00013044,0.000130787401575,bnb,5,0,1,,27,22,1035
14,0.00010200,0.00001944,0.00013783,0.000137872340426,knapsack,1,0,2,0.00002716,22,22,1366
15,0.00400000,0.00003939,0.00027934,0.000279361702128,srdltd,1,0,2,0.02096061,28,28,2766
16,0.00100000,0.00003200,0.00025222,0.000290909090909,bnb,1,0,1,,28,27,1460
17,0.00300000,0.00003562,0.00025260,0.000252624113475,knapsack,1,0,2,0.00027838,29,29,2502
18,0.00665800,0.00002680,0.00019006,0.000190070921986,srdltd,1,0,2,0.00331520,29,29,1883
19,0.00110000,0.00002092,0.00014830,0.000148368794326,srdltd,1,0,2,0.00219428,29,29,1469
20,0.00090000,0.00002385,0.00016908,0.000169148936170,srdltd,1,0,2,3.99907615,29,29,1675
21,0.00110000,0.00002620,0.00018578,0.000185815602837,srdltd,1,0,2,0.99887380,29,29,1840
22,0.00209300,0.00002370,0.00016808,0.000168085106383,srdltd,1,0,2,0.00728330,29,29,1665
23,0.00332600,0.00002331,0.00016531,0.000165319148936,srdltd,1,0,2,4.99652131,29,29,1638
24,0.00424600,0.00002352,0.00016675,0.000166808510638,srdltd,1,0,2,0.00367548,29,29,1651
25,0.00333000,0.00003212,0.00022774,0.000227801418440,srdltd,1,0,2,0.99551168,29,29,2255
26,0.00200000,0.00005302,0.00025488,0.000254903846154,srdltd,2,0,2,0.00801678,29,28,3579
27,0.00337500,0.00003407,0.00024158,0.000241631205674,srdltd,1,0,2,0.99210261,28,28,2392
28,0.00300000,0.00002692,0.00019090,0.000190921985816,srdltd,1,0,2,0.00677308,28,28,1891
29,0.00294600,0.00005092,0.00012449,0.000133648293963,bnb,5,0,1,,28,23,1169
30,0.00332500,0.00002334,0.00016547,0.000165531914894,srdltd,1,0,2,0.00393496,24,24,1639
31,0.00332500,0.00002857,0.00020258,0.000202624113475,srdltd,1,0,2,4.99316774,24,24,2006
32,0.00330000,0.00003154,0.00022367,0.000223687943262,srdltd,1,0,2,4.98983620,24,24,2215
33,0.00336300,0.00002605,0.00018471,0.000184751773050,srdltd,1,0,2,0.01233430,24,24,1830
34,0.00333400,0.00002603,0.00005433,0.0000543423799582,knapsack,6,2,2,0.00001135,27,22,-1011
35,0.00030000,0.00001570,0.00011128,0.000111347517730,knapsack,1,0,2,0.00187858,22,22,1102
36,0.00300100,0.00002971,0.00021068,0.000210709219858,knapsack,1,0,2,0.00064477,22,22,2087
37,0.00332900,0.00000963,0.00004628,0.0000462980769231,knapsack,2,0,2,0.00030614,23,22,94
38,0.00332700,0.00000320,0.00002268,0.0000226950354610,knapsack,1,0,2,0.00056980,22,22,226
39,0.00332700,0.00000665,0.00004712,0.0000471631205674,knapsack,1,0,2,0.00060131,22,22,468
40,0.00322700,0.00002235,0.00015844,0.000158510638298,srdltd,1,0,2,0.00685065,22,22,1570
41,0.00332000,0.00004303,0.00030512,0.000305177304965,srdltd,1,0,2,0.00663697,22,22,3021
42,0.00198400,0.00004947,0.00035080,0.000350851063830,srdltd,1,0,2,0.01366653,23,23,3474
43,0.00322000,0.00005510,0.00039072,0.000390780141844,srdltd,1,0,2,0.00349798,23,23,3869
44,0.00505500,0.00008670,0.00061489,0.000614893617021,srdltd,1,0,2,0.01581891,25,25,6089
45,0.00105000,0.00014012,0.00099370,0.000993758865248,srdltd,1,0,2,0.01180988,26,26,9839
46,0.00020000,0.00010614,0.00094015,0.000964909090909,bnb,1,0,1,,26,25,5985
47,0.00086900,0.00013029,0.00092398,0.000924042553191,srdltd,1,0,2,0.99110332,25,25,9149
48,0.00020400,0.00013618,0.00096578,0.000965815602837,srdltd,1,0,2,0.03501775,26,26,9562
49,0.00322600,0.00013070,0.00092693,0.000926950354610,srdltd,1,0,2,4.98647950,26,26,9178
50,0.00334300,0.00013270,0.00094109,0.000941134751773,srdltd,1,0,2,0.00152430,26,26,9318
51,0.00668000,0.00011776,0.00083513,0.000835177304965,srdltd,1,0,2,3.99227839,26,26,8268
52,0.00332500,0.00012792,0.00090717,0.000907234042553,srdltd,1,0,2,2.99654708,26,26,8982
53,0.00332500,0.00007267,0.00051533,0.000515390070922,srdltd,1,0,2,0.01242124,26,26,5103
54,0.00332500,0.00004131,0.00029292,0.000292978723404,srdltd,1,0,2,0.03165144,26,26,2901
55,0.00332500,0.00006972,0.00033519,0.000335192307692,srdltd,2,0,2,4.98658276,26,25,4920
56,0.00300000,0.00005546,0.00039329,0.000393333333333,srdltd,1,0,2,3.98922293,25,25,3895
57,0.00332700,0.00007122,0.00050508,0.000505106382979,srdltd,1,0,2,0.98770510,25,25,5001
58,0.00332500,0.00007152,0.00050722,0.000507234042553,srdltd,1,0,2,2.99315056,25,25,5023
59,0.00300000,0.00007734,0.00054847,0.000548510638298,srdltd,1,0,2,0.00925696,25,25,5431
60,0.00332700,0.00007055,0.00050031,0.000500354609929,srdltd,1,0,2,3.98582538,25,25,4954
61,0.00332700,0.00007185,0.00050953,0.000509574468085,srdltd,1,0,2,0.02825259,25,25,5045
62,0.00332800,0.00009371,0.00045050,0.000450528846154,srdltd,2,0,2,2.99049785,25,24,6845
