id,input_amounts
0,['0.00329000']
1,['0.00014860']
2,['0.00331400']
3,['0.00483000']
4,['0.00329400']
5,['0.00329000']
6,['0.00329400']
7,['0.00287875']
8,['2.00000000']
9,"['0.00329400', '0.00329400']"
10,"['0.00018047', '0.01569000']"
11,['0.00329600']
12,['5.00000000']
13,"['0.00071414', '0.00024738', '0.00003341', '0.00010000', '0.00008690']"
14,['0.00014860']
15,['0.02500000']
16,['0.00103200']
17,['0.00331400']
18,['0.01000000']
19,['0.00331520']
20,['4.00000000']
21,['1.00000000']
22,['0.00940000']
23,['4.99987062']
24,['0.00794500']
25,['0.99887380']
26,"['0.01000000', '0.00006980']"
27,['0.99551168']
28,['0.00980000']
29,"['0.00056976', '0.00002716', '0.00100000', '0.00050000', '0.00090000']"
30,['0.00728330']
31,['4.99652131']
32,['4.99316774']
33,['0.01572335']
34,"['0.00100000', '0.00000100', '0.00100000', '0.00000200', '0.00027838', '0.00109000']"
35,['0.00219428']
36,['0.00367548']
37,"['0.00300000', '0.00064477']"
38,['0.00390000']
39,['0.00393496']
40,['0.01010000']
41,['0.01000000']
42,['0.01570000']
43,['0.00677308']
44,['0.02096061']
45,['0.01300000']
46,['0.00030614']
47,['0.99210261']
48,['0.03535793']
49,['4.98983620']
50,['0.00500000']
51,['3.99907615']
52,['3.00000000']
53,['0.01581891']
54,['0.03501775']
55,"['4.98647950', '0.00349798']"
56,['3.99227839']
57,['0.99110332']
58,['2.99654708']
59,['0.01233430']
60,['3.98922293']
61,['0.03165144']
62,"['0.00076900', '2.99315056']"
63,['0.01366653']
64,['3.98582538']
65,['0.01024756']
66,['0.00679686']
67,['0.00338222']
68,"['0.00187858', '0.00152430']"
69,['4.98658276']
70,['0.98770510']
71,['0.00685065']
72,['0.00300000']
73,['0.00357664']
74,['0.00663697']
75,"['0.00093426', '1.99898523']"
76,['0.00801678']
77,['0.01180988']
78,['0.00454595']
79,['0.02825259']
80,['0.02479667']
81,['0.02133675']
82,['3.98236447']
83,['0.00925696']
84,['3.97887168']
85,['0.01242124']
86,['4.98320745']
87,['0.00910000']
88,['0.00924071']
89,['0.00573176']
90,['4.96256382']
91,['3.97534451']
92,['1.99652532']
93,['0.03000000']
94,['0.00223340']
95,['0.00325215']
96,['3.96016774']
97,['0.00109810']
98,['1.99537576']
99,['0.00300000']
100,['0.01189822']
101,['0.00642255']
102,['3.95804572']
103,['0.00720748']
104,['0.00107722']
105,['0.00500000']
106,['1.98028064']
107,"['0.00030381', '0.00191109']"
108,['0.00800000']
109,"['0.00056980', '0.00444318']"
110,['0.00116387']
111,['0.00300000']
112,"['0.00402224', '0.00018758']"
113,['0.01109159']
114,"['0.00100000', '0.00244171', '0.00200000']"
115,['0.00341677']
116,['0.98463916']
117,['0.00100000']
118,['0.00980986']
119,['0.00790000']
120,['4.95905858']
121,"['0.00040000', '0.00010000', '0.00454585']"
122,"['0.00169500', '0.00171142']"
123,"['0.00011000', '0.00837424', '0.00006080']"
124,"['0.00010863', '0.00020000', '0.00091371', '0.00060131', '0.00025639', '0.00010000', '0.00001135', '0.00006000', '0.00110000', '0.00464370', '0.00008000']"
125,"['0.00120000', '0.00370000', '0.00099597', '0.00120000', '0.00087643', '0.00034660', '0.00082007', '0.00089713']"
126,"['0.00228044', '0.00486805', '0.00490000', '0.00300000']"
127,['0.00237061']
128,['0.00163049']
129,"['0.00300000', '0.00025846']"
130,"['0.00034204', '0.00100000', '0.00090000', '0.00100000', '0.00100000', '0.00090000', '0.00100000']"
131,"['0.00100000', '0.00100000', '0.00415213']"
132,['0.01780000']
133,"['0.00270000', '0.00003283', '0.00100000', '0.00290000', '0.00360000', '0.00080000']"
134,"['0.00100000', '0.00200000']"
135,"['0.00022748', '0.00390000', '0.00592000']"
136,"['0.00694069', '0.00480000']"
137,['0.00880000']
138,['0.00171707']
139,['0.00175086']
140,"['0.00004196', '0.00500000', '0.00800000']"
141,['0.01450000']
142,"['0.00012508', '0.00100000', '0.00100000']"
143,['0.00049540']
144,"['0.00012074', '0.00200000']"
145,['0.01247347']
146,['0.00900000']
147,['0.00180000']
148,"['0.00069882', '0.00011922', '0.00226500', '0.00070000', '0.00200000']"
149,"['0.00300000', '0.00677533', '0.00003907']"
150,"['0.00480000', '0.00500000']"
151,"['0.00480000', '0.01714000', '0.03500000', '0.00213902']"
152,['0.00500000']
153,"['0.00900000', '0.00980000', '0.01983174', '0.01143723']"
154,['0.01000000']
155,['0.00500000']
156,"['0.00595048', '0.00090000', '0.00969612', '0.00040000', '0.00263338', '0.00176196', '0.00090000', '0.00320892', '0.01000000', '0.00007432', '0.06000000', '0.01680000', '0.00300000', '0.00296409', '0.00280000']"
157,['0.00500000']
158,['0.00142434']
159,"['0.01990000', '4.94977143', '0.01000000', '0.04000000']"
160,['1.97866474']
161,"['0.98088434', '0.01490000']"
162,"['0.00500000', '0.00057374']"
163,"['0.00056238', '0.00290000', '0.00021000', '0.00038000']"
164,['0.00600000']
165,['0.00600000']
166,['0.00084400']
167,['0.00700000']
168,"['0.00099463', '0.00098633', '0.00004600', '0.00800000']"
169,['0.05000000']
170,"['0.00010000', '0.00017000', '0.00100000', '0.00880000']"
171,['0.00398884']
172,['0.00261608']
173,['0.00794041']
174,"['0.00001841', '0.00500000']"
175,"['0.00040000', '0.00860000', '0.00134370']"
176,"['0.00014094', '0.00013354', '0.01000000']"
177,"['0.00090000', '0.00963986']"
178,"['0.00980000', '0.00250000']"
179,['0.00166641']
180,['0.00136499']
181,"['0.00105708', '0.01000000']"
182,"['0.01000000', '0.00071609', '0.00003522', '0.00006382']"
183,['3.95594012']
184,['0.04897940']
185,['0.00343631']
186,['0.00322100']
187,"['0.01000000', '0.00258658']"
188,"['0.01000000', '0.00500000']"
189,"['0.00157051', '0.01000000']"
190,['3.94562203']
191,['0.00900000']
192,"['0.01000000', '0.00046581', '0.00170000']"
193,['0.03300000']
194,['4.91961366']
195,['0.01000000']
196,"['0.01000000', '0.01000000']"
197,['0.09990000']
198,['0.02471042']
199,"['0.00688212', '0.01000000', '0.00004124', '0.00099000', '0.00010000', '0.00100000']"
200,"['0.00200000', '0.00001568']"
201,"['0.00180000', '0.00044827', '0.00090000', '0.00014000', '0.00318000', '0.00028000', '0.00090000']"
202,['0.00050000']
203,"['0.05000000', '0.01000000']"
204,['0.05000000']
205,"['0.00028005', '0.00886101', '0.00400000']"
206,['0.09887807']
207,['0.07024500']
208,['0.00442526']
209,['0.01000000']
210,['0.00032604']
211,['0.03786039']
212,['4.91758104']
213,"['0.00229870', '0.02900000']"
214,"['0.00019558', '0.00005460', '0.00003402']"
215,"['0.05000000', '0.00097600', '0.02400000', '0.00006080']"
216,"['0.01000000', '0.00001694']"
217,"['0.00089242', '0.00990000', '0.02310000', '0.05616667', '0.01000000']"
218,['0.06000000']
219,['0.00039116']
220,"['0.00005460', '0.00018873']"
221,"['0.02989369', '0.01500000', '0.00002668', '0.06000000', '0.01944692']"
