id,input_amounts
0,['0.00329000']
1,['0.00014860']
2,['0.00331400']
3,['0.00483000']
4,['0.00329400']
5,['0.00329000']
6,['2.00000000']
7,['0.00329400']
8,['1.99958475']
9,"['0.00014860', '0.00003341', '0.00066263', '0.00500000', '0.00071414']"
10,['0.00018047']
11,['0.00329400']
12,['4.00000000']
13,['0.00329400']
14,['0.00390000']
15,"['0.00329600', '0.00214360']"
16,['0.00103200']
17,['1.99856998']
18,['1.00000000']
19,['3.99987062']
20,['0.00331400']
21,['0.01570000']
22,"['0.00056976', '0.00018558', '0.00138149']"
23,['1.99553436']
24,"['0.00377856', '0.00050000']"
25,['0.01569000']
26,"['0.00109000', '0.01232788']"
27,"['0.00239015', '1.99218505']"
28,['0.00940000']
29,"['0.00090000', '0.00008690', '0.00100000', '0.00100000']"
30,['0.00637308']
31,['0.00794500']
32,['0.00459143']
33,"['3.99874970', '0.00125989']"
34,"['0.00100000', '0.00000100', '0.00000200', '0.00302474']"
35,['0.00067505']
36,['0.00980000']
37,"['0.00035935', '0.00300000']"
38,['0.00676929']
39,['0.00343909']
40,['0.01000000']
41,['0.00675065']
42,['0.00338762']
43,['0.01000000']
44,['0.00672490']
45,['0.00135415']
46,['0.00158320']
47,['0.00125063']
48,['3.99660817']
49,['0.01010000']
50,['3.99626799']
51,['0.01457380']
52,['5.00000000']
53,"['4.99654708', '0.00010863']"
54,['0.02500000']
55,['0.03535793']
56,['0.00777604']
57,['0.01136486']
58,['0.03198566']
59,['0.00472058']
60,['3.00000000']
61,['0.02858914']
62,['1.99114995']
63,['1.98775842']
64,['3.99279229']
65,['0.01300000']
66,['0.01000000']
67,['0.99331520']
68,['0.02519029']
69,['0.00796664']
70,['0.98992055']
71,['0.00459133']
72,['4.99322352']
73,['1.98433945']
74,"['0.00016403', '0.00954930']"
75,['0.00658536']
76,"['0.00010000', '0.02181369']"
77,['0.00674330']
78,['4.99115778']
79,['0.01840588']
80,['0.01494996']
81,['0.02163369']
82,['1.98106662']
83,['3.98933138']
84,['0.00630009']
85,['0.01219516']
86,['1.97757383']
87,['2.99660245']
88,['1.95693020']
89,['0.98685461']
90,['0.01714000']
91,['1.95411204']
92,['0.00910000']
93,['0.03000000']
94,['0.00322152']
95,['0.00795044']
96,['0.01983174']
97,['1.93893527']
98,['0.98335625']
99,['0.00277292']
100,['2.99470993']
101,['0.01780000']
102,['0.00300000']
103,['0.01490000']
104,['0.00107722']
105,['3.98580618']
106,['0.00500000']
107,['0.00569426']
108,['0.01363476']
109,['4.98770993']
110,['0.00116387']
111,['2.99262157']
112,['0.01171476']
113,['0.00444318']
114,['0.00800000']
115,"['0.00006080', '0.00100000']"
116,"['0.00300000', '0.00076900']"
117,['4.98272574']
118,['4.98254581']
119,"['0.00270000', '0.00034660']"
120,['1.93784186']
121,"['0.00003564', '0.00500000']"
122,"['0.00338410', '0.00002072']"
123,"['0.00091371', '0.00171142', '0.00592000']"
124,"['0.00020000', '0.00480000', '0.00006000', '0.00010544', '0.00067005', '0.00010000', '0.00002273', '0.00040000', '0.00129200', '0.00008000', '0.00025134', '0.00010000']"
125,"['0.00454585', '0.00087643', '0.00120000', '0.00025639', '0.00120000', '0.00095268', '0.00011000', '0.00089440']"
126,"['0.00800000', '0.00200000', '0.00341677', '0.00163049']"
127,['0.00370000']
128,['0.00164324']
129,"['0.00100000', '0.00027121', '0.00200000']"
130,"['0.00390000', '0.00090000', '0.00131732']"
131,"['0.00259284', '0.00360000']"
132,"['0.00228044', '0.00110000', '0.00300000']"
133,"['0.00080000', '0.00090000', '0.00100000', '0.00007829', '0.00169500', '0.00100000', '0.00167143', '0.00100000', '0.00290000']"
134,"['0.00100000', '0.00100000', '0.00100000']"
135,"['0.00300000', '0.00300000', '0.00049540', '0.00351167']"
136,"['0.00200000', '0.00490000', '0.00213902', '0.00100000']"
137,['0.00480000']
138,['0.00500000']
139,['0.00500000']
140,['0.01450000']
141,['0.01000000']
142,"['0.00069882', '0.00147899']"
143,['0.00070000']
144,"['0.00100000', '0.00100000', '0.00017454']"
145,"['0.00277533', '0.00024367', '0.00005702', '0.00022077', '0.00300000', '0.00300000']"
146,['0.00880000']
147,['0.00180000']
148,"['0.00100000', '0.00480000']"
149,"['0.00226500', '0.00464370', '0.00290000']"
150,"['0.00200000', '0.00790000']"
151,"['0.01149004', '0.01257545', '0.03500000']"
152,['0.00901463']
153,"['0.01312831', '0.01109159', '2.99206328']"
154,['0.01000000']
155,['0.00600000']
156,"['0.00337422', '0.00330766', '0.00500000', '0.00276196', '0.06000000', '0.00697872', '0.01680000', '0.00090000', '0.00090000', '0.01770972', '0.00040000', '0.00011922', '0.00280000', '0.00003189']"
157,['0.00500000']
158,['0.00142434']
159,"['0.00600000', '2.96622666', '0.00969612']"
160,"['0.00327962', '0.00797347', '0.00980000', '0.05900000', '0.02000000']"
161,['3.98271727']
162,"['0.00500000', '0.00017432']"
163,"['0.00038000', '0.00084400', '0.00016296', '0.00263338']"
164,['0.00575048']
165,['0.00700000']
166,['0.00074511']
167,['0.00752924']
168,"['0.00963986', '0.00017000', '0.00021000']"
169,['0.00880000']
170,"['0.00001396', '0.01000000', '0.00003465']"
171,"['0.00100000', '0.00040000']"
172,['0.00198633']
173,['0.00451808']
174,"['0.00001398', '0.00500000']"
175,"['0.00010000', '0.00090000', '0.00002593', '0.00860000', '0.00001125', '0.00057374']"
176,"['0.00250000', '0.00777940']"
177,"['0.00071395', '0.00980000']"
178,['0.01500000']
179,['0.00436757']
180,['0.00406615']
181,['1.92855471']
182,"['0.00375824', '0.00800000']"
183,['0.02471042']
184,['0.01439233']
185,['0.00095455']
186,['0.00073924']
187,"['0.00327332', '0.01000000']"
188,"['0.00500000', '0.01000000']"
189,"['0.00900000', '0.00225725']"
190,['0.05000000']
191,['0.00318000']
192,"['0.01000000', '0.00090000', '0.00106212', '0.00007136', '0.00010482']"
193,['4.97688808']
194,['0.05000000']
195,['0.01000000']
196,['0.96826113']
197,['4.96586999']
198,['0.01000000']
199,"['0.00099000', '0.00900000', '0.00900000']"
200,"['0.00014000', '0.00100000', '0.00089242']"
201,"['0.00010000', '0.00044827', '0.00180000', '0.00200000', '0.00090000', '0.00028000', '0.00050000', '0.00170000']"
202,"['0.00015255', '0.00007611']"
203,['0.02959206']
204,['0.00190110']
205,"['0.01000000', '0.00390000']"
206,['0.02400000']
207,['0.03000000']
208,['0.09990000']
209,['0.01592167']
210,['0.00078034']
211,['0.05000000']
212,['2.88187643']
213,['3.88267856']
214,['0.00990000']
215,"['0.07024500', '0.00390000', '0.00088419']"
216,"['0.00873090', '0.00019558', '0.00097600', '0.00005460', '0.00006080', '0.00000821']"
217,"['0.04796738', '0.00180000', '0.00229870', '0.04798250']"
218,['0.09980000']
219,['0.00039116']
220,"['0.00018873', '0.00005460']"
221,"['0.00002668', '0.06000000', '0.03160890', '0.02310000', '0.00963126']"
