id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srdltd,1,0,2,0.00923370,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srdltd,1,0,2,0.00164529,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4548
4,0.00329000,0.00005351,0.00025725,0.000257259615385,knapsack,2,0,2,0.00006396,22,21,3618
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00008310,21,21,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,21,21,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,21,21,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srdltd,1,0,2,0.00691780,21,21,1910
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srdltd,1,0,2,1.99347343,22,22,1865
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srdltd,1,0,2,4.99984483,22,22,1066
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00018283,29,29,785
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srdltd,1,0,2,0.00678997,30,30,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srdltd,1,0,2,0.00213510,30,30,2030
14,0.00010200,0.00001863,0.00013210,0.000132127659574,srdltd,1,0,2,0.99987937,30,30,1309
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srdltd,1,0,2,0.00605187,36,36,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,36,35,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srdltd,1,0,2,0.99680780,37,37,5026
18,0.00665800,0.00009979,0.00047972,0.000479759615385,srdltd,2,0,2,0.00655621,37,36,7334
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srdltd,1,0,2,0.00560684,36,36,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,36,35,6513
21,0.00110000,0.00011444,0.00058609,0.000646553672316,bnb,2,0,1,,35,33,7622
22,0.00209300,0.00004210,0.00032686,0.000382727272727,bnb,1,0,1,,33,32,2157
23,0.00332600,0.00005110,0.00023312,0.000288700564972,bnb,2,0,1,,32,30,2770
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srdltd,1,0,2,0.00553006,30,30,1682
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srdltd,1,0,2,3.99664522,30,30,1740
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srdltd,1,0,2,0.99478508,30,30,1596
27,0.00337500,0.00006054,0.00010801,0.000117325581395,bnb,7,0,1,,30,23,840
28,0.00300000,0.00001400,0.00009927,0.0000992907801418,knapsack,1,0,2,0.00030000,23,23,984
29,0.00294600,0.00003250,0.00005283,0.0000528455284553,knapsack,8,2,2,0.00001596,23,16,-1716
30,0.00332500,0.00001651,0.00011709,0.000117092198582,knapsack,1,0,2,0.00055849,17,17,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,knapsack,1,0,2,0.00218871,17,17,1149
32,0.00330000,0.00000897,0.00006361,0.0000636170212766,knapsack,1,0,2,0.00229787,17,17,631
33,0.00336300,0.00001638,0.00007874,0.00007875000,knapsack,2,0,2,0.00110720,17,16,637
34,0.00333400,0.00000415,0.00002942,0.0000294326241135,knapsack,1,0,2,0.00271372,19,19,293
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00025274,19,19,404
36,0.00300100,0.00000662,0.00003180,0.0000318269230769,knapsack,2,0,2,0.00070610,19,18,-147
37,0.00332900,0.00000602,0.00002890,0.0000289423076923,knapsack,2,0,2,0.00037108,19,18,-196
38,0.00332700,0.00000498,0.00002392,0.0000239423076923,srdltd,2,0,2,0.00777522,18,17,-279
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,knapsack,1,0,2,0.00322596,17,17,229
40,0.00322700,0.00001492,0.00003845,0.0000842937853107,knapsack,2,0,1,,17,15,-36
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00444947,15,15,401
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00246087,16,16,324
43,0.00322000,0.00001007,0.00002925,0.0000292732558140,knapsack,4,0,2,0.00005462,16,13,-1153
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,knapsack,1,0,2,0.00417503,15,15,254
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,knapsack,1,0,2,0.00194346,16,16,456
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,knapsack,1,0,2,0.00173821,16,16,365
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00086473,16,16,312
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,knapsack,1,0,2,0.00065749,17,17,224
49,0.00322600,0.00000653,0.00003136,0.0000313942307692,srdltd,2,0,2,0.03218002,17,16,-158
50,0.00334300,0.00000408,0.00002891,0.0000289361702128,knapsack,1,0,2,0.00082795,16,16,181
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00331533,16,16,223
52,0.00332500,0.00000733,0.00003523,0.0000352403846154,knapsack,2,0,2,0.00009300,16,15,-94
53,0.00332500,0.00001643,0.00007896,0.0000789903846154,srdltd,2,0,2,4.99733135,15,14,635
54,0.00332500,0.00000459,0.00003255,0.0000325531914894,knapsack,1,0,2,0.00967041,14,14,319
55,0.00332500,0.00000362,0.00002561,0.0000256737588652,knapsack,1,0,2,0.00634179,14,14,112
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00333766,14,14,148
57,0.00332700,0.00000581,0.00002793,0.0000279326923077,srdltd,2,0,2,4.99476754,14,13,-356
58,0.00332500,0.00000723,0.00003473,0.0000347596153846,srdltd,2,0,2,0.01270437,13,12,-241
59,0.00300000,0.00000443,0.00003138,0.0000314184397163,knapsack,1,0,2,0.00033323,12,12,206
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.00937134,12,12,318
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,knapsack,1,0,2,0.00603971,12,12,220
62,0.00332800,0.00000542,0.00003837,0.0000384397163121,knapsack,1,0,2,0.00270629,12,12,274
63,0.00332900,0.00000582,0.00002798,0.0000279807692308,knapsack,2,0,2,0.00002896,12,11,-317
64,0.00333000,0.00000561,0.00003974,0.0000397872340426,knapsack,1,0,2,0.01236439,11,11,289
65,0.00332500,0.00000741,0.00003559,0.000035625000,srdltd,2,0,2,4.99152813,11,10,-563
66,0.00332500,0.00000371,0.00002628,0.0000263120567376,knapsack,1,0,2,0.00903568,10,10,-204
67,0.00333500,0.00000424,0.00003005,0.0000300709219858,knapsack,1,0,2,0.00569644,10,10,-181
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,knapsack,1,0,2,0.00236732,10,10,-189
69,0.00332500,0.00000352,0.00002495,0.0000249645390071,knapsack,1,0,2,0.02167148,10,10,-231
70,0.00300000,0.00000383,0.00002712,0.0000271631205674,knapsack,1,0,2,0.01866765,10,10,-209
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,knapsack,1,0,2,0.01544986,10,10,-72
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,knapsack,1,0,2,0.00035704,11,11,257
73,0.00320000,0.00001408,0.00006768,0.0000676923076923,srdltd,2,0,2,0.02929917,11,10,-13
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,knapsack,1,0,2,0.01211909,10,10,-73
75,0.00330000,0.00000442,0.00003128,0.0000313475177305,knapsack,1,0,2,0.00881467,10,10,-169
76,0.00339300,0.00000534,0.00003786,0.0000378723404255,knapsack,1,0,2,0.00541633,10,10,-89
77,0.00332700,0.00000654,0.00004632,0.0000463829787234,knapsack,1,0,2,0.00208279,10,10,-6
78,0.00334100,0.00001312,0.00004752,0.0000475362318841,knapsack,3,0,2,0.00008571,10,8,-705
79,0.00332700,0.00000714,0.00005059,0.0000506382978723,knapsack,1,0,2,0.02596503,8,8,45
80,0.00332900,0.00000544,0.00003857,0.0000385815602837,knapsack,1,0,2,0.02263059,9,9,-74
81,0.00932800,0.00000426,0.00003020,0.0000302127659574,knapsack,1,0,2,0.01329833,9,9,-142
82,0.00333000,0.00000773,0.00005482,0.0000548226950355,knapsack,1,0,2,0.00996060,10,10,86
83,0.00332500,0.00001011,0.00007168,0.0000717021276596,knapsack,1,0,2,0.00662549,10,10,254
84,0.00332500,0.00000925,0.00006554,0.0000656028368794,knapsack,1,0,2,0.00329124,10,10,218
85,0.00300000,0.00000745,0.00005282,0.0000528368794326,knapsack,1,0,2,0.00028379,10,10,92
86,0.02047700,0.00000573,0.00004059,0.0000406382978723,knapsack,1,0,2,0.97430235,10,10,-16
87,0.00172200,0.00000365,0.00002583,0.0000258865248227,knapsack,1,0,2,0.00737435,10,10,-162
88,0.00265000,0.00000786,0.00005570,0.0000557446808511,knapsack,1,0,2,0.00471649,11,11,133
89,0.00333000,0.00000750,0.00005315,0.0000531914893617,knapsack,1,0,2,0.00137899,11,11,108
90,0.00332500,0.00000593,0.00004202,0.0000420567375887,knapsack,1,0,2,0.01380907,11,11,-2
91,0.01500000,0.00000535,0.00002572,0.0000257211538462,knapsack,2,0,2,0.00018271,12,11,-669
92,0.00100000,0.00000323,0.00002289,0.0000229078014184,knapsack,1,0,2,0.02899677,11,11,-192
93,0.01000000,0.00000350,0.00002479,0.0000248226950355,knapsack,1,0,2,0.01899327,11,11,-173
94,0.00200000,0.00000771,0.00005464,0.0000546808510638,knapsack,1,0,2,0.01698556,14,14,64
95,0.00200000,0.00000463,0.00003280,0.0000328368794326,knapsack,1,0,2,0.01498093,14,14,-152
96,0.00200000,0.00001054,0.00007472,0.0000747517730496,knapsack,1,0,2,0.00098946,17,17,263
97,0.00100000,0.00001792,0.00012707,0.000127092198582,srdltd,1,0,2,0.01396301,17,17,794
98,0.01500000,0.00002381,0.00008674,0.0000971836734694,bnb,3,0,1,,20,17,-24
99,0.00200000,0.00001682,0.00008082,0.0000808653846154,knapsack,2,0,2,0.00013651,17,16,206
100,0.00200000,0.00000735,0.00005212,0.0000521276595745,knapsack,1,0,2,0.00279265,16,16,52
101,0.00457300,0.00000884,0.00006264,0.0000626950354610,knapsack,1,0,2,0.01031816,16,16,164
102,0.00200000,0.00001167,0.00002977,0.0000372843450479,bnb,4,0,1,,26,22,-1679
103,0.00300000,0.00000947,0.00003429,0.0000343115942029,knapsack,3,0,2,0.00000540,24,22,-970
104,0.00100000,0.00000748,0.00005302,0.0000530496453901,knapsack,1,0,2,0.00006974,26,26,107
105,0.00300000,0.00001572,0.00004568,0.0000456976744186,knapsack,4,0,2,0.00005402,26,23,-1073
106,0.00152800,0.00000882,0.00006253,0.0000625531914894,knapsack,1,0,2,0.00046318,24,24,217
107,0.00210000,0.00001490,0.00007160,0.0000716346153846,knapsack,2,0,2,0.00005970,28,27,113
108,0.00100000,0.00000540,0.00002624,0.0000305084745763,bnb,2,0,1,,30,28,-931
109,0.00492000,0.00001126,0.00004079,0.0000407971014493,knapsack,3,0,2,0.00002276,30,28,-818
110,0.00110000,0.00000558,0.00003952,0.0000395744680851,knapsack,1,0,2,0.00009442,30,30,-11
111,0.00050000,0.00001217,0.00003536,0.0000353779069767,knapsack,4,0,2,0.00002574,31,28,-1370
112,0.00413200,0.00001183,0.00005686,0.000056875000,knapsack,2,0,2,0.00005617,30,29,-133
113,0.00310000,0.00001165,0.00005597,0.0000560096153846,knapsack,2,0,2,0.00046478,29,28,-148
114,0.00536100,0.00002023,0.00004908,0.0000491019417476,knapsack,5,0,2,0.00000566,31,27,-1301
115,0.00100000,0.00001430,0.00010135,0.000101418439716,srdltd,1,0,2,0.01678570,27,27,601
116,0.00370900,0.00000968,0.00004653,0.0000465384615385,knapsack,2,0,2,0.00000706,28,27,-305
117,0.00013000,0.00001376,0.00009757,0.0000975886524823,knapsack,1,0,2,0.00085624,28,28,563
118,0.00556800,0.00000716,0.00003438,0.0000344230769231,knapsack,2,0,2,0.00008108,28,27,-581
119,0.00300000,0.00001272,0.00003981,0.0000519183673469,bnb,3,0,1,,38,35,-936
120,0.00924800,0.00002362,0.00003883,0.0000404452054795,bnb,8,0,1,,37,29,-3242
121,0.00500000,0.00000716,0.00003440,0.0000344230769231,knapsack,2,0,2,0.00004010,32,31,-509
122,0.00337500,0.00001472,0.00005332,0.0000533333333333,knapsack,3,0,2,0.00010528,32,30,-509
123,0.00850000,0.00002412,0.00008736,0.0000873913043478,knapsack,3,0,2,0.00001958,30,28,292
124,0.00800000,0.00001958,0.00010512,0.000110621468927,bnb,2,0,1,,29,27,156
125,0.01000000,0.00002000,0.00007824,0.0000816326530612,bnb,3,0,1,,27,24,-369
126,0.01500500,0.00001330,0.00003228,0.0000322815533981,knapsack,5,0,2,0.00002180,24,20,-1995
127,0.00200000,0.00000694,0.00003336,0.0000333653846154,knapsack,2,0,2,0.00001486,20,19,-526
128,0.00134400,0.00000550,0.00003894,0.0000390070921986,knapsack,1,0,2,0.00319635,19,19,-18
129,0.00321900,0.00001299,0.00006243,0.0000624519230769,knapsack,2,0,2,0.00006964,20,19,-40
130,0.00610000,0.00000898,0.00006365,0.0000636879432624,knapsack,1,0,2,0.00179102,19,19,166
131,0.00610000,0.00001118,0.00005371,0.00005375000,knapsack,2,0,2,0.00047984,19,18,-246
132,0.00634000,0.00000546,0.00003869,0.0000387234042553,knapsack,1,0,2,0.00165454,18,18,-81
