id,input_amounts
0,['0.00329000']
1,['0.00940000']
2,['0.00500000']
3,['0.00483000']
4,"['0.00329000', '0.00011747']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,['0.00794500']
9,['2.00000000']
10,['5.00000000']
11,['0.00329400']
12,['0.00691780']
13,['0.00329600']
14,['1.00000000']
15,['0.01010000']
16,['0.00103200']
17,['0.99987937']
18,"['0.00331400', '0.01000000']"
19,['0.00678997']
20,['0.00100000']
21,"['0.00056976', '0.00064468']"
22,['0.00213510']
23,"['0.00329400', '0.00008310']"
24,['0.00980000']
25,['4.00000000']
26,['0.99680780']
27,"['0.00014860', '0.00023909', '0.00164529', '0.00109000', '0.00006396', '0.00014860', '0.00010000']"
28,['0.00331400']
29,"['0.00000200', '0.00030000', '0.00100000', '0.00050000', '0.00018283', '0.00090000', '0.00010863', '0.00000100']"
30,['0.00390000']
31,['0.00553006']
32,['0.00560684']
33,"['0.00229787', '0.00218871']"
34,['0.00605187']
35,['0.00055849']
36,"['0.00100000', '0.00271372']"
37,"['0.00070610', '0.00300000']"
38,"['0.01000000', '0.00110720']"
39,['0.00655621']
40,"['0.00322596', '0.00001596']"
41,['0.00777522']
42,['0.00444947']
43,"['0.00020000', '0.00025274', '0.00246087', '0.00037108']"
44,['0.00923370']
45,['0.00300000']
46,['0.00194346']
47,['0.00173821']
48,['0.00086473']
49,"['0.03535793', '0.00005462']"
50,['0.00417503']
51,['0.01000000']
52,"['0.00011000', '0.00331533']"
53,"['0.00082795', '4.99984483']"
54,['0.01300000']
55,['0.00967041']
56,['0.00634179']
57,"['0.00076900', '4.99733135']"
58,"['0.01569000', '0.00034660']"
59,['0.00333766']
60,['0.01270437']
61,['0.00937134']
62,['0.00603971']
63,"['0.00270629', '0.00065749']"
64,['0.01570000']
65,"['4.99476754', '0.00009300']"
66,['0.01236439']
67,['0.00903568']
68,['0.00569644']
69,['0.02500000']
70,['0.02167148']
71,['0.01866765']
72,['0.00236732']
73,"['0.03218002', '0.00033323']"
74,['0.01544986']
75,['0.01211909']
76,['0.00881467']
77,['0.00541633']
78,"['0.00035704', '0.00208279', '0.00100000']"
79,['0.02929917']
80,['0.02596503']
81,['0.02263059']
82,['0.01329833']
83,['0.00996060']
84,['0.00662549']
85,['0.00329124']
86,['0.99478508']
87,['0.00910000']
88,['0.00737435']
89,['0.00471649']
90,['0.01714000']
91,"['0.00137899', '0.01380907']"
92,['0.03000000']
93,['0.02899677']
94,['0.01899327']
95,['0.01698556']
96,['0.00300000']
97,['0.01498093']
98,"['0.00100000', '0.00006080', '0.01396301']"
99,"['0.00116387', '0.00098946']"
100,['0.00480000']
101,['0.01490000']
102,"['0.00002896', '0.00018271', '0.00100000', '0.00080000']"
103,"['0.00013651', '0.00279265', '0.00008571']"
104,['0.00107722']
105,"['0.00100000', '0.00006974', '0.00100000', '0.00100000']"
106,['0.00200000']
107,"['0.00046318', '0.00171142']"
108,"['0.00100000', '0.00000540']"
109,"['0.00005402', '0.00390000', '0.00100000']"
110,['0.00120000']
111,"['0.00010000', '0.00028379', '0.00005970', '0.00009442']"
112,"['0.00300000', '0.00120000']"
113,"['0.00087643', '0.00270000']"
114,"['0.00444318', '0.00040000', '0.00002276', '0.00046478', '0.00005617']"
115,['0.01780000']
116,"['0.00370000', '0.00002574']"
117,['0.00100000']
118,"['0.00085624', '0.00480000']"
119,"['0.00000706', '0.00300000', '0.00000566']"
120,"['0.00008000', '0.00025639', '0.00008108', '0.00006000', '0.00200000', '0.00091371', '0.00360000', '0.00228044']"
121,"['0.00163049', '0.00341677']"
122,"['0.00169500', '0.00090000', '0.00090000']"
123,"['0.00290000', '0.00464370', '0.00100000']"
124,"['0.00001958', '0.00800000']"
125,"['0.00110000', '0.00300000', '0.00592000']"
126,"['0.00004010', '0.00490000', '0.00010000', '0.00500000', '0.00500000']"
127,"['0.00200000', '0.00002180']"
128,['0.00454585']
129,"['0.00319635', '0.00010528']"
130,['0.00790000']
131,"['0.00179102', '0.00480000']"
132,['0.00800000']
133,['0.01109159']
134,"['0.00001486', '0.00226500', '0.00047984']"
135,"['0.00500000', '0.00500000', '0.00006964']"
136,"['0.01000000', '0.00006126']"
137,['0.00213902']
138,"['0.00008743', '0.00013380', '0.00049540', '0.00100000']"
139,['0.00165454']
140,"['0.00100000', '0.00900000', '0.00004753', '0.00300000']"
141,['0.00500000']
142,"['0.00003835', '0.00200000']"
143,['0.00069882']
144,"['0.00180000', '0.00070000']"
145,"['0.00038256', '0.00002994', '0.00005191', '0.00880000']"
146,"['0.00024428', '0.00280000']"
147,['0.00299291']
148,"['0.00300000', '0.00290000']"
149,['0.01000000']
150,"['0.00880000', '0.00132340']"
151,"['0.00900000', '0.00263338', '0.01680000', '0.00500000', '0.00019413', '0.00860000', '0.01678570']"
152,['0.01031816']
153,"['0.03500000', '0.01450000', '0.00039854', '0.00013903']"
154,"['0.00600000', '0.00980000']"
155,['0.00581557']
156,"['0.01500000', '0.01000000', '0.00829536', '0.00600000', '0.06000000', '0.00090000', '0.01000000', '0.01000000', '0.00090000']"
157,['0.00500000']
158,['0.00142790']
159,"['0.00007165', '0.00040000', '0.01990000', '0.02000000', '0.00001221', '0.05000000', '0.00963986']"
160,"['0.00084400', '0.04000000', '0.00057866', '0.05900000']"
161,['0.97430235']
162,['0.00700000']
163,"['0.00260901', '0.00199320']"
164,['0.00969612']
165,"['0.00038000', '0.00468854']"
166,"['0.00021000', '0.00059314']"
167,['0.00800000']
168,"['0.00000586', '0.01000000']"
169,"['0.00006123', '0.00100000']"
170,"['0.01000000', '0.00005689']"
171,['0.00499480']
172,['0.00361931']
173,['0.02471042']
174,"['0.00002012', '0.00500000']"
175,['0.02020658']
176,"['0.00999921', '0.00017000', '0.00010000']"
177,"['0.00040000', '0.00040414', '0.00980000']"
178,['0.02959206']
179,['0.00090000']
180,['0.00053586']
181,['0.03000000']
182,['0.05000000']
183,['0.01891312']
184,['0.05000000']
185,['0.01966782']
186,['0.00234426']
187,['4.99152813']
188,['0.07024500']
189,['1.99347343']
190,['3.99664522']
191,['0.01000000']
192,"['0.01938914', '0.00787068']"
193,['4.98037548']
194,['0.01000000']
