id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srdltd,1,0,2,0.00483370,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srdltd,1,0,2,2.99664529,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4548
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srdltd,1,0,2,2.99331901,22,22,2548
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00007910,22,22,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srdltd,1,0,2,3.99957485,22,22,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,22,22,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srdltd,1,0,2,0.00226680,22,22,1910
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srdltd,1,0,2,0.00917343,23,23,1865
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srdltd,1,0,2,0.00901826,23,23,1066
11,0.00310000,0.00002761,0.00007917,0.0000882108626198,bnb,4,0,1,,30,26,-292
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,27,27,1884
13,0.00113200,0.00004263,0.00020493,0.000204951923077,srdltd,2,0,2,1.99897397,27,26,2744
14,0.00010200,0.00001863,0.00013210,0.000132127659574,knapsack,1,0,2,0.00037937,26,26,1309
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srdltd,1,0,2,0.02095187,32,32,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,32,31,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,knapsack,1,0,2,0.00022243,33,33,5026
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srdltd,1,0,2,0.01422622,33,33,4751
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srdltd,1,0,2,0.00211287,33,33,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,33,32,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srdltd,1,0,2,0.00821736,32,32,5803
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srdltd,1,0,2,0.00786091,32,32,3237
23,0.00332600,0.00004849,0.00023312,0.000233125000,srdltd,2,0,2,0.01340551,32,31,3215
24,0.00424600,0.00003337,0.00016975,0.000188531073446,bnb,2,0,1,,31,29,1264
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srdltd,1,0,2,0.01005073,29,29,1740
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srdltd,1,0,2,0.00281098,29,29,1596
27,0.00337500,0.00002763,0.00010801,0.000156101694915,bnb,2,0,1,,29,27,949
28,0.00300000,0.00003364,0.00009927,0.000137306122449,bnb,3,0,1,,27,24,907
29,0.00294600,0.00001818,0.00005283,0.0000528488372093,knapsack,4,2,2,0.00007223,24,21,-436
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srdltd,1,0,2,0.00567675,22,22,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srdltd,1,0,2,0.00233540,22,22,1149
32,0.00330000,0.00001324,0.00006361,0.0000636538461538,srdltd,2,0,2,0.00773749,22,21,384
33,0.00336300,0.00002323,0.00007874,0.000131242937853,bnb,2,0,1,,21,19,632
34,0.00333400,0.00000612,0.00002942,0.0000294230769231,knapsack,2,0,2,0.00007388,22,21,-186
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00026401,21,21,404
36,0.00300100,0.00000878,0.00003180,0.0000318115942029,knapsack,3,0,2,0.00004418,21,19,-610
37,0.00332900,0.00000602,0.00002890,0.0000289423076923,knapsack,2,0,2,0.00066498,20,19,-196
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,knapsack,1,0,2,0.00440711,19,19,238
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,knapsack,1,0,2,0.00107686,19,19,229
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00462848,19,19,382
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00130273,19,19,405
42,0.00198400,0.00000900,0.00003259,0.0000326086956522,knapsack,3,0,2,0.00001285,20,18,-592
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00472087,18,18,290
44,0.00505500,0.00000542,0.00002602,0.0000260576923077,knapsack,2,0,2,0.00096318,20,19,-245
45,0.00105000,0.00000965,0.00004637,0.0000463942307692,knapsack,2,0,2,0.00010353,20,19,96
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,knapsack,1,0,2,0.00279475,19,19,369
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00192127,19,19,316
48,0.00020400,0.00000953,0.00002292,0.0000538418079096,bnb,2,0,1,,20,18,-504
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,knapsack,1,0,2,0.00498693,18,18,312
50,0.00334300,0.00000408,0.00002891,0.0000289361702128,knapsack,1,0,2,0.00163985,18,18,287
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00311533,18,18,329
52,0.00332500,0.00000733,0.00003523,0.0000352403846154,knapsack,2,0,2,0.00012960,18,17,-90
53,0.00332500,0.00001643,0.00007896,0.0000789903846154,knapsack,2,0,2,0.00021969,17,16,639
54,0.00332500,0.00000459,0.00003255,0.0000325531914894,knapsack,1,0,2,0.00667041,16,16,323
55,0.00332500,0.00000362,0.00002561,0.0000256737588652,knapsack,1,0,2,0.00334179,16,16,255
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00033766,16,16,291
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00666906,16,16,277
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,knapsack,1,0,2,0.00333916,16,16,345
59,0.00300000,0.00000443,0.00003138,0.0000314184397163,knapsack,1,0,2,0.00033473,16,16,312
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.00676697,16,16,424
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,knapsack,1,0,2,0.00343534,16,16,326
62,0.00332800,0.00000542,0.00003837,0.0000384397163121,knapsack,1,0,2,0.00010192,16,16,380
63,0.00332900,0.00000395,0.00002798,0.0000282142857143,knapsack,1,0,2,0.00966705,16,16,278
64,0.00333000,0.00000561,0.00003974,0.0000397872340426,knapsack,1,0,2,0.00633144,16,16,395
65,0.00332500,0.00000502,0.00003559,0.0000356028368794,knapsack,1,0,2,0.00300142,16,16,354
66,0.00332500,0.00001088,0.00002628,0.0000347603833866,bnb,4,0,1,,16,12,-1743
67,0.00333500,0.00000424,0.00003005,0.0000300709219858,knapsack,1,0,2,0.01088698,12,12,-166
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,knapsack,1,0,2,0.00755786,12,12,-175
69,0.00332500,0.00000352,0.00002495,0.0000249645390071,knapsack,1,0,2,0.00422934,12,12,-217
70,0.00300000,0.00000383,0.00002712,0.0000271631205674,knapsack,1,0,2,0.00122551,12,12,-195
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,knapsack,1,0,2,0.03214014,12,12,-58
72,0.00200000,0.00002750,0.00007284,0.0000878594249201,knapsack,4,0,1,,13,9,-295
73,0.00320000,0.00000955,0.00006768,0.0000677304964539,knapsack,1,0,2,0.02893059,9,9,206
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,knapsack,1,0,2,0.02559982,9,9,-59
75,0.00330000,0.00000442,0.00003128,0.0000313475177305,knapsack,1,0,2,0.02229540,9,9,-155
76,0.00339300,0.00000534,0.00003786,0.0000378723404255,knapsack,1,0,2,0.01889706,9,9,-89
77,0.00332700,0.00000654,0.00004632,0.0000463829787234,knapsack,1,0,2,0.01556352,9,9,-6
78,0.00334100,0.00000671,0.00004752,0.0000475886524823,knapsack,1,0,2,0.01221581,9,9,7
79,0.00332700,0.00000714,0.00005059,0.0000506382978723,knapsack,1,0,2,0.00888167,9,9,60
80,0.00332900,0.00000544,0.00003857,0.0000385815602837,knapsack,1,0,2,0.00554723,10,10,-59
81,0.00932800,0.00000426,0.00003020,0.0000302127659574,knapsack,1,0,2,0.99066774,10,10,-132
82,0.00333000,0.00000773,0.00005482,0.0000548226950355,knapsack,1,0,2,0.00220950,11,11,111
83,0.00332500,0.00001979,0.00007168,0.0000717028985507,knapsack,3,0,2,0.00063371,11,9,-105
84,0.00332500,0.00000925,0.00006554,0.0000656028368794,knapsack,1,0,2,0.00576575,9,9,218
85,0.00300000,0.00000745,0.00005282,0.0000528368794326,knapsack,1,0,2,0.00275830,9,9,92
86,0.02047700,0.00000573,0.00004059,0.0000406382978723,knapsack,1,0,2,0.97018501,9,9,-16
87,0.00172200,0.00000365,0.00002583,0.0000258865248227,knapsack,1,0,2,0.00103265,9,9,-162
88,0.00265000,0.00000786,0.00005570,0.0000557446808511,knapsack,1,0,2,0.01448214,10,10,133
89,0.00333000,0.00000750,0.00005315,0.0000531914893617,knapsack,1,0,2,0.01114464,10,10,108
90,0.00332500,0.00000593,0.00004202,0.0000420567375887,knapsack,1,0,2,0.00781371,10,10,-2
