id,input_amounts
0,['0.00329000']
1,['0.00500000']
2,['3.00000000']
3,['0.00483000']
4,['2.99664529']
5,['0.00329000']
6,['4.00000000']
7,['0.00329400']
8,['0.00329400']
9,['0.01570000']
10,['0.00917343']
11,"['0.00011747', '0.00066424', '0.00226680', '0.00007910']"
12,['0.00014860']
13,"['2.00000000', '0.00014860']"
14,['0.00050000']
15,['0.02500000']
16,['0.00103200']
17,['0.00329400']
18,['0.02095187']
19,['0.00329600']
20,['0.00100000']
21,['0.00940000']
22,['0.01000000']
23,"['0.00109000', '0.01569000']"
24,"['0.00390000', '0.00037937']"
25,['0.01340551']
26,['0.00483370']
27,"['0.00010863', '0.00329400']"
28,"['0.00211287', '0.00090000', '0.00002077']"
29,"['0.00000200', '0.00022243', '0.00000100', '0.00281098']"
30,['0.00901826']
31,['0.00567675']
32,"['0.01005073', '0.00100000']"
33,"['0.00007223', '0.00331400']"
34,"['0.00010000', '0.00331400']"
35,['0.00056976']
36,"['0.00007388', '0.00233540', '0.00064468']"
37,"['0.00300000', '0.00100000']"
38,['0.00773749']
39,['0.00440711']
40,['0.00786091']
41,['0.00462848']
42,"['0.00026401', '0.00107686', '0.00066498']"
43,['0.00794500']
44,"['0.00472087', '0.00130273']"
45,"['0.00096318', '0.00020000']"
46,['0.00300000']
47,['0.00279475']
48,"['0.00010353', '0.00011000']"
49,['0.00821736']
50,['0.00498693']
51,['0.00980000']
52,"['0.00311533', '0.00034660']"
53,"['0.00163985', '0.00192127']"
54,['0.01000000']
55,['0.00667041']
56,['0.00334179']
57,['0.01000000']
58,['0.00666906']
59,['0.00333916']
60,['0.01010000']
61,['0.00676697']
62,['0.00343534']
63,['0.01300000']
64,['0.00966705']
65,['0.00633144']
66,"['0.00300142', '0.00010192', '0.00021969', '0.00001285']"
67,['0.01422622']
68,['0.01088698']
69,['0.00755786']
70,['0.00422934']
71,['0.03535793']
72,"['0.00033473', '0.00033766', '0.00012960', '0.00122551']"
73,['0.03214014']
74,['0.02893059']
75,['0.02559982']
76,['0.02229540']
77,['0.01889706']
78,['0.01556352']
79,['0.01221581']
80,['0.00888167']
81,['1.00000000']
82,['0.00554723']
83,"['0.00076900', '0.00220950', '0.00100000']"
84,['0.00910000']
85,['0.00576575']
86,['0.99066774']
87,['0.00275830']
88,['0.01714000']
89,['0.01448214']
90,['0.01114464']
91,['0.97018501']
92,['0.00103265']
93,['0.03000000']
94,['0.00781371']
95,['0.00580600']
96,['0.00300000']
97,['3.99957485']
98,"['0.00002942', '0.00004418', '0.00006080', '0.01490000']"
99,"['0.00116387', '0.00098946']"
100,['0.00380137']
101,['0.00480000']
102,"['0.00021816', '0.00179402']"
103,"['0.00013651', '0.00107722', '0.00080000', '0.00100000']"
104,"['0.00063371', '0.00100000']"
105,"['0.00100000', '0.00062268', '0.00100000', '0.00100000']"
106,"['0.00060696', '0.00100000']"
107,"['0.00171142', '0.00120000']"
108,"['0.00000598', '0.00100000']"
109,"['0.00200000', '0.00300000']"
110,['0.00120000']
111,['0.00079652']
112,"['0.00006595', '0.00009442', '0.00029153', '0.00370000']"
113,"['0.00087643', '0.00270000']"
114,"['0.00100000', '0.00040000', '0.00046478', '0.00010000', '0.00341677']"
115,['0.00200000']
116,['0.00390000']
117,['0.00018443']
118,"['0.00098570', '0.00007151', '0.00454585']"
119,"['0.00200000', '0.00004067', '0.00091371', '0.00006000']"
120,"['0.00480000', '0.00444318', '0.00002557']"
121,"['0.00010000', '0.00228044', '0.00163049', '0.00100000']"
122,"['0.00169500', '0.00090000', '0.00090000']"
123,"['0.00464370', '0.00025639', '0.00360000', '0.00008000']"
124,['1.99897397']
125,"['0.00290000', '0.00592000', '0.00110000', '0.00010528']"
126,"['0.01000000', '0.00005003', '0.00500000']"
127,['0.00300000']
128,['0.00300000']
129,['0.00480000']
130,"['0.00490000', '0.00157219']"
131,"['0.00035895', '0.00099529', '0.00500000']"
132,"['0.00500000', '0.00165050']"
133,"['0.01450000', '0.00001003']"
134,"['0.00030245', '0.00226500', '0.00023941']"
135,"['0.00790000', '0.00049540', '0.01000000']"
136,"['0.00800000', '0.00213902']"
137,['0.00300000']
138,"['0.00100000', '0.00099478']"
139,['0.00350390']
140,"['0.00600000', '0.00003612', '0.00028675', '0.00500000', '0.00069882', '0.00100000']"
141,"['0.00189689', '0.00012967']"
142,"['0.00200000', '0.00001611']"
143,['0.00070000']
144,['0.00280000']
145,"['0.00300000', '0.00600000', '0.00024546', '0.00004753']"
146,['0.00500000']
147,['0.00180000']
148,"['0.00068817', '0.00500000', '0.00013049']"
149,"['0.00196007', '0.00800000']"
150,"['0.00002747', '0.01999650']"
151,"['0.00900000', '0.01029911', '0.00005509', '0.00290000', '0.00980000', '0.00900000', '0.00015188', '0.00000770', '0.00000656', '0.01780000']"
152,['3.99855693']
153,"['0.00860000', '0.00880000', '0.00880000', '0.00090000', '0.00090000', '0.00263338', '0.00838702', '0.01109159']"
154,"['0.01000000', '0.01680000']"
155,['0.00969612']
156,"['0.01500000', '0.06000000', '0.00500000', '0.03500000', '0.00648956']"
157,['0.01000000']
158,"['0.00040000', '0.00047526']"
159,"['0.05000000', '0.01000000', '0.00002353', '0.04000000']"
160,"['0.01990000', '0.05900000', '0.01681557', '0.00642790']"
161,['0.95518138']
162,['0.00700000']
163,"['0.00199320', '0.00212495']"
164,['0.00963986']
165,"['0.00463228', '0.00038000']"
166,"['0.03300000', '0.00006665']"
167,"['0.01000000', '0.00000497']"
168,"['0.00001230', '0.01000000']"
169,"['0.00000665', '0.00100000']"
170,"['0.00800000', '0.00699730']"
171,"['0.00040000', '0.00017000', '0.00084400']"
172,['0.00496053']
173,"['0.00368548', '0.00090000']"
174,"['0.00500000', '0.00003326']"
175,['0.02000000']
176,"['0.00979263', '0.00010908', '0.00021000', '0.00010000', '0.00002415']"
177,"['0.00250000', '0.00980000']"
178,['0.02471042']
179,['0.00179185']
180,['0.00142771']
181,['5.00000000']
