id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srdltd,1,0,2,0.00314770,22,22,4585
2,0.00329400,0.00008955,0.00043052,0.000430528846154,srdltd,2,0,2,4.99676505,22,21,6511
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,21,21,4548
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srdltd,1,0,2,0.01236372,21,21,2548
5,0.00319400,0.00002493,0.00011981,0.000119855769231,knapsack,2,0,2,0.00004624,21,20,1322
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,20,20,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064068,20,20,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srdltd,1,0,2,0.00691780,20,20,1910
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srdltd,1,0,2,4.99023848,21,21,1865
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srdltd,1,0,2,1.99984483,21,21,1066
11,0.00310000,0.00001647,0.00007917,0.0000791826923077,srdltd,2,0,2,0.00957753,28,27,644
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srdltd,1,0,2,0.00318617,28,28,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srdltd,1,0,2,0.00202527,28,28,2030
14,0.00010200,0.00001863,0.00013210,0.000132127659574,srdltd,1,0,2,0.01557937,28,28,1309
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srdltd,1,0,2,0.00095187,34,34,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,34,33,1325
17,0.00300000,0.00010558,0.00050756,0.000507596153846,srdltd,2,0,2,0.02253510,35,34,7798
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srdltd,1,0,2,0.99327435,34,34,4751
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srdltd,1,0,2,0.00573467,34,34,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,34,33,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srdltd,1,0,2,0.00084263,33,33,5803
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srdltd,1,0,2,2.99786091,33,33,3237
23,0.00332600,0.00004849,0.00023312,0.000233125000,srdltd,2,0,2,0.99004846,33,32,3215
24,0.00424600,0.00004611,0.00016975,0.000188204081633,bnb,3,0,1,,32,29,1858
