id,input_amounts
0,['0.00329000']
1,['0.00331400']
2,"['0.00014860', '5.00000000']"
3,['0.00483000']
4,['0.01569000']
5,"['0.00314770', '0.00011747']"
6,['0.00066424']
7,['0.00329000']
8,['0.00794500']
9,['4.99676505']
10,['2.00000000']
11,"['0.00940000', '0.00329400']"
12,['0.00331400']
13,['0.00318617']
14,['0.01570000']
15,['0.00500000']
16,['0.00103200']
17,"['0.02500000', '0.00064068']"
18,['1.00000000']
19,['0.00691780']
20,['0.00100000']
21,['0.00202527']
22,['3.00000000']
23,"['0.99327435', '0.00014860']"
24,"['0.00329400', '0.00095187', '0.00004624']"
25,['0.00573467']
26,"['0.00109000', '0.00084263', '0.00010863']"
27,"['0.00010000', '0.00329600']"
28,"['0.00237989', '0.00000200', '0.00023909', '0.00050000', '0.00000100']"
29,['0.00329400']
30,"['0.00008108', '0.00329400']"
31,['0.00390000']
32,"['0.00100000', '0.00090000', '0.00034055', '0.00056976', '0.00055865']"
33,['0.00957753']
34,['0.00620342']
35,['0.00100000']
36,"['0.00069425', '0.00286527']"
37,"['0.00055190', '0.00300000']"
38,['0.00980000']
39,['0.00646962']
40,"['0.00021688', '0.00313937']"
41,['0.01000000']
42,['0.00667425']
43,['0.00468565']
44,['0.01000000']
45,['0.00146152']
46,"['0.00002572', '0.00020000']"
47,['0.00300000']
48,"['0.00011000', '0.00012125']"
49,['0.00494133']
50,"['0.00171090', '0.00212652']"
51,['0.01000000']
52,"['0.00001798', '0.00331533']"
53,['0.01010000']
54,['0.00676386']
55,"['0.00048840', '0.99004846']"
56,['0.00343427']
57,"['0.00004275', '0.01236372']"
58,['0.00907366']
59,['0.00574376']
60,"['0.00040498', '0.00034660', '0.00273933']"
61,['0.01300000']
62,['0.00966837']
63,['0.00633495']
64,"['0.00300200', '0.00043014']"
65,['0.01557937']
66,['0.01224935']
67,"['0.00015211', '1.99984483']"
68,['0.00892064']
69,['0.00559152']
70,"['0.00076900', '0.00226300']"
71,['0.02253510']
72,['0.01931731']
73,['0.01730703']
74,['0.01409748']
75,['0.01076671']
76,['0.00746229']
77,['0.00406395']
78,['0.03535793']
79,['0.03201022']
80,['0.02867608']
81,['0.02534164']
82,['0.01600938']
83,"['4.00000000', '0.00002248']"
84,['0.00910000']
85,['0.00576575']
86,['0.98720653']
87,"['0.00100000', '0.00002635', '3.99668257']"
88,['0.00275830']
89,"['0.00073041', '0.01267165']"
90,['0.01006100']
91,['0.01714000']
92,['0.00213637']
93,['0.03000000']
94,"['0.00116387', '0.00113314']"
95,['0.00673007']
96,['0.00300000']
97,['3.99597979']
98,"['0.00009387', '0.00006080', '0.01490000']"
99,"['0.00098946', '0.00003072', '0.00100000']"
100,['0.00472544']
101,['0.00480000']
102,"['0.00100000', '0.00080000', '0.00021816']"
103,"['0.00300000', '0.00000994']"
104,['0.00107722']
105,"['0.00006974', '0.00100000', '0.00100000', '0.00100000']"
106,['0.00200000']
107,"['0.00010044', '0.00028564', '0.00171142', '0.00005402']"
108,"['0.00100000', '0.00002688']"
109,"['0.00120000', '0.00002142', '0.00100000', '0.00271809']"
110,['0.00120000']
111,"['0.00046318', '0.00009442']"
112,"['0.00200000', '0.00010000', '0.00005024', '0.00200000']"
113,"['0.00087643', '0.00270000']"
114,"['0.00040000', '0.00500000']"
115,['0.00444318']
116,"['0.00002879', '0.00370000']"
117,['0.00046478']
118,"['0.00228044', '0.00300000', '0.00032102']"
119,['0.00341677']
120,"['0.00041115', '0.00091371', '0.00002397', '0.00010000', '0.00000547', '0.00100000', '0.00480000', '0.00163049', '0.00006000', '0.00025639', '0.00008000']"
121,"['0.00500000', '0.00001011']"
122,['0.00342888']
123,"['0.00004636', '0.00290000', '0.00390000', '0.00169500']"
124,['4.99023848']
125,"['0.00110000', '0.00300000', '0.00592000']"
126,"['0.00100000', '0.00454585', '0.00090000', '0.00790000', '0.00090000']"
127,['0.00360000']
128,"['0.01780000', '0.00022755']"
129,['0.00464370']
130,"['0.00480000', '0.00141589']"
131,"['0.00159529', '0.00490000']"
132,['0.00800000']
133,"['0.00165454', '0.00900000', '0.00038411']"
134,['0.00500000']
135,"['0.00001130', '0.00226500', '0.00224425', '0.00500000', '0.00049540']"
136,"['0.01000000', '0.00003052']"
137,['0.00213902']
138,['0.00300000']
139,"['0.00129455', '0.00100000']"
140,"['0.00010265', '0.01109159', '0.00100000', '0.00013380', '0.00068421']"
141,['0.00500000']
142,"['0.00002117', '0.00200000']"
143,['0.00069882']
144,"['0.00070000', '0.00180000', '0.00000344']"
145,"['0.00299291', '0.00600000', '0.00038030']"
146,"['0.00280000', '0.00024428']"
147,['0.00300000']
148,['0.00600000']
149,['0.01000000']
150,"['0.00133049', '0.00024160', '0.00019413', '0.00800000']"
151,"['0.00900000', '0.00263338', '0.00011075', '0.01667545', '0.00880000', '0.00500000', '0.01680000']"
152,['0.00969612']
153,"['0.00090000', '0.00767332', '0.00290000', '0.01999650', '0.00880000', '0.00980000']"
154,['0.01000000']
155,['0.00860000']
156,"['0.01000000', '0.00090000', '0.01000000', '0.01500000', '0.01450000', '0.00539344', '0.06000000', '0.00500000', '0.00040000']"
157,['0.01990000']
158,['0.00963986']
159,"['0.01632790', '0.04000000', '0.03500000', '0.00879062']"
160,"['0.00084400', '0.05000000', '0.02000000', '0.02959206']"
161,"['0.00000567', '0.00041754', '1.99665568']"
162,['0.00700000']
163,['0.01000000']
164,['0.00599385']
165,['0.01000000']
166,"['0.00010729', '0.00001276', '0.00003754', '0.00038000', '0.00016973']"
167,"['0.00098627', '0.00199320', '0.00003450']"
168,"['0.00499505', '0.00800000']"
169,"['0.00000379', '0.00100000']"
170,['0.02471042']
171,['0.00298940']
172,['0.00161391']
173,['0.01467583']
174,"['0.00500000', '0.00002022']"
175,"['0.00010000', '0.01017199']"
176,['0.03000000']
177,"['0.00033886', '0.00021000', '0.00017000', '0.00980000']"
178,['0.01979373']
179,['0.00040000']
180,['0.00090000']
181,['2.99786091']
182,['2.98752873']
183,"['0.01000000', '0.05000000']"
184,['0.05000000']
185,['0.00053347']
186,['0.00250000']
187,['0.06000000']
188,['2.97668369']
189,"['0.01000000', '0.07024500']"
190,"['0.00025479', '0.00911479']"
191,['0.03886379']
192,['0.09990000']
193,"['0.01000000', '0.00318000']"
194,['0.01000000']
195,"['0.00000538', '0.00010000', '0.00100000', '0.00003586']"
196,"['0.00500000', '0.05000000']"
197,['0.01000000']
198,"['0.00044827', '0.00090000']"
