Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19410243,24.3700000000,23,267,457,233,3,213,bnb: **17** ; knapsack: **3** ; Total: **20**,0.00000344,4.99676505,0.234389717653,0.873997341849,0.00475724,0.0000204173390558,0.000156400000,0.004913640000,1,14,1.96137339056,1.85073652687,knapsack: **164** ; srdltd: **52** ; bnb: **17**
bustabit-tiny-hot-wallet_peak-and-tail,23.92698677,30.1920000000,35,594,911,406,3,352,bnb: **49** ; knapsack: **5** ; Total: **54**,0.00000344,8.53992900,0.246385348949,0.964766462457,0.00833740,0.0000205354679803,0.000238000000,0.008575400000,1,17,2.24384236453,2.29377020274,knapsack: **278** ; srdltd: **79** ; bnb: **49**
bustabit-tiny-hot-wallet_peak-and-tail,27.28272348,36.3413333333,80,961,1338,539,4,457,bnb: **75** ; knapsack: **7** ; Total: **82**,0.00000344,8.53992900,0.231375130241,0.889239103437,0.01188152,0.0000220436363636,0.000544000000,0.012425520000,1,17,2.48237476809,2.69399116592,knapsack: **354** ; srdltd: **110** ; bnb: **75**
bustabit-tiny-hot-wallet_peak-and-tail,19.66702577,44.0965000000,32,1316,1849,684,6,565,bnb: **110** ; knapsack: **9** ; Total: **119**,0.00000344,9.90429631,0.216665235434,0.909568666428,0.01479838,0.0000216350584795,0.000217600000,0.015015980000,1,18,2.70321637427,2.96854000426,knapsack: **443** ; srdltd: **131** ; bnb: **110**
bustabit-tiny-hot-wallet_peak-and-tail,26.29668079,42.4760000000,50,1682,2306,818,6,674,bnb: **132** ; knapsack: **12** ; Total: **144**,0.00000344,9.90429631,0.240279094125,1.01126851623,0.01768024,0.0000216139853301,0.000340000000,0.018020240000,1,22,2.81907090465,3.19868824359,knapsack: **540** ; srdltd: **146** ; bnb: **132**
bustabit-tiny-hot-wallet_peak-and-tail,18.38076940,41.8313333333,30,2008,2798,992,6,820,bnb: **158** ; knapsack: **14** ; Total: **172**,0.00000317,9.90429631,0.240964565768,0.998452474947,0.02203807,0.0000222157963710,0.000204000000,0.022242070000,1,22,2.82056451613,3.17756713222,knapsack: **647** ; srdltd: **187** ; bnb: **158**
bustabit-tiny-hot-wallet_peak-and-tail,26.40408210,42.2602857143,38,2415,3269,1085,6,892,bnb: **176** ; knapsack: **17** ; Total: **193**,0.00000317,9.90429631,0.227840896839,0.960855454579,0.02430844,0.0000224040921659,0.000258400000,0.024566840000,1,40,3.01290322581,3.64800650141,knapsack: **708** ; srdltd: **201** ; bnb: **176**
bustabit-tiny-hot-wallet_peak-and-tail,23.47181495,42.5032500000,46,2818,3741,1182,6,969,bnb: **196** ; knapsack: **17** ; Total: **213**,0.00000317,9.90429631,0.213580158648,0.924263320799,0.02717092,0.0000229872419628,0.000312800000,0.027483720000,1,40,3.16497461929,3.83914835290,knapsack: **779** ; srdltd: **207** ; bnb: **196**
bustabit-tiny-hot-wallet_peak-and-tail,15.35534139,43.0133333333,24,3213,4242,1287,6,1053,bnb: **217** ; knapsack: **17** ; Total: **234**,0.00000317,9.90429631,0.206496544274,0.890200912992,0.03082255,0.0000239491452991,0.000163200000,0.030985750000,1,40,3.29603729604,4.02115418988,knapsack: **841** ; srdltd: **229** ; bnb: **217**
bustabit-tiny-hot-wallet_peak-and-tail,15.77932399,42.7102000000,23,3571,4716,1429,6,1168,bnb: **240** ; knapsack: **21** ; Total: **261**,0.00000317,9.90429631,0.193273397774,0.848525982658,0.03371252,0.0000235916864941,0.000156400000,0.033868920000,1,40,3.30020993702,3.97983449266,knapsack: **947** ; srdltd: **242** ; bnb: **240**
bustabit-tiny-hot-wallet_peak-and-tail,22.01603535,41.5640000000,40,3938,5181,1562,6,1283,bnb: **257** ; knapsack: **22** ; Total: **279**,0.00000317,9.90429631,0.221033160320,0.907597119941,0.03693236,0.0000236442765685,0.000272000000,0.037204360000,1,40,3.31690140845,4.01296216585,knapsack: **1039** ; srdltd: **266** ; bnb: **257**
bustabit-tiny-hot-wallet_peak-and-tail,20.44346411,40.7518333333,30,4278,5669,1722,6,1421,bnb: **277** ; knapsack: **24** ; Total: **301**,0.00000317,9.90429631,0.227171826728,0.919655799709,0.04019953,0.0000233446747967,0.000204000000,0.040403530000,1,40,3.29210220674,3.93483176032,knapsack: **1152** ; srdltd: **293** ; bnb: **277**
