id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srdltd,1,0,2,4.99983370,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srdltd,1,0,2,0.00147529,22,22,4263
3,0.00410100,0.00009554,0.00045929,0.000459326923077,knapsack,2,0,2,0.00056875,22,21,6992
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srdltd,1,0,2,0.00167372,21,21,2548
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00008310,21,21,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srdltd,1,0,2,0.00288885,21,21,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,srdltd,1,0,2,0.00529568,21,21,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,knapsack,1,0,2,0.00064652,21,21,1910
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srdltd,1,0,2,0.00917343,22,22,1865
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srdltd,1,0,2,0.00924483,22,22,1066
11,0.00310000,0.00002055,0.00007917,0.0000838775510204,bnb,3,0,1,,29,26,-318
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,27,27,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srdltd,1,0,2,2.99883910,27,27,2030
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,27,26,312
15,0.00400000,0.00007100,0.00034131,0.000341346153846,srdltd,2,0,2,0.00312300,32,31,5021
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,31,30,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srdltd,1,0,2,0.00692843,32,32,5026
18,0.00665800,0.00009979,0.00047972,0.000479759615385,srdltd,2,0,2,0.00117064,32,31,7334
19,0.00110000,0.00007064,0.00058951,0.000642181818182,bnb,1,0,1,,31,30,3908
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,30,29,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srdltd,1,0,2,0.00211336,29,29,5803
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srdltd,1,0,2,0.00796091,29,29,3237
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srdltd,1,0,2,0.99664113,29,29,2309
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srdltd,1,0,2,0.02073006,29,29,1682
25,0.00333000,0.00003655,0.00017571,0.000175721153846,srdltd,2,0,2,4.99736715,29,28,2255
26,0.00200000,0.00002272,0.00016108,0.000161134751773,knapsack,1,0,2,0.00009064,28,28,1596
27,0.00337500,0.00003041,0.00010801,0.000124122448980,bnb,3,0,1,,28,25,547
28,0.00300000,0.00006106,0.00009927,0.0000992845528455,knapsack,8,2,2,0.00002560,25,18,956
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,knapsack,1,0,2,0.00016955,18,18,524
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srdltd,1,0,2,0.00645849,19,19,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srdltd,1,0,2,2.99549775,19,19,1149
32,0.00330000,0.00001960,0.00006361,0.000110734463277,bnb,2,0,1,,19,17,332
33,0.00336300,0.00001638,0.00007874,0.00007875000,knapsack,2,0,2,0.00010417,17,16,637
34,0.00333400,0.00000415,0.00002942,0.0000294326241135,knapsack,1,0,2,0.00195753,19,19,293
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00019425,19,19,404
36,0.00300100,0.00000878,0.00003180,0.0000318115942029,knapsack,3,0,2,0.00005192,19,17,-610
37,0.00332900,0.00000408,0.00002890,0.0000289361702128,knapsack,1,0,2,0.00312541,18,18,287
38,0.00332700,0.00000661,0.00002392,0.0000239492753623,knapsack,3,0,2,0.00003797,18,16,-796
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,knapsack,1,0,2,0.00463066,16,16,229
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00139823,16,16,382
41,0.00332000,0.00000848,0.00004075,0.0000407692307692,knapsack,2,0,2,0.00106975,16,15,3
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00718483,16,16,324
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00396070,16,16,290
44,0.00505500,0.00001342,0.00002602,0.0000547755102041,bnb,3,0,1,,18,15,-808
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,knapsack,1,0,2,0.00194346,16,16,460
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,knapsack,1,0,2,0.00173821,16,16,369
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00086473,16,16,316
48,0.00020400,0.00000477,0.00002292,0.0000229326923077,knapsack,2,0,2,0.00010123,17,16,-296
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,knapsack,1,0,2,0.00601440,16,16,312
50,0.00334300,0.00000408,0.00002891,0.0000289361702128,knapsack,1,0,2,0.00266732,16,16,287
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00331533,16,16,329
52,0.00332500,0.00000733,0.00003523,0.0000352403846154,knapsack,2,0,2,0.00008423,16,15,-90
53,0.00332500,0.00001643,0.00007896,0.0000789903846154,knapsack,2,0,2,0.00009489,15,14,639
54,0.00332500,0.00000459,0.00003255,0.0000325531914894,knapsack,1,0,2,0.00667041,14,14,323
55,0.00332500,0.00000362,0.00002561,0.0000256737588652,knapsack,1,0,2,0.00334179,14,14,255
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00033766,14,14,291
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00966906,14,14,277
58,0.00332500,0.00000723,0.00003473,0.0000347596153846,srdltd,2,0,2,4.99437258,14,13,-98
59,0.00300000,0.00000443,0.00003138,0.0000314184397163,knapsack,1,0,2,0.00666463,13,13,308
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.00333160,13,13,420
61,0.00332700,0.00000460,0.00003282,0.0000418181818182,bnb,1,0,1,,13,12,-358
62,0.00332800,0.00000542,0.00003837,0.0000384397163121,knapsack,1,0,2,0.01235658,12,12,376
63,0.00332900,0.00000395,0.00002798,0.0000280141843972,knapsack,1,0,2,0.00902363,12,12,274
64,0.00333000,0.00000561,0.00003974,0.0000397872340426,knapsack,1,0,2,0.00568802,12,12,391
65,0.00332500,0.00000502,0.00003559,0.0000356028368794,knapsack,1,0,2,0.00235800,12,12,-111
66,0.00332500,0.00000905,0.00002628,0.0000263081395349,knapsack,4,0,2,0.00006780,12,9,-1707
67,0.00333500,0.00000424,0.00003005,0.0000300709219858,knapsack,1,0,2,0.01739082,9,9,-181
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,knapsack,1,0,2,0.01406170,9,9,-189
69,0.00332500,0.00000352,0.00002495,0.0000249645390071,knapsack,1,0,2,0.01073318,9,9,-231
70,0.00300000,0.00000383,0.00002712,0.0000271631205674,knapsack,1,0,2,0.00772935,9,9,-209
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,knapsack,1,0,2,0.00451156,9,9,-72
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,knapsack,1,0,2,0.00250128,10,10,257
73,0.00320000,0.00000955,0.00006768,0.0000677304964539,knapsack,1,0,2,0.03214838,10,10,206
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,knapsack,1,0,2,0.02881761,10,10,-59
75,0.00330000,0.00000442,0.00003128,0.0000313475177305,knapsack,1,0,2,0.02551319,10,10,-155
76,0.00339300,0.00000534,0.00003786,0.0000378723404255,knapsack,1,0,2,0.02211485,10,10,-89
77,0.00332700,0.00000964,0.00004632,0.0000463461538462,knapsack,2,0,2,0.00016464,10,9,-371
78,0.00334100,0.00000671,0.00004752,0.0000475886524823,knapsack,1,0,2,0.01876714,9,9,30
79,0.00332700,0.00000714,0.00005059,0.0000506382978723,knapsack,1,0,2,0.01543300,9,9,60
80,0.00332900,0.00000544,0.00003857,0.0000385815602837,knapsack,1,0,2,0.01209856,10,10,-59
81,0.00932800,0.00000426,0.00003020,0.0000302127659574,knapsack,1,0,2,0.00276630,10,10,-142
82,0.00333000,0.00000773,0.00005482,0.0000548226950355,knapsack,1,0,2,0.99330340,11,11,101
83,0.00332500,0.00001979,0.00007168,0.0000717028985507,srdltd,3,0,2,0.99037301,11,9,-115
84,0.00332500,0.00000925,0.00006554,0.0000656028368794,knapsack,1,0,2,0.00576575,9,9,231
85,0.00300000,0.00000745,0.00005282,0.0000528368794326,knapsack,1,0,2,0.00275830,9,9,105
86,0.02047700,0.00000573,0.00004059,0.0000406382978723,knapsack,1,0,2,0.96989028,9,9,-16
87,0.00172200,0.00000365,0.00002583,0.0000258865248227,knapsack,1,0,2,0.00103265,9,9,-162
88,0.00265000,0.00000786,0.00005570,0.0000557446808511,knapsack,1,0,2,0.00010844,10,10,133
89,0.00333000,0.00000750,0.00005315,0.0000531914893617,knapsack,1,0,2,0.01380250,10,10,108
90,0.00332500,0.00000593,0.00004202,0.0000420567375887,knapsack,1,0,2,0.01047157,10,10,-2
91,0.01500000,0.00000363,0.00002572,0.0000257446808511,knapsack,1,0,2,0.95488665,11,11,-223
92,0.00100000,0.00000323,0.00002289,0.0000229078014184,knapsack,1,0,2,0.00002942,11,11,-258
93,0.01000000,0.00000350,0.00002479,0.0000248226950355,knapsack,1,0,2,0.00046807,11,11,-239
94,0.00200000,0.00000771,0.00005464,0.0000546808510638,knapsack,1,0,2,0.02799229,14,14,64
95,0.00200000,0.00000463,0.00003280,0.0000328368794326,knapsack,1,0,2,0.02598766,14,14,-152
96,0.00200000,0.00001555,0.00007472,0.0000747596153846,srdltd,2,0,2,0.01694832,17,16,92
