id,input_amounts
0,['0.00329000']
1,['5.00000000']
2,['0.00483000']
3,"['0.00329000', '0.00147529']"
4,['0.00500000']
5,['0.00329400']
6,['0.00331400']
7,['0.00794500']
8,['0.00167372']
9,['0.01570000']
10,['0.00940000']
11,"['0.00288885', '0.00008310', '0.00014860']"
12,['0.00014860']
13,['3.00000000']
14,['0.00011747']
15,"['0.00329400', '0.00390000']"
16,['0.00103200']
17,['0.01000000']
18,"['0.00692843', '0.00100000']"
19,['0.00117064']
20,['0.00100000']
21,['0.00329600']
22,['0.01010000']
23,['1.00000000']
24,['0.02500000']
25,"['0.00090000', '4.99983370']"
26,['0.00211336']
27,"['0.00009064', '0.00002077', '0.00329400']"
28,"['0.00010000', '0.00064652', '0.00000200', '0.00109000', '0.00056875', '0.00056976', '0.00010863', '0.00000100']"
29,['0.00312300']
30,['0.00980000']
31,['2.99883910']
32,"['0.00002560', '0.00329400']"
33,"['0.00331400', '0.00016955']"
34,['0.00529568']
35,['0.00050000']
36,"['0.00195753', '0.00010417', '0.00100000']"
37,['0.00645849']
38,"['0.00312541', '0.00019425', '0.00005192']"
39,['0.00796091']
40,['0.00463066']
41,"['0.00300000', '0.00139823']"
42,['0.00917343']
43,['0.00718483']
44,"['0.00396070', '0.00003797', '0.00106975']"
45,['0.00300000']
46,['0.00194346']
47,['0.00173821']
48,"['0.00020000', '0.00011000']"
49,['0.00924483']
50,['0.00601440']
51,['0.01000000']
52,"['0.00331533', '0.00010123']"
53,"['0.00266732', '0.00076900']"
54,['0.01000000']
55,['0.00667041']
56,['0.00334179']
57,['0.01300000']
58,"['4.99736715', '0.00033766']"
59,['0.00966906']
60,['0.00666463']
61,['0.00333160']
62,['0.01569000']
63,['0.01235658']
64,['0.00902363']
65,['0.00568802']
66,"['0.00009489', '0.00235800', '0.00086473', '0.00008423']"
67,['0.02073006']
68,['0.01739082']
69,['0.01406170']
70,['0.01073318']
71,['0.00772935']
72,['0.00451156']
73,['0.03535793']
74,['0.03214838']
75,['0.02881761']
76,['0.02551319']
77,"['0.00250128', '0.00100000']"
78,['0.02211485']
79,['0.01876714']
80,['0.01543300']
81,['0.01209856']
82,['0.99664113']
83,"['0.00034660', '0.00006780', '0.99330340']"
84,['0.00910000']
85,['0.00576575']
86,['0.99037301']
87,['0.00275830']
88,['0.00276630']
89,['0.01714000']
90,['0.01380250']
91,['0.96989028']
92,['0.00103265']
93,['0.01047157']
94,['0.03000000']
95,['0.02799229']
96,"['0.00116387', '0.01780000']"
97,['0.00300000']
98,"['0.00010844', '0.01490000', '0.00002942']"
99,"['0.00198208', '0.00006080']"
100,['0.00480000']
101,"['0.00279265', '0.00100000', '0.00100000']"
102,"['0.00001391', '0.00080000', '0.00100000', '0.00020236']"
103,"['0.00300000', '0.00002606']"
104,"['0.00001892', '0.00100000']"
105,['0.00370000']
106,"['0.00046807', '0.00107722']"
107,"['0.00100000', '0.00016464', '0.00100000']"
108,"['0.00100000', '0.00000602']"
109,"['0.00004487', '0.00200000', '0.00171142', '0.00120000']"
110,['0.00120000']
111,['0.00069355']
112,"['0.00390000', '0.00009442', '0.00018856']"
113,"['0.00087643', '0.00270000']"
114,"['0.00040000', '0.00010000', '0.00341677', '0.00100000', '0.00046478']"
115,['0.00200000']
116,"['0.00228044', '0.00200000']"
117,['0.00056176']
118,"['0.00003528', '0.00454585', '0.00002225', '0.00098570']"
119,"['0.00090000', '0.00041800', '0.00163049', '0.00000789', '0.00006000']"
120,"['0.00025639', '0.00008000', '0.00592000', '0.00300000', '0.00000925']"
121,"['0.00010000', '0.00500000']"
122,"['0.00090000', '0.00091371', '0.00169500']"
123,"['0.00009284', '0.00011899', '0.00100000', '0.00444318', '0.00290000']"
124,"['0.00001901', '0.00800000']"
125,"['0.00480000', '0.00110000', '0.00464370']"
126,"['4.00000000', '0.00360000', '0.00480000']"
127,['0.00300000']
128,"['0.00052210', '0.00099529']"
129,['0.00490000']
130,"['0.00167219', '0.00500000']"
131,['0.00790000']
132,"['0.00179242', '0.00500000']"
133,['0.01109159']
134,"['0.00008743', '0.00044437', '0.00226500']"
135,"['0.00016529', '0.00049540', '0.00055895', '0.00880000']"
136,"['0.01000000', '0.00000920']"
137,['0.00213902']
138,['0.00300000']
139,"['0.00129455', '0.00100000']"
140,"['0.00800000', '0.00003747', '0.00500000']"
141,"['0.00069882', '0.00100000', '0.00068421']"
142,"['0.00200000', '0.00003129']"
143,"['0.00013380', '0.00036916']"
144,"['0.00180000', '0.00070000']"
145,"['0.00300000', '0.00038256', '0.00600000']"
146,['0.00500000']
147,['0.00196007']
148,"['0.00290000', '0.00002288', '0.00280000', '0.00004436']"
149,"['0.00900000', '0.02598766']"
150,['0.01000000']
