id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srdltd,1,0,2,0.00483370,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srdltd,1,0,2,0.00147899,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,srdltd,1,0,2,2.99583424,22,22,4548
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srdltd,1,0,2,2.99250796,22,22,2548
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00007910,22,22,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srdltd,1,0,2,0.00440485,22,22,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,22,22,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srdltd,1,0,2,2.99148076,22,22,1910
9,0.00650000,0.00003919,0.00018838,0.000188413461538,srdltd,2,0,2,4.99360941,23,22,2466
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srdltd,1,0,2,0.00314083,22,22,1066
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00002966,29,29,785
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srdltd,1,0,2,0.01557217,30,30,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srdltd,1,0,2,4.99244851,30,30,2030
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,30,29,312
15,0.00400000,0.00007100,0.00034131,0.000341346153846,srdltd,2,0,2,0.00097853,35,34,5021
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,34,33,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srdltd,1,0,2,0.00692843,35,35,5026
18,0.00665800,0.00009979,0.00047972,0.000479759615385,srdltd,2,0,2,0.00724221,35,34,7334
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srdltd,1,0,2,0.00605908,34,34,5837
20,0.00090000,0.00007853,0.00066830,0.000713909090909,bnb,1,0,1,,34,33,4366
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srdltd,1,0,2,0.01438953,33,33,5803
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srdltd,1,0,2,0.00115491,33,33,3237
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srdltd,1,0,2,0.00356956,33,33,2309
24,0.00424600,0.00004192,0.00016975,0.000171102040816,bnb,3,0,1,,33,30,1439
25,0.00333000,0.00004899,0.00017571,0.000199959183673,bnb,3,0,1,,30,27,2121
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srdltd,1,0,2,0.00777728,27,27,1596
27,0.00337500,0.00002776,0.00010801,0.000113306122449,bnb,3,0,1,,27,24,282
28,0.00300000,0.00004090,0.00009927,0.0000992718446602,knapsack,5,2,2,0.00020701,24,20,968
29,0.00294600,0.00001099,0.00005283,0.0000528365384615,srdltd,2,0,2,1.00033701,20,19,204
30,0.00332500,0.00002436,0.00011709,0.000117115384615,knapsack,2,0,2,0.00006464,20,19,1277
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srdltd,1,0,2,0.01104818,19,19,1149
32,0.00330000,0.00001400,0.00006361,0.000127272727273,bnb,1,0,1,,19,18,452
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,knapsack,1,0,2,0.00268497,18,18,781
34,0.00333400,0.00001013,0.00002942,0.0000294476744186,knapsack,4,0,2,0.00001411,21,18,-1144
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00069425,18,18,404
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00477179,18,18,316
37,0.00332900,0.00000602,0.00002890,0.0000289423076923,knapsack,2,0,2,0.00035923,19,18,-196
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,knapsack,1,0,2,0.00144141,18,18,238
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,knapsack,1,0,2,0.00461475,18,18,229
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00138232,18,18,382
41,0.00332000,0.00001402,0.00004075,0.0000407558139535,knapsack,4,0,2,0.00005595,18,15,-801
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00741140,16,16,320
43,0.00322000,0.00000413,0.00002925,0.0000295000,knapsack,1,0,2,0.00418727,16,16,290
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,knapsack,1,0,2,0.00494133,18,18,258
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,knapsack,1,0,2,0.00194346,19,19,456
46,0.00020000,0.00001027,0.00003719,0.0000372101449275,srdltd,3,0,2,0.01304568,19,17,-489
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00106998,17,17,312
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,knapsack,1,0,2,0.00086274,18,18,224
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,knapsack,1,0,2,0.00095684,18,18,308
50,0.00334300,0.00000408,0.00002891,0.0000289361702128,knapsack,1,0,2,0.00159425,18,18,283
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00331533,18,18,325
52,0.00332500,0.00000973,0.00003523,0.0000352536231884,knapsack,3,0,2,0.00007910,18,16,-672
53,0.00332500,0.00001643,0.00007896,0.0000789903846154,knapsack,2,0,2,0.00005300,16,15,635
54,0.00332500,0.00000459,0.00003255,0.0000325531914894,knapsack,1,0,2,0.00771859,15,15,181
55,0.00332500,0.00000533,0.00002561,0.000025625000,srdltd,2,0,2,4.98922818,15,14,-392
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00471446,14,14,149
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00138352,14,14,135
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,knapsack,1,0,2,0.00971578,14,14,203
59,0.00300000,0.00000443,0.00003138,0.0000314184397163,knapsack,1,0,2,0.00671135,14,14,170
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.00337832,14,14,282
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,knapsack,1,0,2,0.00004669,14,14,184
62,0.00332800,0.00000542,0.00003837,0.0000384397163121,knapsack,1,0,2,0.01235658,14,14,238
63,0.00332900,0.00000582,0.00002798,0.0000279807692308,srdltd,2,0,2,2.98849254,14,13,-353
64,0.00333000,0.00000561,0.00003974,0.0000397872340426,knapsack,1,0,2,0.00902097,13,13,253
65,0.00332500,0.00000741,0.00003559,0.000035625000,srdltd,2,0,2,3.99805111,13,12,-225
66,0.00332500,0.00000371,0.00002628,0.0000263120567376,knapsack,1,0,2,0.00569226,12,12,119
67,0.00333500,0.00000424,0.00003005,0.0000300709219858,knapsack,1,0,2,0.00235302,12,12,-181
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,knapsack,1,0,2,0.02167088,12,12,-188
69,0.00332500,0.00000352,0.00002495,0.0000249645390071,knapsack,1,0,2,0.01834236,12,12,-230
70,0.00300000,0.00000565,0.00002712,0.0000271634615385,knapsack,2,0,2,0.00011637,12,11,-703
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,knapsack,1,0,2,0.01512457,11,11,-71
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,knapsack,1,0,2,0.01311429,12,12,244
73,0.00320000,0.00000955,0.00006768,0.0000677304964539,knapsack,1,0,2,0.00990474,12,12,193
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,knapsack,1,0,2,0.00657397,12,12,-59
75,0.00330000,0.00000442,0.00003128,0.0000313475177305,knapsack,1,0,2,0.00326955,12,12,-155
76,0.00339300,0.00001045,0.00003786,0.0000378623188406,knapsack,3,0,2,0.00002916,12,10,-933
77,0.00332700,0.00000964,0.00004632,0.0000463461538462,srdltd,2,0,2,3.99476747,10,9,-371
78,0.00334100,0.00000671,0.00004752,0.0000475886524823,knapsack,1,0,2,0.03201022,9,9,7
79,0.00332700,0.00000714,0.00005059,0.0000506382978723,knapsack,1,0,2,0.02867608,9,9,37
80,0.00332900,0.00000544,0.00003857,0.0000385815602837,knapsack,1,0,2,0.02534164,10,10,-74
81,0.00932800,0.00000426,0.00003020,0.0000302127659574,knapsack,1,0,2,0.01600938,10,10,-142
82,0.00333000,0.00001141,0.00005482,0.0000548557692308,srdltd,2,0,2,0.99700971,11,10,-206
83,0.00332500,0.00001011,0.00007168,0.0000717021276596,knapsack,1,0,2,0.01267427,10,10,269
84,0.00332500,0.00000925,0.00006554,0.0000656028368794,knapsack,1,0,2,0.00576575,10,10,208
85,0.00300000,0.00000745,0.00005282,0.0000528368794326,knapsack,1,0,2,0.00275830,10,10,105
86,0.02047700,0.00000573,0.00004059,0.0000406382978723,knapsack,1,0,2,0.97652698,10,10,-16
87,0.00172200,0.00000365,0.00002583,0.0000258865248227,knapsack,1,0,2,0.00103265,10,10,-162
88,0.00265000,0.00000786,0.00005570,0.0000557446808511,knapsack,1,0,2,0.01001641,11,11,133
89,0.00333000,0.00000750,0.00005315,0.0000531914893617,knapsack,1,0,2,0.00667891,11,11,108
90,0.00332500,0.00000593,0.00004202,0.0000420567375887,knapsack,1,0,2,0.00334798,11,11,14
