id,input_amounts
0,['0.00329000']
1,['0.00500000']
2,['0.00483370']
3,['3.00000000']
4,['2.99583424']
5,['0.00329000']
6,['0.00483000']
7,['0.00329400']
8,['2.99250796']
9,"['0.00014860', '5.00000000']"
10,['0.00329600']
11,['0.00314083']
12,['0.01570000']
13,['4.99360941']
14,['0.00011747']
15,"['0.00064468', '0.00440485']"
16,['0.00103200']
17,['0.01000000']
18,"['0.00390000', '0.01010000']"
19,['0.00724221']
20,['0.00097853']
21,['0.01557217']
22,['0.00329400']
23,['0.00692843']
24,"['0.00014860', '0.00356956', '0.00056976']"
25,"['0.00100000', '0.00147899', '0.00090000']"
26,['0.00980000']
27,"['0.00002966', '0.00329400', '0.00007910']"
28,"['0.00000200', '0.00109000', '0.00115491', '0.00000100', '0.00100000']"
29,"['1.00000000', '0.00329400']"
30,"['0.00331400', '0.00010000']"
31,['0.01438953']
32,['0.00331400']
33,['0.00605908']
34,"['0.00006464', '0.00268497', '0.00050000', '0.00010863']"
35,['0.00100000']
36,['0.00777728']
37,"['0.00300000', '0.00069425']"
38,['0.00477179']
39,['0.00794500']
40,['0.00461475']
41,"['0.00020701', '0.00138232', '0.00035923', '0.00144141']"
42,['0.00940000']
43,['0.00741140']
44,['0.01000000']
45,['0.00300000']
46,"['0.00005595', '0.01300000', '0.00020000']"
47,['0.00194346']
48,['0.00106998']
49,['0.00418727']
50,['0.00494133']
51,['0.01000000']
52,"['0.00086274', '0.00095684', '0.00159425']"
53,"['0.00331533', '0.00007910']"
54,['0.01104818']
55,"['4.99244851', '0.00011000']"
56,['0.00771859']
57,['0.00471446']
58,['0.01304568']
59,['0.00971578']
60,['0.00671135']
61,['0.00337832']
62,['0.01569000']
63,"['0.00034660', '2.99148076']"
64,['0.01235658']
65,"['0.00138352', '4.00000000']"
66,['0.00902097']
67,['0.00569226']
68,['0.02500000']
69,['0.02167088']
70,"['0.00076900', '0.00235302']"
71,['0.01834236']
72,['0.01512457']
73,['0.01311429']
74,['0.00990474']
75,['0.00657397']
76,"['0.00004669', '0.00011637', '0.00326955']"
77,"['3.99805111', '0.00005300']"
78,['0.03535793']
79,['0.03201022']
80,['0.02867608']
81,['0.02534164']
82,"['0.00001411', '1.00033701']"
83,['0.01600938']
84,['0.00910000']
85,['0.00576575']
86,['0.99700971']
87,['0.00275830']
88,['0.01267427']
89,['0.01001641']
90,['0.00667891']
91,['0.01714000']
92,"['0.00002916', '0.00100000']"
93,['0.03000000']
94,['0.00213637']
95,"['0.00103265', '0.00116387']"
96,['0.00300000']
97,['4.98922818']
98,"['0.01490000', '0.00012866']"
99,"['0.00006080', '0.00098946', '0.00100000']"
100,['0.00334798']
101,"['0.01999650', '0.00002439']"
102,"['0.00100000', '0.00100000', '0.00001061']"
103,"['0.00300000', '0.00002795']"
104,"['0.00100000', '0.00002081']"
105,"['0.00018969', '0.00107722', '0.00080000', '0.00100000']"
106,['0.00200000']
107,"['0.00046318', '0.00171142']"
108,"['0.00000978', '0.00100000']"
109,"['0.00100000', '0.00005119', '0.00270000', '0.00120000']"
110,['0.00120000']
111,['0.00134063']
112,"['0.00005970', '0.00009442', '0.00200000', '0.00200000']"
113,['0.00370000']
114,"['0.00010000', '0.00083564', '0.00444318']"
115,['4.98821026']
116,"['0.00087643', '0.00059210', '0.00228044']"
117,['0.00040000']
118,"['0.00100000', '0.00001715', '0.00454585', '0.00002712']"
119,"['0.00001029', '0.00300000']"
120,"['0.00008000', '0.00090000', '0.00091371', '0.00341677', '0.00360000', '0.00025624', '0.00010000', '0.00000432']"
121,"['0.00390000', '0.00090000', '0.00025639']"
122,"['0.00006000', '0.00004689', '0.00163049', '0.00169500']"
123,"['0.00100000', '0.00464370', '0.00290000']"
124,"['0.00800000', '0.00001958']"
125,"['0.00300000', '0.00592000', '0.00110000']"
126,"['0.01000000', '0.00500000', '0.00003903']"
127,['0.00480000']
128,['0.00279529']
129,['0.00480000']
130,"['0.00144579', '0.00480000']"
131,"['0.00490000', '0.00157219']"
132,"['0.00790000', '0.00002512']"
133,"['0.00900000', '0.00036101', '0.00157707', '0.00013255']"
134,['0.00500000']
135,"['0.00006049', '0.00500000', '0.00500000']"
136,"['0.01000000', '0.00005211']"
137,['0.00213902']
138,['0.00224425']
139,"['0.00049540', '0.00100000', '0.00013380']"
140,"['0.00100000', '0.00600000', '0.00004276', '0.00069882', '0.00226500', '0.00300000', '0.00001548']"
141,['0.00500000']
142,"['0.00200000', '0.00053880']"
143,['0.00053039']
144,"['0.00070000', '0.00180000']"
145,"['0.00299291', '0.00038256', '0.00600000']"
146,"['0.00007585', '0.00300000']"
147,['0.00280000']
148,"['0.00113049', '0.00500000']"
149,"['0.00800000', '0.00290000']"
150,"['0.00880000', '0.00109181']"
151,"['0.00003358', '0.00011301', '0.01450000', '0.00880000', '0.00980000', '0.00036952', '0.01680000', '0.00860000']"
152,"['0.00090000', '0.01543486']"
153,"['0.03500000', '0.00016695', '0.01109159', '0.00040000', '0.00090000', '0.00263338']"
154,['0.01000000']
155,['0.00900000']
156,"['0.01780000', '0.00500000', '0.06000000', '0.00969612', '0.01500000', '0.01430122']"
157,"['0.00002022', '0.04000000']"
158,"['0.00015660', '0.00078071']"
159,"['0.01990000', '0.00963986', '0.03644570', '0.00579344', '0.02000000', '0.01000000']"
160,"['0.00176336', '0.01000000', '0.02959206', '0.05900000']"
161,['0.97652698']
162,['0.00700000']
163,['0.01000000']
164,['0.00599385']
165,['0.01000000']
166,"['0.00033690', '0.00038000']"
167,"['0.00084400', '0.00017000', '0.00001710', '0.00199320']"
168,"['0.00800000', '0.00499505']"
169,"['0.00100000', '0.00001162']"
170,['0.02471042']
171,"['0.00008558', '0.00098627', '0.00000728', '0.00021000', '0.00010000']"
172,['0.00298940']
173,['0.01467583']
174,"['0.00040000', '0.00500000']"
175,"['0.00039089', '0.01017199']"
176,['0.03000000']
177,"['0.00980000', '0.00090000']"
178,['0.01979373']
179,['0.00035202']
