Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19423166,23.9520000000,25,267,451,233,2,209,bnb: **21** ; knapsack: **3** ; Total: **24**,0.00000432,4.99360941,0.379990578900,1.18482108269,0.00462801,0.0000198627038627,0.000170000000,0.004798010000,1,14,1.93562231760,1.77874705850,knapsack: **159** ; srdltd: **53** ; bnb: **21**
bustabit-tiny-hot-wallet_peak-and-tail,23.92708684,29.0310000000,32,594,910,406,2,348,bnb: **52** ; knapsack: **6** ; Total: **58**,0.00000406,4.99360941,0.278927405833,0.979731911598,0.00823733,0.0000202889901478,0.000217600000,0.008454930000,1,14,2.24137931034,2.19671181181,knapsack: **274** ; srdltd: **80** ; bnb: **52**
bustabit-tiny-hot-wallet_peak-and-tail,27.28274738,33.7280000000,71,961,1342,539,4,452,bnb: **80** ; knapsack: **7** ; Total: **87**,0.00000406,8.81929637,0.310601166460,1.12455127375,0.01185762,0.0000219992949907,0.000482800000,0.012340420000,1,17,2.48979591837,2.58990529515,knapsack: **346** ; srdltd: **113** ; bnb: **80**
bustabit-tiny-hot-wallet_peak-and-tail,19.66714532,40.1425000000,25,1316,1854,684,6,563,bnb: **111** ; knapsack: **10** ; Total: **121**,0.00000406,9.87325929,0.283179199769,1.09882963716,0.01467883,0.0000214602777778,0.000170000000,0.014848830000,1,18,2.71052631579,2.94326145790,knapsack: **442** ; srdltd: **131** ; bnb: **111**
bustabit-tiny-hot-wallet_peak-and-tail,26.29695785,39.7816000000,55,1682,2293,818,6,666,bnb: **138** ; knapsack: **14** ; Total: **152**,0.00000406,9.87325929,0.261886962598,1.07273418302,0.01740318,0.0000212752811736,0.000374000000,0.017777180000,1,23,2.80317848411,3.08097803066,knapsack: **531** ; srdltd: **149** ; bnb: **138**
bustabit-tiny-hot-wallet_peak-and-tail,18.38088726,39.2086666667,31,2008,2792,992,6,815,bnb: **161** ; knapsack: **16** ; Total: **177**,0.00000317,9.87325929,0.304858142147,1.18705793294,0.02192021,0.0000220969858871,0.000210800000,0.022131010000,1,23,2.81451612903,3.06239700998,knapsack: **644** ; srdltd: **187** ; bnb: **161**
bustabit-tiny-hot-wallet_peak-and-tail,26.40425168,41.4394285714,55,2415,3245,1085,6,885,bnb: **183** ; knapsack: **17** ; Total: **200**,0.00000317,9.87325929,0.285417137254,1.14220220175,0.02413886,0.0000222477972350,0.000374000000,0.024512860000,1,33,2.99078341014,3.38924768156,knapsack: **702** ; srdltd: **200** ; bnb: **183**
bustabit-tiny-hot-wallet_peak-and-tail,23.47194651,42.8282500000,49,2818,3724,1182,6,955,bnb: **210** ; knapsack: **17** ; Total: **227**,0.00000317,9.87325929,0.266612738639,1.10207608418,0.02703936,0.0000228759390863,0.000333200000,0.027372560000,1,33,3.15059221658,3.65641127685,knapsack: **768** ; srdltd: **204** ; bnb: **210**
bustabit-tiny-hot-wallet_peak-and-tail,15.35538662,43.7520000000,23,3213,4229,1287,6,1039,bnb: **229** ; knapsack: **19** ; Total: **248**,0.00000317,9.87325929,0.252101000991,1.05921141603,0.03077732,0.0000239140015540,0.000156400000,0.030933720000,1,35,3.28593628594,3.93599407222,knapsack: **835** ; srdltd: **223** ; bnb: **229**
bustabit-tiny-hot-wallet_peak-and-tail,15.77942030,43.3732000000,35,3571,4692,1429,6,1156,bnb: **252** ; knapsack: **21** ; Total: **273**,0.00000317,9.87325929,0.237586707794,1.00808678884,0.03361621,0.0000235242897131,0.000238000000,0.033854210000,1,35,3.28341497551,3.88744089770,knapsack: **936** ; srdltd: **241** ; bnb: **252**
bustabit-tiny-hot-wallet_peak-and-tail,22.01628391,41.9685454545,45,3938,5163,1562,6,1270,bnb: **270** ; knapsack: **22** ; Total: **292**,0.00000317,9.87325929,0.264249632819,1.06825681385,0.03668380,0.0000234851472471,0.000306000000,0.036989800000,1,35,3.30537772087,3.91414383876,knapsack: **1029** ; srdltd: **263** ; bnb: **270**
bustabit-tiny-hot-wallet_peak-and-tail,20.44362784,40.9758333333,27,4278,5660,1722,6,1409,bnb: **290** ; knapsack: **23** ; Total: **313**,0.00000317,9.87325929,0.256423891171,1.02370996786,0.04003580,0.0000232495934959,0.000183600000,0.040219400000,1,35,3.28687572590,3.84809493464,knapsack: **1139** ; srdltd: **293** ; bnb: **290**
bustabit-tiny-hot-wallet_peak-and-tail,20.92219005,41.0832307692,40,4650,6127,1850,6,1517,bnb: **310** ; knapsack: **23** ; Total: **333**,0.00000317,9.87325929,0.248561583784,0.990269652434,0.04281453,0.0000231429891892,0.000272000000,0.043086530000,1,35,3.31189189189,3.87954366482,knapsack: **1224** ; srdltd: **316** ; bnb: **310**
bustabit-tiny-hot-wallet_peak-and-tail,27.28321729,40.8114285714,68,4990,6581,2010,6,1659,bnb: **327** ; knapsack: **24** ; Total: **351**,0.00000317,9.87325929,0.239390792248,0.952147259781,0.04646040,0.0000231146268657,0.000462400000,0.046922800000,1,35,3.27412935323,3.83805800653,knapsack: **1339** ; srdltd: **344** ; bnb: **327**
bustabit-tiny-hot-wallet_peak-and-tail,16.99813035,40.2066666667,22,5335,7103,2165,6,1790,bnb: **348** ; knapsack: **27** ; Total: **375**,0.00000317,9.87325929,0.234656039581,0.934707525141,0.04930243,0.0000227724849885,0.000149600000,0.049452030000,1,35,3.28083140878,3.82322255849,knapsack: **1450** ; srdltd: **367** ; bnb: **348**
bustabit-tiny-hot-wallet_peak-and-tail,12.91847026,39.0508750000,21,5654,7593,2346,6,1960,bnb: **357** ; knapsack: **29** ; Total: **386**,0.00000317,9.87325929,0.243145920515,0.937401265796,0.05269750,0.0000224627024723,0.000142800000,0.052840300000,1,35,3.23657289003,3.77093033410,knapsack: **1577** ; srdltd: **412** ; bnb: **357**
bustabit-tiny-hot-wallet_peak-and-tail,26.62496422,38.3971764706,41,5963,8053,2537,6,2131,bnb: **375** ; knapsack: **31** ; Total: **406**,0.00000317,9.87325929,0.249577345040,0.946000704768,0.05704689,0.0000224859637367,0.000278800000,0.057325690000,1,35,3.17422152148,3.70730128828,knapsack: **1719** ; srdltd: **443** ; bnb: **375**
bustabit-tiny-hot-wallet_peak-and-tail,15.61152512,38.2802222222,28,6278,8546,2722,6,2296,bnb: **394** ; knapsack: **32** ; Total: **426**,0.00000317,9.87325929,0.242078737343,0.921945375443,0.06063078,0.0000222743497428,0.000190400000,0.060821180000,1,35,3.13960323292,3.66228484819,knapsack: **1860** ; srdltd: **468** ; bnb: **394**
bustabit-tiny-hot-wallet_peak-and-tail,19.58060101,37.8505263158,35,6573,9025,2927,6,2487,bnb: **408** ; knapsack: **32** ; Total: **440**,0.00000317,9.87325929,0.234201001279,0.891942977631,0.06432464,0.0000219763033823,0.000238000000,0.064562640000,1,35,3.08336180389,3.59147904195,knapsack: **2022** ; srdltd: **497** ; bnb: **408**
bustabit-tiny-hot-wallet_peak-and-tail,13.43168973,37.7296000000,20,6892,9520,3108,6,2648,bnb: **425** ; knapsack: **35** ; Total: **460**,0.00000317,9.87325929,0.232712770004,0.872545424735,0.06819249,0.0000219409555985,0.000136000000,0.068328490000,1,35,3.06306306306,3.56419087517,knapsack: **2151** ; srdltd: **532** ; bnb: **425**
bustabit-tiny-hot-wallet_peak-and-tail,13.07230937,36.8108571429,37,7193,9991,3307,6,2835,bnb: **433** ; knapsack: **39** ; Total: **472**,0.00000317,15.46727151,0.313447952095,1.29428780502,0.07155850,0.0000216384941034,0.000251600000,0.071810100000,1,35,3.02116722105,3.51621076460,knapsack: **2299** ; srdltd: **575** ; bnb: **433**
bustabit-tiny-hot-wallet_peak-and-tail,12.20835565,36.2711818182,33,7533,10476,3467,7,2976,bnb: **448** ; knapsack: **43** ; Total: **491**,0.00000317,15.46727151,0.318129226519,1.29728135700,0.07566921,0.0000218255581194,0.000224400000,0.075893610000,1,35,3.02163253533,3.48955152810,knapsack: **2412** ; srdltd: **607** ; bnb: **448**
bustabit-tiny-hot-wallet_peak-and-tail,27.27400882,36.2188695652,47,7877,10944,3623,7,3114,bnb: **466** ; knapsack: **43** ; Total: **509**,0.00000317,15.46727151,0.316148676230,1.28631945808,0.07875311,0.0000217369886834,0.000319600000,0.079072710000,1,35,3.02070107646,3.47259712852,knapsack: **2520** ; srdltd: **637** ; bnb: **466**
bustabit-tiny-hot-wallet_peak-and-tail,15.43165318,36.0474166667,23,8204,11445,3796,7,3264,bnb: **488** ; knapsack: **44** ; Total: **532**,0.00000317,15.46727151,0.307791457653,1.26115812796,0.08180041,0.0000215491069547,0.000156400000,0.081956810000,1,35,3.01501580611,3.44954768183,knapsack: **2652** ; srdltd: **656** ; bnb: **488**
bustabit-tiny-hot-wallet_peak-and-tail,24.52705404,36.1668000000,38,8541,11910,3959,7,3407,bnb: **506** ; knapsack: **46** ; Total: **552**,0.00000317,15.46727151,0.311816772137,1.25563408011,0.08587179,0.0000216902727962,0.000258400000,0.086130190000,1,35,3.00833543824,3.44555300430,knapsack: **2755** ; srdltd: **698** ; bnb: **506**
bustabit-tiny-hot-wallet_peak-and-tail,20.82554318,36.2123846154,29,8875,12403,4125,7,3557,bnb: **521** ; knapsack: **47** ; Total: **568**,0.00000317,15.46727151,0.305283011583,1.23407518143,0.08854181,0.0000214646812121,0.000197200000,0.088739010000,1,35,3.00678787879,3.42247556260,knapsack: **2889** ; srdltd: **715** ; bnb: **521**
bustabit-tiny-hot-wallet_peak-and-tail,14.89723860,35.9735555556,17,9156,12898,4344,7,3759,bnb: **537** ; knapsack: **48** ; Total: **585**,0.00000317,15.46727151,0.297981126981,1.20623263137,0.09210153,0.0000212020096685,0.000115600000,0.092217130000,1,35,2.96915285451,3.36989237882,knapsack: **3062** ; srdltd: **745** ; bnb: **537**
bustabit-tiny-hot-wallet_peak-and-tail,21.57889643,35.9377857143,30,9452,13367,4548,8,3945,bnb: **551** ; knapsack: **52** ; Total: **603**,0.00000317,15.46727151,0.294265909336,1.18585800581,0.09630914,0.0000211761521548,0.000204000000,0.096513140000,1,35,2.93909410730,3.34143565396,knapsack: **3211** ; srdltd: **786** ; bnb: **551**
bustabit-tiny-hot-wallet_peak-and-tail,17.76881897,35.7602068966,29,9756,13852,4744,8,4125,bnb: **563** ; knapsack: **56** ; Total: **619**,0.00000317,15.46727151,0.285690196979,1.16311120274,0.09967033,0.0000210097660202,0.000197200000,0.099867530000,1,35,2.91989881956,3.30849574852,knapsack: **3374** ; srdltd: **807** ; bnb: **563**
bustabit-tiny-hot-wallet_peak-and-tail,18.09038948,35.4866000000,32,10038,14336,4962,8,4330,bnb: **576** ; knapsack: **56** ; Total: **632**,0.00000317,15.46727151,0.283463820991,1.14594617130,0.10432213,0.0000210242099960,0.000217600000,0.104539730000,1,35,2.88915759774,3.27946573710,knapsack: **3531** ; srdltd: **855** ; bnb: **576**
