Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_2019-2020-per-day,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_2019-2020-per-day,15.18529758,31.2280000000,53,267,407,233,2,193,bnb: **38** ; knapsack: **2** ; Total: **40**,0.00000769,4.99661095,0.535910062591,1.29078864770,0.01356209,0.0000582063948498,0.000360400000,0.013922490000,1,16,1.74678111588,1.75437886375,knapsack: **99** ; bnb: **38** ; srd: **96**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.90331676,65.0860000000,140,594,761,406,2,307,bnb: **93** ; knapsack: **6** ; Total: **99**,0.00000769,4.99661095,0.474053744267,1.17923742334,0.03200741,0.0000788359852217,0.000952000000,0.032959410000,1,16,1.87438423645,1.96046958097,knapsack: **117** ; bnb: **93** ; srd: **196**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.25198792,99.7800000000,237,961,1103,539,2,379,bnb: **151** ; knapsack: **9** ; Total: **160**,0.00000769,8.81484284,0.427359959525,1.16012203315,0.04261708,0.0000790669387755,0.00161160000,0.04422868000,1,16,2.04638218924,2.19996639264,knapsack: **150** ; bnb: **151** ; srd: **238**
bustabit-tiny-hot-wallet_2019-2020-per-day,19.62782967,139.342000000,213,1316,1548,684,4,445,bnb: **230** ; knapsack: **9** ; Total: **239**,0.00000769,8.81484284,0.381568264584,1.10541957661,0.05399448,0.0000789392982456,0.00144840000,0.05544288000,1,37,2.26315789474,2.62899464692,knapsack: **181** ; bnb: **230** ; srd: **273**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.24684794,165.865600000,294,1682,1901,818,4,513,bnb: **294** ; knapsack: **11** ; Total: **305**,0.00000769,8.81484284,0.350682606550,1.05416233626,0.06751309,0.0000825343398533,0.00199920000,0.06951229000,1,37,2.32396088020,2.84979983122,knapsack: **192** ; bnb: **294** ; srd: **332**
bustabit-tiny-hot-wallet_2019-2020-per-day,18.31717632,181.598666667,205,2008,2408,992,5,605,bnb: **374** ; knapsack: **13** ; Total: **387**,0.00000769,8.81484284,0.304063390826,0.978074871976,0.08563115,0.0000863217237903,0.00139400000,0.08702515000,1,37,2.42741935484,2.91535033949,knapsack: **230** ; bnb: **374** ; srd: **388**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.32987303,190.765714286,236,2415,2828,1085,5,649,bnb: **420** ; knapsack: **16** ; Total: **436**,0.00000769,8.81484284,0.292012475994,0.947831782242,0.09851751,0.0000907995483871,0.00160480000,0.10012231000,1,113,2.60645161290,4.49301988767,knapsack: **247** ; bnb: **420** ; srd: **418**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.38847776,193.870500000,166,2818,3350,1182,5,698,bnb: **466** ; knapsack: **18** ; Total: **484**,0.00000769,8.81484284,0.284571080330,0.917884577274,0.11050811,0.0000934924788494,0.00112880000,0.11163691000,1,132,2.83417935702,6.12026652043,knapsack: **264** ; bnb: **466** ; srd: **452**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.25659276,192.076222222,172,3213,3797,1287,5,756,bnb: **512** ; knapsack: **19** ; Total: **531**,0.00000769,8.81484284,0.272668926574,0.885044934572,0.12957118,0.000100676907537,0.00116960000,0.13074078000,1,132,2.95027195027,6.02849747514,knapsack: **288** ; bnb: **512** ; srd: **487**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.66771389,189.184000000,175,3571,4230,1429,5,834,bnb: **573** ; knapsack: **22** ; Total: **595**,0.00000769,8.81484284,0.258578798513,0.847945079108,0.14532262,0.000101695325402,0.00119000000,0.14651262000,1,132,2.96011196641,5.81054329928,knapsack: **315** ; bnb: **573** ; srd: **541**
bustabit-tiny-hot-wallet_2019-2020-per-day,21.88650669,183.790363636,127,3938,4717,1562,5,906,bnb: **634** ; knapsack: **22** ; Total: **656**,0.00000769,8.81484284,0.275691806567,0.926622660876,0.16646102,0.000106569154930,0.000863600000,0.167324620000,1,132,3.01984635083,5.69569921945,knapsack: **336** ; bnb: **634** ; srd: **592**
