id,input_amounts
0,['0.00329000']
1,['0.00014860']
2,['0.00331400']
3,['0.00483000']
4,['0.00329400']
5,['0.00329000']
6,['4.00000000']
7,['0.00329400']
8,['0.00940000']
9,"['0.00500000', '0.00066263', '0.00071414', '0.00014860', '0.00003341']"
10,['0.00018047']
11,"['0.00329400', '2.00000000']"
12,['3.00000000']
13,['0.00329400']
14,['0.01570000']
15,['0.00838523']
16,['0.00103200']
17,"['0.00329600', '0.00010000', '0.01000000']"
18,['0.02500000']
19,['0.01569000']
20,['0.00100000']
21,"['0.00007615', '0.00056976', '0.00050000']"
22,['0.00331400']
23,['0.00794500']
24,['1.00000000']
25,['0.01557856']
26,['2.99987062']
27,"['0.01010000', '0.00109000', '0.00010863']"
28,['2.00018158']
29,['0.01221644']
30,['0.99573048']
31,['0.00390000']
32,"['0.00214360', '0.00119730']"
33,['0.00434584']
34,"['0.00054643', '0.00000200', '0.00100000', '0.00000100', '0.00095679', '0.00090000']"
35,['0.00100000']
36,['0.00459569']
37,"['0.00300000', '0.00068430']"
38,['0.00785695']
39,['0.00452675']
40,['0.00925288']
41,['0.00600353']
42,['0.01456908']
43,['0.99238214']
44,['1.99715466']
45,['0.00119310']
46,['0.00034567']
47,['0.00156498']
48,['0.00056569']
49,['0.00980000']
50,['3.99958475']
51,['1.99201296']
52,['0.01831520']
53,['0.01000000']
54,['0.01486228']
55,['2.99783468']
56,['3.99610905']
57,['0.98910704']
58,['0.98570882']
59,['2.99446241']
60,['0.00644330']
61,"['0.00020000', '0.01300000']"
62,['0.00660233']
63,['0.01253561']
64,"['0.00304575', '0.00911664']"
65,['0.01000000']
66,['0.98231230']
67,['1.98521520']
68,['0.01149597']
69,"['0.00654930', '0.00004619', '0.00264050']"
70,['1.98182055']
71,['2.99138507']
72,['0.00300000']
73,['0.00863928']
74,['2.98811106']
75,['2.98472624']
76,['0.01032628']
77,['0.00536645']
78,['2.98136240']
79,"['3.99305359', '0.00193081']"
80,['3.99146722']
81,['2.97791455']
82,['0.03535793']
83,['2.96847602']
84,['2.96495082']
85,['0.00321080']
86,"['0.00581252', '0.00811937', '0.00685545']"
87,['0.01714000']
88,['0.00910000']
89,['0.00628184']
90,['0.97889766']
91,"['0.01524748', '3.98800730']"
92,['3.98799401']
93,['0.03186514']
94,['0.03000000']
95,['3.98684445']
96,"['0.00100000', '0.00116387']"
97,['0.97539242']
98,['0.02169688']
99,['0.01490000']
100,['0.02773116']
101,['3.98458827']
102,"['0.00093426', '0.00480000']"
103,['3.97991658']
104,['0.00107722']
105,"['0.00034660', '0.00278348']"
106,['0.01780000']
107,['0.00300000']
108,['0.00480000']
109,['1.97875461']
110,['3.97673134']
111,['0.00076900']
112,"['0.00120000', '0.00300000']"
113,"['5.00000000', '0.00100000']"
114,['0.01109159']
115,['0.01618410']
116,"['0.00003564', '0.00374069']"
117,['0.01000000']
118,['0.01513794']
119,['0.01279713']
120,"['0.00270000', '0.00660176']"
121,"['0.00454585', '0.00010000', '0.00040000']"
122,"['0.00169500', '0.00171142']"
123,"['0.00500000', '0.00008000', '0.00341677', '0.00006000']"
124,"['0.00163049', '0.00011000', '0.00025639', '0.00021071', '0.00357848', '0.00090000', '0.00022551', '0.00002273', '0.00006080', '0.00090000', '0.00010000', '0.00008690']"
125,"['0.00444318', '0.00091371', '0.00100000', '0.00100000', '0.00100000', '0.00080000', '0.00087643']"
126,"['0.00976701', '0.00100000', '0.00228044', '0.00200000']"
127,['0.00790000']
128,['0.01450000']
129,['0.00390000']
130,"['0.00500000', '0.00120000']"
131,"['0.00110000', '0.00008564', '0.00500000']"
132,"['0.00370000', '2.96142365']"
133,"['0.00200000', '0.00081741', '0.00360000', '0.00065233', '0.00006634', '0.00290000', '0.00100000']"
134,"['0.00100000', '0.00100000', '0.00100000']"
135,"['0.00587143', '0.00213902', '0.00200000']"
136,['0.03500000']
137,['0.00226500']
138,"['0.00024033', '0.00100000', '0.00049540']"
139,['0.00300000']
140,"['0.00300000', '0.00137422', '0.00300000', '0.00568443']"
141,['0.00464370']
142,"['0.00022077', '0.00200000']"
143,['0.00069882']
144,"['0.00021750', '0.00024249', '0.00070000', '0.00100000']"
145,['0.00948021']
146,['0.00500000']
147,['0.00180000']
148,"['0.00021566', '0.00280000', '0.00261717', '0.00011922', '0.00003815']"
149,"['0.00800000', '0.00982007']"
150,['0.00976518']
151,"['0.00980000', '0.01680000', '0.02564280', '0.00490000', '0.00195048']"
152,['0.00880000']
153,"['0.00290000', '0.01312797', '1.97377042']"
154,['0.01000000']
155,['0.00801566']
156,"['0.01000000', '0.00090000', '0.00800000', '0.00500000', '0.01000000', '0.00477762', '0.00004165', '0.00500000', '0.00592000', '0.06000000', '0.00880000', '0.00263338']"
157,"['0.00300000', '0.00090000']"
158,['0.00480000']
159,"['0.00600000', '0.04000000', '0.00394940', '0.97429901']"
160,"['0.00084400', '4.99782450']"
161,"['1.93974187', '0.05000000']"
162,"['0.00032023', '0.00500000']"
163,['0.00600000']
164,['0.00676409']
165,"['0.00021000', '0.00038000', '0.00040000', '0.00030887', '0.00199738', '0.00175872']"
166,['0.00700000']
167,['0.00628954']
168,"['0.01000000', '0.00017000']"
169,['0.00900000']
170,"['0.00100000', '0.00040000', '0.00860000', '0.00010000']"
171,['0.00327838']
172,['0.00190562']
173,['0.00797940']
174,"['0.00063324', '0.00347530', '0.00090000']"
175,"['0.00015474', '0.00004841', '0.01000000']"
176,"['0.00800000', '0.00250000']"
177,"['0.00900000', '0.00500000']"
178,"['0.00963986', '0.00349536']"
179,['0.00250163']
180,['0.00220021']
181,['0.02000000']
182,"['0.00189230', '0.00967221']"
183,['0.02471042']
184,['0.01439233']
185,['0.00029196']
186,['0.00076082']
187,"['0.00327332', '0.00969612']"
188,"['0.00500000', '0.00980000']"
189,"['0.00069242', '0.01000000', '0.00090000']"
190,['0.05000000']
191,['0.03300000']
192,"['0.00007665', '0.01000000', '0.00012640', '0.00195337']"
193,['0.03088212']
194,['0.05000000']
195,['0.01990000']
196,['0.07024500']
197,['0.02959206']
198,"['0.00100000', '0.00028000']"
199,"['0.00318000', '0.00180000', '0.00170000', '0.00044827', '0.00099000', '0.01090000']"
200,"['0.00002579', '0.00200000']"
201,['0.00900000']
202,['0.00400000']
203,['0.03000000']
204,['0.01000000']
205,"['0.01000000', '0.00230904', '0.00090000']"
206,['0.05468660']
207,"['0.00050000', '0.06000000']"
208,['0.01000000']
209,['0.00137648']
210,['0.00028154']
211,"['3.97556275', '0.00290000']"
212,['0.92419064']
213,"['0.02400000', '0.02498398']"
214,"['0.00014000', '0.00006080', '0.00008492']"
215,"['0.00005460', '0.04798250', '0.02310000', '0.00390000']"
216,"['0.00010000', '0.00378005', '0.00039116', '0.00390000', '0.00005460', '0.00180000']"
217,['4.89864067']
218,"['0.01000000', '0.03000000']"
219,['0.00048619']
220,['0.00028376']
221,['0.82410243']
