id,input_amounts
0,"['0.00483000', '0.00329400']"
1,['0.00014860']
2,['0.00331400']
3,['0.00500000']
4,['0.00329400']
5,['0.00329000']
6,['0.00088414']
7,['0.00329000']
8,['0.00329400']
9,"['0.00329600', '0.00329400']"
10,"['2.00000000', '0.00046889']"
11,"['0.00065863', '0.00014860', '0.00003341', '0.00227923']"
12,['3.00000000']
13,['0.00331400']
14,['0.00940000']
15,['0.01000000']
16,['0.00103200']
17,"['2.00032177', '0.00050000']"
18,['0.01010000']
19,['0.01569000']
20,['0.00100000']
21,['0.01456908']
22,"['0.00010000', '0.01000000']"
23,"['0.00007615', '0.01570000']"
24,['4.00000000']
25,['2.99987062']
26,['1.99776922']
27,['0.00341520']
28,['0.00980000']
29,['0.00927856']
30,['0.00390000']
31,['5.00000000']
32,['0.00677308']
33,['2.99650850']
34,"['0.00000100', '0.00056976', '0.00055166', '0.00216360', '0.00007180']"
35,['0.00090000']
36,['1.99573328']
37,['0.00344154']
38,"['0.00008690', '0.00010863', '0.00010601', '0.00109000', '0.00100000', '0.00100000']"
39,"['0.00000200', '0.00058430', '0.00300000']"
40,['0.00500995']
41,['0.00596061']
42,['0.02500000']
43,['3.99573048']
44,['0.00631500']
45,['0.00117330']
46,['0.02296653']
47,['0.00176060']
48,['1.99270257']
49,['0.00794500']
50,['0.01000000']
51,['0.00797203']
52,['0.01300000']
53,['0.03535793']
54,['0.00652430']
55,['3.99245538']
56,['0.01241576']
57,['0.00458830']
58,['0.00954708']
59,"['0.00300000', '0.00011000']"
60,['0.01344288']
61,['3.98908311']
62,['0.02263396']
63,['0.03196026']
64,"['0.00034660', '0.00315799']"
65,['0.02854129']
66,['2.99311945']
67,['3.98568426']
68,['1.99236239']
69,['1.98898579']
70,"['0.00119008', '2.98970481']"
71,['4.99664643']
72,['4.99337242']
73,['0.01004533']
74,['0.00615056']
75,['0.00936030']
76,['0.00677250']
77,['0.00599646']
78,"['0.00020000', '0.00330167']"
79,['3.98228961']
80,"['0.00076131', '0.00276574']"
81,['0.01924243']
82,"['0.00256082', '0.00100000']"
83,['2.98779763']
84,['2.98427243']
85,['0.00910000']
86,['0.02509059']
87,['0.00591947']
88,['0.00402695']
89,['1.98561048']
90,['2.98074526']
91,['4.99130668']
92,['0.00117427']
93,['2.97724002']
94,['2.96707176']
95,['4.97612991']
96,"['0.00980390', '0.00076900']"
97,['0.00116387']
98,['0.01714000']
99,['0.01780000']
100,['1.98211212']
101,"['0.00006080', '0.00839290']"
102,['1.00000000']
103,['1.98002376']
104,['0.00107722']
105,['0.01490000']
106,['0.00300000']
107,['0.01450000']
108,['0.00370000']
109,"['4.97387373', '0.00007046']"
110,['0.00120000']
111,['0.00080000']
112,['0.01000000']
113,['0.01231741']
114,"['0.00480000', '0.00040000', '0.00024171']"
115,['0.00259758']
116,"['1.97683852', '0.00138410']"
117,['0.00024629']
118,"['0.00341677', '0.00228044']"
119,"['0.00100000', '0.00204488']"
120,"['0.00008000', '0.03000000']"
121,['0.00581448']
122,"['0.00171142', '0.00169500']"
123,"['0.00373511', '0.00480000']"
124,"['0.00006636', '0.00270000', '0.00010000', '0.00025639', '0.00006000', '0.00005367', '0.00003141', '0.00010000', '0.00090000', '0.00200000', '0.00091371', '0.00090000']"
125,"['0.00078895', '0.00087643', '0.00100000', '0.00100000', '0.00100000', '0.00110000', '0.00264069', '0.00163049']"
126,"['0.00200000', '0.00360000', '0.00500000', '0.00444696']"
127,"['0.00120000', '0.00100000']"
128,['0.00155142']
129,['0.99789440']
130,"['0.00015786', '0.00017939', '0.00480000', '0.00100000']"
131,"['0.00290000', '0.00120879', '0.00200000', '0.00001351']"
132,['0.01109159']
133,"['0.00100000', '0.00916623', '0.00100000']"
134,['0.00300000']
135,"['0.00049540', '0.00100000', '0.00300000', '0.00014878', '0.00300000', '0.00023409', '0.00213902']"
136,"['0.00226500', '0.00790000']"
137,['0.00300000']
138,['0.00390000']
139,['2.96480292']
140,"['0.00800000', '0.00014138', '0.00490000']"
141,['0.00217962']
142,"['0.00015309', '0.00097533', '0.00100000']"
143,['0.00069882']
144,"['0.00200000', '0.00012408']"
145,"['0.00001088', '0.00024249', '0.00454585', '0.00280000', '0.00070000', '0.00100000']"
146,['0.00444318']
147,['0.00180000']
148,"['0.00290000', '0.00300000']"
149,"['0.00011922', '0.00472882', '0.00500000']"
150,"['0.00500000', '0.00500000']"
151,['3.97883369']
152,['2.96317714']
153,['4.96892950']
154,['0.01000000']
155,['1.97444603']
156,"['0.00500000', '0.00013189', '0.00263338', '0.00969612', '0.00090000', '0.02077425', '0.00600000', '0.00040000', '0.06000000', '0.00860000', '0.00090000', '0.00004251', '0.00600000']"
157,['0.00464370']
158,['0.00106804']
159,"['0.00500000', '4.91890062', '0.00963986']"
160,"['0.00592000', '0.00880000', '0.01569713', '0.00980000', '0.00084400', '0.05900000']"
161,"['0.01000000', '3.91979976']"
162,"['0.00500000', '0.00021744']"
163,['0.00700000']
164,"['0.00038000', '0.00139366', '0.00299738', '0.00027432']"
165,['0.00800000']
166,['0.00298633']
167,['0.00800000']
