id,input_amounts
0,['0.00329000']
1,['0.00014860']
2,['0.00331400']
3,['0.00483000']
4,['0.00329400']
5,['0.00329000']
6,['0.01570000']
7,['0.00329400']
8,['0.00500000']
9,"['0.00329400', '0.00329400']"
10,['0.00014860']
11,"['0.01010000', '0.00071414']"
12,['0.00980000']
13,"['0.00050000', '0.00066263']"
14,"['0.00003341', '0.00010000']"
15,['0.00940000']
16,['0.00103200']
17,['0.00329600']
18,"['0.00536061', '0.00026038', '0.00109000']"
19,['1.00000000']
20,['0.00100000']
21,"['0.00006980', '0.00007615', '0.00100000']"
22,['0.00331400']
23,['0.00390000']
24,"['0.00090000', '0.01000000']"
25,['0.00398523']
26,['3.00000000']
27,['0.00661931']
28,"['0.01528475', '0.00062311']"
29,['0.00321024']
30,['0.00770172']
31,['0.00435338']
32,['2.00000000']
33,['4.00000000']
34,"['0.00008690', '0.00119730', '0.00099981', '0.00000100', '0.00010863', '0.00055069', '0.00000200', '0.00018047', '0.00024668']"
35,['0.00056976']
36,['0.00794500']
37,"['0.00100000', '0.00300000']"
38,['0.00491429']
39,['0.00967062']
40,['0.00633697']
41,['0.02500000']
42,['0.02163697']
43,"['0.00308762', '0.00025406']"
44,['0.01000000']
45,['0.00158409']
46,['0.00039397']
47,['0.00300000']
48,['0.00066137']
49,['0.00485830']
50,"['0.99887908', '0.00200071']"
51,['0.01000000']
52,['0.01960350']
53,['0.01286815']
54,"['0.00020000', '0.00320224']"
55,['0.00947048']
56,['0.00609821']
57,['2.99796406']
58,['0.03535793']
59,['0.01300000']
60,"['0.00032119', '0.01615058']"
61,['0.00992266']
62,"['0.00304275', '1.99666846']"
63,['0.00652381']
64,['0.03196141']
65,['5.00000000']
66,['1.99628950']
67,['0.99734104']
68,"['0.00034660', '0.00001631', '0.00310484']"
69,['0.01304070']
70,['0.00966539']
71,['0.00659945']
72,['4.99654930']
73,['0.00332544']
74,['0.01569000']
75,['0.01230518']
76,['0.00894134']
77,['0.00547051']
78,['1.99287486']
79,['0.99394639']
80,['0.02850050']
81,['0.02504058']
82,['0.01560205']
83,['0.99049047']
84,['0.01210926']
85,['4.99448356']
86,"['0.00858209', '4.99130303']"
87,['0.00203487']
88,['0.98696527']
89,['0.00910000']
90,['0.00560164']
91,['0.01714000']
92,['0.00150160']
93,['0.03000000']
94,['4.97916231']
95,"['0.00035204', '2.99456584']"
96,['0.00209640']
97,['0.00196323']
98,['1.98942701']
99,['0.00480000']
100,"['0.98414711', '0.00011000']"
101,['0.01983174']
102,['1.97433189']
103,['1.97222629']
104,['0.00107722']
105,['0.01780000']
106,['0.00300000']
107,['2.99253997']
108,['0.00480000']
109,"['0.00200000', '0.00790000']"
110,['0.00116387']
111,['0.00076900']
112,"['0.00300000', '0.00120000']"
113,"['0.00138410', '0.00010000', '0.00171142']"
114,['4.97689347']
115,['0.00374069']
116,"['0.00370000', '0.00004041', '0.00005261']"
117,['0.01450000']
118,"['0.00080000', '0.00488531']"
119,"['0.00004175', '0.00300000']"
120,['0.98212677']
121,"['0.00040000', '0.00454585', '0.00010000']"
122,['0.00500000']
123,['0.01516005']
124,"['0.00006000', '0.00169500', '0.00290000', '0.00025639', '0.00008000', '0.00014235', '0.00086982', '0.00090000', '0.00021071', '0.00090000', '0.00006080']"
125,"['0.00087643', '0.00006140', '0.00120000', '0.00100000', '0.00100000', '0.00091371', '0.00100000', '0.00100000', '0.00100000', '0.00100000', '0.00100000']"
126,"['0.00800000', '0.00341677', '0.00200000', '0.00163049']"
127,['0.00269453']
128,['0.00160231']
129,['0.01109159']
130,"['0.00100000', '0.00390000', '0.00023028', '0.00100000']"
131,"['0.00228044', '0.00300000', '0.00100000']"
132,['0.01490000']
133,"['0.00480000', '0.00270000', '0.00269713', '0.00016114', '0.00066596']"
134,"['0.00110000', '0.00200000']"
135,"['0.00784392', '0.00226500']"
136,"['0.00444318', '0.00049540', '0.00010476', '0.00500000']"
137,['0.00213902']
138,['0.00300000']
139,['0.00800000']
140,"['0.00663461', '0.03500000']"
141,['0.97283962']
142,"['0.00032748', '0.00069882', '0.00100000']"
143,['0.00070000']
144,"['0.00011435', '0.00200000']"
145,"['0.00500000', '0.00127962', '0.00300000']"
146,"['0.00024367', '0.00280000', '0.00002196']"
147,['0.00180000']
148,"['0.00100000', '0.00490000']"
149,"['0.00011922', '0.00013189', '0.00360000', '0.00600000']"
150,"['0.00500000', '0.00500000']"
151,"['0.97081309', '0.00600000', '0.01432007']"
152,['0.01471109']
153,['3.99661095']
154,['0.01000000']
155,['0.00900000']
156,"['0.00637422', '0.00040000', '0.00027432', '0.00090000', '0.06000000', '0.00004447', '0.00853723', '0.00290000', '0.00576196', '0.01680000', '0.00263338', '0.00592000', '0.00090000', '0.00500000', '0.00464370']"
157,['0.00500000']
158,['0.00142434']
159,"['0.01000000', '3.94658207']"
160,"['4.97148631', '0.02959206']"
161,"['0.00860000', '3.85654714']"
162,['0.00700000']
163,['0.00880000']
164,"['0.00021000', '0.00479738']"
165,['0.00880000']
166,['0.00084400']
167,"['0.00199230', '0.00038000', '0.00057374', '0.00013354']"
168,"['0.00980000', '0.00005235', '0.00017000']"
169,['0.00378633']
170,"['0.00010000', '0.00100000', '0.00900000']"
171,['0.00276573']
172,['0.00139297']
173,['0.00800000']
174,"['0.00500000', '0.00005268']"
175,"['0.00963986', '0.00040000', '0.00012059', '0.00004995']"
176,"['0.00090000', '0.00969612']"
177,"['0.00250000', '0.00980000']"
178,"['0.01000000', '0.00179536']"
179,['0.00038808']
180,['0.00116177']
181,['0.01267518']
182,"['0.00085386', '0.01000000']"
183,"['0.00234739', '0.01000000']"
184,"['0.00202071', '0.01000000']"
185,['0.00089267']
186,['0.00067736']
187,"['0.00349590', '0.01000000']"
188,"['0.00500000', '0.01000000']"
189,"['0.01000000', '0.00090000', '0.00089242']"
190,['0.00247983']
191,['0.00318000']
192,"['0.00046233', '0.01000000', '0.00170000']"
193,"['0.00008666', '0.09980000']"
194,['0.09990000']
195,['0.01500000']
196,"['0.00180000', '0.02000000']"
197,['0.02860077']
198,['0.01000000']
199,"['0.00900000', '0.00106212', '0.00004294', '0.00003776', '0.00014000', '0.00873090']"
200,"['0.00005017', '0.00100000', '0.00099000']"
201,"['0.00622526', '0.00028000', '0.00044827', '0.00068619']"
202,['0.00050000']
203,"['0.00010000', '0.00090000', '0.00200000', '0.00001596', '0.02471042']"
204,['0.00400000']
205,"['0.01000000', '0.00028005', '0.00298309']"
206,['0.01990000']
207,['2.99035738']
208,['0.05000000']
209,['0.00180000']
210,['0.00070506']
211,['0.04000000']
212,"['0.02160890', '4.90105054']"
213,['0.07024500']
214,['0.03300000']
215,"['0.00097600', '0.02400000', '0.00006080', '0.05000000']"
216,"['0.00013902', '0.00990000']"
217,"['0.01386101', '0.00390000', '0.05000000', '0.00229870', '0.03000000']"
218,['0.06000000']
219,"['0.00019558', '0.00002723']"
220,['0.00039116']
221,"['0.05900000', '0.04590078', '0.01944692']"
