id,input_amounts
0,['0.00329000']
1,['0.00014860']
2,['0.00331400']
3,['0.00483000']
4,['0.00329400']
5,['0.00329000']
6,['0.00329400']
7,['0.00287875']
8,['0.00794500']
9,"['0.00329400', '0.00329400']"
10,['0.00014860']
11,['0.00329600']
12,['5.00000000']
13,"['0.00008690', '0.00024738', '0.00071414', '0.00010000', '0.00003341']"
14,['0.00018047']
15,['4.99987062']
16,['0.00103200']
17,['0.00331400']
18,['0.01010000']
19,['0.00390000']
20,['0.01000000']
21,['0.01000000']
22,['1.00000000']
23,['0.00693023']
24,['2.00000000']
25,['0.00907615']
26,['0.00500000']
27,['0.00341520']
28,['4.99583123']
29,['0.00296406']
30,['3.00000000']
31,['0.00940000']
32,['1.99573048']
33,"['0.00056976', '0.00006980', '0.00277908']"
34,"['0.00090000', '0.00100000', '0.00027838', '0.00018758', '0.00000200', '0.00100000', '0.00000100']"
35,['0.00050000']
36,['0.00358092']
37,"['0.00005903', '0.00300000', '0.00018430', '0.00010863']"
38,['0.00571403']
39,"['0.00100000', '0.00238383']"
40,['0.00604643']
41,['4.00000000']
42,['0.00279708']
43,['0.00887380']
44,['0.00559870']
45,['0.99788330']
46,['0.00045700']
47,['0.00109000']
48,['0.00055021']
49,"['4.99280431', '0.00021003']"
50,['0.01300000']
51,['0.00952430']
52,['4.98959553']
53,['0.03535793']
54,['0.99669318']
55,['0.01570000']
56,['2.99665166']
57,['0.99332687']
58,['0.01000000']
59,['3.99663697']
60,['0.00660348']
61,['0.02500000']
62,['2.99359620']
63,['0.03196026']
64,['4.98614261']
65,['0.00980000']
66,['0.01569000']
67,['0.02854129']
68,"['0.00320593', '0.00020000']"
69,['0.02160115']
70,['0.01232773']
71,['0.01227536']
72,['0.00272654']
73,['2.99020467']
74,['1.99239894']
75,"['0.00300000', '0.00034660', '0.00009071']"
76,['0.00634930']
77,['1.98901412']
78,"['0.98992865', '0.00011000']"
79,['4.98268170']
80,['0.01822584']
81,['1.98557848']
82,['1.97613995']
83,"['0.00076900', '1.97264716']"
84,['0.02514664']
85,['3.99355963']
86,"['0.00900135', '0.98654003']"
87,['0.97481857']
88,['0.00287847']
89,['0.00910000']
90,['0.00560164']
91,['0.01714000']
92,['0.01476592']
93,['0.03000000']
94,['0.01361636']
95,"['0.00926179', '0.00116387']"
96,['0.00209640']
97,"['0.00100000', '0.00012443']"
98,"['0.97292605', '0.00076361', '0.00004702']"
99,['2.98693184']
100,['0.00300000']
101,['0.01134752']
102,"['0.00006080', '0.00480000']"
103,['1.96979583']
104,['0.00107722']
105,['0.01983174']
106,['0.00480000']
107,['0.01780000']
108,['0.00120000']
109,['1.96661059']
110,['0.00120000']
111,['0.00066080']
112,['0.01000000']
113,['0.01674283']
114,"['0.00171142', '0.00370000', '0.00003141']"
115,['0.01561741']
116,['0.01490000']
117,['0.00100000']
118,"['0.00228044', '0.00341677']"
119,"['0.00200000', '0.00006000', '0.00100000']"
120,"['0.00270502', '0.00581448', '0.00080000']"
121,"['0.00454585', '0.00010000', '0.00040000']"
122,"['0.00082007', '0.00169500', '0.00090000']"
123,['0.01000000']
124,"['0.00100000', '0.00025639', '0.00100000', '0.00163049', '0.00008000', '0.00014069', '0.00100000', '0.00091371', '0.00100000', '0.00006031', '0.00010000', '0.00090000']"
125,"['0.00010251', '0.00100000', '0.00318410', '0.00196323', '0.00091164', '0.00087643', '0.00100000', '0.00100000']"
126,"['0.00200000', '0.00300000', '0.00804775', '0.00200000']"
127,['3.99037910']
128,['0.00147456']
129,['0.00360000']
130,"['0.00500000', '0.00010253', '0.00110000']"
131,"['0.00035233', '0.00008348', '0.00270000', '0.00300000']"
132,['0.00667583']
133,"['0.00480000', '0.00031306', '0.00001176', '0.00290000', '0.00300000']"
134,['0.00390000']
135,"['0.00213902', '0.00790000']"
136,"['0.00500000', '0.00003486', '0.00500000']"
137,['0.00800000']
138,['0.00597533']
139,['0.00444318']
140,"['0.00100000', '0.95855049']"
141,['0.00300000']
142,"['0.00113409', '0.00097347']"
143,['0.00049540']
144,"['0.00200000', '0.00010429', '0.00003907']"
145,"['0.00069882', '0.00002584', '0.00226500', '0.00180000', '0.00070000', '0.00281740', '0.00100000']"
146,['0.00425495']
147,['0.00280000']
148,"['0.00120543', '0.00464370']"
149,"['0.00490000', '0.00500000']"
150,"['0.00880000', '0.00111922']"
151,['2.98482897']
152,['0.00300000']
153,"['0.00090000', '1.96162640']"
154,['0.01000000']
155,['0.00500000']
156,"['0.00040000', '0.00090000', '0.00263338', '0.02161947', '0.06000000', '0.00096409', '0.00009559', '0.00290000', '0.00969612', '0.00600000', '0.00592000', '0.00800000', '0.00176196', '0.00019354']"
157,['0.00500000']
158,['0.00142434']
159,"['0.01114518', '1.91248380', '0.01500000']"
160,['1.83858263']
161,"['0.05000000', '0.03300000', '0.00600000', '0.01109159']"
162,"['0.00500000', '0.00008102']"
163,['0.00700000']
164,"['0.00038000', '0.00006966', '0.00299738', '0.00057374', '0.00084400', '0.00021000']"
165,['0.00860000']
166,['0.00358633']
167,"['0.00287587', '0.00017000']"
168,"['0.01000000', '0.00002941']"
169,['0.01000000']
170,"['0.00897940', '0.00005656', '0.00100000', '0.00001415']"
171,['0.00800000']
172,['0.00662724']
173,['0.00535486']
174,"['0.00010000', '0.00500000']"
175,"['0.00900000', '0.00085076', '0.00040000']"
176,"['0.00963986', '0.00090000']"
177,"['0.00250000', '0.00880000']"
178,"['0.00004800', '0.00980000', '0.00079536']"
179,['0.00033182']
180,['0.00900000']
181,['0.01359165']
182,"['0.00326386', '0.00869209']"
183,['0.05000000']
184,['0.01457125']
185,['0.00115226']
186,['0.00093695']
187,"['0.01000000', '0.00345224']"
188,['0.01450000']
189,"['0.00030253', '0.01000000', '0.00090000']"
190,['0.00243617']
191,['0.00318000']
192,"['0.00041867', '0.00980000', '0.00009727', '0.00009630', '0.00003040', '0.00170000']"
193,['0.03000000']
194,['0.04000000']
195,['0.09990000']
196,['0.09980000']
197,['0.00106212']
198,['0.94651665']
199,['0.09876101']
200,"['0.00004019', '0.00100000', '0.00099000']"
201,"['0.00050000', '0.00500000', '0.00014000', '0.00200000']"
202,['0.00028000']
203,"['0.01680000', '0.01090000']"
204,['0.02310000']
205,"['0.00090000', '0.01000000', '0.00044827', '0.00180000']"
206,"['0.00900000', '0.01000000']"
207,['3.98835053']
208,['0.02208309']
209,['0.00180000']
210,['0.00039486']
211,['0.07024500']
212,"['0.02959206', '0.05000000', '0.00070506', '0.01990000']"
213,['0.08424160']
214,"['0.00002963', '0.00019558', '0.00006005']"
215,"['0.05299161', '0.00400000', '0.01798387', '0.00006080']"
216,"['0.00001969', '0.01000000']"
217,"['0.00039116', '0.00097600', '0.05900000', '0.03968191']"
218,['4.97922578']
219,"['0.00005460', '0.00005460', '0.00010000']"
220,['0.00193800']
221,"['0.03796738', '0.03500000', '0.01950000', '0.00290000', '0.02900000']"
