id,input_amounts
0,['0.00329000']
1,['0.00940000']
2,"['0.00011747', '0.00329000']"
3,['0.00483000']
4,"['0.00331400', '0.00002392']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,['0.01570000']
9,['2.00000000']
10,['5.00000000']
11,"['0.00329600', '0.00329400']"
12,['0.00014860']
13,['0.00794500']
14,['0.00014860']
15,['0.01000000']
16,['0.00103200']
17,['1.99347343']
18,"['0.00329400', '0.00678410']"
19,['0.01000000']
20,['0.00100000']
21,['0.00500000']
22,['0.00980000']
23,['4.99984483']
24,"['0.00008310', '0.00064468', '0.00347353', '0.00010000']"
25,['1.00000000']
26,['0.00766091']
27,"['0.00023909', '0.00056976', '0.00109000', '0.00050000', '0.00100000', '0.00002797']"
28,['0.00331400']
29,['0.00332031']
30,['0.00381736']
31,['0.00390000']
32,['0.00563819']
33,"['0.00047585', '0.00030000', '0.00000100', '0.00232922', '0.00000200', '0.00036686']"
34,['0.00595187']
35,['0.00055865']
36,"['0.00261372', '0.00025290', '0.00007421', '0.00010863']"
37,"['0.00300000', '0.00090000']"
38,['0.00881687']
39,['0.00548649']
40,"['0.00100000', '0.00056498', '0.00215624']"
41,['0.00923370']
42,['0.00590795']
43,['0.00391935']
44,['0.01000000']
45,"['0.00048360', '0.00069522']"
46,"['0.00002077', '0.00020000']"
47,['0.00300000']
48,"['0.00011000', '0.00011917']"
49,['0.00494133']
50,"['0.00212652', '0.00171090']"
51,['0.01010000']
52,['0.00341533']
53,['0.01300000']
54,['0.00966386']
55,['0.00633427']
56,['0.00300565']
57,['0.01467280']
58,"['0.03535793', '0.00076900']"
59,['0.01134186']
60,['0.00833743']
61,['0.00500440']
62,['0.01569000']
63,['0.01235658']
64,"['0.00034660', '0.03279470']"
65,['0.00902363']
66,['0.00569361']
67,"['0.00167277', '0.00236490']"
68,['0.02500000']
69,"['0.00008536', '4.99648596', '0.00048840', '0.00002040']"
70,['0.02167088']
71,"['0.00001303', '3.00000000']"
72,['0.01866705']
73,['0.01665677']
74,['0.01344722']
75,['0.01011645']
76,['0.00681203']
77,['0.00341369']
78,['0.02980303']
79,['0.02645532']
80,"['4.99374653', '0.00008015']"
81,['0.02312118']
82,['0.01378892']
83,['0.01045119']
84,['0.00711608']
85,['0.00378183']
86,['0.99664522']
87,"['0.00100000', '0.00003752', '0.00069641']"
88,['0.00910000']
89,['0.00644214']
90,"['0.00077438', '0.00310464']"
91,['0.01714000']
92,['0.00213637']
93,['0.03000000']
94,"['0.00116387', '0.00113314']"
95,['0.01999650']
96,['0.00300000']
97,['0.97616249']
98,"['0.00028564', '0.00000480', '0.01490000']"
99,"['0.00100000', '0.00098946', '0.00006080']"
100,['0.00480000']
101,['0.01780000']
102,"['0.00002795', '0.00100000', '0.00100000']"
103,"['0.00001973', '0.00300000']"
104,"['0.00001259', '0.00100000']"
105,"['0.00107722', '0.00100000', '0.00016649', '0.00080000']"
106,"['0.00100000', '0.00054527']"
107,['0.00279265']
108,"['0.00100000', '0.00002799']"
109,"['0.00171142', '0.00200000', '0.00120000', '0.00002253']"
110,['0.00120000']
111,['0.00068255']
112,"['0.00009442', '0.00017756', '0.00390000']"
113,"['0.00270000', '0.00087643']"
114,"['0.00100000', '0.00040000', '0.00341677', '0.00046478', '0.00010000']"
115,['0.00200000']
116,"['0.00002428', '0.00370000']"
117,['0.00098570']
118,"['0.00480000', '0.00084194']"
119,"['0.00200000', '0.00090000', '0.00006678', '0.00006000']"
120,"['0.00300000', '0.00001308', '0.00008000', '0.00025639', '0.00000560', '0.00500000', '0.00091371']"
121,"['0.00010000', '0.00100000', '0.00163049', '0.00228044']"
122,['0.00360000']
123,"['0.00454585', '0.00090000', '0.00021748', '0.00290000']"
124,"['0.01450000', '0.00110000']"
125,"['0.01000000', '0.00003327']"
126,"['0.01000000', '0.00001699', '0.00500000']"
127,['0.00300000']
128,['0.00169500']
129,['0.00444318']
130,"['0.00490000', '0.00121537']"
131,"['0.00099529', '0.00034550', '0.00480000']"
132,['0.00757813']
133,['0.01109159']
134,"['0.00226500', '0.00123267']"
135,"['0.00500000', '0.00002596', '0.00500000']"
136,"['0.00880000', '0.00074015', '0.00049540']"
137,['0.00213902']
138,['0.00300000']
139,"['0.00100000', '0.00129455']"
140,"['0.00500000', '0.00008743', '0.00790000', '0.00002314']"
141,"['0.00068421', '0.00100000', '0.00069882']"
142,"['0.00001758', '0.00200000']"
143,"['0.00013380', '0.00036916']"
144,"['0.00180000', '0.00070000']"
145,"['0.00038256', '0.00300000', '0.00592000']"
146,['0.00464370']
147,"['0.00160377', '0.00004436', '0.00004010']"
148,['0.00600000']
149,"['0.00500000', '0.00280000', '0.00290000']"
150,"['0.00900000', '0.00088946']"
151,"['0.00880000', '0.00800000', '0.00000917', '0.00800000', '0.00016460', '0.00263338', '0.00860000', '0.01680000', '0.00600000', '0.00001346']"
152,['4.99048965']
153,"['0.00900000', '0.01321816', '0.01799187', '0.00969612', '0.00024160']"
154,['0.01000000']
155,['0.00980000']
156,"['0.00090000', '0.03500000', '0.06000000', '0.01000000', '0.00011737', '0.01500000']"
157,['0.00500000']
158,['0.00090000']
159,"['0.00002022', '0.01000000', '0.05000000', '0.04000000']"
160,"['0.05900000', '0.01990000', '0.00142790', '0.00084400', '1.99040186', '0.00005076']"
161,['0.97514457']
162,['0.00659344']
163,['0.00700000']
164,"['0.00038000', '0.00021000', '0.00299385', '0.00158664']"
165,['0.00963986']
166,['0.00463491']
167,['0.00393698']
168,"['0.00000899', '0.01000000']"
169,"['0.00093178', '0.00015202']"
170,"['0.00040000', '0.00007946', '0.00800000', '0.00100000', '0.00017000', '0.00040000']"
171,['0.01000000']
172,['0.00862451']
173,['0.00734946']
174,"['0.00010000', '0.00500000']"
175,['0.02000000']
176,"['0.00979263', '0.00090000']"
177,"['0.00250000', '0.00980000']"
178,['0.02471042']
179,['0.00048339']
180,['0.00179185']
181,['2.99679250']
182,['0.01403148']
183,['0.07024500']
184,['0.05000000']
185,['0.00142532']
186,['0.00114664']
187,['4.98846685']
188,['0.09990000']
189,['0.05000000']
190,['0.00284562']
191,['0.87513952']
192,['0.09980000']
193,['0.06000000']
