id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,3.99983370,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,3.99647899,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4548
4,0.00329000,0.00005351,0.00025725,0.000257259615385,knapsack,2,0,2,0.00006396,22,21,3618
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00008310,21,21,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,21,21,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,21,21,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.00397280,21,21,1910
9,0.00650000,0.00003919,0.00018838,0.000188413461538,knapsack,2,0,2,0.00004881,22,21,2466
10,0.00014000,0.00002237,0.00010753,0.000107548076923,srd,2,0,2,0.00321673,21,20,1118
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00010556,27,27,785
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srd,1,0,2,0.00781717,28,28,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.01452910,28,28,2030
14,0.00010200,0.00001863,0.00013210,0.000132127659574,srd,1,0,2,0.01557937,28,28,1309
15,0.00400000,0.00007280,0.00034131,0.000411299435028,bnb,2,0,1,,34,32,4486
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,32,31,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.00474560,33,33,5026
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,2.99327435,33,33,4751
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.00213087,33,33,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,33,32,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00271736,32,32,5803
22,0.00209300,0.00003787,0.00032686,0.000344272727273,bnb,1,0,1,,32,31,1734
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.00138673,31,31,2309
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,4.99573006,31,31,1682
25,0.00333000,0.00003204,0.00017571,0.000181016949153,bnb,2,0,1,,31,29,1106
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.01250638,29,29,1596
27,0.00337500,0.00005637,0.00010801,0.000109244186047,bnb,7,0,1,,29,22,423
28,0.00300000,0.00001400,0.00009927,0.0000992907801418,knapsack,1,0,2,0.00030000,22,22,984
29,0.00294600,0.00002890,0.00005283,0.0000528336380256,knapsack,7,2,2,0.00003695,22,16,-1396
30,0.00332500,0.00001651,0.00011709,0.000117092198582,knapsack,1,0,2,0.00605849,17,17,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,knapsack,1,0,2,0.00271714,17,17,1149
32,0.00330000,0.00000897,0.00006361,0.0000636170212766,knapsack,1,0,2,0.00649103,17,17,631
33,0.00336300,0.00001638,0.00007874,0.00007875000,srd,2,0,2,0.00668458,17,16,637
34,0.00333400,0.00000612,0.00002942,0.0000294230769231,knapsack,2,0,2,0.00037702,19,18,-186
35,0.00030000,0.00000847,0.00004071,0.0000407211538462,srd,2,0,2,0.00979709,18,17,1
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00348554,17,17,316
37,0.00332900,0.00000602,0.00002890,0.0000289423076923,knapsack,2,0,2,0.00004200,18,17,-196
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,knapsack,1,0,2,0.00015516,17,17,238
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,knapsack,1,0,2,0.00335433,17,17,229
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00012190,17,17,382
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00647134,17,17,401
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00448274,18,18,324
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00125861,18,18,290
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,knapsack,1,0,2,0.00494133,20,20,254
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,knapsack,1,0,2,0.00020207,21,21,456
46,0.00020000,0.00001027,0.00003719,0.0000372101449275,knapsack,3,0,2,0.00002384,21,19,-489
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00212652,19,19,312
48,0.00020400,0.00000477,0.00002292,0.0000229326923077,knapsack,2,0,2,0.00001507,20,19,-300
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,knapsack,1,0,2,0.00171090,19,19,308
50,0.00334300,0.00000602,0.00002891,0.0000289423076923,knapsack,2,0,2,0.00048840,19,18,-339
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00341533,18,18,186
52,0.00332500,0.00000497,0.00003523,0.0000352482269504,knapsack,1,0,2,0.00008536,18,18,346
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,knapsack,1,0,2,0.00917024,18,18,778
54,0.00332500,0.00000678,0.00003255,0.0000325961538462,srd,2,0,2,0.03213615,18,17,-139
55,0.00332500,0.00000533,0.00002561,0.000025625000,srd,2,0,2,0.01237094,17,16,-392
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00616611,16,16,149
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00283517,16,16,135
58,0.00332500,0.00001364,0.00003473,0.0000556734693878,bnb,3,0,1,,16,13,-822
59,0.00300000,0.00000443,0.00003138,0.0000314184397163,knapsack,1,0,2,0.00936651,13,13,170
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.00603348,13,13,282
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,knapsack,1,0,2,0.00270185,13,13,184
62,0.00332800,0.00000799,0.00003837,0.0000384134615385,knapsack,2,0,2,0.00013486,13,12,-181
63,0.00332900,0.00000582,0.00002798,0.0000279807692308,srd,2,0,2,4.99259731,12,11,-353
64,0.00333000,0.00000561,0.00003974,0.0000397872340426,knapsack,1,0,2,0.00966439,11,11,253
65,0.00332500,0.00000502,0.00003559,0.0000356028368794,knapsack,1,0,2,0.00633437,11,11,212
66,0.00332500,0.00000371,0.00002628,0.0000263120567376,knapsack,1,0,2,0.00300566,11,11,-219
67,0.00333500,0.00000626,0.00003005,0.0000300961538462,knapsack,2,0,2,0.00001100,11,10,-656
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,knapsack,1,0,2,0.02167088,10,10,-189
69,0.00332500,0.00000352,0.00002495,0.0000249645390071,knapsack,1,0,2,0.01834236,10,10,-231
70,0.00300000,0.00000383,0.00002712,0.0000271631205674,knapsack,1,0,2,0.01533853,10,10,-209
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,knapsack,1,0,2,0.01212074,10,10,-72
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,knapsack,1,0,2,0.01011046,11,11,257
73,0.00320000,0.00000955,0.00006768,0.0000677304964539,knapsack,1,0,2,0.00690091,11,11,192
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,knapsack,1,0,2,0.00357014,11,11,-73
75,0.00330000,0.00000442,0.00003128,0.0000313475177305,knapsack,1,0,2,0.00026572,11,11,-169
76,0.00339300,0.00000534,0.00003786,0.0000378723404255,knapsack,1,0,2,0.02873781,11,11,-89
77,0.00332700,0.00000654,0.00004632,0.0000463829787234,knapsack,1,0,2,0.02540427,11,11,-6
78,0.00334100,0.00000671,0.00004752,0.0000475886524823,knapsack,1,0,2,0.02205656,11,11,7
79,0.00332700,0.00000714,0.00005059,0.0000506382978723,knapsack,1,0,2,0.01872242,11,11,45
80,0.00332900,0.00000544,0.00003857,0.0000385815602837,knapsack,1,0,2,0.01538798,12,12,-74
81,0.00932800,0.00000426,0.00003020,0.0000302127659574,knapsack,1,0,2,0.00605572,12,12,-140
82,0.00333000,0.00000773,0.00005482,0.0000548226950355,knapsack,1,0,2,0.00271799,13,13,86
83,0.00332500,0.00001491,0.00007168,0.0000716826923077,knapsack,2,0,2,0.00037808,13,12,62
84,0.00332500,0.00000925,0.00006554,0.0000656028368794,knapsack,1,0,2,0.00576575,12,12,231
85,0.00300000,0.00001099,0.00005282,0.0000528365384615,srd,2,0,2,0.99707437,12,11,-215
86,0.02047700,0.00000573,0.00004059,0.0000406382978723,knapsack,1,0,2,0.97659164,11,11,-16
87,0.00172200,0.00000365,0.00002583,0.0000258865248227,knapsack,1,0,2,0.00404010,11,11,-162
88,0.00265000,0.00000786,0.00005570,0.0000557446808511,knapsack,1,0,2,0.00138224,12,12,133
89,0.00333000,0.00000750,0.00005315,0.0000531914893617,knapsack,1,0,2,0.01380250,12,12,108
90,0.00332500,0.00000593,0.00004202,0.0000420567375887,knapsack,1,0,2,0.01047157,12,12,-2
91,0.01500000,0.00000363,0.00002572,0.0000257446808511,knapsack,1,0,2,0.96158801,13,13,-164
92,0.00100000,0.00000323,0.00002289,0.0000229078014184,knapsack,1,0,2,0.00037901,13,13,-192
93,0.01000000,0.00000350,0.00002479,0.0000248226950355,knapsack,1,0,2,0.00046807,13,13,-173
94,0.00200000,0.00002102,0.00005464,0.0000671565495208,knapsack,4,0,1,,16,12,-860
95,0.00200000,0.00000463,0.00003280,0.0000328368794326,knapsack,1,0,2,0.02799537,12,12,-152
96,0.00200000,0.00001054,0.00007472,0.0000747517730496,knapsack,1,0,2,0.00098946,15,15,263
97,0.00100000,0.00001792,0.00012707,0.000127092198582,srd,1,0,2,2.99225643,15,15,781
98,0.01500000,0.00001805,0.00008674,0.0000867788461538,knapsack,2,0,2,0.00001681,18,17,304
99,0.00200000,0.00002231,0.00008082,0.0000808333333333,knapsack,3,0,2,0.00002795,17,15,76
100,0.00200000,0.00000735,0.00005212,0.0000521276595745,knapsack,1,0,2,0.00279265,15,15,52
101,0.00457300,0.00000884,0.00006264,0.0000626950354610,knapsack,1,0,2,0.01321816,15,15,165
102,0.00200000,0.00000822,0.00002977,0.0000297826086957,knapsack,3,0,2,0.00000859,25,23,-1077
103,0.00300000,0.00000859,0.00003429,0.0000485310734463,bnb,2,0,1,,25,23,-646
104,0.00100000,0.00001103,0.00005302,0.0000530288461538,knapsack,2,0,2,0.00001692,27,26,-212
105,0.00300000,0.00000951,0.00004568,0.0000457211538462,knapsack,2,0,2,0.00004886,26,25,-335
106,0.00152800,0.00001301,0.00006253,0.0000625480769231,knapsack,2,0,2,0.00025899,26,25,-37
107,0.00210000,0.00001977,0.00007160,0.0000716304347826,knapsack,3,0,2,0.00000631,29,27,-80
