id,input_amounts
0,['0.00329000']
1,['4.00000000']
2,['3.99983370']
3,['0.00483000']
4,"['0.00011747', '0.00329000']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,['0.00500000']
9,"['0.00329400', '0.00329400']"
10,"['0.00329600', '0.00008310']"
11,['0.00321673']
12,['0.00794500']
13,['0.01569000']
14,['0.01570000']
15,"['0.00010000', '0.00397280']"
16,['0.00103200']
17,['0.00781717']
18,['3.00000000']
19,['0.00331400']
20,['0.00100000']
21,['0.00390000']
22,['0.00213087']
23,['0.00474560']
24,['5.00000000']
25,"['0.00271736', '0.00064468']"
26,['0.01452910']
27,"['0.00010863', '0.00014860', '0.00014860', '0.00050000', '0.00004881', '0.00138673', '0.00109000']"
28,['0.00331400']
29,"['0.00023909', '0.00000100', '0.00090000', '0.00056976', '0.00000200', '0.00100000', '0.00030000']"
30,['0.00940000']
31,['0.00605849']
32,['0.00980000']
33,"['0.01000000', '0.00006396']"
34,"['0.00271714', '0.00100000']"
35,"['0.00010556', '0.01000000']"
36,['0.00649103']
37,"['0.00037702', '0.00300000']"
38,['0.00348554']
39,['0.00668458']
40,['0.00335433']
41,['0.00979709']
42,['0.00647134']
43,['0.00448274']
44,['0.01000000']
45,['0.00125861']
46,"['0.00015516', '0.00003695', '0.00004200']"
47,['0.00300000']
48,"['0.00002384', '0.00020000']"
49,['0.00494133']
50,"['0.00171090', '0.00212652']"
51,['0.01010000']
52,['0.00341533']
53,['0.01250638']
54,"['0.03535793', '0.00011000']"
55,"['0.00012190', '0.01557937']"
56,['0.00917024']
57,['0.00616611']
58,"['0.00283517', '0.00001507', '0.00048840']"
59,['0.01237094']
60,['0.00936651']
61,['0.00603348']
62,"['0.00270185', '0.00076900']"
63,"['4.99573006', '0.00020207']"
64,['0.01300000']
65,['0.00966439']
66,['0.00633437']
67,"['0.00034660', '0.00300566']"
68,['0.02500000']
69,['0.02167088']
70,['0.01834236']
71,['0.01533853']
72,['0.01212074']
73,['0.01011046']
74,['0.00690091']
75,['0.00357014']
76,['0.03213615']
77,['0.02873781']
78,['0.02540427']
79,['0.02205656']
80,['0.01872242']
81,['0.01538798']
82,['0.00605572']
83,"['0.00100000', '0.00271799']"
84,['0.00910000']
85,"['0.00008536', '1.00000000']"
86,['0.99707437']
87,['0.00576575']
88,['0.00404010']
89,['0.01714000']
90,['0.01380250']
91,['0.97659164']
92,['0.00138224']
93,['0.01047157']
94,"['0.00037808', '0.00046807', '0.00116387', '0.00001100']"
95,['0.03000000']
96,['0.00300000']
97,['2.99327435']
98,"['0.01490000', '0.00013486']"
99,"['0.00100000', '0.00006080', '0.00098946']"
100,['0.00480000']
101,['0.01780000']
102,"['0.00100000', '0.00001681', '0.00100000']"
103,"['0.00300000', '0.00000859']"
104,"['0.00100000', '0.00002795']"
105,"['0.00279265', '0.00026572']"
106,"['0.00080000', '0.00100000']"
107,"['0.00004886', '0.00100000', '0.00107722']"
108,"['0.00000631', '0.00100000']"
109,"['0.00270000', '0.00200000', '0.00025899']"
110,['0.00120000']
111,"['0.00009442', '0.00037901', '0.00001692', '0.00002773']"
112,"['0.00200000', '0.00010000', '0.00120000', '0.00087643']"
113,['0.00370000']
114,"['0.00480000', '0.00059210']"
115,"['0.00002089', '0.00100000']"
116,"['0.00171142', '0.00002487', '0.00200000']"
117,['0.00040000']
118,"['0.00228044', '0.00341677']"
119,"['0.00163049', '0.00091371', '0.00012205', '0.00000591', '0.00008000', '0.00001444', '0.00025624']"
120,"['0.00300000', '0.00010000', '0.00025639', '0.00592000']"
121,"['0.00001503', '0.00500000']"
122,"['0.00169500', '0.00090000', '0.00090000']"
123,"['0.00464370', '0.00100000', '0.00290000']"
124,"['0.00800000', '0.00001958']"
125,"['0.00006000', '0.01000000']"
126,"['0.01109159', '0.00390000', '0.00004372']"
127,['0.00300000']
128,"['0.00099529', '0.00110000']"
129,['0.00360000']
130,"['0.00490000', '0.00074319', '0.00037219', '0.00010528']"
131,['0.00790000']
132,"['0.00454585', '0.00179242', '0.00002140']"
133,"['0.00444318', '0.00800000']"
134,"['0.00143705', '0.00226500']"
135,"['0.00500000', '0.00500000', '0.00000787']"
136,"['0.00880000', '0.00094453', '0.00049540']"
137,['0.00213902']
138,['0.00300000']
139,"['0.00013380', '0.00129455', '0.00022752']"
140,"['0.00100000', '0.00100000', '0.00600000', '0.00500000', '0.00004215']"
141,['0.00480000']
142,"['0.00200000', '0.00000899']"
143,['0.00069882']
144,"['0.00070000', '0.00180000']"
145,"['0.00002998', '0.00024428', '0.00300000', '0.00600000']"
146,"['0.00038256', '0.00279291']"
147,['0.00280000']
148,"['0.00113049', '0.00500000']"
149,['0.01000000']
150,"['0.00880000', '0.00290000']"
151,"['0.00197514', '0.00969612', '0.00500000', '0.00019413', '0.01680000', '0.00900000', '0.00263338', '0.00036952', '0.01321816', '0.00013320']"
152,['0.00980000']
153,"['0.00777720', '0.02799537', '0.01450000']"
154,['0.01000000']
155,"['0.96158801', '0.00090000']"
156,"['0.00025222', '0.00090000', '0.01000000', '0.06000000', '0.03500000', '0.00500000', '0.01000000']"
157,['0.00860000']
158,['0.00502790']
159,"['0.04000000', '0.05000000', '0.00040000', '0.00963986']"
160,"['0.02959206', '0.00417866', '0.05900000', '0.00900000']"
161,['0.95927834']
162,['0.00700000']
163,"['0.00013323', '0.00021000', '0.00199320', '0.00175220']"
164,['0.01000000']
165,"['0.00499242', '0.00002022']"
166,['0.00084400']
167,['0.00800000']
168,"['0.01000000', '0.00000533']"
169,"['0.00100000', '0.00000874']"
170,['0.01500000']
171,['0.00496541']
172,"['0.00038000', '0.00017000', '0.00014607', '0.00010000', '0.00040000', '0.00002863', '0.00007363']"
173,['0.00499480']
174,"['0.00049096', '0.00500000']"
175,['0.01990000']
176,"['0.00969263', '0.00090000']"
177,"['0.00048185', '0.00038339', '0.00980000']"
178,['0.02000000']
179,['0.00250000']
180,['0.00213586']
181,['0.06000000']
182,"['0.07024500', '0.01000000']"
183,['0.04966782']
184,['0.09990000']
185,['0.00176933']
186,['0.00149065']
187,['3.99647899']
188,['0.03930801']
189,['0.02512772']
190,['0.00358992']
191,['0.05000000']
192,['2.99225643']
193,"['0.01000000', '0.01000000']"
194,['0.01090000']
195,"['0.00000440', '0.00090000', '0.00015442', '0.00010000']"
196,"['0.01000000', '0.01396242']"
197,"['0.00028000', '0.00074700']"
198,['0.05000000']
199,"['0.01000000', '0.01000000']"
200,['0.85927329']
201,['0.00932106']
202,['0.00044827']
203,['3.98532634']
204,"['0.00100000', '0.00003158']"
205,['0.06000000']
206,"['0.00180000', '0.00170000', '0.00094123', '0.00152516', '0.00099000', '0.00200000', '0.00014000', '0.00006080', '0.00839579', '0.00050000', '0.00090000']"
207,['0.04787068']
208,['0.01000000']
209,['0.00161182']
210,['0.00060285']
211,"['0.00900000', '0.00039174', '0.00896081']"
212,"['0.04869081', '0.00500000', '0.00229870', '0.01000000', '0.00004218', '0.00887421', '0.00400000', '0.01000000', '0.00598365', '0.00005460', '0.00390000', '0.00020218', '0.00097600']"
213,"['0.01000000', '0.00390000', '0.00180000', '0.01570000']"
214,['0.00039116']
215,"['0.00013614', '0.00900000', '0.01000000', '0.00020877', '0.01944692', '0.00318000', '0.00990000', '0.02310000', '0.00005460']"
216,"['0.01000000', '0.00019558']"
217,"['0.02000000', '0.03300000', '0.04687128', '0.00018784']"
218,"['0.00193800', '0.02900000']"
219,['0.00084347']
220,['0.00063939']
221,"['0.01000000', '0.00042825', '0.02471042', '0.01000000', '0.03000000', '0.01950000', '0.01000000', '0.00969500', '0.01000000']"
222,"['0.03385417', '0.00010000']"
223,['0.00096700']
224,"['0.00010000', '0.01030000', '0.00100000', '0.01950000']"
