Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19423845,24.3960000000,21,267,452,233,2,206,bnb: **24** ; knapsack: **3** ; Total: **27**,0.00000428,4.99573006,0.202092905146,0.817732617052,0.00462122,0.0000198335622318,0.000142800000,0.004764020000,1,13,1.93991416309,1.76552082562,knapsack: **166** ; srd: **43** ; bnb: **24**
bustabit-tiny-hot-wallet_peak-and-tail,23.92709921,29.0020000000,34,594,907,406,2,347,bnb: **55** ; knapsack: **4** ; Total: **59**,0.00000428,4.99573006,0.170192341153,0.724713938260,0.00822496,0.0000202585221675,0.000231200000,0.008456160000,1,15,2.23399014778,2.22819804069,knapsack: **284** ; srd: **67** ; bnb: **55**
bustabit-tiny-hot-wallet_peak-and-tail,27.28280892,33.2786666667,70,961,1340,539,4,449,bnb: **83** ; knapsack: **7** ; Total: **90**,0.00000374,8.80241417,0.187162965056,0.799089887956,0.01179608,0.0000218851205937,0.000476000000,0.012272080000,1,20,2.48608534323,2.64878650762,knapsack: **358** ; srd: **98** ; bnb: **83**
bustabit-tiny-hot-wallet_peak-and-tail,19.66723983,38.0770000000,27,1316,1851,684,6,562,bnb: **113** ; knapsack: **9** ; Total: **122**,0.00000374,8.80241417,0.174480716085,0.767694544759,0.01458432,0.0000213221052632,0.000183600000,0.014767920000,1,34,2.70614035088,3.10243238312,knapsack: **449** ; srd: **122** ; bnb: **113**
bustabit-tiny-hot-wallet_peak-and-tail,26.29675824,37.2944000000,50,1682,2298,818,6,666,bnb: **140** ; knapsack: **12** ; Total: **152**,0.00000374,9.99483235,0.181450028739,0.826061998669,0.01760279,0.0000215193031785,0.000340000000,0.017942790000,1,34,2.80929095355,3.27787908500,knapsack: **539** ; srd: **139** ; bnb: **140**
bustabit-tiny-hot-wallet_peak-and-tail,18.38075930,36.5953333333,28,2008,2794,992,6,814,bnb: **164** ; knapsack: **14** ; Total: **178**,0.00000317,9.99483235,0.266884167998,1.15907932100,0.02204817,0.0000222259778226,0.000190400000,0.022238570000,1,34,2.81653225806,3.24365543425,knapsack: **651** ; srd: **177** ; bnb: **164**
bustabit-tiny-hot-wallet_peak-and-tail,26.40412461,37.5500000000,40,2415,3261,1085,6,886,bnb: **184** ; knapsack: **15** ; Total: **199**,0.00000317,9.99483235,0.261911523702,1.13601883433,0.02426593,0.0000223649124424,0.000272000000,0.024537930000,1,34,3.00552995392,3.58399049128,knapsack: **711** ; srd: **190** ; bnb: **184**
bustabit-tiny-hot-wallet_peak-and-tail,23.47187741,38.5252500000,44,2818,3734,1182,6,960,bnb: **206** ; knapsack: **16** ; Total: **222**,0.00000317,9.99483235,0.246061510490,1.09395544288,0.02710846,0.0000229343993232,0.000299200000,0.027407660000,1,34,3.15905245347,3.78867000928,knapsack: **780** ; srd: **196** ; bnb: **206**
bustabit-tiny-hot-wallet_peak-and-tail,15.35537404,39.6733333333,23,3213,4237,1287,6,1047,bnb: **223** ; knapsack: **17** ; Total: **240**,0.00000317,9.99483235,0.237646710946,1.05124637429,0.03078990,0.0000239237762238,0.000156400000,0.030946300000,1,41,3.29215229215,4.06997032272,knapsack: **846** ; srd: **218** ; bnb: **223**
bustabit-tiny-hot-wallet_peak-and-tail,15.77928616,39.5716000000,23,3571,4712,1429,6,1164,bnb: **245** ; knapsack: **20** ; Total: **265**,0.00000317,9.99483235,0.225121065713,1.00188005137,0.03375035,0.0000236181595521,0.000156400000,0.033906750000,1,41,3.29741077677,4.02483540209,knapsack: **947** ; srd: **237** ; bnb: **245**
bustabit-tiny-hot-wallet_peak-and-tail,22.01625991,38.5860000000,39,3938,5177,1562,6,1278,bnb: **263** ; knapsack: **21** ; Total: **284**,0.00000317,9.99483235,0.251440818912,1.06430838455,0.03670780,0.0000235005121639,0.000265200000,0.036973000000,1,41,3.31434058899,4.07871451427,knapsack: **1042** ; srd: **257** ; bnb: **263**
bustabit-tiny-hot-wallet_peak-and-tail,20.44359550,37.8916666667,29,4278,5666,1722,6,1417,bnb: **281** ; knapsack: **24** ; Total: **305**,0.00000317,9.99483235,0.240508011828,1.01698739965,0.04006814,0.0000232683739837,0.000197200000,0.040265340000,1,41,3.29036004646,4.00136670266,knapsack: **1161** ; srd: **280** ; bnb: **281**
bustabit-tiny-hot-wallet_peak-and-tail,20.92208635,38.0407692308,41,4650,6135,1850,7,1526,bnb: **300** ; knapsack: **24** ; Total: **324**,0.00000317,9.99483235,0.233647113899,0.983389274731,0.04291823,0.0000231990432432,0.000278800000,0.043197030000,1,41,3.31621621622,4.04504206899,knapsack: **1249** ; srd: **301** ; bnb: **300**
bustabit-tiny-hot-wallet_peak-and-tail,27.28300265,37.8795714286,66,4990,6591,2010,7,1667,bnb: **318** ; knapsack: **25** ; Total: **343**,0.00000317,9.99483235,0.231914073713,0.951352279024,0.04667504,0.0000232214129353,0.000448800000,0.047123840000,1,41,3.27910447761,3.99367483902,knapsack: **1358** ; srd: **334** ; bnb: **318**
bustabit-tiny-hot-wallet_peak-and-tail,16.99796993,37.5081333333,24,5335,7107,2165,7,1796,bnb: **344** ; knapsack: **25** ; Total: **369**,0.00000317,9.99483235,0.220816800540,0.919438330307,0.04946285,0.0000228465819861,0.000163200000,0.049626050000,1,41,3.28267898383,3.96571492331,knapsack: **1465** ; srd: **356** ; bnb: **344**
