id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00312770,22,22,4585
2,0.00329400,0.00008955,0.00043052,0.000430528846154,srd,2,0,2,0.00930645,22,21,6511
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,21,21,4548
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,0.00598017,21,21,2548
5,0.00319400,0.00001690,0.00011981,0.000119858156028,srd,1,0,2,3.99678910,21,21,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,21,21,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00047838,21,21,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,4.99897280,21,21,1910
9,0.00650000,0.00003919,0.00018838,0.000188413461538,srd,2,0,2,0.01247481,22,21,2466
10,0.00014000,0.00001517,0.00010753,0.000107588652482,knapsack,1,0,2,0.00008392,21,21,1066
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00018283,28,28,785
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,29,29,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.02383910,29,29,2030
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,29,28,312
15,0.00400000,0.00007100,0.00034131,0.000341346153846,srd,2,0,2,0.00253700,34,33,5021
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,33,32,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,1.99692843,34,34,5026
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,0.00574916,34,34,4751
19,0.00110000,0.00012262,0.00058951,0.000589519230769,srd,2,0,2,0.00315576,34,33,9166
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,33,32,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00135436,32,32,5803
22,0.00209300,0.00008092,0.00032686,0.000330285714286,bnb,3,0,1,,32,29,4679
23,0.00332600,0.00004849,0.00023312,0.000233125000,srd,2,0,2,0.00590168,29,28,3215
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.00367506,28,28,1682
25,0.00333000,0.00003655,0.00017571,0.000175721153846,srd,2,0,2,0.01289321,28,27,2255
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00387896,27,27,1596
27,0.00337500,0.00002936,0.00010801,0.000119836734694,bnb,3,0,1,,27,24,442
28,0.00300000,0.00004582,0.00009927,0.000120262467192,bnb,5,0,1,,24,19,765
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,knapsack,1,0,2,0.00034055,19,19,524
30,0.00332500,0.00001651,0.00011709,0.000117092198582,knapsack,1,0,2,0.00033355,20,20,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,knapsack,1,0,2,0.00053761,20,20,1149
32,0.00330000,0.00000897,0.00006361,0.0000636170212766,knapsack,1,0,2,0.00169103,20,20,631
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,knapsack,1,0,2,0.00237505,20,20,781
34,0.00333400,0.00001410,0.00002942,0.0000294363256785,knapsack,6,1,2,0.00002003,23,18,-2102
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00023186,18,18,404
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00679451,18,18,316
37,0.00332900,0.00000602,0.00002890,0.0000289423076923,knapsack,2,0,2,0.00204003,19,18,-196
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,knapsack,1,0,2,0.00346413,18,18,238
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,knapsack,1,0,2,0.00013388,18,18,229
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00676757,18,18,382
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00344182,18,18,405
42,0.00198400,0.00000678,0.00003259,0.0000325961538462,srd,2,0,2,0.01114310,19,18,-134
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00021769,18,18,290
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,knapsack,1,0,2,0.00494133,20,20,258
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,knapsack,1,0,2,0.00098349,21,21,460
46,0.00020000,0.00000774,0.00003719,0.0000372115384615,knapsack,2,0,2,0.00001229,21,20,-58
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00011001,20,20,316
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,knapsack,1,0,2,0.00001045,21,21,228
49,0.00322600,0.00001675,0.00003136,0.0000439632545932,bnb,5,0,1,,21,16,-1857
50,0.00334300,0.00000408,0.00002891,0.0000289361702128,knapsack,1,0,2,0.00159425,16,16,287
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00331533,16,16,329
52,0.00332500,0.00001110,0.00003523,0.0000627118644068,bnb,2,0,1,,16,14,-398
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,knapsack,1,0,2,0.00676386,14,14,782
54,0.00332500,0.00000459,0.00003255,0.0000325531914894,knapsack,1,0,2,0.00343427,14,14,323
55,0.00332500,0.00000362,0.00002561,0.0000256737588652,knapsack,1,0,2,0.00010565,14,14,255
56,0.00300000,0.00001207,0.00002929,0.0000292961165049,knapsack,5,0,2,0.00003529,14,10,-1771
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00781216,10,10,135
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,knapsack,1,0,2,0.00448226,10,10,203
59,0.00300000,0.00000443,0.00003138,0.0000314184397163,knapsack,1,0,2,0.00147783,10,10,170
60,0.00332700,0.00000603,0.00004272,0.0000430714285714,knapsack,1,0,2,0.00956018,10,10,282
