id,input_amounts
0,['0.00329000']
1,['0.00329400']
2,"['0.00940000', '0.00329000']"
3,['0.00483000']
4,['0.00930645']
5,['4.00000000']
6,['0.00066424']
7,['0.00312770']
8,['5.00000000']
9,"['0.00331400', '0.01570000']"
10,['0.00023909']
11,['0.00329400']
12,['0.00014860']
13,['0.02500000']
14,['0.00011747']
15,"['0.00331400', '0.00329400']"
16,['0.00103200']
17,['2.00000000']
18,['0.01247481']
19,"['0.00390000', '0.00047838']"
20,['0.00100000']
21,['0.00253700']
22,"['0.00008392', '0.00100000', '0.00109000']"
23,"['0.00598017', '0.00329600']"
24,['0.00794500']
25,"['0.00056976', '0.01569000']"
26,['0.00590168']
27,"['0.00014860', '0.00315576', '0.00010000']"
28,"['0.00010863', '0.00018283', '0.00050000', '0.00135436', '0.00090000']"
29,['0.00329400']
30,['0.00367506']
31,['0.00387896']
32,['0.00500000']
33,['0.00574916']
34,"['0.00000100', '0.00000200', '0.00033355', '0.00100000', '0.00034055', '0.00169103']"
35,['0.00053761']
36,['0.00980000']
37,"['0.00237505', '0.00300000']"
38,['0.00679451']
39,['0.00346413']
40,['0.01000000']
41,['0.00676757']
42,"['0.00013388', '0.01300000']"
43,['0.00344182']
44,['0.01000000']
45,['0.00204003']
46,"['0.00002003', '0.00020000']"
47,['0.00098349']
48,['0.00021769']
49,"['0.00001045', '0.00300000', '0.00011000', '0.00001229', '0.00011001']"
50,['0.00494133']
51,['0.01000000']
52,"['0.00331533', '0.00002077']"
53,['0.01010000']
54,['0.00676386']
55,['0.00343427']
56,"['0.00159425', '0.00034660', '0.00023186', '0.00010565', '0.00076900']"
57,['0.01114310']
58,['0.00781216']
59,['0.00448226']
60,['0.01289321']
61,['0.00956018']
62,['0.00622855']
63,"['0.00147783', '0.00289513']"
64,['0.02383910']
65,['0.02050349']
66,['0.01717347']
67,['0.01384476']
68,['0.01050552']
69,['0.00717640']
70,['0.00384788']
71,['0.03535793']
72,['0.03214014']
73,['0.03012986']
74,['0.02692031']
75,['0.02358954']
76,['0.02028512']
77,['0.01688678']
78,['0.01355324']
79,['0.01020553']
80,['0.00687139']
81,"['1.99692843', '0.00353695']"
82,['1.00000000']
83,['0.99666227']
84,['0.00910000']
85,['0.00576575']
86,['0.99332716']
87,"['0.00084405', '0.00100000']"
88,['0.00275830']
89,"['1.99113109', '0.00003529', '0.00103814']"
90,['0.01714000']
91,['0.97284443']
92,['0.01380907']
93,['0.01280584']
94,['0.00280234']
95,"['0.00116387', '0.00079463', '0.00010044']"
96,['0.00300000']
97,['3.00000000']
98,"['0.00011667', '0.01490000']"
99,"['0.00098946', '0.00100000', '0.00004988']"
100,['0.00480000']
101,['0.01780000']
102,"['0.00100000', '0.00001703', '0.00100000']"
103,"['0.00300000', '0.00000881']"
104,"['0.00100000', '0.00006080']"
105,"['0.00080000', '0.00279265']"
106,"['0.00100000', '0.00058314']"
107,"['0.00100000', '0.00004213', '0.00107722']"
108,"['0.00100000', '0.00004977']"
109,"['0.00004431', '0.00120000', '0.00370000']"
110,['0.00120000']
111,['0.00171142']
112,"['0.00120643', '0.00200000', '0.00009442', '0.00087643']"
113,['0.00390000']
114,"['0.00500000', '0.00040000']"
115,['0.00444318']
116,"['0.00002572', '0.00270000', '0.00100000']"
117,['0.00079210']
118,"['0.00480000', '0.00064834', '0.00001305', '0.00002879', '0.00010000']"
119,"['0.00000801', '0.00300000', '0.00000387']"
120,"['0.00008000', '0.00025639', '0.00091371', '0.00200000', '0.00592000', '0.00010000']"
121,"['0.00163049', '0.00341677']"
122,['0.00342888']
123,"['0.00100000', '0.00006000', '0.00004010', '0.00090000', '0.00004636', '0.00290000', '0.00360000']"
124,['0.03000000']
125,"['0.00090000', '0.00464370', '0.00454585']"
126,"['0.01000000', '0.00300000', '0.00006795', '0.00200000']"
127,['0.00228044']
128,"['0.00110000', '0.00027573']"
129,['0.00480000']
130,"['0.00157219', '0.00000350', '0.00490000']"
131,"['0.00169500', '0.00500000']"
132,['0.00790000']
133,"['0.01000000', '0.00058382', '0.00035812', '0.00002363', '0.00005184']"
134,"['0.00155454', '0.00226500']"
135,"['0.00106202', '0.00900000']"
136,"['0.00500000', '0.00500000', '0.00005570']"
137,['0.00213902']
138,['0.00300000']
139,"['0.00013380', '0.00049540', '0.00100000']"
