Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19417797,23.1320000000,21,267,451,233,1,205,bnb: **24** ; knapsack: **4** ; Total: **28**,0.00000388,4.99984483,0.281871376146,0.958181148113,0.00468170,0.0000200931330472,0.000142800000,0.004824500000,1,16,1.93562231760,1.78841378231,knapsack: **166** ; srd: **43** ; bnb: **24**
bustabit-tiny-hot-wallet_peak-and-tail,23.92686282,28.4350000000,32,594,912,406,1,350,bnb: **49** ; knapsack: **7** ; Total: **56**,0.00000344,4.99984483,0.2053026004,0.800910795912,0.00846135,0.0000208407635468,0.000217600000,0.008678950000,1,16,2.24630541872,2.22742139467,knapsack: **286** ; srd: **71** ; bnb: **49**
bustabit-tiny-hot-wallet_peak-and-tail,27.28262834,33.5846666667,75,961,1340,539,3,454,bnb: **77** ; knapsack: **8** ; Total: **85**,0.00000344,4.99984483,0.208043102467,0.779326109352,0.01197666,0.0000222201484230,0.000510000000,0.012486660000,1,17,2.48608534323,2.62411098066,knapsack: **359** ; srd: **103** ; bnb: **77**
bustabit-tiny-hot-wallet_peak-and-tail,19.66682611,35.2450000000,15,1316,1868,684,5,567,bnb: **106** ; knapsack: **11** ; Total: **117**,0.00000344,9.80646291,0.224727098959,0.943573099369,0.01499804,0.0000219269590643,0.000102000000,0.015100040000,1,36,2.73099415205,3.26938478951,knapsack: **458** ; srd: **120** ; bnb: **106**
bustabit-tiny-hot-wallet_peak-and-tail,26.29627401,33.6936000000,47,1682,2311,818,5,676,bnb: **128** ; knapsack: **14** ; Total: **142**,0.00000344,9.80646291,0.279607076731,1.21082064041,0.01808702,0.0000221112713936,0.000319600000,0.018406620000,1,36,2.82518337408,3.31533310014,knapsack: **553** ; srd: **137** ; bnb: **128**
bustabit-tiny-hot-wallet_peak-and-tail,18.38003905,33.2646666667,28,2008,2807,992,6,827,bnb: **151** ; knapsack: **14** ; Total: **165**,0.00000317,9.80646291,0.295431089516,1.20481841448,0.02276842,0.0000229520362903,0.000190400000,0.022958820000,1,36,2.82963709677,3.24918815745,knapsack: **654** ; srd: **187** ; bnb: **151**
bustabit-tiny-hot-wallet_peak-and-tail,26.40337401,34.2671428571,38,2415,3279,1085,6,902,bnb: **167** ; knapsack: **16** ; Total: **183**,0.00000317,9.80646291,0.286653854557,1.16880419230,0.02501653,0.0000230567096774,0.000258400000,0.025274930000,1,36,3.02211981567,3.58907078247,knapsack: **714** ; srd: **204** ; bnb: **167**
bustabit-tiny-hot-wallet_peak-and-tail,23.47123909,35.4170000000,44,2818,3752,1182,6,978,bnb: **188** ; knapsack: **16** ; Total: **204**,0.00000317,9.80646291,0.270427914121,1.12867875626,0.02774678,0.0000234744331641,0.000299200000,0.028045980000,1,36,3.17428087986,3.80316928966,knapsack: **783** ; srd: **211** ; bnb: **188**
bustabit-tiny-hot-wallet_peak-and-tail,15.35470482,36.9757777778,25,3213,4254,1287,6,1066,bnb: **204** ; knapsack: **17** ; Total: **221**,0.00000317,9.80646291,0.256750480310,1.08394324488,0.03145912,0.0000244437606838,0.000170000000,0.031629120000,1,36,3.30536130536,4.03377970383,knapsack: **848** ; srd: **235** ; bnb: **204**
bustabit-tiny-hot-wallet_peak-and-tail,15.77868214,37.3030000000,27,3571,4729,1429,6,1185,bnb: **226** ; knapsack: **18** ; Total: **244**,0.00000317,9.80646291,0.239965791713,1.03229005573,0.03435437,0.0000240408467460,0.000183600000,0.034537970000,1,36,3.30930720784,3.98467707731,knapsack: **952** ; srd: **251** ; bnb: **226**
