id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.01552370,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,2.99664529,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4548
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,0.99667372,22,22,2548
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00007910,22,22,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srd,1,0,2,0.00288885,22,22,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00023953,22,22,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,4.99897280,22,22,1910
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,0.00899713,23,23,1865
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.00313883,23,23,1066
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00002766,30,30,785
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srd,1,0,2,0.00316617,31,31,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00383910,31,31,2030
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,31,30,312
15,0.00400000,0.00007100,0.00034131,0.000341346153846,srd,2,0,2,0.02201900,36,35,5021
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,35,34,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,knapsack,1,0,2,0.00009460,36,36,5026
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,0.00227148,36,36,4751
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.00271687,36,36,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,36,35,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00881736,35,35,5803
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.01356091,35,35,3237
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,3.99664113,35,35,2309
24,0.00424600,0.00004260,0.00016975,0.000173877551020,bnb,3,0,1,,35,32,1507
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.00604522,32,32,1740
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.01153819,32,32,1596
27,0.00337500,0.00002776,0.00010801,0.000113306122449,bnb,3,0,1,,32,29,282
28,0.00300000,0.00003672,0.00009927,0.000117316293930,knapsack,4,1,1,,29,25,972
29,0.00294600,0.00001040,0.00005283,0.0000587570621469,bnb,2,0,1,,25,23,-542
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.00547585,24,24,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.00213450,24,24,1149
32,0.00330000,0.00001324,0.00006361,0.0000636538461538,srd,2,0,2,0.00109562,24,23,384
33,0.00336300,0.00002873,0.00007874,0.0000917891373802,bnb,4,0,1,,23,19,-178
34,0.00333400,0.00000812,0.00002942,0.0000294202898551,knapsack,3,0,2,0.00010248,22,20,-665
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00019425,20,20,404
36,0.00300100,0.00000662,0.00003180,0.0000318269230769,srd,2,0,2,1.99718663,20,19,-147
37,0.00332900,0.00000602,0.00002890,0.0000289423076923,knapsack,2,0,2,0.00008146,20,19,-196
38,0.00332700,0.00000498,0.00002392,0.0000239423076923,knapsack,2,0,2,0.00066802,19,18,-279
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,knapsack,1,0,2,0.00271497,18,18,229
40,0.00322700,0.00000800,0.00003845,0.0000384615384615,knapsack,2,0,2,0.00014799,18,17,-36
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00461925,17,17,405
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00263065,18,18,324
43,0.00322000,0.00000609,0.00002925,0.0000292788461538,knapsack,2,0,2,0.00050018,18,17,-191
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,knapsack,1,0,2,0.00474133,19,19,258
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,knapsack,1,0,2,0.00194346,20,20,460
46,0.00020000,0.00000774,0.00003719,0.0000372115384615,knapsack,2,0,2,0.00002171,20,19,-58
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00106998,19,19,316
48,0.00020400,0.00000477,0.00002292,0.0000229326923077,knapsack,2,0,2,0.00001294,20,19,-296
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,knapsack,1,0,2,0.00151090,19,19,312
50,0.00334300,0.00000995,0.00002891,0.0000289244186047,knapsack,4,0,2,0.00007471,19,16,-1217
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00331533,16,16,274
52,0.00332500,0.00000733,0.00003523,0.0000352403846154,knapsack,2,0,2,0.00005771,16,15,-90
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,knapsack,1,0,2,0.00666386,15,15,782
54,0.00332500,0.00000459,0.00003255,0.0000325531914894,knapsack,1,0,2,0.00333427,15,15,323
55,0.00332500,0.00000927,0.00002561,0.0000842727272727,knapsack,1,0,1,,15,14,113
56,0.00300000,0.00000610,0.00002929,0.0000293269230769,srd,2,0,2,0.00930109,14,13,-244
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00597015,13,13,222
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,knapsack,1,0,2,0.00264025,13,13,290
59,0.00300000,0.00000653,0.00003138,0.0000313942307692,srd,2,0,2,2.99374876,13,12,-209
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.00676697,12,12,369
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,knapsack,1,0,2,0.00343534,12,12,271
62,0.00332800,0.00000542,0.00003837,0.0000384397163121,knapsack,1,0,2,0.00010192,12,12,325
63,0.00332900,0.00000582,0.00002798,0.0000279807692308,srd,2,0,2,2.99305419,12,11,-266
64,0.00333000,0.00000561,0.00003974,0.0000397872340426,knapsack,1,0,2,0.00966439,11,11,340
65,0.00332500,0.00000502,0.00003559,0.0000356028368794,knapsack,1,0,2,0.00633437,11,11,299
66,0.00332500,0.00000371,0.00002628,0.0000263120567376,knapsack,1,0,2,0.00300566,11,11,-204
67,0.00333500,0.00000424,0.00003005,0.0000300709219858,knapsack,1,0,2,0.01867976,11,11,-166
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,knapsack,1,0,2,0.01535064,11,11,-189
69,0.00332500,0.00000352,0.00002495,0.0000249645390071,knapsack,1,0,2,0.01202212,11,11,-217
70,0.00300000,0.00000566,0.00002712,0.0000514545454545,bnb,1,0,1,,11,10,-228
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,knapsack,1,0,2,0.00880433,10,10,-58
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,knapsack,1,0,2,0.00679405,11,11,257
73,0.00320000,0.00000955,0.00006768,0.0000677304964539,knapsack,1,0,2,0.00358450,11,11,206
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,knapsack,1,0,2,0.00025373,11,11,-59
75,0.00330000,0.00000442,0.00003128,0.0000313475177305,knapsack,1,0,2,0.03205351,11,11,-155
76,0.00339300,0.00000788,0.00003786,0.0000378846153846,srd,2,0,2,0.99337476,11,10,-511
77,0.00332700,0.00000654,0.00004632,0.0000467142857143,knapsack,1,0,2,0.02871997,10,10,-6
78,0.00334100,0.00000671,0.00004752,0.0000475886524823,knapsack,1,0,2,0.02537226,10,10,15
79,0.00332700,0.00000714,0.00005059,0.0000506382978723,knapsack,1,0,2,0.02203812,10,10,60
80,0.00332900,0.00000544,0.00003857,0.0000385815602837,knapsack,1,0,2,0.01870368,11,11,-59
81,0.00932800,0.00000426,0.00003020,0.0000302127659574,knapsack,1,0,2,0.00937142,11,11,-142
82,0.00333000,0.00000773,0.00005482,0.0000548226950355,knapsack,1,0,2,0.00603369,12,12,101
83,0.00332500,0.00001011,0.00007168,0.0000717021276596,knapsack,1,0,2,0.00269858,12,12,292
84,0.00332500,0.00001364,0.00006554,0.0000655769230769,knapsack,2,0,2,0.00035994,12,11,-3
85,0.00300000,0.00000745,0.00005282,0.0000528368794326,knapsack,1,0,2,0.00609255,11,11,105
86,0.02047700,0.00000845,0.00004059,0.000040625000,srd,2,0,2,1.97706112,11,10,-419
87,0.00172200,0.00000365,0.00002583,0.0000258865248227,knapsack,1,0,2,0.00436690,10,10,-146
88,0.00265000,0.00000786,0.00005570,0.0000557446808511,knapsack,1,0,2,0.00170904,11,11,149
89,0.00333000,0.00000750,0.00005315,0.0000531914893617,knapsack,1,0,2,0.01380250,11,11,124
90,0.00332500,0.00000593,0.00004202,0.0000420567375887,knapsack,1,0,2,0.01047157,11,11,-61
91,0.01500000,0.00000363,0.00002572,0.0000257446808511,knapsack,1,0,2,0.97837113,12,12,-223
92,0.00100000,0.00000323,0.00002289,0.0000229078014184,knapsack,1,0,2,0.00070581,12,12,-251
93,0.01000000,0.00000350,0.00002479,0.0000248226950355,knapsack,1,0,2,0.00046807,12,12,-232
94,0.00200000,0.00001509,0.00005464,0.0000546739130435,knapsack,3,0,2,0.00010832,15,13,-552
95,0.00200000,0.00000463,0.00003280,0.0000328368794326,knapsack,1,0,2,0.02799537,13,13,-152
96,0.00200000,0.00001054,0.00007472,0.0000747517730496,knapsack,1,0,2,0.00098946,16,16,263
97,0.00100000,0.00001792,0.00012707,0.000127092198582,srd,1,0,2,3.99562321,16,16,781
98,0.01500000,0.00003145,0.00008674,0.000100479233227,bnb,4,0,1,,19,15,60
99,0.00200000,0.00002231,0.00008082,0.0000808333333333,knapsack,3,0,2,0.00007547,15,13,76
100,0.00200000,0.00000735,0.00005212,0.0000521276595745,knapsack,1,0,2,0.00279265,13,13,60
101,0.00457300,0.00001303,0.00006264,0.0000626442307692,srd,2,0,2,1.97255056,13,12,-90
102,0.00200000,0.00000822,0.00002977,0.0000297826086957,knapsack,3,0,2,0.00025985,22,20,-1077
103,0.00300000,0.00000714,0.00003429,0.0000343269230769,knapsack,2,0,2,0.00004536,22,21,-508
104,0.00100000,0.00001103,0.00005302,0.0000530288461538,knapsack,2,0,2,0.00003433,25,24,-212
105,0.00300000,0.00000951,0.00004568,0.0000457211538462,knapsack,2,0,2,0.00002482,24,23,-335
106,0.00152800,0.00001301,0.00006253,0.0000625480769231,knapsack,2,0,2,0.00045899,24,23,-37
107,0.00210000,0.00001490,0.00007160,0.0000716346153846,knapsack,2,0,2,0.00005551,27,26,39
108,0.00100000,0.00000546,0.00002624,0.00002625000,knapsack,2,0,2,0.00001936,29,28,-717
109,0.00492000,0.00001126,0.00004079,0.0000407971014493,knapsack,3,0,2,0.00002425,30,28,-802
110,0.00110000,0.00001091,0.00003952,0.0000395289855072,knapsack,3,0,2,0.00000992,30,28,-915
111,0.00050000,0.00000499,0.00003536,0.0000353900709220,knapsack,1,0,2,0.00069501,29,29,-53
112,0.00413200,0.00001956,0.00005686,0.0000568604651163,knapsack,4,0,2,0.00002487,31,28,-719
113,0.00310000,0.00001165,0.00005597,0.0000560096153846,knapsack,2,0,2,0.00028336,28,27,-148
114,0.00536100,0.00001689,0.00004908,0.0000490988372093,knapsack,4,0,2,0.00000547,30,27,-955
115,0.00100000,0.00001430,0.00010135,0.000101418439716,knapsack,1,0,2,0.00098570,27,27,601
116,0.00370900,0.00000968,0.00004653,0.0000465384615385,knapsack,2,0,2,0.00056176,28,27,-305
117,0.00013000,0.00001376,0.00009757,0.0000975886524823,knapsack,1,0,2,0.00041800,28,28,490
118,0.00556800,0.00000716,0.00003438,0.0000344230769231,knapsack,2,0,2,0.00021054,28,27,-509
119,0.00300000,0.00001841,0.00003981,0.0000483202099738,bnb,5,0,1,,38,33,-1727
120,0.00924800,0.00002190,0.00003883,0.0000424418604651,bnb,7,0,1,,35,28,-2734
121,0.00500000,0.00000716,0.00003440,0.0000344230769231,knapsack,2,0,2,0.00000338,31,30,-582
122,0.00337500,0.00000752,0.00005332,0.0000533333333333,knapsack,1,0,2,0.00003425,31,31,125
123,0.00850000,0.00003382,0.00008736,0.0000887664041995,bnb,5,0,1,,31,26,-385
124,0.00800000,0.00001483,0.00010512,0.000105177304965,srd,1,0,2,0.00198517,27,27,564
125,0.01000000,0.00002000,0.00007824,0.0000816326530612,bnb,3,0,1,,27,24,-369
126,0.01500500,0.00000891,0.00003228,0.0000322826086957,knapsack,3,0,2,0.00007768,24,22,-1076
127,0.00200000,0.00000694,0.00003336,0.0000333653846154,knapsack,2,0,2,0.00005591,22,21,-587
128,0.00134400,0.00000550,0.00003894,0.0000390070921986,knapsack,1,0,2,0.00034550,21,21,-79
129,0.00321900,0.00000881,0.00006243,0.0000624822695035,knapsack,1,0,2,0.00141589,22,22,154
130,0.00610000,0.00001757,0.00006365,0.0000636594202899,knapsack,3,0,2,0.00020170,22,20,-328
131,0.00610000,0.00000758,0.00005371,0.0000537588652482,knapsack,1,0,2,0.00179242,20,20,68
132,0.00634000,0.00000805,0.00003869,0.0000387019230769,knapsack,2,0,2,0.00044437,20,19,-488
133,0.01100000,0.00001411,0.00002945,0.0000294572025052,knapsack,6,0,2,0.00003337,24,19,-2567
134,0.00275200,0.00000375,0.00002653,0.0000265957446809,knapsack,1,0,2,0.00524425,19,19,-201
135,0.01000000,0.00000632,0.00003034,0.0000303846153846,knapsack,2,0,2,0.00002705,23,22,-636
136,0.01000000,0.00001546,0.00004493,0.0000449418604651,knapsack,4,0,2,0.00012821,22,19,-1141
137,0.00200000,0.00000522,0.00003700,0.0000370212765957,knapsack,1,0,2,0.00099478,21,21,-98
138,0.00170000,0.00000803,0.00003860,0.0000386057692308,knapsack,2,0,2,0.00028675,21,20,-499
139,0.00160000,0.00000701,0.00004970,0.0000497163120567,knapsack,1,0,2,0.00339299,20,20,28
140,0.01299400,0.00001518,0.00004410,0.0000441279069767,knapsack,4,0,2,0.00001084,23,20,-1168
141,0.00200000,0.00001045,0.00005024,0.0000502403846154,srd,2,0,2,0.00498955,20,19,-305
142,0.00200000,0.00001084,0.00004039,0.0000612429378531,knapsack,2,0,1,,21,19,-469
143,0.00044600,0.00000854,0.00006056,0.0000605673758865,knapsack,1,0,2,0.00024546,23,23,135
144,0.00210000,0.00002314,0.00008384,0.0000838405797101,knapsack,3,0,2,0.00020907,25,23,157
145,0.00925000,0.00000939,0.00004511,0.0000451442307692,knapsack,2,0,2,0.00073016,23,22,-382
146,0.00303500,0.00000727,0.00003491,0.0000349519230769,knapsack,2,0,2,0.00016680,22,21,-551
147,0.00166400,0.00000812,0.00003901,0.0000390384615385,srd,2,0,2,3.99468125,21,20,-470
148,0.00575300,0.00001057,0.00003829,0.0000382971014493,knapsack,3,0,2,0.00010323,21,19,-901
149,0.00980100,0.00000719,0.00003453,0.0000345673076923,knapsack,2,0,2,0.00119181,19,18,-545
150,0.00971900,0.00000586,0.00002813,0.0000281730769231,knapsack,2,0,2,0.00026695,19,18,-651
151,0.05900000,0.00001391,0.00002542,0.0000254296160878,knapsack,7,0,2,0.00000496,25,19,-3255
152,0.00200000,0.00002280,0.00016170,0.000161702127660,srd,1,0,2,0.97634833,21,21,1137
153,0.05000000,0.00004033,0.00007372,0.0000737294332724,knapsack,7,0,2,0.00006463,21,15,-802
154,0.00997000,0.00000978,0.00006934,0.0000693617021277,knapsack,1,0,2,0.00002022,15,15,222
155,0.00320000,0.00000656,0.00004649,0.0000465248226950,knapsack,1,0,2,0.00579344,19,19,-3
156,0.12100000,0.00001663,0.00003470,0.0000347181628392,knapsack,6,0,2,0.00017681,21,16,-2341
157,0.00356700,0.00000510,0.00003613,0.0000361702127660,knapsack,1,0,2,0.00142790,19,19,-106
158,0.00084400,0.00000773,0.00003713,0.0000371634615385,srd,2,0,2,1.97187564,19,18,-523
159,0.10000000,0.00001345,0.00003264,0.0000326456310680,knapsack,5,0,2,0.00095431,19,15,-1964
160,0.10000000,0.00001894,0.00005382,0.0000605111821086,bnb,4,0,1,,20,16,-1053
161,0.10000000,0.00000505,0.00003581,0.0000358156028369,knapsack,1,0,2,0.87634328,16,16,-101
162,0.00500000,0.00000680,0.00004821,0.0000482269503546,knapsack,1,0,2,0.00199320,23,23,21
163,0.00400000,0.00000615,0.00004358,0.0000436170212766,knapsack,1,0,2,0.00599385,26,26,-24
