id,input_amounts
0,['0.00329000']
1,['0.01569000']
2,['3.00000000']
3,['0.00483000']
4,['1.00000000']
5,['0.00329000']
6,['0.00331400']
7,['0.00288885']
8,['5.00000000']
9,['0.01552370']
10,['0.00329400']
11,['0.00313883']
12,['0.00329400']
13,['0.00500000']
14,['0.00011747']
15,"['0.00109000', '0.02500000']"
16,['0.00103200']
17,['0.00316617']
18,['0.00899713']
19,['0.00390000']
20,['0.00100000']
21,['0.01000000']
22,['0.01570000']
23,['4.00000000']
24,"['0.00329400', '0.00090000', '0.00009460']"
25,['0.00940000']
26,['0.01356091']
27,"['0.00329600', '0.00007910', '0.00002766']"
28,"['0.00227148', '0.00066424', '0.00000100', '0.00010000']"
29,"['0.00023953', '0.00271687']"
30,['0.00881736']
31,['0.00547585']
32,"['0.00383910', '0.00056976']"
33,"['0.00100000', '0.00213450', '0.00010863', '0.00014860']"
34,"['0.00014860', '0.00000200', '0.00329400']"
35,['0.00050000']
36,"['2.00000000', '0.00019425']"
37,"['0.00010248', '0.00331400']"
38,"['0.00300000', '0.00100000']"
39,['0.00604522']
40,"['0.00066802', '0.00271497']"
41,['0.00794500']
42,['0.00461925']
43,"['0.00263065', '0.00109562']"
44,['0.00980000']
45,['0.00300000']
46,"['0.00008146', '0.00014799']"
47,['0.00194346']
48,"['0.00020000', '0.00002171']"
49,['0.00474133']
50,"['0.00050018', '0.00034660', '0.00106998', '0.00151090']"
51,['0.01000000']
52,"['0.00331533', '0.00007471']"
53,['0.01000000']
54,['0.00666386']
55,['0.00333427']
56,"['0.01153819', '0.00076900']"
57,['0.00930109']
58,['0.00597015']
59,"['0.00011000', '2.99664529']"
60,['0.01010000']
61,['0.00676697']
62,['0.00343534']
63,"['0.00264025', '2.99374876']"
64,['0.01300000']
65,['0.00966439']
66,['0.00633437']
67,['0.02201900']
68,['0.01867976']
69,['0.01535064']
70,['0.00300566']
71,['0.01202212']
72,['0.00880433']
73,['0.00679405']
74,['0.00358450']
75,['0.03535793']
76,"['0.99667372', '0.00010192']"
77,['0.03205351']
78,['0.02871997']
79,['0.02537226']
80,['0.02203812']
81,['0.01870368']
82,['0.00937142']
83,['0.00603369']
84,"['0.00100000', '0.00269858']"
85,['0.00910000']
86,"['1.99718663', '0.00035994']"
87,['0.00609255']
88,['0.00436690']
89,['0.01714000']
90,['0.01380250']
91,['0.99337476']
92,['0.00170904']
93,['0.01047157']
94,"['0.00025373', '0.00116387', '0.00070581']"
95,['0.03000000']
96,['0.00300000']
97,['3.99664113']
98,"['0.00006080', '0.00001294', '0.01490000', '0.00005771']"
99,"['0.00098946', '0.00100000', '0.00010832']"
100,['0.00480000']
101,"['0.00007547', '1.97706112']"
102,"['0.00100000', '0.00046807', '0.00080000']"
103,"['0.00025985', '0.00279265']"
104,"['0.00004536', '0.00100000']"
105,"['0.00300000', '0.00003433']"
106,"['0.00100000', '0.00100000']"
107,"['0.00171142', '0.00045899']"
108,"['0.00002482', '0.00100000']"
109,"['0.00390000', '0.00005551', '0.00100000']"
110,"['0.00001936', '0.00107722', '0.00002425']"
111,['0.00120000']
112,"['0.00120000', '0.00200000', '0.00010000', '0.00087643']"
113,"['0.00270000', '0.00069501']"
114,"['0.00370000', '0.00040000', '0.00100000', '0.00028336']"
115,['0.00200000']
116,"['0.00200000', '0.00228044']"
117,['0.00056176']
118,"['0.00098570', '0.00480000']"
119,"['0.00090000', '0.00006000', '0.00000992', '0.00163049', '0.00041800']"
120,"['0.00360000', '0.00454585', '0.00091371', '0.00010000', '0.00002487', '0.00000547', '0.00008000']"
121,"['0.00021054', '0.00480000']"
122,['0.00341677']
123,"['0.00025639', '0.00090000', '0.00444318', '0.00003425', '0.00290000']"
124,['0.01000000']
125,"['0.00110000', '0.00592000', '0.00300000']"
126,"['0.00300000', '0.01109159', '0.00100000']"
127,"['0.00007768', '0.00198517']"
128,['0.00169500']
129,['0.00464370']
130,"['0.00490000', '0.00000338', '0.00141589']"
131,['0.00790000']
132,"['0.00500000', '0.00179242']"
133,"['0.00044437', '0.00500000', '0.00500000', '0.00034550', '0.00020170', '0.00005591']"
134,['0.00800000']
135,"['0.00003337', '0.01000000']"
136,"['0.00226500', '0.00213902', '0.00524425', '0.00049540']"
137,['0.00300000']
138,"['0.00100000', '0.00099478']"
139,['0.00500000']
140,"['0.00339299', '0.00069882', '0.00012821', '0.00880000']"
141,"['0.00600000', '0.00100000']"
142,"['0.00001084', '0.00200000']"
143,['0.00070000']
144,"['0.00028675', '0.00180000', '0.00024546']"
145,"['0.00500000', '0.00498955']"
146,"['0.00300000', '0.00020907']"
147,"['3.99562321', '0.00073016']"
148,"['0.00290000', '0.00016680', '0.00280000']"
149,"['0.00600000', '0.00500000']"
150,"['0.00880000', '0.00119181']"
151,"['0.00026695', '0.00860000', '0.02799537', '0.00969612', '0.00263338', '0.00980000', '0.00002705']"
152,['0.97837113']
153,"['0.00800000', '0.01450000', '0.00900000', '0.01680000', '0.00000496', '0.00090000', '0.00090000']"
154,['0.01000000']
155,['0.00900000']
156,"['0.01000000', '0.01000000', '0.06000000', '0.00579344', '0.03500000', '0.00040000']"
157,['0.00500000']
158,"['1.97255056', '0.00017681']"
159,"['0.00963986', '0.02000000', '0.05000000', '0.01990000', '0.00142790']"
160,"['0.00006463', '0.04000000', '0.00095431', '0.05900000']"
161,['0.97634833']
162,['0.00700000']
163,['0.01000000']
164,['0.00599385']
165,['0.01000000']
166,"['0.00010323', '0.00021000', '0.00002022', '0.00038000']"
167,"['0.00017000', '0.00000986', '0.00084400', '0.00199320']"
168,"['0.00800000', '0.00499505']"
169,"['0.00100000', '0.00000438']"
170,['0.01500000']
171,"['0.00098627', '0.00040000']"
172,['0.00298940']
173,['0.00496541']
174,"['0.00000818', '0.00500000']"
175,['0.01780000']
176,"['0.00090000', '0.00759263', '0.00010000', '0.00171435']"
177,"['0.00980000', '0.00250000']"
178,['0.02471042']
179,['0.00046157']
180,['0.00179185']
181,['0.05000000']
182,['3.99468125']
183,['0.09980000']
184,['0.09990000']
185,['0.00142532']
186,['0.00114664']
187,['0.01403148']
188,['0.06000000']
189,"['0.01000000', '0.01000000']"
190,['0.00287883']
191,['3.98383621']
192,['2.99305419']
193,['0.08944019']
194,['0.05000000']
195,"['0.00090000', '0.00010000', '0.00009169', '0.00009743']"
196,['0.06000000']
