id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00001412,0.00006785,6.78846153846E-8,srd,2,0,2,0.10018188,18,17,455
1,0.00010100,0.00000568,0.00004025,4.02836879433E-8,knapsack,1,0,2,0.10007520,17,17,399
2,0.00329400,0.00000311,0.00002205,2.20567375887E-8,knapsack,1,0,2,0.09677809,17,17,219
3,0.00410100,0.00000212,0.00001499,1.50354609929E-8,knapsack,1,0,2,0.09267497,17,17,149
4,0.00329000,0.00000651,0.00004611,4.61702127660E-8,knapsack,1,0,2,0.08937846,17,17,457
5,0.00319400,0.00000953,0.00006753,6.75886524823E-8,knapsack,1,0,2,0.00008647,17,17,670
6,0.00040100,0.00001419,0.00010060,1.00638297872E-7,knapsack,1,0,2,0.00287481,17,17,997
7,0.00262000,0.00001481,0.00010498,1.05035460993E-7,knapsack,1,0,2,0.00024000,17,17,1040
8,0.00100000,0.00001486,0.00010539,1.05390070922E-7,knapsack,1,0,2,0.00227914,17,17,1044
9,0.00650000,0.00001342,0.00006448,6.45192307692E-8,knapsack,2,0,2,0.00007458,18,17,398
10,0.00014000,0.00002105,0.00010103,1.18926553672E-7,bnb,2,0,1,,17,15,320
11,0.00310000,0.00000585,0.00002119,2.11956521739E-8,knapsack,3,0,2,0.08879175,22,20,-859
12,0.00010100,0.00000954,0.00006764,6.76595744681E-8,knapsack,1,0,2,0.08868121,21,21,670
13,0.00113200,0.00000754,0.00005342,5.34751773050E-8,knapsack,1,0,2,0.08754167,21,21,530
14,0.00010200,0.00000313,0.00002215,2.21985815603E-8,knapsack,1,0,2,0.08743654,21,21,220
15,0.00400000,0.00001810,0.00012831,1.28368794326E-7,knapsack,1,0,2,0.08341844,27,27,1271
16,0.00100000,0.00001619,0.00011481,1.14822695035E-7,knapsack,1,0,2,0.08240225,27,27,1137
17,0.00300000,0.00003407,0.00024160,2.41631205674E-7,knapsack,1,0,2,0.07936818,29,29,2392
18,0.00665800,0.00003939,0.00027934,2.79361702128E-7,knapsack,1,0,2,0.07267079,29,29,2766
19,0.00110000,0.00003557,0.00025222,2.52269503546E-7,knapsack,1,0,2,0.07153522,29,29,2498
20,0.00090000,0.00002875,0.00020389,2.03900709220E-7,knapsack,1,0,2,0.07060647,29,29,2020
21,0.00110000,0.00002556,0.00018122,1.81276595745E-7,knapsack,1,0,2,0.06948091,29,29,1795
22,0.00209300,0.00003562,0.00025260,2.52624113475E-7,knapsack,1,0,2,0.06735229,29,29,2502
23,0.00332600,0.00002680,0.00019006,1.90070921986E-7,knapsack,1,0,2,0.06399949,29,29,1883
24,0.00424600,0.00002092,0.00014830,1.48368794326E-7,knapsack,1,0,2,0.05973257,29,29,1469
25,0.00333000,0.00002385,0.00016908,1.69148936170E-7,knapsack,1,0,2,0.05637872,29,29,1675
26,0.00200000,0.00002620,0.00018578,1.85815602837E-7,knapsack,1,0,2,0.05435252,29,29,1840
27,0.00337500,0.00002370,0.00016808,1.68085106383E-7,knapsack,1,0,2,0.05095382,29,29,1665
28,0.00300000,0.00002331,0.00016531,1.65319148936E-7,knapsack,1,0,2,0.04793051,29,29,1638
29,0.00294600,0.00002352,0.00016675,1.66808510638E-7,knapsack,1,0,2,0.04496099,29,29,1651
30,0.00332500,0.00003594,0.00025488,2.54893617021E-7,knapsack,1,0,2,0.04160005,30,30,2525
31,0.00332500,0.00003407,0.00024158,2.41631205674E-7,knapsack,1,0,2,0.03824098,30,30,2392
32,0.00330000,0.00002692,0.00019090,1.90921985816E-7,knapsack,1,0,2,0.03491406,30,30,1891
33,0.00336300,0.00001756,0.00012449,1.24539007092E-7,knapsack,1,0,2,0.03153350,30,30,1233
34,0.00333400,0.00003154,0.00022367,2.23687943262E-7,knapsack,1,0,2,0.02816796,33,33,2215
35,0.00030000,0.00002605,0.00018471,1.84751773050E-7,knapsack,1,0,2,0.02784191,33,33,1830
36,0.00300100,0.00001751,0.00012415,1.24184397163E-7,knapsack,1,0,2,0.02482340,33,33,1230
37,0.00332900,0.00000455,0.00003221,3.22695035461E-8,knapsack,1,0,2,0.02148985,34,34,320
38,0.00332700,0.00000767,0.00005433,5.43971631206E-8,knapsack,1,0,2,0.01815518,34,34,539
39,0.00332700,0.00001570,0.00011128,1.11347517730E-7,knapsack,1,0,2,0.01481248,34,34,1102
40,0.00322700,0.00002971,0.00021068,2.12214285714E-7,knapsack,1,0,2,0.01155577,34,34,2087
41,0.00332000,0.00001427,0.00010115,1.01205673759E-7,knapsack,1,0,2,0.00822150,34,34,1002
42,0.00198400,0.00000320,0.00002268,2.26950354610E-8,knapsack,1,0,2,0.00623430,35,35,226
43,0.00322000,0.00000665,0.00004712,4.71631205674E-8,knapsack,1,0,2,0.00300765,35,35,468
44,0.00505500,0.00007700,0.00031108,3.14285714286E-7,bnb,3,0,1,,37,34,4353
45,0.00105000,0.00005510,0.00039072,3.90780141844E-7,knapsack,1,0,2,0.00190255,35,35,3869
