id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00001412,0.00006785,6.78846153846E-8,srd,2,0,2,0.00186448,18,17,455
1,0.00010100,0.00000568,0.00004025,4.02836879433E-8,knapsack,1,0,2,0.00175780,17,17,399
2,0.00329400,0.00000459,0.00002205,2.20673076923E-8,srd,2,0,2,0.00939141,17,16,-311
3,0.00410100,0.00000312,0.00001499,1.5E-8,knapsack,2,0,2,0.00704509,16,15,-429
4,0.00329000,0.00000600,0.00004611,5.45454545455E-8,bnb,1,0,1,,15,14,-274
5,0.00319400,0.00001405,0.00006753,6.75480769231E-8,srd,2,0,2,0.01578595,14,13,450
6,0.00040100,0.00001419,0.00010060,1.00638297872E-7,knapsack,1,0,2,0.00287481,13,13,997
7,0.00262000,0.00001481,0.00010498,1.05035460993E-7,knapsack,1,0,2,0.00024000,13,13,1040
8,0.00100000,0.00001486,0.00010539,1.05390070922E-7,knapsack,1,0,2,0.00227914,13,13,1044
9,0.00650000,0.00001342,0.00006448,6.45192307692E-8,knapsack,2,0,2,0.00007458,14,13,398
10,0.00014000,0.00001425,0.00010103,1.01063829787E-7,srd,1,0,2,0.00779075,13,13,1002
11,0.00310000,0.00000299,0.00002119,2.12056737589E-8,knapsack,1,0,2,0.00021101,20,20,211
12,0.00010100,0.00000954,0.00006764,6.76595744681E-8,knapsack,1,0,2,0.00003806,21,21,670
13,0.00113200,0.00003165,0.00005342,7.06473214286E-8,bnb,6,0,1,,21,15,-1140
14,0.00010200,0.00000313,0.00002215,2.21985815603E-8,knapsack,1,0,2,0.00217401,15,15,220
15,0.00400000,0.00002669,0.00012831,1.28317307692E-7,knapsack,2,0,2,0.00037731,21,20,1464
16,0.00100000,0.00001619,0.00011481,1.14822695035E-7,knapsack,1,0,2,0.00001581,20,20,1137
17,0.00300000,0.00005026,0.00024160,2.41634615385E-7,srd,2,0,2,0.00715837,22,21,3355
18,0.00665800,0.00007710,0.00027934,2.79347826087E-7,srd,3,0,2,0.00705565,21,19,5206
19,0.00110000,0.00003557,0.00025222,2.52269503546E-7,srd,1,0,2,0.00886443,19,19,2498
20,0.00090000,0.00002875,0.00020389,2.03900709220E-7,knapsack,1,0,2,0.00007125,19,19,2020
21,0.00110000,0.00002556,0.00018122,1.81276595745E-7,knapsack,1,0,2,0.00104845,19,19,1795
22,0.00209300,0.00003562,0.00025260,2.52624113475E-7,srd,1,0,2,0.00767138,19,19,2502
23,0.00332600,0.00002680,0.00019006,1.90070921986E-7,knapsack,1,0,2,0.00054720,19,19,1883
24,0.00424600,0.00002092,0.00014830,1.48368794326E-7,knapsack,1,0,2,0.00277817,19,19,1469
25,0.00333000,0.00003517,0.00016908,1.69086538462E-7,srd,2,0,2,0.09670608,19,18,2145
26,0.00200000,0.00002620,0.00018578,1.85815602837E-7,srd,1,0,2,0.01375975,18,18,1840
27,0.00337500,0.00002370,0.00016808,1.68085106383E-7,srd,1,0,2,0.09330738,18,18,1665
28,0.00300000,0.00002331,0.00016531,1.65319148936E-7,srd,1,0,2,0.00697669,18,18,1638
29,0.00294600,0.00003469,0.00016675,1.66778846154E-7,srd,2,0,2,0.00507768,18,17,2105
30,0.00332500,0.00005302,0.00025488,2.54903846154E-7,srd,2,0,2,0.01285918,18,17,3579
31,0.00332500,0.00005025,0.00024158,2.41586538462E-7,srd,2,0,2,0.00645857,17,16,3355
32,0.00330000,0.00002692,0.00019090,1.90921985816E-7,knapsack,1,0,2,0.00175076,16,16,1891
33,0.00336300,0.00002590,0.00012449,1.24519230769E-7,srd,2,0,2,0.01051873,16,15,1400
34,0.00333400,0.00003154,0.00022367,2.23687943262E-7,srd,1,0,2,0.00549889,18,18,2215
35,0.00030000,0.00002605,0.00018471,1.84751773050E-7,knapsack,1,0,2,0.00005126,18,18,1830
36,0.00300100,0.00002583,0.00012415,1.24182692308E-7,srd,2,0,2,0.09033181,18,17,1395
37,0.00332900,0.00001109,0.00003221,3.22383720930E-8,knapsack,4,1,2,0.00023267,18,15,-1060
38,0.00332700,0.00000767,0.00005433,5.43971631206E-8,knapsack,1,0,2,0.00216422,15,15,539
39,0.00332700,0.00001570,0.00011128,1.11347517730E-7,srd,1,0,2,0.00965730,15,15,1102
40,0.00322700,0.00002971,0.00021068,2.10709219858E-7,srd,1,0,2,0.00371998,15,15,2087
41,0.00332000,0.00001427,0.00010115,1.01205673759E-7,srd,1,0,2,0.00312430,15,15,1002
42,0.00198400,0.00001524,0.00002268,6.22040816327E-8,knapsack,3,0,1,,16,13,-824
43,0.00322000,0.00000981,0.00004712,4.71634615385E-8,knapsack,2,0,2,0.00009449,13,12,109
44,0.00505500,0.00004387,0.00031108,3.11134751773E-7,srd,1,0,2,0.00257251,14,14,3081
45,0.00105000,0.00005510,0.00039072,3.90780141844E-7,knapsack,1,0,2,0.00105912,15,15,3869
46,0.00020000,0.00005007,0.00035509,3.55106382979E-7,knapsack,1,0,2,0.00074993,15,15,3516
47,0.00086900,0.00005574,0.00039528,3.95319148936E-7,knapsack,1,0,2,0.00013438,15,15,3914
48,0.00020400,0.00011323,0.00080301,8.03049645390E-7,knapsack,1,0,2,0.00043270,16,16,7951
49,0.00322600,0.00020670,0.00099370,0.00000116779661017,bnb,2,0,1,,16,14,15136
50,0.00334300,0.00013257,0.00094015,9.40212765957E-7,knapsack,1,0,2,0.00024441,14,14,9309
51,0.00668000,0.00013029,0.00092398,9.24042553191E-7,knapsack,1,0,2,0.00284701,14,14,9149
52,0.00332500,0.00020246,0.00097336,9.73365384615E-7,knapsack,2,0,2,0.00189206,14,13,15576
53,0.00332500,0.00013618,0.00096578,9.65815602837E-7,knapsack,1,0,2,0.00653882,13,13,9562
54,0.00332500,0.00013070,0.00092693,9.26950354610E-7,knapsack,1,0,2,0.00308312,13,13,9178
55,0.00332500,0.00013270,0.00094109,9.41134751773E-7,srd,1,0,2,0.00706103,13,13,9318
56,0.00300000,0.00017761,0.00083513,0.00000100344632768,bnb,2,0,1,,13,11,12893
57,0.00332700,0.00012792,0.00090717,9.07234042553E-7,knapsack,1,0,2,0.00360611,11,11,8982
58,0.00332500,0.00007267,0.00051533,5.15390070922E-7,knapsack,1,0,2,0.00020844,11,11,5103
59,0.00300000,0.00011388,0.00029292,2.98897637795E-7,bnb,5,0,1,,11,6,6757
60,0.00332700,0.00004727,0.00033519,3.35248226950E-7,knapsack,1,0,2,0.01038548,6,6,3320
61,0.00332700,0.00005546,0.00039329,3.93333333333E-7,knapsack,1,0,2,0.00700302,6,6,3895
62,0.00332800,0.00007122,0.00050508,5.05106382979E-7,knapsack,1,0,2,0.00360380,6,6,5001
63,0.00332900,0.00007152,0.00050722,5.07234042553E-7,knapsack,1,0,2,0.00020328,6,6,5023
64,0.00333000,0.00007734,0.00054847,5.48510638298E-7,knapsack,1,0,2,0.02159266,6,6,5431
65,0.00332500,0.00007055,0.00050031,5.00354609929E-7,knapsack,1,0,2,0.01819711,6,6,4954
66,0.00332500,0.00007185,0.00050953,5.09574468085E-7,knapsack,1,0,2,0.01480026,6,6,5045
67,0.00333500,0.00006353,0.00045050,4.50567375887E-7,knapsack,1,0,2,0.01140173,6,6,4461
68,0.00332500,0.00008997,0.00063805,6.38085106383E-7,knapsack,1,0,2,0.00798676,6,6,6317
69,0.00332500,0.00013091,0.00092840,9.28439716312E-7,knapsack,1,0,2,0.00453085,6,6,9193
70,0.00300000,0.00012570,0.00089143,8.91489361702E-7,knapsack,1,0,2,0.00140515,6,6,8826
71,0.00321200,0.00008964,0.00063572,6.35744680851E-7,knapsack,1,0,2,0.03205629,6,6,6294
72,0.00200000,0.00005160,0.00036592,3.65957446809E-7,srd,1,0,2,0.03000469,7,7,3624
73,0.00320000,0.00005031,0.00035674,3.56808510638E-7,knapsack,1,0,2,0.02675438,7,7,3532
74,0.00332500,0.00006594,0.00046759,4.67659574468E-7,knapsack,1,0,2,0.02336344,7,7,4630
75,0.00330000,0.00006201,0.00043977,4.39787234043E-7,knapsack,1,0,2,0.02000143,7,7,4355
76,0.00339300,0.00005575,0.00039534,3.95390070922E-7,knapsack,1,0,2,0.01655268,7,7,3915
77,0.00332700,0.00006574,0.00046623,4.66241134752E-7,knapsack,1,0,2,0.01315994,7,7,4617
78,0.00334100,0.00007283,0.00051652,5.16524822695E-7,knapsack,1,0,2,0.00974611,7,7,5115
79,0.00332700,0.00005982,0.00042419,4.24255319149E-7,knapsack,1,0,2,0.00635929,7,7,4200
80,0.00332900,0.00007783,0.00055196,5.51985815603E-7,knapsack,1,0,2,0.00295246,8,8,5466
81,0.00932800,0.00010864,0.00077048,7.70496453901E-7,knapsack,1,0,2,0.08089517,8,8,7629
82,0.00333000,0.00025236,0.00091432,9.14347826087E-7,srd,3,0,2,0.00057338,9,7,20129
83,0.00332500,0.00014536,0.00103088,0.00000103092198582,knapsack,1,0,2,0.07742481,7,7,10206
84,0.00332500,0.00013092,0.00092846,9.28510638298E-7,knapsack,1,0,2,0.00564408,7,7,9193
85,0.00300000,0.00011053,0.00078387,7.83900709220E-7,knapsack,1,0,2,0.00253355,7,7,7761
86,0.02047700,0.00011108,0.00078774,7.87801418440E-7,knapsack,1,0,2,0.05683673,7,7,7799
87,0.00172200,0.00024014,0.00115449,0.00000115451923077,knapsack,2,0,2,0.01552446,7,6,18601
88,0.00265000,0.00020217,0.00143381,0.00000143382978723,srd,1,0,2,0.05398456,7,7,14195
89,0.00333000,0.00018053,0.00128029,0.00000128035460993,srd,1,0,2,0.05047403,7,7,12675
90,0.00332500,0.00024581,0.00118175,0.00000118177884615,knapsack,2,0,2,0.00036789,7,6,19056
91,0.01500000,0.00018983,0.00134631,0.00000134631205674,knapsack,1,0,2,0.00033463,7,7,13329
92,0.00100000,0.00016816,0.00119259,0.00000119262411348,srd,1,0,2,0.04930587,7,7,11808
93,0.01000000,0.00016836,0.00119400,0.00000119404255319,knapsack,1,0,2,0.01983164,7,7,11822
