id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00001412,0.00006785,6.78846153846E-8,srd,2,0,2,0.00347588,18,17,455
1,0.00010100,0.00000568,0.00004025,4.02836879433E-8,knapsack,1,0,2,0.00336920,17,17,399
2,0.00329400,0.00000311,0.00002205,2.20567375887E-8,knapsack,1,0,2,0.00007209,17,17,219
3,0.00410100,0.00000212,0.00001499,1.50354609929E-8,knapsack,1,0,2,0.00072688,17,17,149
4,0.00329000,0.00000960,0.00004611,4.61538461538E-8,srd,2,0,2,0.00328040,17,16,91
5,0.00319400,0.00001864,0.00006753,6.75362318841E-8,srd,3,0,2,0.00816136,16,14,230
6,0.00040100,0.00001419,0.00010060,1.00638297872E-7,knapsack,1,0,2,0.00031169,14,14,997
7,0.00262000,0.00001481,0.00010498,1.05035460993E-7,knapsack,1,0,2,0.00065919,14,14,1040
8,0.00100000,0.00001486,0.00010539,1.05390070922E-7,srd,1,0,2,0.00227914,14,14,1044
9,0.00650000,0.00002657,0.00006448,6.44902912621E-8,knapsack,5,0,2,0.00495690,15,11,-325
10,0.00014000,0.00001425,0.00010103,1.01063829787E-7,knapsack,1,0,2,0.00480265,11,11,1002
11,0.00310000,0.00000299,0.00002119,2.12056737589E-8,knapsack,1,0,2,0.00169966,18,18,211
12,0.00010100,0.00000954,0.00006764,6.76595744681E-8,knapsack,1,0,2,0.00158912,19,19,670
13,0.00113200,0.00000754,0.00005342,5.34751773050E-8,knapsack,1,0,2,0.00044958,19,19,530
14,0.00010200,0.00000313,0.00002215,2.21985815603E-8,knapsack,1,0,2,0.00034445,19,19,220
15,0.00400000,0.00004260,0.00012831,1.36102236422E-7,bnb,4,0,1,,25,21,1001
16,0.00100000,0.00001619,0.00011481,1.14822695035E-7,knapsack,1,0,2,0.00001581,21,21,1137
17,0.00300000,0.00003407,0.00024160,2.41631205674E-7,knapsack,1,0,2,0.00027993,23,23,2392
18,0.00665800,0.00003939,0.00027934,2.79361702128E-7,srd,1,0,2,0.00330261,23,23,2766
19,0.00110000,0.00003557,0.00025222,2.52269503546E-7,srd,1,0,2,0.01456443,23,23,2498
20,0.00090000,0.00002875,0.00020389,2.03900709220E-7,knapsack,1,0,2,0.00007125,23,23,2020
21,0.00110000,0.00002556,0.00018122,1.81276595745E-7,srd,1,0,2,0.00897444,23,23,1795
22,0.00209300,0.00006825,0.00025260,2.78571428571E-7,bnb,3,0,1,,23,20,3724
23,0.00332600,0.00005246,0.00019006,1.90072463768E-7,srd,3,0,2,0.01267180,20,18,3109
24,0.00424600,0.00002092,0.00014830,1.48368794326E-7,srd,1,0,2,0.09573308,18,18,1469
25,0.00333000,0.00002385,0.00016908,1.69148936170E-7,srd,1,0,2,0.02164615,18,18,1675
26,0.00200000,0.00002620,0.00018578,1.85815602837E-7,knapsack,1,0,2,0.00127641,18,18,1840
27,0.00337500,0.00002370,0.00016808,1.68085106383E-7,srd,1,0,2,0.00600130,18,18,1665
28,0.00300000,0.00002331,0.00016531,1.65319148936E-7,srd,1,0,2,0.01154112,18,18,1638
29,0.00294600,0.00002352,0.00016675,1.66808510638E-7,srd,1,0,2,0.00970228,18,18,1651
30,0.00332500,0.00003594,0.00025488,2.54893617021E-7,srd,1,0,2,0.00643906,19,19,2525
31,0.00332500,0.00003407,0.00024158,2.41631205674E-7,srd,1,0,2,0.01828708,19,19,2392
32,0.00330000,0.00002692,0.00019090,1.90921985816E-7,srd,1,0,2,0.00267438,19,19,1891
33,0.00336300,0.00001756,0.00012449,1.24539007092E-7,srd,1,0,2,0.00161944,19,19,1233
34,0.00333400,0.00004653,0.00022367,2.23701923077E-7,srd,2,0,2,0.00721335,22,21,3056
35,0.00030000,0.00002605,0.00018471,1.84751773050E-7,srd,1,0,2,0.09540703,21,21,1830
36,0.00300100,0.00004271,0.00012415,1.24156976744E-7,srd,4,0,2,0.00210043,21,18,1725
37,0.00332900,0.00001109,0.00003221,3.22383720930E-8,knapsack,4,1,2,0.00003975,19,16,-1060
38,0.00332700,0.00001131,0.00005433,5.4375E-8,knapsack,2,0,2,0.00001544,16,15,229
39,0.00332700,0.00003072,0.00011128,1.11304347826E-7,knapsack,3,0,2,0.00003084,15,13,1256
40,0.00322700,0.00002971,0.00021068,2.10709219858E-7,knapsack,1,0,2,0.00064329,13,13,2087
41,0.00332000,0.00001427,0.00010115,1.01205673759E-7,knapsack,1,0,2,0.00310479,13,13,1002
42,0.00198400,0.00000626,0.00002268,2.26811594203E-8,srd,3,0,2,0.00526937,14,12,-824
43,0.00322000,0.00000981,0.00004712,4.71634615385E-8,knapsack,2,0,2,0.00007498,12,11,109
44,0.00505500,0.00004387,0.00031108,3.11134751773E-7,knapsack,1,0,2,0.00017050,13,13,3081
45,0.00105000,0.00005510,0.00039072,3.90780141844E-7,knapsack,1,0,2,0.00189490,14,14,3869
46,0.00020000,0.00005007,0.00035509,3.55106382979E-7,knapsack,1,0,2,0.00039322,14,14,3516
47,0.00086900,0.00005574,0.00039528,3.95319148936E-7,knapsack,1,0,2,0.00097016,14,14,3914
48,0.00020400,0.00011323,0.00080301,8.03049645390E-7,knapsack,1,0,2,0.00007599,15,15,7951
49,0.00322600,0.00014012,0.00099370,9.93758865248E-7,knapsack,1,0,2,0.00633616,15,15,9839
50,0.00334300,0.00013257,0.00094015,9.40212765957E-7,knapsack,1,0,2,0.00286059,15,15,9309
51,0.00668000,0.00013029,0.00092398,9.24042553191E-7,knapsack,1,0,2,0.00318971,15,15,9149
52,0.00332500,0.00013725,0.00097336,9.73404255319E-7,srd,1,0,2,0.01482483,15,15,9637
53,0.00332500,0.00021131,0.00096578,0.00000119384180791,knapsack,2,0,1,,15,13,15450
54,0.00332500,0.00013070,0.00092693,9.26950354610E-7,srd,1,0,2,0.00808542,13,13,9178
55,0.00332500,0.00019575,0.00094109,9.41105769231E-7,knapsack,2,0,2,0.00010884,13,12,15038
56,0.00300000,0.00011776,0.00083513,8.35177304965E-7,knapsack,1,0,2,0.00496766,12,12,8268
57,0.00332700,0.00012792,0.00090717,9.07234042553E-7,knapsack,1,0,2,0.00151274,12,12,8982
58,0.00332500,0.00007267,0.00051533,5.15390070922E-7,knapsack,1,0,2,0.00660233,12,12,5103
59,0.00300000,0.00004131,0.00029292,2.92978723404E-7,knapsack,1,0,2,0.00356102,12,12,2901
60,0.00332700,0.00004727,0.00033519,3.35248226950E-7,knapsack,1,0,2,0.00018675,12,12,3320
61,0.00332700,0.00005546,0.00039329,3.93333333333E-7,knapsack,1,0,2,0.00961754,12,12,3895
62,0.00332800,0.00007122,0.00050508,5.05106382979E-7,knapsack,1,0,2,0.00621832,12,12,5001
63,0.00332900,0.00007152,0.00050722,5.07234042553E-7,knapsack,1,0,2,0.00281780,12,12,5023
64,0.00333000,0.00011409,0.00054847,5.48509615385E-7,knapsack,2,0,2,0.03202384,12,11,8481
