id,input_amounts
0,"['0.00329600', '0.00329400']"
1,['0.00347588']
2,['0.00336920']
3,['0.00483000']
4,"['0.00329000', '0.00329000']"
5,"['0.00794500', '0.00014860', '0.00328040']"
6,['0.00072688']
7,['0.00329400']
8,['0.00329400']
9,"['0.00816136', '0.00227914', '0.00065919', '0.00031169', '0.00007209']"
10,['0.00495690']
11,['0.00480265']
12,['0.00169966']
13,['0.00158912']
14,['0.00044958']
15,"['0.00014860', '0.00050000', '0.00010000', '0.00329400']"
16,['0.00103200']
17,['0.00331400']
18,['0.01000000']
19,['0.01570000']
20,['0.00100000']
21,['0.01010000']
22,"['0.00109000', '0.00100000', '0.00007125']"
23,"['0.00034445', '0.01569000', '0.00001581']"
24,['0.10000000']
25,['0.02500000']
26,['0.00330261']
27,['0.00940000']
28,['0.01456443']
29,['0.01267180']
30,['0.00980000']
31,['0.02164615']
32,['0.00600130']
33,['0.00500000']
34,"['0.00897444', '0.00161944']"
35,['0.09573308']
36,"['0.00090000', '0.00100000', '0.00056976', '0.00267438']"
37,"['0.00000100', '0.00210043', '0.00127641', '0.00000200']"
38,"['0.00331400', '0.00003975']"
39,"['0.00010863', '0.00027993', '0.00300000']"
40,['0.00390000']
41,['0.00643906']
42,"['0.00001544', '0.00721335', '0.00003084']"
43,"['0.00020000', '0.00310479']"
44,['0.00526937']
45,['0.00300000']
46,['0.00064329']
47,['0.00189490']
48,['0.00039322']
49,['0.00970228']
50,['0.00633616']
51,['0.01000000']
52,['0.01828708']
53,"['0.00318971', '0.00034660']"
54,['0.01154112']
55,"['0.00286059', '0.00076900']"
56,['0.00808542']
57,['0.00496766']
58,['0.01000000']
59,['0.00660233']
60,['0.00356102']
61,['0.01300000']
62,['0.00961754']
63,['0.00621832']
64,"['0.00011000', '0.03535793']"
65,"['0.00281780', '0.00097016']"
66,['0.01482483']
67,['0.01142798']
68,['0.00802945']
69,['0.00461448']
70,"['0.00017050', '0.00007599', '0.03202384', '0.00018675']"
71,['0.02915042']
72,"['0.00115857', '0.00151274']"
73,['0.02584878']
74,['0.02259847']
75,['0.01920753']
76,['0.01584552']
77,['0.01239677']
78,['0.00900403']
79,['0.00559020']
80,"['0.00100000', '0.09540703']"
81,['0.09296322']
82,['0.08352658']
83,['0.08006766']
84,['0.00910000']
85,"['0.00220338', '0.07659730', '0.00059519']"
86,['0.07617952']
87,['0.01714000']
88,['0.00564408']
89,['0.01525521']
90,['0.01174468']
91,['0.05559144']
92,['0.00279191']
93,['0.03000000']
94,"['0.00116387', '0.00162375']"
95,['0.00825305']
96,['0.00300000']
97,['0.00608479']
98,"['0.01490000', '0.00035889']"
99,['0.01780000']
100,"['0.00073116', '0.01983164']"
101,['0.00480000']
102,"['0.00444318', '0.00006080']"
103,"['0.00107722', '0.00480000']"
104,"['0.00100000', '0.00235138']"
105,['0.01843282']
106,['0.00482861']
107,['0.03500000']
108,['0.00370000']
109,"['0.00480000', '0.00010884', '0.00013895']"
110,['0.00120000']
111,['0.00056700']
112,['0.00500000']
113,"['0.00100000', '0.00100000', '0.00790000']"
114,"['0.00341677', '0.00003878', '0.00200000']"
115,['0.00300000']
116,"['0.00200000', '0.00007498', '0.00171142']"
117,['0.00040000']
118,"['0.00100000', '0.00194882', '0.00270000']"
119,"['0.00207812', '0.00100000']"
120,"['0.00592000', '0.00318002', '0.00022384']"
121,"['0.00500000', '0.00006000']"
122,"['0.00262214', '0.00079941']"
123,"['0.04040161', '0.03281210', '0.01570659', '0.01525697', '0.00007889', '0.00667715', '0.00268697']"
124,['0.10506519']
125,['0.09703966']
126,['0.08701703']
127,['0.07198934']
128,['0.06996390']
129,['0.06859878']
130,['0.06537128']
131,['0.05925258']
132,['0.05312401']
133,['0.04675598']
134,['0.03573073']
135,['0.03295365']
136,['0.02293974']
137,['0.01291766']
138,['0.01089452']
139,['0.00919170']
140,"['0.01000000', '0.00163049', '0.00049540', '0.00091371']"
141,['0.00757568']
142,['0.00554990']
143,['0.00350148']
144,['0.00305326']
145,"['0.00226500', '0.00200000', '0.00290000', '0.00213902']"
146,"['0.00008000', '0.00090000', '0.00025639', '0.00010000', '0.00010000', '0.00069882', '0.00093787']"
147,"['0.00080000', '0.00087643']"
148,"['0.00228044', '0.00110000', '0.00070000', '0.00169500']"
149,"['0.00464370', '0.00100000', '0.00200000', '0.00100000', '0.00120000']"
150,"['0.00360000', '0.00900000']"
151,"['0.01109159', '0.00860000', '0.00800000', '0.00490000', '0.01680000', '0.00969612']"
152,['0.00285625']
153,"['0.00880000', '0.00900000', '0.01450000', '0.00980000', '0.00800000']"
154,['0.01000000']
155,"['0.00500000', '0.00100000', '0.00100000']"
156,"['0.00454585', '0.00263338', '0.00300000', '0.00600000', '0.01500000', '0.06000000', '0.01000000', '0.01000000', '0.01000000']"
157,"['0.00082558', '0.00374622']"
158,['0.00099256']
159,"['0.02000000', '0.00040000', '0.01990000', '0.04000000', '0.00880000', '0.00500000', '0.00600000']"
160,"['0.00280000', '0.00500000', '0.00180000', '0.02959206', '0.00390000', '0.00300000', '0.00100000', '0.00300000', '0.05000000']"
161,"['0.00500000', '0.00013675', '0.05900000', '0.00300000', '0.03300000']"
162,"['0.00007626', '0.00500000']"
163,"['0.00021000', '0.00100000', '0.00038000', '0.00003472', '0.00084400', '0.03000000']"
164,['0.02842291']
165,['0.02341521']
166,['0.01841070']
167,['0.01770643']
168,['0.01468997']
169,['0.00467175']
170,"['0.00090000', '0.00700000', '0.00090000', '0.00017000', '0.00100000', '0.00010000']"
171,['0.00365375']
172,['0.00227340']
173,"['0.00290000', '0.00090000', '0.00090000']"
174,"['0.00500000', '0.00015956']"
175,"['0.01000000', '0.00040000']"
176,"['0.00019075', '0.01000000', '0.00015310']"
177,"['0.00098480', '0.00963986']"
178,"['0.00013827', '0.00250000', '0.00800000']"
179,['0.00980000']
180,['0.00949455']
181,"['0.00918896', '0.01000000']"
182,"['0.00888537', '0.01000000']"
183,['0.05000000']
184,"['0.00500000', '0.00807111']"
185,['0.00195286']
186,['0.00174665']
187,['0.05000000']
188,['0.02471042']
189,"['0.00012193', '0.01000000', '0.00110856']"
190,['0.01000000']
191,['0.00318000']
192,"['0.01059600', '0.00170000']"
193,"['0.00010917', '0.00107045', '0.00100000', '0.00799363', '0.00090000']"
194,['0.01000000']
195,['0.00180000']
196,['0.03898099']
197,['0.00900000']
198,['0.00797316']
199,"['0.00099000', '0.00028000', '0.00670163', '0.00014000', '0.01090000']"
200,"['0.00003231', '0.00200000']"
201,['0.00796109']
202,"['0.00010000', '0.00017747']"
203,"['0.02342469', '0.00400000', '0.00031906']"
204,"['0.00044827', '0.00050000', '0.00006080']"
205,['0.03967221']
206,"['0.00900000', '0.01000000']"
207,"['0.00004000', '0.00004340', '0.00067928', '0.02654737', '0.00006727']"
208,['0.01335028']
209,['0.00934019']
210,['0.00831725']
211,['0.02000000']
212,"['0.09980000', '0.01000000']"
213,"['0.00005460', '0.00229870', '0.02900000']"
214,['0.00039116']
215,"['0.05000000', '0.00180000', '0.00290000', '0.01944692', '0.00090000']"
216,['0.07024500']
217,"['0.00005460', '0.00008130', '0.09990000']"
218,"['0.00165665', '0.00809279', '0.00963528', '0.06022221']"
219,['0.04951246']
220,['0.04930447']
221,"['0.01570000', '0.01000000', '0.00969500', '0.00193800', '0.02310000', '0.01000000', '0.00390000', '0.01000000', '0.01000000', '0.01000000', '0.01000000', '0.01000000']"
222,['0.04908032']
223,['0.01511438']
224,"['0.00010000', '0.00390000', '0.00010000', '0.00096700', '0.01000000', '0.00097600', '0.00990000', '0.00500000']"
225,"['0.05000000', '0.01030000', '0.07000000', '0.00013629', '0.01950000', '0.01000000']"
226,"['0.06000000', '0.06000000', '0.03000000', '0.02700000', '0.00100000']"
227,['0.01484910']
228,['0.00981427']
229,['0.00378943']
230,['0.00116037']
231,['0.01930000']
232,['0.00050000']
233,"['0.02400000', '0.00637176', '0.09743739']"
234,"['0.01950000', '0.01940000']"
235,"['0.00072800', '0.00161670']"
236,"['0.00114700', '0.00010494']"
237,['0.01733111']
238,"['0.00020000', '0.00050000']"
239,['0.00050000']
240,"['0.01942388', '0.00020603', '0.00019558']"
241,"['0.00020000', '0.01940000']"
242,"['0.01000000', '0.00070000', '0.02000000', '0.00010000']"
243,"['0.00222825', '0.00087271', '0.00050000']"
244,"['0.01000000', '0.01930000', '0.01311368', '0.05288472', '0.00482171']"
245,"['0.00006184', '0.00010000', '0.01200000']"
