id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00000957,0.00006785,6.78723404255E-8,knapsack,1,0,2,0.00018043,18,18,673
1,0.00010100,0.00000568,0.00004025,4.02836879433E-8,knapsack,1,0,2,0.00007375,18,18,399
2,0.00329400,0.00000609,0.00002205,2.20652173913E-8,srd,3,0,2,0.00801466,18,16,-841
3,0.00410100,0.00000212,0.00001499,1.50354609929E-8,knapsack,1,0,2,0.00391154,16,16,149
4,0.00329000,0.00000651,0.00004611,4.61702127660E-8,knapsack,1,0,2,0.00061503,16,16,457
5,0.00319400,0.00001405,0.00006753,6.75480769231E-8,srd,2,0,2,0.01578195,16,15,450
6,0.00040100,0.00001419,0.00010060,1.00638297872E-7,knapsack,1,0,2,0.00019984,15,15,997
7,0.00262000,0.00001481,0.00010498,1.05035460993E-7,knapsack,1,0,2,0.00065919,15,15,1040
8,0.00100000,0.00001486,0.00010539,1.05390070922E-7,srd,1,0,2,0.00381514,15,15,1044
9,0.00650000,0.00001342,0.00006448,6.45192307692E-8,knapsack,2,0,2,0.00007458,16,15,398
10,0.00014000,0.00001425,0.00010103,1.01063829787E-7,knapsack,1,0,2,0.00004559,15,15,1002
11,0.00310000,0.00000299,0.00002119,2.12056737589E-8,knapsack,1,0,2,0.00019101,22,22,211
12,0.00010100,0.00001867,0.00006764,6.76449275362E-8,srd,3,0,2,0.00961994,23,21,230
13,0.00113200,0.00001112,0.00005342,5.34615384615E-8,knapsack,2,0,2,0.00001607,21,20,214
14,0.00010200,0.00001061,0.00002215,2.21503131524E-8,knapsack,6,0,2,0.02924066,20,15,-2425
15,0.00400000,0.00001810,0.00012831,1.28368794326E-7,knapsack,1,0,2,0.02522256,21,21,1271
16,0.00100000,0.00001619,0.00011481,1.14822695035E-7,knapsack,1,0,2,0.02420637,21,21,1137
17,0.00300000,0.00003407,0.00024160,2.41631205674E-7,knapsack,1,0,2,0.02117230,23,23,2392
18,0.00665800,0.00003939,0.00027934,2.79361702128E-7,knapsack,1,0,2,0.01447491,23,23,2766
19,0.00110000,0.00003557,0.00025222,2.52269503546E-7,knapsack,1,0,2,0.01333934,23,23,2498
20,0.00090000,0.00002875,0.00020389,2.03900709220E-7,knapsack,1,0,2,0.01241059,23,23,2020
21,0.00110000,0.00002556,0.00018122,1.81276595745E-7,knapsack,1,0,2,0.01128503,23,23,1795
22,0.00209300,0.00003562,0.00025260,2.52624113475E-7,knapsack,1,0,2,0.00915641,23,23,2502
23,0.00332600,0.00002680,0.00019006,1.90070921986E-7,knapsack,1,0,2,0.00580361,23,23,1883
24,0.00424600,0.00002092,0.00014830,1.48368794326E-7,knapsack,1,0,2,0.00153669,23,23,1469
25,0.00333000,0.00003517,0.00016908,1.69086538462E-7,srd,2,0,2,0.09678343,23,22,2145
26,0.00200000,0.00003865,0.00018578,1.85817307692E-7,knapsack,2,0,2,0.09628147,22,21,2424
27,0.00337500,0.00002370,0.00016808,1.68085106383E-7,knapsack,1,0,2,0.09288277,21,21,1665
28,0.00300000,0.00002331,0.00016531,1.65319148936E-7,knapsack,1,0,2,0.08985946,21,21,1638
29,0.00294600,0.00002352,0.00016675,1.66808510638E-7,knapsack,1,0,2,0.08688994,21,21,1651
30,0.00332500,0.00003594,0.00025488,2.54893617021E-7,knapsack,1,0,2,0.08352900,22,22,2525
31,0.00332500,0.00003407,0.00024158,2.41631205674E-7,knapsack,1,0,2,0.08016993,22,22,2392
32,0.00330000,0.00002692,0.00019090,1.90921985816E-7,knapsack,1,0,2,0.07684301,22,22,1891
33,0.00336300,0.00001756,0.00012449,1.24539007092E-7,knapsack,1,0,2,0.07346245,22,22,1233
34,0.00333400,0.00003154,0.00022367,2.23687943262E-7,knapsack,1,0,2,0.07009691,25,25,2215
35,0.00030000,0.00002605,0.00018471,1.84751773050E-7,knapsack,1,0,2,0.06977086,25,25,1830
36,0.00300100,0.00001751,0.00012415,1.24184397163E-7,knapsack,1,0,2,0.06675235,25,25,1230
37,0.00332900,0.00000455,0.00003221,3.22695035461E-8,knapsack,1,0,2,0.06341880,26,26,320
38,0.00332700,0.00000767,0.00005433,5.43971631206E-8,knapsack,1,0,2,0.06008413,26,26,539
39,0.00332700,0.00001570,0.00011128,1.11347517730E-7,knapsack,1,0,2,0.05674143,26,26,1102
40,0.00322700,0.00002971,0.00021068,2.10709219858E-7,knapsack,1,0,2,0.05348472,26,26,2087
41,0.00332000,0.00001427,0.00010115,1.01205673759E-7,knapsack,1,0,2,0.05015045,26,26,1002
42,0.00198400,0.00000320,0.00002268,2.26950354610E-8,knapsack,1,0,2,0.04816325,27,27,226
43,0.00322000,0.00000665,0.00004712,4.71631205674E-8,knapsack,1,0,2,0.04493660,27,27,468
44,0.00505500,0.00004387,0.00031108,3.11134751773E-7,knapsack,1,0,2,0.03983773,29,29,3081
45,0.00105000,0.00005510,0.00039072,3.90780141844E-7,knapsack,1,0,2,0.03873263,30,30,3869
46,0.00020000,0.00005007,0.00035509,3.55106382979E-7,knapsack,1,0,2,0.03848256,30,30,3516
47,0.00086900,0.00005574,0.00039528,3.95319148936E-7,knapsack,1,0,2,0.03755782,30,30,3914
48,0.00020400,0.00011323,0.00080301,8.03049645390E-7,knapsack,1,0,2,0.03724059,31,31,7951
49,0.00322600,0.00014012,0.00099370,9.93758865248E-7,knapsack,1,0,2,0.03387447,31,31,9839
50,0.00334300,0.00013257,0.00094015,9.40212765957E-7,knapsack,1,0,2,0.03039890,31,31,9309
51,0.00668000,0.00013029,0.00092398,9.24042553191E-7,knapsack,1,0,2,0.02358861,31,31,9149
52,0.00332500,0.00013725,0.00097336,9.73404255319E-7,knapsack,1,0,2,0.02012636,31,31,9637
53,0.00332500,0.00013618,0.00096578,9.65815602837E-7,knapsack,1,0,2,0.01666518,31,31,9562
54,0.00332500,0.00013070,0.00092693,9.26950354610E-7,knapsack,1,0,2,0.01320948,31,31,9178
55,0.00332500,0.00013270,0.00094109,9.41134751773E-7,knapsack,1,0,2,0.00975178,31,31,9318
56,0.00300000,0.00011776,0.00083513,8.35177304965E-7,knapsack,1,0,2,0.00663402,31,31,8268
