id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00000957,0.00006785,6.78723404255E-8,knapsack,1,0,2,0.00018043,18,18,673
1,0.00010100,0.00000568,0.00004025,4.02836879433E-8,knapsack,1,0,2,0.00007375,18,18,399
2,0.00329400,0.00000311,0.00002205,2.20567375887E-8,knapsack,1,0,2,0.00001689,18,18,219
3,0.00410100,0.00000312,0.00001499,1.5E-8,srd,2,0,2,0.00859188,18,17,-429
4,0.00329000,0.00001273,0.00004611,4.61231884058E-8,knapsack,3,0,2,0.00537979,17,15,-275
5,0.00319400,0.00000953,0.00006753,6.75886524823E-8,knapsack,1,0,2,0.00217626,15,15,670
6,0.00040100,0.00001419,0.00010060,1.00638297872E-7,knapsack,1,0,2,0.00176107,15,15,997
7,0.00262000,0.00001481,0.00010498,1.05035460993E-7,knapsack,1,0,2,0.00065519,15,15,1040
8,0.00100000,0.00001486,0.00010539,1.05390070922E-7,knapsack,1,0,2,0.00074621,15,15,1044
9,0.00650000,0.00002860,0.00006448,7.50656167979E-8,bnb,5,0,1,,16,11,-811
10,0.00014000,0.00001425,0.00010103,1.01785714286E-7,knapsack,1,0,2,0.00313975,11,11,1002
11,0.00310000,0.00000299,0.00002119,2.12056737589E-8,knapsack,1,0,2,0.00003676,18,18,211
12,0.00010100,0.00001407,0.00006764,6.76442307692E-8,knapsack,2,0,2,0.00002169,19,18,450
13,0.00113200,0.00000754,0.00005342,5.34751773050E-8,knapsack,1,0,2,0.00215446,18,18,530
14,0.00010200,0.00000313,0.00002215,2.21985815603E-8,knapsack,1,0,2,0.00039487,18,18,220
15,0.00400000,0.00001810,0.00012831,1.28368794326E-7,srd,1,0,2,0.02098190,24,24,1271
16,0.00100000,0.00001619,0.00011481,1.14822695035E-7,knapsack,1,0,2,0.00001581,24,24,1137
17,0.00300000,0.00003407,0.00024160,2.41631205674E-7,srd,1,0,2,0.00086593,26,26,2392
18,0.00665800,0.00003939,0.00027934,2.79361702128E-7,srd,1,0,2,0.00124761,26,26,2766
19,0.00110000,0.00003557,0.00025222,2.52269503546E-7,srd,1,0,2,0.00896443,26,26,2498
20,0.00090000,0.00002875,0.00020389,2.03900709220E-7,srd,1,0,2,0.00238525,26,26,2020
21,0.00110000,0.00002556,0.00018122,1.81276595745E-7,srd,1,0,2,0.00387444,26,26,1795
22,0.00209300,0.00003562,0.00025260,2.52624113475E-7,srd,1,0,2,0.00787138,26,26,2502
23,0.00332600,0.00003954,0.00019006,1.90096153846E-7,srd,2,0,2,0.00117607,26,25,2496
24,0.00424600,0.00003912,0.00014830,1.59673469388E-7,bnb,3,0,1,,25,22,1249
25,0.00333000,0.00002385,0.00016908,1.69148936170E-7,srd,1,0,2,0.01234615,22,22,1675
26,0.00200000,0.00002620,0.00018578,1.85815602837E-7,srd,1,0,2,0.01895570,22,22,1840
27,0.00337500,0.00002370,0.00016808,1.68085106383E-7,srd,1,0,2,0.00447268,22,22,1665
28,0.00300000,0.00004200,0.00016531,1.71428571429E-7,bnb,3,0,1,,22,19,1465
29,0.00294600,0.00002352,0.00016675,1.66808510638E-7,srd,1,0,2,0.01598618,19,19,1651
30,0.00332500,0.00003594,0.00025488,2.54893617021E-7,srd,1,0,2,0.00898521,20,20,2525
31,0.00332500,0.00005025,0.00024158,2.41586538462E-7,srd,2,0,2,0.00207321,20,19,3355
32,0.00330000,0.00002692,0.00019090,1.90921985816E-7,srd,1,0,2,0.00647308,19,19,1891
33,0.00336300,0.00002225,0.00012449,1.25706214689E-7,bnb,2,0,1,,19,17,342
34,0.00333400,0.00003154,0.00022367,2.23687943262E-7,srd,1,0,2,0.00110714,20,20,2215
35,0.00030000,0.00002605,0.00018471,1.84751773050E-7,knapsack,1,0,2,0.00024371,20,20,1830
36,0.00300100,0.00004271,0.00012415,1.24156976744E-7,knapsack,4,2,2,0.00003250,20,17,1725
37,0.00332900,0.00001185,0.00003221,3.78594249201E-8,bnb,4,0,1,,18,14,-1671
38,0.00332700,0.00000767,0.00005433,5.43971631206E-8,knapsack,1,0,2,0.00313841,14,14,539
39,0.00332700,0.00001570,0.00011128,1.11347517730E-7,srd,1,0,2,0.00665730,14,14,1102
40,0.00322700,0.00005254,0.00021068,2.14448979592E-7,bnb,3,0,1,,14,11,2329
41,0.00332000,0.00001427,0.00010115,1.01205673759E-7,knapsack,1,0,2,0.00332303,11,11,1002
42,0.00198400,0.00000472,0.00002268,2.26923076923E-8,srd,2,0,2,0.00719649,12,11,-299
43,0.00322000,0.00000981,0.00004712,4.71634615385E-8,srd,2,0,2,0.00309322,11,10,109
44,0.00505500,0.00004387,0.00031108,3.11134751773E-7,knapsack,1,0,2,0.00209762,12,12,3081
45,0.00105000,0.00005510,0.00039072,3.90780141844E-7,knapsack,1,0,2,0.00099252,13,13,3869
46,0.00020000,0.00005007,0.00035509,3.55106382979E-7,knapsack,1,0,2,0.00074245,13,13,3516
47,0.00086900,0.00005574,0.00039528,3.95319148936E-7,knapsack,1,0,2,0.00207526,13,13,3914
48,0.00020400,0.00011323,0.00080301,8.03049645390E-7,knapsack,1,0,2,0.00042522,14,14,7951
49,0.00322600,0.00014012,0.00099370,9.93758865248E-7,srd,1,0,2,0.00963388,14,14,9839
50,0.00334300,0.00013257,0.00094015,9.40212765957E-7,srd,1,0,2,0.01221443,14,14,9309
51,0.00668000,0.00013029,0.00092398,9.24042553191E-7,knapsack,1,0,2,0.00215414,14,14,9149
52,0.00332500,0.00019344,0.00097336,0.00000109288135593,bnb,2,0,1,,14,12,13895
53,0.00332500,0.00013618,0.00096578,9.65815602837E-7,srd,1,0,2,0.09653882,12,12,9562
54,0.00332500,0.00019281,0.00092693,9.26971153846E-7,srd,2,0,2,0.00880662,12,11,14802
55,0.00332500,0.00013270,0.00094109,9.41134751773E-7,srd,1,0,2,0.01252848,11,11,9318
56,0.00300000,0.00011776,0.00083513,8.35177304965E-7,srd,1,0,2,0.00568886,11,11,8268
57,0.00332700,0.00012792,0.00090717,9.07234042553E-7,srd,1,0,2,0.03190301,11,11,8982
58,0.00332500,0.00010719,0.00051533,5.15336538462E-7,srd,2,0,2,0.03054608,11,10,7928
