id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00000957,0.00006785,6.78723404255E-8,knapsack,1,0,2,0.00018043,18,18,673
1,0.00010100,0.00000568,0.00004025,4.02836879433E-8,knapsack,1,0,2,0.00007375,18,18,399
2,0.00329400,0.00000609,0.00002205,2.20652173913E-8,srd,3,0,2,0.00506766,18,16,-841
3,0.00410100,0.00000212,0.00001499,1.50354609929E-8,knapsack,1,0,2,0.00096454,16,16,149
4,0.00329000,0.00000600,0.00004611,5.45454545455E-8,bnb,1,0,1,,16,15,-274
5,0.00319400,0.00000953,0.00006753,6.75886524823E-8,knapsack,1,0,2,0.00008647,15,15,670
6,0.00040100,0.00001419,0.00010060,1.00638297872E-7,knapsack,1,0,2,0.00054935,15,15,997
7,0.00262000,0.00001481,0.00010498,1.05035460993E-7,knapsack,1,0,2,0.00065919,15,15,1040
8,0.00100000,0.00001486,0.00010539,1.05390070922E-7,srd,1,0,2,0.00229914,15,15,1044
9,0.00650000,0.00003089,0.00006448,6.44885177453E-8,knapsack,6,0,2,0.00001527,16,11,-566
10,0.00014000,0.00001425,0.00010103,1.01063829787E-7,knapsack,1,0,2,0.00050494,11,11,1002
11,0.00310000,0.00000299,0.00002119,2.12056737589E-8,knapsack,1,0,2,0.00019101,18,18,211
12,0.00010100,0.00001427,0.00006764,8.06214689266E-8,bnb,2,0,1,,19,17,-218
13,0.00113200,0.00001475,0.00005342,5.34420289855E-8,knapsack,3,0,2,0.00004920,17,15,-102
14,0.00010200,0.00000313,0.00002215,2.21985815603E-8,knapsack,1,0,2,0.00318887,15,15,220
15,0.00400000,0.00001810,0.00012831,1.28368794326E-7,srd,1,0,2,0.01167190,21,21,1271
16,0.00100000,0.00001619,0.00011481,1.14822695035E-7,knapsack,1,0,2,0.00001581,21,21,1137
17,0.00300000,0.00003407,0.00024160,2.41631205674E-7,knapsack,1,0,2,0.00015480,23,23,2392
18,0.00665800,0.00003939,0.00027934,2.79361702128E-7,srd,1,0,2,0.00270261,23,23,2766
19,0.00110000,0.00003557,0.00025222,2.52269503546E-7,srd,1,0,2,0.01456443,23,23,2498
20,0.00090000,0.00002875,0.00020389,2.03900709220E-7,knapsack,1,0,2,0.00007125,23,23,2020
21,0.00110000,0.00002556,0.00018122,1.81276595745E-7,srd,1,0,2,0.00887444,23,23,1795
22,0.00209300,0.00005255,0.00025260,2.52644230769E-7,srd,2,0,2,0.01061635,23,22,3540
23,0.00332600,0.00005500,0.00019006,2.24489795918E-7,bnb,3,0,1,,22,19,2661
24,0.00424600,0.00002092,0.00014830,1.48368794326E-7,srd,1,0,2,0.00583308,19,19,1469
25,0.00333000,0.00002385,0.00016908,1.69148936170E-7,knapsack,1,0,2,0.00054615,19,19,1675
26,0.00200000,0.00002620,0.00018578,1.85815602837E-7,srd,1,0,2,0.00380688,19,19,1840
27,0.00337500,0.00002370,0.00016808,1.68085106383E-7,knapsack,1,0,2,0.00040818,19,19,1665
28,0.00300000,0.00002331,0.00016531,1.65319148936E-7,srd,1,0,2,0.00180669,19,19,1638
29,0.00294600,0.00002352,0.00016675,1.66808510638E-7,srd,1,0,2,0.00703048,19,19,1651
30,0.00332500,0.00003594,0.00025488,2.54893617021E-7,srd,1,0,2,0.00551350,20,20,2525
31,0.00332500,0.00003407,0.00024158,2.41631205674E-7,srd,1,0,2,0.00644093,20,20,2392
32,0.00330000,0.00005284,0.00019090,2.15673469388E-7,bnb,3,0,1,,20,17,2442
33,0.00336300,0.00001756,0.00012449,1.24539007092E-7,knapsack,1,0,2,0.00213294,17,17,1233
34,0.00333400,0.00003154,0.00022367,2.23687943262E-7,srd,1,0,2,0.00457946,20,20,2215
35,0.00030000,0.00002605,0.00018471,1.84751773050E-7,knapsack,1,0,2,0.00008213,20,20,1830
36,0.00300100,0.00001751,0.00012415,1.24184397163E-7,srd,1,0,2,0.02198149,20,20,1230
37,0.00332900,0.00002533,0.00003221,4.33732876712E-8,knapsack,8,1,1,,21,13,-2900
38,0.00332700,0.00001131,0.00005433,5.4375E-8,knapsack,2,0,2,0.00056169,13,12,229
39,0.00332700,0.00001570,0.00011128,1.11347517730E-7,knapsack,1,0,2,0.00123676,12,12,1102
40,0.00322700,0.00002971,0.00021068,2.10709219858E-7,knapsack,1,0,2,0.00318422,12,12,2087
41,0.00332000,0.00001902,0.00010115,1.07457627119E-7,bnb,2,0,1,,12,10,117
42,0.00198400,0.00001087,0.00002268,2.26931106472E-8,knapsack,6,0,2,0.05399633,11,6,-2399
43,0.00322000,0.00000665,0.00004712,4.71631205674E-8,knapsack,1,0,2,0.05076968,6,6,468
44,0.00505500,0.00004387,0.00031108,3.11134751773E-7,knapsack,1,0,2,0.04567081,8,8,3081
45,0.00105000,0.00005510,0.00039072,3.90780141844E-7,knapsack,1,0,2,0.04456571,9,9,3869
46,0.00020000,0.00005007,0.00035509,3.55106382979E-7,knapsack,1,0,2,0.04431564,9,9,3516
47,0.00086900,0.00005574,0.00039528,3.95319148936E-7,knapsack,1,0,2,0.04339090,9,9,3914
48,0.00020400,0.00011323,0.00080301,8.03049645390E-7,knapsack,1,0,2,0.04307367,10,10,7951
49,0.00322600,0.00014012,0.00099370,9.93758865248E-7,knapsack,1,0,2,0.03970755,10,10,9839
50,0.00334300,0.00013257,0.00094015,9.40212765957E-7,knapsack,1,0,2,0.03623198,10,10,9309
51,0.00668000,0.00013029,0.00092398,9.24042553191E-7,knapsack,1,0,2,0.02942169,10,10,9149
52,0.00332500,0.00013725,0.00097336,9.73404255319E-7,knapsack,1,0,2,0.02595944,10,10,9637
53,0.00332500,0.00013618,0.00096578,9.65815602837E-7,knapsack,1,0,2,0.02249826,10,10,9562
54,0.00332500,0.00013070,0.00092693,9.26950354610E-7,knapsack,1,0,2,0.01904256,10,10,9178
55,0.00332500,0.00013270,0.00094109,9.41134751773E-7,knapsack,1,0,2,0.01558486,10,10,9318
56,0.00300000,0.00011776,0.00083513,8.35177304965E-7,knapsack,1,0,2,0.01246710,10,10,8268
57,0.00332700,0.00012792,0.00090717,9.07234042553E-7,knapsack,1,0,2,0.00901218,10,10,8982
