id,input_amounts
0,['0.00329000']
1,['0.00018043']
2,"['0.00329400', '0.00007375', '0.00500000']"
3,['0.00506766']
4,['0.00329600']
5,['0.00329000']
6,['0.00096454']
7,['0.00329400']
8,['0.00331400']
9,"['0.00014860', '0.00331400', '0.00054935', '0.00229914', '0.00014860', '0.00008647']"
10,['0.00065919']
11,['0.00329400']
12,"['0.00010000', '0.00001527']"
13,"['0.00050000', '0.00019101', '0.00050494']"
14,['0.00329400']
15,['0.01569000']
16,['0.00103200']
17,['0.00318887']
18,['0.00940000']
19,['0.01570000']
20,['0.00100000']
21,['0.01000000']
22,"['0.01167190', '0.00109000']"
23,"['0.00010863', '0.00270261', '0.00056976']"
24,['0.01010000']
25,['0.00390000']
26,['0.00583308']
27,['0.00380688']
28,['0.00483000']
29,['0.01000000']
30,['0.00887444']
31,['0.00980000']
32,"['0.00100000', '0.00180669', '0.00054615']"
33,['0.00551350']
34,['0.00794500']
35,['0.00040818']
36,['0.02500000']
37,"['0.00000200', '0.00100000', '0.00004920', '0.00000100', '0.00001581', '0.00213294', '0.00008213', '0.00007125']"
38,"['0.00090000', '0.00300000']"
39,['0.00457946']
40,['0.00644093']
41,"['0.00015480', '0.00318422']"
42,"['0.01456443', '0.02198149', '0.00056169', '0.00703048', '0.00123676', '0.01061635']"
43,['0.05399633']
44,['0.05076968']
45,['0.04567081']
46,['0.04456571']
47,['0.04431564']
48,['0.04339090']
49,['0.04307367']
50,['0.03970755']
51,['0.03623198']
52,['0.02942169']
53,['0.02595944']
54,['0.02249826']
55,['0.01904256']
56,['0.01558486']
57,['0.01246710']
58,['0.00901218']
59,['0.00561451']
60,"['0.01300000', '0.00076900']"
61,"['0.00257320', '0.01037228']"
62,['0.00953667']
63,['0.00613745']
64,"['0.10000000', '0.00273693']"
65,['0.09929284']
66,"['0.00034660', '0.01000000']"
67,['0.00691561']
68,['0.00351708']
69,['0.03535793']
70,['0.03190202']
71,['0.02877632']
72,['0.00300000']
73,['0.02547468']
74,['0.02222437']
75,['0.01883343']
76,['0.01547142']
77,['0.01202267']
78,['0.00862993']
79,['0.00521610']
80,['0.09589729']
81,['0.09249046']
82,['0.08305382']
83,"['0.00182928', '0.00094840', '0.00100000']"
84,['0.00910000']
85,['0.00564408']
86,['0.07959490']
87,['0.00253355']
88,['0.01714000']
89,['0.01428783']
90,['0.01077730']
91,['0.05900682']
92,['0.00728567']
93,['0.03000000']
94,['0.00611751']
95,['0.00396795']
96,['0.04381699']
97,"['0.00016815', '0.00116387']"
98,"['0.01983164', '0.00020000', '0.00480000']"
99,"['0.00179969', '0.00064876']"
100,['0.00300000']
101,['0.00959280']
102,"['0.04154815', '0.00011000']"
103,['0.03950555']
104,"['0.00100000', '0.00100000']"
105,"['0.00444318', '0.00010211']"
106,"['0.00091189', '0.00080000']"
107,['0.00480000']
108,['0.00107722']
109,"['0.00100000', '0.03637658']"
110,['0.00120000']
111,['0.00072674']
112,"['0.00006080', '0.00300000', '0.00120000']"
113,['0.01780000']
114,"['0.00261210', '0.01000000']"
115,"['0.00010000', '0.00100000']"
