id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00000957,0.00006785,6.78723404255E-8,knapsack,1,0,2,0.00018043,18,18,673
1,0.00010100,0.00000568,0.00004025,4.02836879433E-8,knapsack,1,0,2,0.00007375,18,18,399
2,0.00329400,0.00000311,0.00002205,2.20567375887E-8,knapsack,1,0,2,0.00001689,18,18,219
3,0.00410100,0.00000212,0.00001499,1.50354609929E-8,knapsack,1,0,2,0.00072688,18,18,149
4,0.00329000,0.00000600,0.00004611,5.45454545455E-8,bnb,1,0,1,,18,17,-274
5,0.00319400,0.00001864,0.00006753,6.75362318841E-8,srd,3,0,2,0.00817496,17,15,230
6,0.00040100,0.00001419,0.00010060,1.00638297872E-7,knapsack,1,0,2,0.00031169,15,15,997
7,0.00262000,0.00001481,0.00010498,1.05785714286E-7,knapsack,1,0,2,0.00065519,15,15,1040
8,0.00100000,0.00002909,0.00010539,1.05398550725E-7,knapsack,3,0,2,0.00001154,15,13,1118
9,0.00650000,0.00001342,0.00006448,6.45192307692E-8,knapsack,2,0,2,0.00007458,14,13,398
10,0.00014000,0.00002014,0.00010103,1.13785310734E-7,bnb,2,0,1,,13,11,229
11,0.00310000,0.00000299,0.00002119,2.12056737589E-8,knapsack,1,0,2,0.00019101,18,18,211
12,0.00010100,0.00001589,0.00006764,8.97740112994E-8,bnb,2,0,1,,19,17,-56
13,0.00113200,0.00000754,0.00005342,5.34751773050E-8,knapsack,1,0,2,0.00217446,17,17,530
14,0.00010200,0.00000313,0.00002215,2.21985815603E-8,knapsack,1,0,2,0.00008588,17,17,220
15,0.00400000,0.00001810,0.00012831,1.28368794326E-7,srd,1,0,2,0.09598190,23,23,1271
16,0.00100000,0.00001619,0.00011481,1.14822695035E-7,knapsack,1,0,2,0.00001581,23,23,1137
17,0.00300000,0.00003407,0.00024160,2.41631205674E-7,srd,1,0,2,0.01265593,25,25,2392
18,0.00665800,0.00003939,0.00027934,2.79361702128E-7,srd,1,0,2,0.00340261,25,25,2766
19,0.00110000,0.00005247,0.00025222,2.52259615385E-7,srd,2,0,2,0.00084753,25,24,3534
20,0.00090000,0.00002875,0.00020389,2.03900709220E-7,srd,1,0,2,0.00247386,24,24,2020
21,0.00110000,0.00002556,0.00018122,1.81276595745E-7,srd,1,0,2,0.00827444,24,24,1795
22,0.00209300,0.00006676,0.00025260,2.72489795918E-7,bnb,3,0,1,,24,21,3575
23,0.00332600,0.00002680,0.00019006,1.90070921986E-7,srd,1,0,2,0.00054720,21,21,1883
24,0.00424600,0.00004997,0.00014830,1.59648562300E-7,bnb,4,0,1,,21,17,1654
25,0.00333000,0.00002385,0.00016908,1.69148936170E-7,knapsack,1,0,2,0.00164615,17,17,1675
26,0.00200000,0.00002620,0.00018578,1.85815602837E-7,srd,1,0,2,0.00614876,17,17,1840
27,0.00337500,0.00002370,0.00016808,1.68085106383E-7,srd,1,0,2,0.09258320,17,17,1665
28,0.00300000,0.00002331,0.00016531,1.65319148936E-7,srd,1,0,2,0.00312545,17,17,1638
29,0.00294600,0.00002352,0.00016675,1.66808510638E-7,knapsack,1,0,2,0.00015593,17,17,1651
30,0.00332500,0.00003594,0.00025488,2.54893617021E-7,srd,1,0,2,0.02163906,18,18,2525
31,0.00332500,0.00003407,0.00024158,2.41631205674E-7,srd,1,0,2,0.00644093,18,18,2392
32,0.00330000,0.00002692,0.00019090,1.90921985816E-7,srd,1,0,2,0.00494752,18,18,1891
33,0.00336300,0.00001756,0.00012449,1.24539007092E-7,srd,1,0,2,0.00661944,18,18,1233
34,0.00333400,0.00003154,0.00022367,2.23687943262E-7,srd,1,0,2,0.01827352,21,21,2215
35,0.00030000,0.00002605,0.00018471,1.84751773050E-7,knapsack,1,0,2,0.00022115,21,21,1830
36,0.00300100,0.00001751,0.00012415,1.24184397163E-7,srd,1,0,2,0.01525501,21,21,1230
37,0.00332900,0.00001959,0.00003221,4.37276785714E-8,knapsack,6,1,1,,22,16,-1980
38,0.00332700,0.00001869,0.00005433,5.43313953488E-8,knapsack,4,0,2,0.00007058,16,13,-391
39,0.00332700,0.00001570,0.00011128,1.11347517730E-7,knapsack,1,0,2,0.00160482,13,13,1102
40,0.00322700,0.00002971,0.00021068,2.10709219858E-7,srd,1,0,2,0.01244329,13,13,2087
41,0.00332000,0.00001427,0.00010115,1.01205673759E-7,knapsack,1,0,2,0.00310666,13,13,1002
42,0.00198400,0.00000320,0.00002268,2.26950354610E-8,knapsack,1,0,2,0.00111946,14,14,226
43,0.00322000,0.00000981,0.00004712,4.71634615385E-8,knapsack,2,0,2,0.00002116,14,13,109
44,0.00505500,0.00004387,0.00031108,3.11134751773E-7,knapsack,1,0,2,0.00152057,15,15,3081
45,0.00105000,0.00006946,0.00039072,6.31454545455E-7,knapsack,1,0,1,,16,15,3869
46,0.00020000,0.00005007,0.00035509,3.55106382979E-7,knapsack,1,0,2,0.00127050,15,15,3516
47,0.00086900,0.00005574,0.00039528,3.95319148936E-7,knapsack,1,0,2,0.00034576,15,15,3914
48,0.00020400,0.00014176,0.00080301,0.00000128872727273,knapsack,1,0,1,,16,15,7951
49,0.00322600,0.00020669,0.00099370,9.93701923077E-7,srd,2,0,2,0.00676731,15,14,15917
50,0.00334300,0.00013257,0.00094015,9.40212765957E-7,knapsack,1,0,2,0.00329174,14,14,9309
51,0.00668000,0.00013029,0.00092398,9.24042553191E-7,knapsack,1,0,2,0.00318971,14,14,9149
52,0.00332500,0.00013725,0.00097336,9.73404255319E-7,srd,1,0,2,0.01179276,14,14,9637
53,0.00332500,0.00020089,0.00096578,9.65817307692E-7,srd,2,0,2,0.01247411,14,13,15450
54,0.00332500,0.00021131,0.00092693,0.00000119384180791,knapsack,2,0,1,,13,11,14802
55,0.00332500,0.00013270,0.00094109,9.41134751773E-7,srd,1,0,2,0.08912550,11,11,9318
56,0.00300000,0.00011776,0.00083513,8.35177304965E-7,knapsack,1,0,2,0.00017398,11,11,8268
57,0.00332700,0.00012792,0.00090717,9.07234042553E-7,knapsack,1,0,2,0.00833784,11,11,8982
58,0.00332500,0.00007267,0.00051533,5.15390070922E-7,knapsack,1,0,2,0.00494017,11,11,5103
