id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00000957,0.00006785,6.78723404255E-8,knapsack,1,0,2,0.00018043,18,18,673
1,0.00010100,0.00000568,0.00004025,4.05714285714E-8,knapsack,1,0,2,0.00007375,18,18,399
2,0.00329400,0.00000459,0.00002205,2.20673076923E-8,srd,2,0,2,0.00617516,18,17,-311
3,0.00410100,0.00000212,0.00001499,1.50354609929E-8,knapsack,1,0,2,0.00207204,17,17,149
4,0.00329000,0.00001273,0.00004611,4.61231884058E-8,srd,3,0,2,0.00496987,17,15,-275
5,0.00319400,0.00000953,0.00006753,6.75886524823E-8,knapsack,1,0,2,0.00008647,15,15,670
6,0.00040100,0.00001419,0.00010060,1.00638297872E-7,knapsack,1,0,2,0.00165685,15,15,997
7,0.00262000,0.00001481,0.00010498,1.05035460993E-7,knapsack,1,0,2,0.00065919,15,15,1040
8,0.00100000,0.00001486,0.00010539,1.05390070922E-7,knapsack,1,0,2,0.00064199,15,15,1044
9,0.00650000,0.00003625,0.00006448,9.51443569554E-8,knapsack,5,0,1,,16,11,-325
10,0.00014000,0.00001425,0.00010103,1.01063829787E-7,knapsack,1,0,2,0.00481562,11,11,1002
11,0.00310000,0.00000299,0.00002119,2.12056737589E-8,knapsack,1,0,2,0.00171263,18,18,211
12,0.00010100,0.00000954,0.00006764,6.76595744681E-8,knapsack,1,0,2,0.00160209,19,19,670
13,0.00113200,0.00000754,0.00005342,5.34751773050E-8,knapsack,1,0,2,0.00046255,19,19,530
14,0.00010200,0.00000313,0.00002215,2.21985815603E-8,knapsack,1,0,2,0.00035742,19,19,220
15,0.00400000,0.00001810,0.00012831,1.28368794326E-7,srd,1,0,2,0.00578190,25,25,1271
16,0.00100000,0.00001619,0.00011481,1.14822695035E-7,knapsack,1,0,2,0.00001581,25,25,1137
17,0.00300000,0.00003407,0.00024160,2.41631205674E-7,srd,1,0,2,0.00696593,27,27,2392
18,0.00665800,0.00007000,0.00027934,2.85714285714E-7,bnb,3,0,1,,27,24,3786
19,0.00110000,0.00005247,0.00025222,2.52259615385E-7,srd,2,0,2,0.00905616,24,23,3534
20,0.00090000,0.00002875,0.00020389,2.03900709220E-7,knapsack,1,0,2,0.00007125,23,23,2020
21,0.00110000,0.00002556,0.00018122,1.81276595745E-7,srd,1,0,2,0.00681944,23,23,1795
22,0.00209300,0.00005255,0.00025260,2.52644230769E-7,srd,2,0,2,0.01412421,23,22,3540
23,0.00332600,0.00003925,0.00019006,2.21751412429E-7,bnb,2,0,1,,22,20,1766
24,0.00424600,0.00004900,0.00014830,2.0E-7,knapsack,3,1,1,,20,17,2127
25,0.00333000,0.00002385,0.00016908,1.69148936170E-7,srd,1,0,2,0.00054615,17,17,1675
26,0.00200000,0.00002620,0.00018578,1.85815602837E-7,srd,1,0,2,0.00375570,17,17,1840
27,0.00337500,0.00003497,0.00016808,1.68125E-7,srd,2,0,2,0.00376689,17,16,2128
28,0.00300000,0.00002331,0.00016531,1.65319148936E-7,knapsack,1,0,2,0.00027269,16,16,1638
29,0.00294600,0.00002352,0.00016675,1.66808510638E-7,srd,1,0,2,0.00078618,16,16,1651
30,0.00332500,0.00003594,0.00025488,2.54893617021E-7,srd,1,0,2,0.00360499,17,17,2525
31,0.00332500,0.00005025,0.00024158,2.41586538462E-7,srd,2,0,2,0.09689744,17,16,3355
32,0.00330000,0.00002692,0.00019090,1.90921985816E-7,knapsack,1,0,2,0.00027807,16,16,1891
33,0.00336300,0.00002590,0.00012449,1.24519230769E-7,srd,2,0,2,0.01450220,16,15,1400
34,0.00333400,0.00003154,0.00022367,2.23687943262E-7,srd,1,0,2,0.00569062,18,18,2215
35,0.00030000,0.00002605,0.00018471,1.84751773050E-7,knapsack,1,0,2,0.00017395,18,18,1830
