id,input_amounts
0,['0.00329000']
1,['0.00018043']
2,"['0.00007375', '0.00940000']"
3,['0.00617516']
4,"['0.00483000', '0.00329400', '0.00014860']"
5,['0.00329000']
6,['0.00207204']
7,['0.00329400']
8,['0.00165685']
9,"['0.00064199', '0.00008647', '0.00500000', '0.00014860', '0.00065919']"
10,['0.00496987']
11,['0.00481562']
12,['0.00171263']
13,['0.00160209']
14,['0.00046255']
15,['0.00980000']
16,['0.00103200']
17,['0.01000000']
18,"['0.00331400', '0.00331400', '0.00010000']"
19,"['0.00010863', '0.01010000']"
20,['0.00100000']
21,['0.00794500']
22,"['0.01570000', '0.00056976']"
23,"['0.00007125', '0.00329400']"
24,"['0.00000100', '0.00100000', '0.00329400']"
25,['0.00390000']
26,['0.00578190']
27,"['0.00035742', '0.00681944']"
28,['0.00329600']
29,['0.00375570']
30,['0.00696593']
31,"['0.00027269', '0.10000000']"
32,['0.00360499']
33,"['0.01412421', '0.00376689']"
34,['0.00905616']
35,['0.00050000']
36,['0.02500000']
37,"['0.00100000', '0.00109000', '0.00017395', '0.00027807', '0.00078618', '0.00001581']"
38,"['0.00000200', '0.00300000', '0.00054615']"
39,['0.00569062']
40,['0.09689744']
41,['0.01000000']
42,['0.00234792']
43,['0.00666573']
44,['0.01000000']
45,['0.09364073']
46,['0.00036072']
47,['0.02198149']
48,"['0.00020615', '0.00343908']"
49,['0.01300000']
50,"['0.00011000', '0.00327420', '0.00020000']"
51,['0.09253563']
52,"['0.00300000', '0.00090000']"
53,['0.00490113']
54,['0.00963388']
55,['0.00617818']
56,"['0.00037254', '0.00272048', '0.00034660']"
57,['0.01450220']
58,['0.01104728']
59,['0.00764961']
60,['0.00460830']
61,"['0.03535793', '0.01569000', '0.00076900']"
62,['0.02105675']
63,['0.01765753']
64,['0.01425701']
65,['0.01084967']
66,['0.00745412']
67,['0.00405727']
68,"['0.00123403', '0.00065874', '0.00020912', '0.00143995']"
69,['0.04838138']
70,['0.04492547']
71,['0.04179977']
72,['0.03849813']
73,['0.03644653']
74,['0.03319622']
75,['0.02980528']
76,['0.02644327']
77,['0.02299452']
78,['0.01960178']
79,['0.01618795']
80,['0.01280113']
81,"['0.00011065', '0.00939430']"
82,['0.08572534']
83,['0.08226642']
84,['0.07879606']
85,['0.07534014']
86,['0.07222961']
87,['0.05164153']
88,['0.04975674']
89,['0.04690457']
90,['0.04339404']
91,['0.03990241']
92,['0.02471258']
93,['0.02354442']
94,['0.01337606']
95,['0.01122650']
96,['0.00905824']
97,['0.00678940']
98,"['0.00480000', '0.00910000', '0.03000000']"
99,"['0.02866116', '0.00553322']"
100,['0.03205659']
101,['0.02996848']
102,['0.02530743']
103,['0.02320398']
104,['0.00116387']
105,['0.02007501']
106,['0.01689916']
107,['0.01525057']
108,['0.00107722']
109,['0.01306267']
110,['0.00807371']
111,['0.00691249']
112,['0.00634830']
113,"['0.00120000', '0.00200000']"
114,"['0.00444318', '0.00100000']"
115,['0.00214771']
116,"['0.00040000', '0.01490000']"
117,['0.00080000']
118,"['0.00109653', '0.00454585']"
119,"['0.00300000', '0.00008000']"
