id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00001412,0.00006785,6.78846153846E-8,srd,2,0,2,0.00186448,18,17,455
1,0.00010100,0.00000568,0.00004025,4.02836879433E-8,knapsack,1,0,2,0.00175780,17,17,399
2,0.00329400,0.00000311,0.00002205,2.20567375887E-8,knapsack,1,0,2,0.00001689,17,17,219
3,0.00410100,0.00000212,0.00001499,1.50354609929E-8,knapsack,1,0,2,0.00089688,17,17,149
4,0.00329000,0.00000600,0.00004611,5.45454545455E-8,bnb,1,0,1,,17,16,-274
5,0.00319400,0.00001405,0.00006753,6.75480769231E-8,srd,2,0,2,0.00183975,16,15,450
6,0.00040100,0.00001419,0.00010060,1.00638297872E-7,knapsack,1,0,2,0.00048169,15,15,997
7,0.00262000,0.00001481,0.00010498,1.05035460993E-7,knapsack,1,0,2,0.00065519,15,15,1040
8,0.00100000,0.00001486,0.00010539,1.05390070922E-7,srd,1,0,2,0.00227914,15,15,1044
9,0.00650000,0.00002657,0.00006448,6.44902912621E-8,srd,5,0,2,0.00303265,16,12,-325
10,0.00014000,0.00001425,0.00010103,1.01063829787E-7,knapsack,1,0,2,0.00032744,12,12,1002
11,0.00310000,0.00000441,0.00002119,2.12019230769E-8,knapsack,2,0,2,0.00002824,19,18,-324
12,0.00010100,0.00000954,0.00006764,6.76595744681E-8,knapsack,1,0,2,0.00003806,19,19,670
13,0.00113200,0.00000754,0.00005342,5.34751773050E-8,knapsack,1,0,2,0.00070021,19,19,530
14,0.00010200,0.00000313,0.00002215,2.21985815603E-8,knapsack,1,0,2,0.00022231,19,19,220
15,0.00400000,0.00003227,0.00012831,1.31714285714E-7,bnb,3,0,1,,25,22,648
16,0.00100000,0.00001619,0.00011481,1.14822695035E-7,knapsack,1,0,2,0.00001581,22,22,1137
17,0.00300000,0.00003407,0.00024160,2.41631205674E-7,knapsack,1,0,2,0.00025993,24,24,2392
18,0.00665800,0.00005811,0.00027934,2.79375E-7,srd,2,0,2,0.00924382,24,23,3986
19,0.00110000,0.00005247,0.00025222,2.52259615385E-7,srd,2,0,2,0.00886984,23,22,3534
20,0.00090000,0.00002875,0.00020389,2.03900709220E-7,knapsack,1,0,2,0.00007125,22,22,2020
21,0.00110000,0.00006925,0.00018122,2.21246006390E-7,bnb,4,0,1,,22,18,3443
22,0.00209300,0.00003562,0.00025260,2.52624113475E-7,srd,1,0,2,0.09787138,18,18,2502
23,0.00332600,0.00002680,0.00019006,1.90070921986E-7,knapsack,1,0,2,0.00054720,18,18,1883
24,0.00424600,0.00002092,0.00014830,1.48368794326E-7,knapsack,1,0,2,0.00367808,18,18,1469
25,0.00333000,0.00002385,0.00016908,1.69148936170E-7,srd,1,0,2,0.00604615,18,18,1675
26,0.00200000,0.00003865,0.00018578,1.85817307692E-7,srd,2,0,2,0.00174806,18,17,2424
27,0.00337500,0.00002370,0.00016808,1.68085106383E-7,srd,1,0,2,0.00264745,17,17,1665
28,0.00300000,0.00002331,0.00016531,1.65319148936E-7,srd,1,0,2,0.00697669,17,17,1638
29,0.00294600,0.00002352,0.00016675,1.66808510638E-7,srd,1,0,2,0.01272048,17,17,1651
30,0.00332500,0.00003594,0.00025488,2.54893617021E-7,srd,1,0,2,0.02163906,18,18,2525
31,0.00332500,0.00006026,0.00024158,2.45959183673E-7,bnb,3,0,1,,18,15,2971
32,0.00330000,0.00005269,0.00019090,1.90905797101E-7,srd,3,0,2,0.09641869,15,13,3129
33,0.00336300,0.00001756,0.00012449,1.24539007092E-7,knapsack,1,0,2,0.00359613,13,13,1233
34,0.00333400,0.00003154,0.00022367,2.23687943262E-7,knapsack,1,0,2,0.00023059,16,16,2215
35,0.00030000,0.00002605,0.00018471,1.84751773050E-7,knapsack,1,0,2,0.00067395,16,16,1830
36,0.00300100,0.00002583,0.00012415,1.24182692308E-7,srd,2,0,2,0.01862804,16,15,1395
37,0.00332900,0.00001328,0.00003221,3.22330097087E-8,knapsack,5,1,2,0.00021271,16,12,-1520
38,0.00332700,0.00000767,0.00005433,5.43971631206E-8,knapsack,1,0,2,0.00553517,12,12,539
39,0.00332700,0.00001570,0.00011128,1.11347517730E-7,knapsack,1,0,2,0.00219247,12,12,1102
40,0.00322700,0.00002971,0.00021068,2.10709219858E-7,srd,1,0,2,0.00946377,12,12,2087
41,0.00332000,0.00002104,0.00010115,1.01153846154E-7,knapsack,2,0,2,0.00185143,12,11,1010
42,0.00198400,0.00000472,0.00002268,2.26923076923E-8,knapsack,2,0,2,0.00006271,12,11,-299
43,0.00322000,0.00000981,0.00004712,4.71634615385E-8,srd,2,0,2,0.00693290,11,10,109
44,0.00505500,0.00004387,0.00031108,3.11134751773E-7,knapsack,1,0,2,0.00183403,12,12,3081
45,0.00105000,0.00005510,0.00039072,3.90780141844E-7,knapsack,1,0,2,0.00072893,13,13,3869
46,0.00020000,0.00005007,0.00035509,3.55106382979E-7,knapsack,1,0,2,0.00047886,13,13,3516
47,0.00086900,0.00005574,0.00039528,3.95319148936E-7,knapsack,1,0,2,0.00207526,13,13,3914
48,0.00020400,0.00011323,0.00080301,8.03049645390E-7,knapsack,1,0,2,0.00016163,14,14,7951
49,0.00322600,0.00014012,0.00099370,9.93758865248E-7,knapsack,1,0,2,0.00587770,14,14,9839
50,0.00334300,0.00013257,0.00094015,9.40212765957E-7,knapsack,1,0,2,0.00240213,14,14,9309
51,0.00668000,0.00013029,0.00092398,9.24042553191E-7,knapsack,1,0,2,0.00265348,14,14,9149
52,0.00332500,0.00020246,0.00097336,9.73365384615E-7,knapsack,2,0,2,0.00094993,14,13,15576
53,0.00332500,0.00013618,0.00096578,9.65815602837E-7,srd,1,0,2,0.03189675,13,13,9562
54,0.00332500,0.00025911,0.00092693,0.00000105759183673,bnb,3,0,1,,13,10,19977
55,0.00332500,0.00013270,0.00094109,9.47857142857E-7,knapsack,1,0,2,0.00654230,10,10,9318
56,0.00300000,0.00011776,0.00083513,8.35177304965E-7,knapsack,1,0,2,0.00342454,10,10,8268
57,0.00332700,0.00020754,0.00090717,0.00000117254237288,knapsack,2,0,1,,10,8,14471
58,0.00332500,0.00007267,0.00051533,5.15390070922E-7,knapsack,1,0,2,0.00660233,8,8,5103
59,0.00300000,0.00004131,0.00029292,2.92978723404E-7,knapsack,1,0,2,0.00356102,8,8,2901
60,0.00332700,0.00004727,0.00033519,3.35248226950E-7,knapsack,1,0,2,0.00018675,8,8,3320
61,0.00332700,0.00005546,0.00039329,3.93333333333E-7,knapsack,1,0,2,0.00961754,8,8,3895
62,0.00332800,0.00007122,0.00050508,5.05106382979E-7,knapsack,1,0,2,0.00621832,8,8,5001
63,0.00332900,0.00007152,0.00050722,5.07234042553E-7,knapsack,1,0,2,0.00281780,8,8,5023
64,0.00333000,0.00007734,0.00054847,5.48510638298E-7,srd,1,0,2,0.09301135,8,8,5431
65,0.00332500,0.00010407,0.00050031,5.00336538462E-7,srd,2,0,2,0.08976903,8,7,7677
66,0.00332500,0.00010599,0.00050953,5.09567307692E-7,knapsack,2,0,2,0.00033674,7,6,7830
67,0.00333500,0.00006353,0.00045050,4.50567375887E-7,knapsack,1,0,2,0.01522951,6,6,4461
68,0.00332500,0.00008997,0.00063805,6.38085106383E-7,knapsack,1,0,2,0.01181454,6,6,6317
69,0.00332500,0.00013091,0.00092840,9.28439716312E-7,knapsack,1,0,2,0.00835863,6,6,9193
70,0.00300000,0.00012570,0.00089143,8.91489361702E-7,knapsack,1,0,2,0.00523293,6,6,8826
71,0.00321200,0.00008964,0.00063572,6.35744680851E-7,knapsack,1,0,2,0.00193129,6,6,6294
72,0.00200000,0.00007612,0.00036592,3.65961538462E-7,knapsack,2,0,2,0.00006788,7,6,5433
73,0.00320000,0.00005031,0.00035674,3.56808510638E-7,knapsack,1,0,2,0.02864644,6,6,3532
74,0.00332500,0.00006594,0.00046759,4.67659574468E-7,knapsack,1,0,2,0.02525550,6,6,4630
75,0.00330000,0.00006201,0.00043977,4.39787234043E-7,knapsack,1,0,2,0.02189349,6,6,4355
76,0.00339300,0.00005575,0.00039534,3.95390070922E-7,knapsack,1,0,2,0.01844474,6,6,3915
77,0.00332700,0.00006574,0.00046623,4.66241134752E-7,knapsack,1,0,2,0.01505200,6,6,4617
78,0.00334100,0.00007283,0.00051652,5.16524822695E-7,knapsack,1,0,2,0.01163817,6,6,5115
79,0.00332700,0.00005982,0.00042419,4.24255319149E-7,knapsack,1,0,2,0.00825135,6,6,4200
80,0.00332900,0.00007783,0.00055196,5.51985815603E-7,knapsack,1,0,2,0.00484452,7,7,5466
81,0.00932800,0.00010864,0.00077048,7.70496453901E-7,knapsack,1,0,2,0.08033239,7,7,7629
82,0.00333000,0.00012892,0.00091432,9.14326241135E-7,knapsack,1,0,2,0.00138560,8,8,9053
83,0.00332500,0.00014536,0.00103088,0.00000103092198582,knapsack,1,0,2,0.07686203,8,8,10206
84,0.00332500,0.00013092,0.00092846,9.28510638298E-7,knapsack,1,0,2,0.00564408,8,8,9193
85,0.00300000,0.00011053,0.00078387,7.83900709220E-7,knapsack,1,0,2,0.00253355,8,8,7761
86,0.02047700,0.00011108,0.00078774,7.87801418440E-7,knapsack,1,0,2,0.05627395,8,8,7799
87,0.00172200,0.00016279,0.00115449,0.00000115453900709,srd,1,0,2,0.00064876,8,8,11430
88,0.00265000,0.00029824,0.00143381,0.00000143384615385,srd,2,0,2,0.01452850,9,8,23265
89,0.00333000,0.00018053,0.00128029,0.00000128035460993,knapsack,1,0,2,0.01101797,8,8,12675
90,0.00332500,0.00016663,0.00118175,0.00000118177304965,knapsack,1,0,2,0.00752634,8,8,11700
91,0.01500000,0.00018983,0.00134631,0.00000134631205674,knapsack,1,0,2,0.04108412,9,9,13329
92,0.00100000,0.00016816,0.00119259,0.00000119262411348,srd,1,0,2,0.03991596,9,9,11808
93,0.01000000,0.00032955,0.00119400,0.00000119402173913,srd,3,0,2,0.03123517,9,7,26702
