id,input_amounts
0,"['0.00483000', '0.00014860']"
1,['0.00186448']
2,['0.00331400']
3,['0.00500000']
4,['0.00329600']
5,"['0.00175780', '0.00329000']"
6,['0.00089688']
7,['0.00329000']
8,['0.00329400']
9,"['0.00001689', '0.00227914', '0.00331400', '0.00329400', '0.00065519']"
10,['0.00048169']
11,"['0.00303265', '0.00010000']"
12,['0.00014860']
13,['0.00183975']
14,['0.00032744']
15,"['0.00003806', '0.00329400', '0.00070021']"
16,['0.00103200']
17,['0.00329400']
18,"['0.00025993', '0.01570000']"
19,"['0.00980000', '0.00022231']"
20,['0.00100000']
21,"['0.00002824', '0.00050000', '0.00007125', '0.00056976']"
22,['0.10000000']
23,['0.00390000']
24,['0.00794500']
25,['0.00940000']
26,"['0.00367808', '0.00010863']"
27,['0.00604615']
28,['0.01000000']
29,['0.01569000']
30,['0.02500000']
31,"['0.00109000', '0.00174806', '0.00054720']"
32,"['0.00100000', '0.09787138', '0.00090000']"
33,['0.00697669']
34,['0.00359613']
35,['0.00100000']
36,"['0.02163906', '0.00001581']"
37,"['0.00023059', '0.00000100', '0.00067395', '0.00264745', '0.00000200']"
38,['0.00886984']
39,['0.00553517']
40,['0.01272048']
41,"['0.00300000', '0.00219247']"
42,"['0.00185143', '0.00020000']"
43,"['0.01010000', '0.00006271']"
44,['0.00693290']
45,['0.00183403']
46,['0.00072893']
47,['0.00300000']
48,['0.00047886']
49,['0.00924382']
50,['0.00587770']
51,['0.00946377']
52,"['0.00207526', '0.00240213']"
53,['0.03535793']
54,"['0.00265348', '0.00016163', '0.00076900']"
55,['0.01000000']
56,['0.00654230']
57,"['0.00011000', '0.00342454']"
58,['0.01000000']
59,['0.00660233']
60,['0.00356102']
61,['0.01300000']
62,['0.00961754']
63,['0.00621832']
64,['0.09641869']
65,"['0.09301135', '0.00018675']"
66,"['0.00281780', '0.00094993']"
67,['0.01862804']
68,['0.01522951']
69,['0.01181454']
70,['0.00835863']
71,['0.00523293']
72,"['0.00021271', '0.00193129']"
73,['0.03189675']
74,['0.02864644']
75,['0.02525550']
76,['0.02189349']
77,['0.01844474']
78,['0.01505200']
79,['0.01163817']
80,['0.00825135']
81,['0.08976903']
82,['0.00484452']
83,['0.08033239']
84,['0.00910000']
85,['0.00564408']
86,['0.07686203']
87,['0.00253355']
88,"['0.01714000', '0.00033674']"
89,['0.01452850']
90,['0.01101797']
91,['0.05627395']
92,['0.04108412']
93,"['0.03991596', '0.00100000', '0.00064876']"
94,['0.03123517']
95,['0.03000000']
96,['0.00480000']
97,['0.00253116']
98,"['0.00034660', '0.01490000']"
99,"['0.00100000', '0.00116387']"
100,"['0.00127498', '0.00138560']"
101,['0.00752634']
102,"['0.00053060', '0.02783174']"
103,"['0.00286529', '0.00080000']"
104,"['0.00100000', '0.00100000']"
105,['0.00370000']
106,['0.00480000']
107,['0.02620974']
108,['0.00107722']
109,"['0.00200000', '0.00006080', '0.00300000']"
110,['0.02402184']
111,"['0.00006660', '0.00052415']"
112,"['0.00006788', '0.00120000', '0.00300000']"
113,['0.00315141']
114,['0.03500000']
115,['0.00800000']
116,['0.00500000']
117,['0.00040000']
118,"['0.00120000', '0.00444318']"
119,"['0.00008000', '0.00300000']"
120,"['0.00500000', '0.00360000', '0.00072674']"
121,"['0.00270000', '0.00228044', '0.00010000']"
122,"['0.00163049', '0.00090000', '0.00090000']"
